replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt7/baseline_v1_domain_randomization_s0/model/ingolstadt7_noise5_presslight_domain_randomization -> eval real_setting=combine2
REAL_TEST step:3, travel time:534.041286605857, q_loss:100, rewards:-54.21582, queue:25.361998, delay:1.2213207, throughput:1635
REAL_TEST step:6, travel time:268.16606498194943, q_loss:100, rewards:-40.843056, queue:16.125391, delay:1.193675, throughput:2246
REAL_TEST step:9, travel time:231.478431372549, q_loss:100, rewards:-32.558628, queue:17.587605, delay:1.1472865, throughput:2345
REAL_TEST step:12, travel time:184.94669117647058, q_loss:100, rewards:-31.514168, queue:15.791973, delay:1.1823592, throughput:2480
REAL_TEST step:15, travel time:530.8193732193732, q_loss:100, rewards:-27.725548, queue:22.677538, delay:1.1933638, throughput:1273
REAL_TEST step:18, travel time:267.03781882146, q_loss:100, rewards:-26.894163, queue:19.212654, delay:1.2064887, throughput:2068
REAL_TEST step:21, travel time:259.467550274223, q_loss:100, rewards:-20.507778, queue:16.013851, delay:1.1107131, throughput:1995
REAL_TEST step:24, travel time:436.3639018691589, q_loss:100, rewards:-30.50748, queue:20.53364, delay:1.1307267, throughput:1402
REAL_TEST step:27, travel time:214.03859649122808, q_loss:100, rewards:-16.507778, queue:16.00409, delay:1.1956083, throughput:2125
REAL_TEST step:30, travel time:598.8644736842106, q_loss:100, rewards:-23.329424, queue:20.291815, delay:1.0867245, throughput:1094
REAL_TEST step:33, travel time:208.63052837573386, q_loss:100, rewards:-25.29, queue:14.717387, delay:1.1361873, throughput:2385
REAL_TEST step:36, travel time:637.1224886584575, q_loss:100, rewards:-38.927223, queue:20.754385, delay:1.186472, throughput:1138
REAL_TEST step:39, travel time:238.08329827513674, q_loss:100, rewards:-20.883339, queue:17.178198, delay:1.1434942, throughput:2205
REAL_TEST step:42, travel time:220.5106856634016, q_loss:100, rewards:-18.857222, queue:14.264572, delay:1.1105765, throughput:2084
REAL_TEST step:45, travel time:307.96986438975387, q_loss:100, rewards:-23.521938, queue:15.572377, delay:1.0788765, throughput:1810
REAL_TEST step:48, travel time:302.00364464692484, q_loss:100, rewards:-25.337776, queue:19.524551, delay:1.1261157, throughput:1906
REAL_TEST step:51, travel time:318.93291505791507, q_loss:100, rewards:-26.707489, queue:18.16278, delay:1.1311015, throughput:1837
REAL_TEST step:54, travel time:193.73908256880733, q_loss:100, rewards:-26.20861, queue:16.368328, delay:1.1752322, throughput:2540
REAL_TEST step:57, travel time:201.2349602724177, q_loss:100, rewards:-23.943333, queue:15.203931, delay:1.0666441, throughput:2467
REAL_TEST step:60, travel time:405.4304531085353, q_loss:100, rewards:-22.757223, queue:22.300245, delay:1.1527029, throughput:1619
REAL_TEST step:63, travel time:412.33496465470364, q_loss:100, rewards:-24.116383, queue:21.777454, delay:1.160019, throughput:1579
REAL_TEST step:66, travel time:186.51966527196652, q_loss:100, rewards:-19.798336, queue:17.20734, delay:1.2183696, throughput:2253
REAL_TEST step:69, travel time:363.7907972177635, q_loss:100, rewards:-22.252779, queue:21.27634, delay:1.1909183, throughput:1652
REAL_TEST step:72, travel time:206.51747949935262, q_loss:100, rewards:-19.483883, queue:18.68265, delay:1.1610441, throughput:2124
REAL_TEST step:75, travel time:303.68995633187774, q_loss:100, rewards:-21.163052, queue:20.010002, delay:1.1425065, throughput:1842
REAL_TEST step:78, travel time:228.83290924512298, q_loss:100, rewards:-20.349443, queue:16.916296, delay:1.1885326, throughput:2165
REAL_TEST step:81, travel time:356.7102169981917, q_loss:100, rewards:-35.373043, queue:20.049778, delay:1.2371953, throughput:1917
REAL_TEST step:84, travel time:315.09683604985617, q_loss:100, rewards:-22.607494, queue:20.55909, delay:1.1088729, throughput:1836
REAL_TEST step:87, travel time:384.5331246739697, q_loss:100, rewards:-20.990007, queue:21.262373, delay:1.1818278, throughput:1651
REAL_TEST step:90, travel time:279.47121820615797, q_loss:100, rewards:-21.450827, queue:19.126896, delay:1.1692238, throughput:2033
REAL_TEST step:93, travel time:233.01994060246076, q_loss:100, rewards:-24.818888, queue:14.652781, delay:1.1647944, throughput:2182
REAL_TEST step:96, travel time:293.78199052132703, q_loss:100, rewards:-19.579987, queue:17.394526, delay:1.1021845, throughput:1859
REAL_TEST step:99, travel time:310.1076421248835, q_loss:100, rewards:-28.128893, queue:17.69308, delay:1.1559454, throughput:1863
REAL_TEST step:102, travel time:243.56887755102042, q_loss:100, rewards:-30.186098, queue:18.734434, delay:1.226745, throughput:2159
REAL_TEST step:105, travel time:208.24429125376992, q_loss:100, rewards:-19.084995, queue:13.993149, delay:1.0950972, throughput:2154
REAL_TEST step:108, travel time:484.740152851264, q_loss:100, rewards:-18.376667, queue:20.963987, delay:1.1382165, throughput:1321
REAL_TEST step:111, travel time:549.9929370217775, q_loss:100, rewards:-32.466667, queue:23.346386, delay:1.1577404, throughput:1316
REAL_TEST step:114, travel time:256.27310748640735, q_loss:100, rewards:-20.800276, queue:20.06768, delay:1.2202616, throughput:2129
REAL_TEST step:117, travel time:176.70735717221538, q_loss:100, rewards:-18.764997, queue:14.0800705, delay:1.135484, throughput:2268
REAL_TEST step:120, travel time:380.76836461126004, q_loss:100, rewards:-19.880547, queue:22.188982, delay:1.2367755, throughput:1570
REAL_TEST step:123, travel time:195.39520463001242, q_loss:100, rewards:-19.69361, queue:15.442065, delay:1.1993198, throughput:2249
REAL_TEST step:126, travel time:199.97468862997187, q_loss:100, rewards:-18.629444, queue:15.689522, delay:1.1206814, throughput:2322
REAL_TEST step:129, travel time:534.5794285714286, q_loss:100, rewards:-23.538046, queue:24.44997, delay:1.1655526, throughput:1301
REAL_TEST step:132, travel time:248.36710369487486, q_loss:100, rewards:-30.588888, queue:16.58545, delay:1.1653924, throughput:2288
