Loading cached latent encoders from pretrained/recon_baseline/presslight/ingolstadt7
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt7/baseline_v1_recon_baseline_s0/model/ingolstadt7_noise5_presslight_latent_observation -> eval real_setting=noise20
REAL_TEST step:1, travel time:466.864434687157, q_loss:100, rewards:-59.193604, queue:98.35812, delay:8.066863, throughput:1434
REAL_TEST step:2, travel time:1165.092105263158, q_loss:100, rewards:-64.09833, queue:104.46076, delay:8.222188, throughput:677
REAL_TEST step:3, travel time:706.1301326595072, q_loss:100, rewards:-72.80001, queue:98.1109, delay:7.9850836, throughput:1124
REAL_TEST step:4, travel time:344.2975442604226, q_loss:100, rewards:-25.463623, queue:95.98678, delay:8.134912, throughput:1539
REAL_TEST step:5, travel time:819.5173444976076, q_loss:100, rewards:-40.834717, queue:104.410774, delay:8.284156, throughput:1059
REAL_TEST step:6, travel time:399.19129287598946, q_loss:100, rewards:-36.416378, queue:100.569244, delay:8.067159, throughput:1880
REAL_TEST step:7, travel time:368.05055906660186, q_loss:100, rewards:-26.975008, queue:100.11425, delay:8.01964, throughput:1770
REAL_TEST step:8, travel time:334.3620019436346, q_loss:100, rewards:-27.17501, queue:97.6447, delay:8.03345, throughput:1816
REAL_TEST step:9, travel time:371.1605951770139, q_loss:100, rewards:-27.213894, queue:99.05129, delay:8.217676, throughput:1709
REAL_TEST step:10, travel time:216.45930470347648, q_loss:100, rewards:-30.841663, queue:95.70463, delay:8.187212, throughput:2235
REAL_TEST step:11, travel time:352.7009630005068, q_loss:100, rewards:-25.773066, queue:99.061386, delay:8.241231, throughput:1724
REAL_TEST step:12, travel time:346.0990099009901, q_loss:100, rewards:-26.355558, queue:97.684814, delay:8.087972, throughput:1604
REAL_TEST step:13, travel time:292.9581550166429, q_loss:100, rewards:-23.881378, queue:99.20187, delay:8.033659, throughput:1904
REAL_TEST step:14, travel time:196.87755102040816, q_loss:100, rewards:-30.245825, queue:96.12754, delay:8.113054, throughput:2582
REAL_TEST step:15, travel time:293.13189823874757, q_loss:100, rewards:-40.758625, queue:96.87741, delay:7.911866, throughput:2249
REAL_TEST step:16, travel time:248.06651802303975, q_loss:100, rewards:-38.317226, queue:96.26346, delay:8.2127905, throughput:2471
REAL_TEST step:17, travel time:163.7269807280514, q_loss:100, rewards:-24.443888, queue:94.46107, delay:7.9702644, throughput:2678
REAL_TEST step:18, travel time:257.22698907956317, q_loss:100, rewards:-30.369165, queue:100.02189, delay:8.121008, throughput:2329
REAL_TEST step:19, travel time:163.48971036585365, q_loss:100, rewards:-25.309996, queue:93.30651, delay:7.9940553, throughput:2492
REAL_TEST step:20, travel time:144.01126664390577, q_loss:100, rewards:-31.433887, queue:94.513756, delay:8.043288, throughput:2785
