Loading cached latent encoders from pretrained/vae_embedding/presslight/ingolstadt7
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt7/baseline_v1_vae_s0/model/ingolstadt7_noise5_presslight_latent_observation -> eval real_setting=sensor20
REAL_TEST step:2, travel time:694.1845191555904, q_loss:100, rewards:-73.10611, queue:15.7722225, delay:0.2606101, throughput:911
REAL_TEST step:4, travel time:1620.5254957507082, q_loss:100, rewards:-69.549995, queue:14.051587, delay:0.25303012, throughput:278
REAL_TEST step:6, travel time:1780.5976394849786, q_loss:100, rewards:-82.36111, queue:16.76627, delay:0.27906594, throughput:277
REAL_TEST step:8, travel time:1035.7144329896907, q_loss:100, rewards:-40.576664, queue:13.282539, delay:0.203737, throughput:601
REAL_TEST step:10, travel time:1203.5928205128205, q_loss:100, rewards:-80.82083, queue:8.628175, delay:0.20235725, throughput:575
REAL_TEST step:12, travel time:924.1205501618123, q_loss:100, rewards:-50.47666, queue:17.292063, delay:0.24471605, throughput:762
REAL_TEST step:14, travel time:1460.0366624525916, q_loss:100, rewards:-57.36471, queue:12.959524, delay:0.22541797, throughput:367
REAL_TEST step:16, travel time:558.9530403371463, q_loss:100, rewards:-45.97972, queue:12.50119, delay:0.22412027, throughput:1196
REAL_TEST step:18, travel time:808.1617312072893, q_loss:100, rewards:-57.69222, queue:12.930952, delay:0.22352804, throughput:783
REAL_TEST step:20, travel time:568.2380506091846, q_loss:100, rewards:-54.68641, queue:6.429365, delay:0.14290428, throughput:844
REAL_TEST step:22, travel time:782.9233870967741, q_loss:100, rewards:-76.96528, queue:9.634127, delay:0.20106813, throughput:1019
REAL_TEST step:24, travel time:441.7470588235294, q_loss:100, rewards:-29.612782, queue:5.0805554, delay:0.12201515, throughput:1161
REAL_TEST step:26, travel time:1282.7439703153989, q_loss:100, rewards:-95.91471, queue:15.709921, delay:0.23654534, throughput:555
REAL_TEST step:28, travel time:481.89110604332956, q_loss:100, rewards:-44.149994, queue:8.044444, delay:0.17146304, throughput:1382
REAL_TEST step:30, travel time:1433.439024390244, q_loss:100, rewards:-87.07637, queue:16.605158, delay:0.31056276, throughput:474
REAL_TEST step:32, travel time:507.6420927467301, q_loss:100, rewards:-23.143894, queue:11.49127, delay:0.15672848, throughput:1302
REAL_TEST step:34, travel time:1147.132342007435, q_loss:100, rewards:-73.57111, queue:17.6123, delay:0.26644927, throughput:691
REAL_TEST step:36, travel time:277.0377358490566, q_loss:100, rewards:-18.86419, queue:6.2376986, delay:0.13782828, throughput:1819
REAL_TEST step:38, travel time:364.9819034852547, q_loss:100, rewards:-28.62417, queue:8.064683, delay:0.15765913, throughput:1273
REAL_TEST step:40, travel time:1177.4129483814522, q_loss:100, rewards:-92.18, queue:17.826588, delay:0.26776987, throughput:630
