Loading cached latent encoders from pretrained/vae_embedding/presslight/ingolstadt7
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/ingolstadt7/baseline_v1_vae_s0/model/ingolstadt7_noise5_presslight_latent_observation -> eval real_setting=combine2
REAL_TEST step:2, travel time:595.6425304878048, q_loss:100, rewards:-61.10223, queue:23.418604, delay:1.2081829, throughput:1033
REAL_TEST step:4, travel time:678.847197640118, q_loss:100, rewards:-37.05221, queue:24.832664, delay:1.2400174, throughput:1164
REAL_TEST step:6, travel time:630.80957562568, q_loss:100, rewards:-32.504433, queue:23.611206, delay:1.187928, throughput:1241
REAL_TEST step:8, travel time:267.17826336975276, q_loss:100, rewards:-16.135555, queue:17.335041, delay:1.153729, throughput:1510
REAL_TEST step:10, travel time:157.49278350515465, q_loss:100, rewards:-21.823057, queue:15.317963, delay:1.149894, throughput:2255
REAL_TEST step:12, travel time:145.50434439178514, q_loss:100, rewards:-18.842216, queue:15.223771, delay:1.1638542, throughput:2399
REAL_TEST step:14, travel time:203.47142857142856, q_loss:100, rewards:-22.123877, queue:17.235895, delay:1.093033, throughput:2187
REAL_TEST step:16, travel time:130.36200211491013, q_loss:100, rewards:-22.615, queue:13.584566, delay:1.1058896, throughput:2689
REAL_TEST step:18, travel time:231.46859238881248, q_loss:100, rewards:-20.278883, queue:19.028545, delay:1.2053176, throughput:2000
REAL_TEST step:20, travel time:242.05089169204, q_loss:100, rewards:-21.854736, queue:18.471682, delay:1.0844258, throughput:2073
REAL_TEST step:22, travel time:351.01317891373805, q_loss:100, rewards:-37.944725, queue:17.272158, delay:1.1445566, throughput:2012
REAL_TEST step:24, travel time:247.41149425287355, q_loss:100, rewards:-18.921373, queue:17.98086, delay:1.1720755, throughput:1960
REAL_TEST step:26, travel time:138.70880829015545, q_loss:100, rewards:-22.769726, queue:14.171856, delay:1.1335888, throughput:2767
REAL_TEST step:28, travel time:215.74079874706342, q_loss:100, rewards:-31.119448, queue:16.359821, delay:1.1148914, throughput:2342
REAL_TEST step:30, travel time:493.6823472356935, q_loss:100, rewards:-56.20445, queue:19.687412, delay:1.108559, throughput:1613
REAL_TEST step:32, travel time:362.8246887966805, q_loss:100, rewards:-23.514463, queue:18.50678, delay:1.1207289, throughput:1659
REAL_TEST step:34, travel time:167.087907716786, q_loss:100, rewards:-23.494162, queue:14.927479, delay:1.1042937, throughput:2347
REAL_TEST step:36, travel time:177.0354815351195, q_loss:100, rewards:-31.56861, queue:16.332144, delay:1.1762203, throughput:2604
REAL_TEST step:38, travel time:165.6107171000788, q_loss:100, rewards:-21.665554, queue:15.039932, delay:1.0486362, throughput:2365
REAL_TEST step:40, travel time:286.53609467455624, q_loss:100, rewards:-47.508327, queue:20.318375, delay:1.1721287, throughput:2182
REAL_TEST step:42, travel time:137.06171583587656, q_loss:100, rewards:-22.604998, queue:15.234925, delay:1.1328616, throughput:2797
REAL_TEST step:44, travel time:200.23891722244016, q_loss:100, rewards:-25.538624, queue:19.736837, delay:1.2348704, throughput:2336
REAL_TEST step:46, travel time:140.97243545010468, q_loss:100, rewards:-24.027775, queue:16.153297, delay:1.1745701, throughput:2692
REAL_TEST step:48, travel time:127.23061154765972, q_loss:100, rewards:-22.551388, queue:15.431665, delay:1.146663, throughput:2766
REAL_TEST step:50, travel time:226.5097897026831, q_loss:100, rewards:-36.52306, queue:18.156353, delay:1.1576505, throughput:2545
REAL_TEST step:52, travel time:202.77906018136852, q_loss:100, rewards:-17.126118, queue:19.09691, delay:1.1942229, throughput:2267
REAL_TEST step:54, travel time:208.1341728180634, q_loss:100, rewards:-22.503897, queue:18.596884, delay:1.225272, throughput:2129
REAL_TEST step:56, travel time:209.84064763527908, q_loss:100, rewards:-20.386108, queue:17.330515, delay:1.1096839, throughput:2164
REAL_TEST step:58, travel time:155.00148533234312, q_loss:100, rewards:-21.851112, queue:15.315474, delay:1.1614035, throughput:2546
REAL_TEST step:60, travel time:212.84591881274554, q_loss:100, rewards:-23.134457, queue:18.2649, delay:1.1726038, throughput:2094
REAL_TEST step:62, travel time:131.53641456582633, q_loss:100, rewards:-21.315004, queue:15.263131, delay:1.1609765, throughput:2718
REAL_TEST step:64, travel time:138.1279740447008, q_loss:100, rewards:-21.696663, queue:14.480226, delay:1.0973535, throughput:2607
REAL_TEST step:66, travel time:111.19215017064846, q_loss:100, rewards:-17.38611, queue:14.323484, delay:1.1410542, throughput:2809
REAL_TEST step:68, travel time:131.15578795528307, q_loss:100, rewards:-19.222504, queue:14.575158, delay:1.2026354, throughput:2638
REAL_TEST step:70, travel time:251.76083866382373, q_loss:100, rewards:-43.465553, queue:16.500948, delay:1.118323, throughput:2493
REAL_TEST step:72, travel time:132.35225955967556, q_loss:100, rewards:-18.913055, queue:13.929048, delay:1.1192394, throughput:2473
REAL_TEST step:74, travel time:117.28617827499097, q_loss:100, rewards:-16.707224, queue:13.542882, delay:1.1243416, throughput:2648
REAL_TEST step:76, travel time:114.58564731337901, q_loss:100, rewards:-16.467222, queue:14.6787405, delay:1.195116, throughput:2662
REAL_TEST step:78, travel time:139.1500904159132, q_loss:100, rewards:-22.749445, queue:14.826476, delay:1.1434067, throughput:2616
REAL_TEST step:80, travel time:122.6160409556314, q_loss:100, rewards:-23.374725, queue:15.342867, delay:1.2276981, throughput:2783
REAL_TEST step:82, travel time:119.20733944954128, q_loss:100, rewards:-17.879444, queue:14.559722, delay:1.1930451, throughput:2616
REAL_TEST step:84, travel time:158.5028328611898, q_loss:100, rewards:-27.053616, queue:16.44305, delay:1.131169, throughput:2589
REAL_TEST step:86, travel time:142.2155979202773, q_loss:100, rewards:-23.91389, queue:14.123845, delay:1.1414024, throughput:2742
REAL_TEST step:88, travel time:116.63493688161037, q_loss:100, rewards:-19.577776, queue:13.992885, delay:1.1470869, throughput:2822
REAL_TEST step:90, travel time:124.69204031977755, q_loss:100, rewards:-23.289724, queue:14.156413, delay:1.0962795, throughput:2761
REAL_TEST step:92, travel time:143.90185581727337, q_loss:100, rewards:-22.294998, queue:14.261934, delay:1.0821844, throughput:2674
REAL_TEST step:94, travel time:236.19586048294366, q_loss:100, rewards:-40.040005, queue:18.253395, delay:1.2025914, throughput:2389
REAL_TEST step:96, travel time:121.40744535519126, q_loss:100, rewards:-23.204725, queue:12.313515, delay:1.0030733, throughput:2812
REAL_TEST step:98, travel time:121.11216931216931, q_loss:100, rewards:-22.598886, queue:13.291898, delay:1.0962223, throughput:2727
REAL_TEST step:100, travel time:130.89135174418604, q_loss:100, rewards:-19.758337, queue:14.817943, delay:1.210523, throughput:2626
REAL_TEST step:102, travel time:125.29422190712513, q_loss:100, rewards:-22.116941, queue:14.128503, delay:1.1401063, throughput:2710
REAL_TEST step:104, travel time:146.76707650273224, q_loss:100, rewards:-25.167492, queue:14.800828, delay:1.142483, throughput:2793
REAL_TEST step:106, travel time:134.8996809641971, q_loss:100, rewards:-23.96278, queue:15.138858, delay:1.2134055, throughput:2708
REAL_TEST step:108, travel time:142.15040223854496, q_loss:100, rewards:-24.839998, queue:14.799926, delay:1.1689967, throughput:2711
REAL_TEST step:110, travel time:138.25965040058267, q_loss:100, rewards:-22.354443, queue:15.050059, delay:1.240158, throughput:2629
REAL_TEST step:112, travel time:155.9380659181456, q_loss:100, rewards:-24.080273, queue:15.207341, delay:1.1607139, throughput:2634
REAL_TEST step:114, travel time:135.40327070285318, q_loss:100, rewards:-23.718893, queue:14.197139, delay:1.121073, throughput:2754
REAL_TEST step:116, travel time:144.89611283109735, q_loss:100, rewards:-21.291119, queue:15.239253, delay:1.1523013, throughput:2754
REAL_TEST step:118, travel time:138.3680981595092, q_loss:100, rewards:-22.196384, queue:14.891721, delay:1.1991649, throughput:2660
REAL_TEST step:120, travel time:149.72228320526892, q_loss:100, rewards:-23.977222, queue:15.979238, delay:1.2552317, throughput:2615
REAL_TEST step:122, travel time:169.1935600578871, q_loss:100, rewards:-26.74139, queue:15.038866, delay:1.1692535, throughput:2643
REAL_TEST step:124, travel time:123.9370477568741, q_loss:100, rewards:-19.41472, queue:14.622311, delay:1.2011542, throughput:2655
REAL_TEST step:126, travel time:124.21888567293777, q_loss:100, rewards:-20.721113, queue:14.821072, delay:1.1907457, throughput:2643
REAL_TEST step:128, travel time:132.60383502170768, q_loss:100, rewards:-22.931389, queue:14.932222, delay:1.1294054, throughput:2640
REAL_TEST step:130, travel time:112.47591390502221, q_loss:100, rewards:-20.038609, queue:13.688392, delay:1.1372038, throughput:2824
REAL_TEST step:132, travel time:189.44734848484848, q_loss:100, rewards:-22.517776, queue:13.627866, delay:1.0293447, throughput:2454
REAL_TEST step:134, travel time:129.83509513742072, q_loss:100, rewards:-23.131111, queue:15.334827, delay:1.1998551, throughput:2691
REAL_TEST step:136, travel time:139.75871988493347, q_loss:100, rewards:-22.943892, queue:15.822824, delay:1.2045233, throughput:2613
REAL_TEST step:138, travel time:159.45097305389223, q_loss:100, rewards:-24.116673, queue:15.515781, delay:1.247638, throughput:2545
REAL_TEST step:140, travel time:168.58285930982177, q_loss:100, rewards:-22.32917, queue:14.966103, delay:1.1429785, throughput:2464
REAL_TEST step:142, travel time:133.06902654867255, q_loss:100, rewards:-23.650826, queue:14.583776, delay:1.1310315, throughput:2654
REAL_TEST step:144, travel time:132.04684748150757, q_loss:100, rewards:-23.69889, queue:16.004606, delay:1.204606, throughput:2733
REAL_TEST step:146, travel time:129.13297491039427, q_loss:100, rewards:-22.30277, queue:14.131633, delay:1.1238724, throughput:2664
REAL_TEST step:148, travel time:136.1641952983725, q_loss:100, rewards:-22.637499, queue:14.087415, delay:1.1300098, throughput:2641
REAL_TEST step:150, travel time:118.49453551912568, q_loss:100, rewards:-21.039446, queue:14.91764, delay:1.1950536, throughput:2814
REAL_TEST step:152, travel time:144.2653131452168, q_loss:100, rewards:-24.125837, queue:14.424488, delay:1.1614153, throughput:2778
REAL_TEST step:154, travel time:124.96771879483501, q_loss:100, rewards:-20.004168, queue:14.678444, delay:1.2396091, throughput:2670
REAL_TEST step:156, travel time:131.55862557562875, q_loss:100, rewards:-22.197773, queue:14.081748, delay:1.153856, throughput:2675
REAL_TEST step:158, travel time:127.17733990147784, q_loss:100, rewards:-23.142496, queue:14.488928, delay:1.1609005, throughput:2708
REAL_TEST step:160, travel time:125.07300509337861, q_loss:100, rewards:-22.914995, queue:14.390036, delay:1.160977, throughput:2819
REAL_TEST step:162, travel time:135.73811213626686, q_loss:100, rewards:-23.320557, queue:15.384979, delay:1.1994474, throughput:2669
REAL_TEST step:164, travel time:109.78616772469094, q_loss:100, rewards:-19.42084, queue:14.515077, delay:1.1626705, throughput:2858
REAL_TEST step:166, travel time:147.0319346453769, q_loss:100, rewards:-22.33195, queue:15.41002, delay:1.1536016, throughput:2513
REAL_TEST step:168, travel time:118.66757679180887, q_loss:100, rewards:-21.766108, queue:13.412367, delay:1.0808313, throughput:2798
REAL_TEST step:170, travel time:109.10996916752312, q_loss:100, rewards:-17.372225, queue:14.038965, delay:1.1729645, throughput:2814
REAL_TEST step:172, travel time:122.20946915351506, q_loss:100, rewards:-19.117495, queue:14.283383, delay:1.1697215, throughput:2664
REAL_TEST step:174, travel time:123.64552501761804, q_loss:100, rewards:-20.874165, queue:13.485254, delay:1.0768207, throughput:2717
REAL_TEST step:176, travel time:123.34005661712668, q_loss:100, rewards:-21.021393, queue:14.378448, delay:1.1174328, throughput:2709
REAL_TEST step:178, travel time:117.51641369572891, q_loss:100, rewards:-20.914722, queue:14.128731, delay:1.154292, throughput:2711
REAL_TEST step:180, travel time:123.00139762403913, q_loss:100, rewards:-20.521942, queue:14.864645, delay:1.2151723, throughput:2733
