Loading cached latent encoders from pretrained/atc/presslight/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_16/baseline_v1_atc_s0/model/tempe_16_noise5_presslight_latent_observation -> eval real_setting=dz50
REAL_TEST step:2, travel time:1135.08428005284, q_loss:100, rewards:-1406.5428, queue:172.75868, delay:0.6001099, throughput:6362
REAL_TEST step:4, travel time:635.8978548853473, q_loss:100, rewards:-1360.0826, queue:128.29549, delay:0.5441898, throughput:11151
REAL_TEST step:6, travel time:647.4631049654306, q_loss:100, rewards:-1013.465, queue:135.22934, delay:0.5448736, throughput:12006
REAL_TEST step:8, travel time:1031.0199713618208, q_loss:100, rewards:-1221.3226, queue:177.43663, delay:0.5898369, throughput:7814
REAL_TEST step:10, travel time:755.6770499312872, q_loss:100, rewards:-1385.7517, queue:152.07014, delay:0.5627431, throughput:10591
REAL_TEST step:12, travel time:719.3185785536159, q_loss:100, rewards:-1281.6241, queue:149.75746, delay:0.5707614, throughput:11462
REAL_TEST step:14, travel time:694.6414294015108, q_loss:100, rewards:-1258.3802, queue:151.13924, delay:0.5787938, throughput:12639
REAL_TEST step:16, travel time:813.3651837524178, q_loss:100, rewards:-1269.0764, queue:159.64357, delay:0.5620894, throughput:10988
REAL_TEST step:18, travel time:684.0728320670684, q_loss:100, rewards:-1109.364, queue:127.000175, delay:0.53480315, throughput:11242
REAL_TEST step:20, travel time:896.8574969898718, q_loss:100, rewards:-1060.621, queue:161.12761, delay:0.5494365, throughput:8802
REAL_TEST step:22, travel time:833.9101614836753, q_loss:100, rewards:-1387.3081, queue:155.11354, delay:0.52547175, throughput:9649
REAL_TEST step:24, travel time:692.9670931233854, q_loss:100, rewards:-932.12115, queue:135.5073, delay:0.51691985, throughput:11798
REAL_TEST step:26, travel time:560.9997535276357, q_loss:100, rewards:-1056.8419, queue:114.126045, delay:0.45366007, throughput:12558
REAL_TEST step:28, travel time:951.8086983439096, q_loss:100, rewards:-1147.1674, queue:155.27188, delay:0.5212907, throughput:8108
REAL_TEST step:30, travel time:578.3511741566336, q_loss:100, rewards:-877.14954, queue:112.3868, delay:0.4426079, throughput:12695
REAL_TEST step:32, travel time:766.7052580800772, q_loss:100, rewards:-959.28357, queue:133.40086, delay:0.47900823, throughput:10373
REAL_TEST step:34, travel time:764.0194282542326, q_loss:100, rewards:-1080.1234, queue:134.22552, delay:0.5064286, throughput:10279
REAL_TEST step:36, travel time:779.5804398948679, q_loss:100, rewards:-975.0094, queue:134.82187, delay:0.47935808, throughput:9944
REAL_TEST step:38, travel time:931.5420850561134, q_loss:100, rewards:-1124.1588, queue:161.76772, delay:0.49837425, throughput:8657
REAL_TEST step:40, travel time:855.7954055994257, q_loss:100, rewards:-992.3835, queue:151.12743, delay:0.4758653, throughput:9455
REAL_TEST step:42, travel time:731.2080815179199, q_loss:100, rewards:-811.9389, queue:129.3177, delay:0.44225946, throughput:10216
REAL_TEST step:44, travel time:745.0860584039833, q_loss:100, rewards:-902.0662, queue:133.6198, delay:0.47657743, throughput:10610
REAL_TEST step:46, travel time:736.3409789851358, q_loss:100, rewards:-1038.9739, queue:147.05902, delay:0.4877944, throughput:11392
REAL_TEST step:48, travel time:699.9343191620455, q_loss:100, rewards:-1050.926, queue:146.46597, delay:0.46978217, throughput:11829
REAL_TEST step:50, travel time:850.1148091176059, q_loss:100, rewards:-1027.206, queue:146.64027, delay:0.4946059, throughput:9531
REAL_TEST step:52, travel time:725.5862253426948, q_loss:100, rewards:-747.4231, queue:123.97118, delay:0.45097384, throughput:10764
REAL_TEST step:54, travel time:689.6107343158993, q_loss:100, rewards:-819.89655, queue:125.6533, delay:0.45879567, throughput:11419
REAL_TEST step:56, travel time:567.4766288531212, q_loss:100, rewards:-710.3783, queue:109.48489, delay:0.42665762, throughput:13834
REAL_TEST step:58, travel time:694.7742137576745, q_loss:100, rewards:-1070.974, queue:133.51962, delay:0.43985966, throughput:11372
REAL_TEST step:60, travel time:657.5574240159442, q_loss:100, rewards:-1109.2505, queue:134.0368, delay:0.443553, throughput:11773
REAL_TEST step:62, travel time:720.684936568543, q_loss:100, rewards:-1032.8386, queue:145.6566, delay:0.45958456, throughput:11817
REAL_TEST step:64, travel time:684.2009385387473, q_loss:100, rewards:-961.6317, queue:127.85555, delay:0.44715312, throughput:10786
REAL_TEST step:66, travel time:669.9719651240778, q_loss:100, rewards:-798.6577, queue:115.526215, delay:0.44678113, throughput:10862
REAL_TEST step:68, travel time:498.5359854057553, q_loss:100, rewards:-729.5779, queue:98.28924, delay:0.43943322, throughput:13734
REAL_TEST step:70, travel time:735.2949854416047, q_loss:100, rewards:-1109.0532, queue:149.61285, delay:0.5090194, throughput:10990
REAL_TEST step:72, travel time:808.165922363449, q_loss:100, rewards:-1182.7896, queue:159.84445, delay:0.48244086, throughput:10051
REAL_TEST step:74, travel time:667.8654912175249, q_loss:100, rewards:-1047.9927, queue:126.65746, delay:0.48681056, throughput:11271
REAL_TEST step:76, travel time:614.240797350656, q_loss:100, rewards:-976.8849, queue:125.755905, delay:0.46559784, throughput:11894
REAL_TEST step:78, travel time:519.26285200719, q_loss:100, rewards:-924.2673, queue:107.46129, delay:0.4279977, throughput:13257
REAL_TEST step:80, travel time:685.8554068105017, q_loss:100, rewards:-1096.4272, queue:135.65503, delay:0.46644646, throughput:11013
REAL_TEST step:82, travel time:549.8674640860733, q_loss:100, rewards:-826.3875, queue:112.9099, delay:0.43478534, throughput:12737
REAL_TEST step:84, travel time:774.2215382487204, q_loss:100, rewards:-1169.0115, queue:142.77621, delay:0.47790298, throughput:10220
REAL_TEST step:86, travel time:772.6924557096411, q_loss:100, rewards:-1168.6077, queue:153.08542, delay:0.4799145, throughput:10628
REAL_TEST step:88, travel time:643.6255578603307, q_loss:100, rewards:-894.70544, queue:130.43785, delay:0.4688746, throughput:12900
REAL_TEST step:90, travel time:589.0308170239205, q_loss:100, rewards:-976.2331, queue:124.91007, delay:0.44539896, throughput:12653
REAL_TEST step:92, travel time:497.98232369729334, q_loss:100, rewards:-972.4926, queue:103.359375, delay:0.4100892, throughput:13375
REAL_TEST step:94, travel time:659.5174012447605, q_loss:100, rewards:-999.7188, queue:131.47292, delay:0.46091354, throughput:11477
REAL_TEST step:96, travel time:400.1415760564959, q_loss:100, rewards:-753.56213, queue:85.48802, delay:0.40352657, throughput:15167
REAL_TEST step:98, travel time:582.7155465037339, q_loss:100, rewards:-804.08057, queue:113.53212, delay:0.4476376, throughput:12464
REAL_TEST step:100, travel time:663.8127328140873, q_loss:100, rewards:-841.82367, queue:118.40677, delay:0.48709908, throughput:10784
REAL_TEST step:102, travel time:674.1063547265254, q_loss:100, rewards:-979.2218, queue:138.52327, delay:0.46885487, throughput:11761
REAL_TEST step:104, travel time:495.1140547557234, q_loss:100, rewards:-588.0458, queue:104.187325, delay:0.41879416, throughput:13993
REAL_TEST step:106, travel time:365.2801005629338, q_loss:100, rewards:-471.49948, queue:69.56857, delay:0.41325718, throughput:16104
REAL_TEST step:108, travel time:466.839593114241, q_loss:100, rewards:-545.87604, queue:102.829865, delay:0.41617593, throughput:15206
