Loading cached latent encoders from pretrained/darla/presslight/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_16/baseline_v1_darla_s0/model/tempe_16_noise5_presslight_latent_observation -> eval real_setting=noise10
REAL_TEST step:2, travel time:1035.7061711079944, q_loss:100, rewards:-1170.4681, queue:216.87558, delay:4.278716, throughput:7462
REAL_TEST step:4, travel time:620.5404125583809, q_loss:100, rewards:-1595.7373, queue:169.9672, delay:4.25297, throughput:11651
REAL_TEST step:6, travel time:511.58890788000235, q_loss:100, rewards:-1043.7552, queue:143.37567, delay:4.2038574, throughput:13643
REAL_TEST step:8, travel time:381.57578673307677, q_loss:100, rewards:-1052.4395, queue:121.024796, delay:4.188018, throughput:14773
REAL_TEST step:10, travel time:337.92676423871114, q_loss:100, rewards:-969.0997, queue:113.039764, delay:4.2301593, throughput:15259
REAL_TEST step:12, travel time:330.9668016194332, q_loss:100, rewards:-895.7, queue:110.74707, delay:4.1939573, throughput:15944
REAL_TEST step:14, travel time:297.4148987593319, q_loss:100, rewards:-772.8139, queue:101.64784, delay:4.2211027, throughput:16376
REAL_TEST step:16, travel time:383.25288231455295, q_loss:100, rewards:-855.98834, queue:122.99337, delay:4.1968746, throughput:15148
REAL_TEST step:18, travel time:334.3627726193047, q_loss:100, rewards:-696.1356, queue:113.18891, delay:4.199212, throughput:15731
REAL_TEST step:20, travel time:296.9498568854023, q_loss:100, rewards:-750.6665, queue:102.44724, delay:4.260773, throughput:16363
REAL_TEST step:22, travel time:268.7792506909612, q_loss:100, rewards:-672.8993, queue:98.33294, delay:4.146439, throughput:17227
REAL_TEST step:24, travel time:236.07398843930636, q_loss:100, rewards:-598.75104, queue:91.211136, delay:4.200108, throughput:17784
REAL_TEST step:26, travel time:266.53071253071255, q_loss:100, rewards:-528.79193, queue:95.23859, delay:4.161705, throughput:17283
REAL_TEST step:28, travel time:441.66847641669494, q_loss:100, rewards:-603.3336, queue:130.214, delay:4.1925964, throughput:13962
REAL_TEST step:30, travel time:259.6602490890303, q_loss:100, rewards:-611.9057, queue:94.39725, delay:4.202369, throughput:16539
REAL_TEST step:32, travel time:260.33567902531246, q_loss:100, rewards:-599.0683, queue:96.05607, delay:4.2024813, throughput:17008
