Loading cached latent encoders from pretrained/darla/presslight/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_16/baseline_v1_darla_s0/model/tempe_16_noise5_presslight_latent_observation -> eval real_setting=dz50
REAL_TEST step:2, travel time:1274.4715266363723, q_loss:100, rewards:-1231.3939, queue:177.64914, delay:0.6172213, throughput:5456
REAL_TEST step:4, travel time:918.206063440106, q_loss:100, rewards:-1703.8276, queue:166.49045, delay:0.59302, throughput:8245
REAL_TEST step:6, travel time:782.8911598656471, q_loss:100, rewards:-1126.0117, queue:138.26492, delay:0.5323231, throughput:9930
REAL_TEST step:8, travel time:625.9422602908553, q_loss:100, rewards:-1465.9531, queue:130.99948, delay:0.5111319, throughput:11954
REAL_TEST step:10, travel time:374.9856014862982, q_loss:100, rewards:-1048.1156, queue:82.78993, delay:0.49105507, throughput:14763
REAL_TEST step:12, travel time:350.1153446104998, q_loss:100, rewards:-907.68896, queue:74.41892, delay:0.4956231, throughput:15664
REAL_TEST step:14, travel time:426.0678481303051, q_loss:100, rewards:-1208.7909, queue:92.605034, delay:0.5105211, throughput:14422
REAL_TEST step:16, travel time:459.7452546886509, q_loss:100, rewards:-982.1384, queue:99.33715, delay:0.46914253, throughput:14085
REAL_TEST step:18, travel time:645.0273142071379, q_loss:100, rewards:-1368.5708, queue:131.63646, delay:0.5048407, throughput:11904
REAL_TEST step:20, travel time:788.8540080299044, q_loss:100, rewards:-1004.1632, queue:140.82657, delay:0.5434847, throughput:9866
REAL_TEST step:22, travel time:777.7499833455466, q_loss:100, rewards:-1130.03, queue:145.62987, delay:0.5333366, throughput:10186
REAL_TEST step:24, travel time:567.1184899753146, q_loss:100, rewards:-929.0399, queue:121.92934, delay:0.49305174, throughput:12914
REAL_TEST step:26, travel time:540.7730488361478, q_loss:100, rewards:-964.08575, queue:112.0691, delay:0.4683933, throughput:13493
REAL_TEST step:28, travel time:547.8517613068119, q_loss:100, rewards:-789.1433, queue:120.41146, delay:0.5045485, throughput:14188
REAL_TEST step:30, travel time:662.8947854176281, q_loss:100, rewards:-995.712, queue:127.911804, delay:0.4911833, throughput:10939
REAL_TEST step:32, travel time:619.0031299864982, q_loss:100, rewards:-1056.1564, queue:138.4776, delay:0.48469415, throughput:12229
REAL_TEST step:34, travel time:644.1924254734079, q_loss:100, rewards:-1042.9911, queue:136.07396, delay:0.5008079, throughput:11868
REAL_TEST step:36, travel time:501.3584233576642, q_loss:100, rewards:-721.88043, queue:112.48559, delay:0.49278438, throughput:13693
REAL_TEST step:38, travel time:513.9290178315464, q_loss:100, rewards:-844.76587, queue:113.95243, delay:0.48117277, throughput:13516
REAL_TEST step:40, travel time:867.8092879701406, q_loss:100, rewards:-1287.6853, queue:159.23976, delay:0.52839625, throughput:9234
REAL_TEST step:42, travel time:650.2466262820128, q_loss:100, rewards:-1198.5464, queue:146.87517, delay:0.46776026, throughput:11921
REAL_TEST step:44, travel time:740.8253053858967, q_loss:100, rewards:-1063.5691, queue:136.9868, delay:0.5224308, throughput:10113
REAL_TEST step:46, travel time:692.0652489430177, q_loss:100, rewards:-1156.8827, queue:144.89375, delay:0.5047639, throughput:11206
REAL_TEST step:48, travel time:582.7915209522057, q_loss:100, rewards:-829.8995, queue:116.647224, delay:0.50358856, throughput:12286
REAL_TEST step:50, travel time:616.0227460974833, q_loss:100, rewards:-957.56647, queue:130.94237, delay:0.48450166, throughput:11881
REAL_TEST step:52, travel time:641.9905869324474, q_loss:100, rewards:-886.21594, queue:126.21337, delay:0.5017579, throughput:12253
REAL_TEST step:54, travel time:695.1536174430129, q_loss:100, rewards:-1083.5923, queue:149.8474, delay:0.46485168, throughput:11550
REAL_TEST step:56, travel time:864.5443897344077, q_loss:100, rewards:-1190.2375, queue:152.22395, delay:0.5199588, throughput:9161
REAL_TEST step:58, travel time:790.7634438179067, q_loss:100, rewards:-1096.6846, queue:156.10556, delay:0.4854065, throughput:9993
REAL_TEST step:60, travel time:680.202621553561, q_loss:100, rewards:-991.2819, queue:126.72153, delay:0.5095072, throughput:11304
REAL_TEST step:62, travel time:747.7898584435436, q_loss:100, rewards:-773.35376, queue:144.60486, delay:0.5025706, throughput:10485
REAL_TEST step:64, travel time:665.3404352656689, q_loss:100, rewards:-955.44305, queue:118.49757, delay:0.5379949, throughput:11149
REAL_TEST step:66, travel time:1058.470530532167, q_loss:100, rewards:-1084.1847, queue:173.25903, delay:0.53285533, throughput:7256
REAL_TEST step:68, travel time:554.5989497285815, q_loss:100, rewards:-906.85114, queue:112.17639, delay:0.492607, throughput:13278
REAL_TEST step:70, travel time:974.1814494528201, q_loss:100, rewards:-1177.9238, queue:166.90625, delay:0.5384549, throughput:8296
REAL_TEST step:72, travel time:664.6854292168674, q_loss:100, rewards:-932.8532, queue:138.78368, delay:0.5157685, throughput:11809
REAL_TEST step:74, travel time:916.4835588534846, q_loss:100, rewards:-1313.5508, queue:178.76285, delay:0.5310213, throughput:8703
REAL_TEST step:76, travel time:736.3621262458472, q_loss:100, rewards:-1341.7493, queue:148.7151, delay:0.49990335, throughput:10461
REAL_TEST step:78, travel time:705.9677102436468, q_loss:100, rewards:-1007.54565, queue:144.4059, delay:0.5283785, throughput:11230
REAL_TEST step:80, travel time:813.9110982825805, q_loss:100, rewards:-993.60876, queue:144.6547, delay:0.52741003, throughput:9391
REAL_TEST step:82, travel time:1052.5925836744523, q_loss:100, rewards:-1290.4297, queue:178.64914, delay:0.5633218, throughput:7357
REAL_TEST step:84, travel time:658.2140535621425, q_loss:100, rewards:-1018.64984, queue:124.90504, delay:0.5307144, throughput:11382
REAL_TEST step:86, travel time:762.3373630777452, q_loss:100, rewards:-1056.4918, queue:150.3453, delay:0.4854887, throughput:10596
REAL_TEST step:88, travel time:696.6933315038419, q_loss:100, rewards:-941.4954, queue:125.93976, delay:0.5120522, throughput:10598
REAL_TEST step:90, travel time:620.3061273769997, q_loss:100, rewards:-1158.5201, queue:145.46059, delay:0.47234285, throughput:12291
REAL_TEST step:92, travel time:768.45138552968, q_loss:100, rewards:-1120.7659, queue:136.44774, delay:0.50615305, throughput:10426
REAL_TEST step:94, travel time:820.0385365853658, q_loss:100, rewards:-1162.4911, queue:160.55486, delay:0.5243713, throughput:9670
REAL_TEST step:96, travel time:871.3146804569311, q_loss:100, rewards:-1045.5232, queue:139.23611, delay:0.5133056, throughput:8652
REAL_TEST step:98, travel time:800.4844380600588, q_loss:100, rewards:-1225.0372, queue:161.11024, delay:0.51292884, throughput:9928
REAL_TEST step:100, travel time:875.7764900662252, q_loss:100, rewards:-1126.4781, queue:143.70677, delay:0.5264016, throughput:8455
REAL_TEST step:102, travel time:827.313879562826, q_loss:100, rewards:-979.63574, queue:152.38907, delay:0.5562927, throughput:9373
REAL_TEST step:104, travel time:628.9340288822444, q_loss:100, rewards:-1063.1361, queue:125.14306, delay:0.46323067, throughput:11515
REAL_TEST step:106, travel time:572.623588848001, q_loss:100, rewards:-1117.3079, queue:121.47482, delay:0.4693456, throughput:12345
REAL_TEST step:108, travel time:754.9662157703729, q_loss:100, rewards:-947.2481, queue:146.9448, delay:0.4856266, throughput:10403
REAL_TEST step:110, travel time:728.7912783182529, q_loss:100, rewards:-857.1632, queue:141.27916, delay:0.5215555, throughput:10525
REAL_TEST step:112, travel time:937.542931218545, q_loss:100, rewards:-1159.2538, queue:160.51337, delay:0.51227623, throughput:8414
REAL_TEST step:114, travel time:814.1336209996405, q_loss:100, rewards:-991.9653, queue:138.85834, delay:0.5342889, throughput:9486
REAL_TEST step:116, travel time:661.9620587477455, q_loss:100, rewards:-813.53595, queue:123.34149, delay:0.49569803, throughput:11122
REAL_TEST step:118, travel time:636.5893912235279, q_loss:100, rewards:-809.2305, queue:115.46667, delay:0.49002957, throughput:11512
REAL_TEST step:120, travel time:843.8274941836595, q_loss:100, rewards:-1268.5184, queue:163.42482, delay:0.5070433, throughput:9612
REAL_TEST step:122, travel time:634.195554748062, q_loss:100, rewards:-821.7424, queue:135.21771, delay:0.50712484, throughput:12538
REAL_TEST step:124, travel time:704.6477296876106, q_loss:100, rewards:-779.852, queue:119.57136, delay:0.49658948, throughput:10109
REAL_TEST step:126, travel time:743.0482603815938, q_loss:100, rewards:-1001.6511, queue:146.95972, delay:0.5309599, throughput:10929
REAL_TEST step:128, travel time:797.0091756070017, q_loss:100, rewards:-858.29376, queue:136.62881, delay:0.49922863, throughput:9670
REAL_TEST step:130, travel time:557.0379477479607, q_loss:100, rewards:-846.9125, queue:119.85139, delay:0.44339964, throughput:13130
REAL_TEST step:132, travel time:896.0809975722799, q_loss:100, rewards:-1050.7225, queue:148.82465, delay:0.5159974, throughput:8675
REAL_TEST step:134, travel time:829.9142837215791, q_loss:100, rewards:-1043.4121, queue:151.38663, delay:0.49364161, throughput:9870
REAL_TEST step:136, travel time:745.7754932502596, q_loss:100, rewards:-727.7891, queue:133.45746, delay:0.49410748, throughput:9854
REAL_TEST step:138, travel time:529.9426838694334, q_loss:100, rewards:-624.7431, queue:107.967186, delay:0.446922, throughput:13380
REAL_TEST step:140, travel time:709.9666330983551, q_loss:100, rewards:-809.475, queue:130.45764, delay:0.47169527, throughput:10492
REAL_TEST step:142, travel time:697.9368830010827, q_loss:100, rewards:-935.04724, queue:139.621, delay:0.46423528, throughput:11006
REAL_TEST step:144, travel time:619.611477192758, q_loss:100, rewards:-866.63904, queue:118.32066, delay:0.45813608, throughput:11834
REAL_TEST step:146, travel time:725.5188172043011, q_loss:100, rewards:-706.63, queue:151.67899, delay:0.5045996, throughput:11083
REAL_TEST step:148, travel time:817.042095289659, q_loss:100, rewards:-1077.2166, queue:157.34914, delay:0.5043557, throughput:10345
REAL_TEST step:150, travel time:750.1721034870641, q_loss:100, rewards:-1045.2977, queue:148.3, delay:0.46912462, throughput:11289
REAL_TEST step:152, travel time:620.4226294532522, q_loss:100, rewards:-751.0604, queue:134.27414, delay:0.43958375, throughput:12794
REAL_TEST step:154, travel time:561.7157413056742, q_loss:100, rewards:-620.8257, queue:109.287155, delay:0.4151674, throughput:12873
REAL_TEST step:156, travel time:703.7311062792384, q_loss:100, rewards:-923.86334, queue:135.76546, delay:0.47260252, throughput:10963
REAL_TEST step:158, travel time:644.3216008016534, q_loss:100, rewards:-829.59094, queue:125.948265, delay:0.44000795, throughput:12096
REAL_TEST step:160, travel time:741.2934982890234, q_loss:100, rewards:-962.08716, queue:141.4276, delay:0.47881198, throughput:10668
REAL_TEST step:162, travel time:678.5121558006061, q_loss:100, rewards:-729.49695, queue:126.17309, delay:0.48173553, throughput:11557
REAL_TEST step:164, travel time:651.3829464880916, q_loss:100, rewards:-818.8985, queue:139.42899, delay:0.4465343, throughput:12457
REAL_TEST step:166, travel time:740.202528294394, q_loss:100, rewards:-972.3832, queue:135.2644, delay:0.46900007, throughput:10907
REAL_TEST step:168, travel time:553.3620127981385, q_loss:100, rewards:-816.3808, queue:112.50139, delay:0.42933953, throughput:13261
REAL_TEST step:170, travel time:722.9008307372793, q_loss:100, rewards:-862.68994, queue:139.56927, delay:0.47472906, throughput:10970
REAL_TEST step:172, travel time:665.0026434558349, q_loss:100, rewards:-926.627, queue:135.0165, delay:0.44837025, throughput:11427
REAL_TEST step:174, travel time:684.0354067600565, q_loss:100, rewards:-832.41693, queue:131.81944, delay:0.45753768, throughput:11430
REAL_TEST step:176, travel time:656.4958104958105, q_loss:100, rewards:-907.795, queue:132.57118, delay:0.46192813, throughput:11740
REAL_TEST step:178, travel time:729.4383788803397, q_loss:100, rewards:-701.3653, queue:137.83385, delay:0.46378386, throughput:10862
REAL_TEST step:180, travel time:536.9895827132567, q_loss:100, rewards:-802.6638, queue:108.73299, delay:0.44635138, throughput:13241
REAL_TEST step:182, travel time:665.6009185548071, q_loss:100, rewards:-906.9778, queue:139.29565, delay:0.44653118, throughput:12173
REAL_TEST step:184, travel time:874.0500177619894, q_loss:100, rewards:-1139.542, queue:160.44183, delay:0.5261953, throughput:9341
REAL_TEST step:186, travel time:551.16535105941, q_loss:100, rewards:-760.9342, queue:113.24375, delay:0.44631815, throughput:12837
REAL_TEST step:188, travel time:887.3452659263588, q_loss:100, rewards:-1221.5542, queue:166.09271, delay:0.5126115, throughput:9137
REAL_TEST step:190, travel time:496.8249984808896, q_loss:100, rewards:-786.2776, queue:97.531944, delay:0.43800732, throughput:13226
REAL_TEST step:192, travel time:719.7021562480005, q_loss:100, rewards:-798.42285, queue:146.26718, delay:0.4946777, throughput:11171
REAL_TEST step:194, travel time:617.689039985029, q_loss:100, rewards:-963.8485, queue:130.69635, delay:0.43551156, throughput:12200
REAL_TEST step:196, travel time:861.003832466466, q_loss:100, rewards:-1212.4207, queue:163.04062, delay:0.49252647, throughput:9631
REAL_TEST step:198, travel time:610.9344723995493, q_loss:100, rewards:-746.7122, queue:118.75938, delay:0.4806961, throughput:12103
Total time taken: 12186.622641563416
