Loading cached latent encoders from pretrained/darla/presslight/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_16/baseline_v1_darla_s0/model/tempe_16_noise5_presslight_latent_observation -> eval real_setting=sensor70
REAL_TEST step:2, travel time:1045.1310858424088, q_loss:100, rewards:-1336.4031, queue:61.432293, delay:0.22703525, throughput:7252
REAL_TEST step:4, travel time:842.8141513658755, q_loss:100, rewards:-1657.5863, queue:41.037674, delay:0.14726266, throughput:9067
REAL_TEST step:6, travel time:1046.0437690484252, q_loss:100, rewards:-1366.1973, queue:47.846527, delay:0.18976921, throughput:7244
REAL_TEST step:8, travel time:597.810982487385, q_loss:100, rewards:-1530.0293, queue:34.05295, delay:0.15036798, throughput:12584
REAL_TEST step:10, travel time:411.004077906269, q_loss:100, rewards:-1011.49445, queue:24.022917, delay:0.14704038, throughput:13884
REAL_TEST step:12, travel time:371.45552367288377, q_loss:100, rewards:-1012.6244, queue:31.9875, delay:0.19769143, throughput:15240
REAL_TEST step:14, travel time:618.8138549713432, q_loss:100, rewards:-1204.2365, queue:24.481945, delay:0.1343429, throughput:12139
REAL_TEST step:16, travel time:537.232956552455, q_loss:100, rewards:-1185.1041, queue:29.438715, delay:0.116326556, throughput:12944
REAL_TEST step:18, travel time:596.3753744574188, q_loss:100, rewards:-1202.579, queue:41.62153, delay:0.17529684, throughput:12433
REAL_TEST step:20, travel time:589.6417439815657, q_loss:100, rewards:-1132.197, queue:34.24184, delay:0.1348686, throughput:12692
REAL_TEST step:22, travel time:617.1800388852884, q_loss:100, rewards:-1094.8136, queue:41.25087, delay:0.16011131, throughput:11663
REAL_TEST step:24, travel time:379.7578692493947, q_loss:100, rewards:-1006.865, queue:25.674305, delay:0.101189606, throughput:15098
REAL_TEST step:26, travel time:569.999537278038, q_loss:100, rewards:-1084.8325, queue:33.55538, delay:0.16635014, throughput:13230
REAL_TEST step:28, travel time:612.5959553018341, q_loss:100, rewards:-1059.3846, queue:36.486633, delay:0.1549936, throughput:12439
REAL_TEST step:30, travel time:770.0968480106296, q_loss:100, rewards:-1207.4758, queue:43.79757, delay:0.16006559, throughput:9572
REAL_TEST step:32, travel time:835.523199023199, q_loss:100, rewards:-1247.5879, queue:43.24514, delay:0.15418418, throughput:8838
REAL_TEST step:34, travel time:507.1500452284034, q_loss:100, rewards:-1053.9663, queue:25.269444, delay:0.14117232, throughput:13937
REAL_TEST step:36, travel time:359.9147365605777, q_loss:100, rewards:-820.80365, queue:15.465798, delay:0.13088816, throughput:16151
REAL_TEST step:38, travel time:636.9965238908856, q_loss:100, rewards:-1180.8748, queue:34.26545, delay:0.17028722, throughput:12032
REAL_TEST step:40, travel time:623.3128124177848, q_loss:100, rewards:-1113.4736, queue:38.341145, delay:0.16775998, throughput:11943
REAL_TEST step:42, travel time:752.2785750571501, q_loss:100, rewards:-1319.5383, queue:42.68663, delay:0.15773259, throughput:10908
REAL_TEST step:44, travel time:873.5746198746127, q_loss:100, rewards:-924.4114, queue:45.016666, delay:0.13096055, throughput:9064
REAL_TEST step:46, travel time:545.9346112504479, q_loss:100, rewards:-914.05084, queue:21.434029, delay:0.12609626, throughput:12951
REAL_TEST step:48, travel time:509.959061610824, q_loss:100, rewards:-1143.1667, queue:25.214931, delay:0.13370478, throughput:13781
REAL_TEST step:50, travel time:634.232400860744, q_loss:100, rewards:-1020.1373, queue:57.156597, delay:0.20774443, throughput:11792
REAL_TEST step:52, travel time:551.8184152385502, q_loss:100, rewards:-1171.1296, queue:25.288889, delay:0.128534, throughput:12895
REAL_TEST step:54, travel time:488.530834914611, q_loss:100, rewards:-812.0397, queue:36.66823, delay:0.18929371, throughput:13706
REAL_TEST step:56, travel time:569.3386088066369, q_loss:100, rewards:-1105.6788, queue:29.391493, delay:0.15488754, throughput:12161
REAL_TEST step:58, travel time:737.6655737704918, q_loss:100, rewards:-1157.5729, queue:37.591145, delay:0.17929614, throughput:10350
REAL_TEST step:60, travel time:443.6981055558774, q_loss:100, rewards:-767.28973, queue:20.027952, delay:0.12938018, throughput:13751
REAL_TEST step:62, travel time:805.2625894331316, q_loss:100, rewards:-1114.125, queue:49.27552, delay:0.182909, throughput:9471
REAL_TEST step:64, travel time:645.4355172860287, q_loss:100, rewards:-962.524, queue:26.698957, delay:0.14648297, throughput:11297
REAL_TEST step:66, travel time:854.6254795512125, q_loss:100, rewards:-1070.2246, queue:45.725693, delay:0.17113236, throughput:9707
REAL_TEST step:68, travel time:574.7862316635218, q_loss:100, rewards:-982.49634, queue:32.62587, delay:0.13124532, throughput:12848
REAL_TEST step:70, travel time:823.1600868267535, q_loss:100, rewards:-1293.3036, queue:32.297745, delay:0.13394018, throughput:10023
REAL_TEST step:72, travel time:661.1268468713829, q_loss:100, rewards:-1162.1775, queue:27.132986, delay:0.14700875, throughput:11080
REAL_TEST step:74, travel time:911.6462381664176, q_loss:100, rewards:-1486.7677, queue:51.478992, delay:0.15423329, throughput:9252
REAL_TEST step:76, travel time:582.441986968737, q_loss:100, rewards:-1263.573, queue:28.509895, delay:0.14101544, throughput:12728
REAL_TEST step:78, travel time:855.0292971468336, q_loss:100, rewards:-1283.9843, queue:52.582985, delay:0.14778502, throughput:9485
REAL_TEST step:80, travel time:910.4306592039801, q_loss:100, rewards:-1217.5084, queue:31.44375, delay:0.13674536, throughput:8401
REAL_TEST step:82, travel time:678.3125616898072, q_loss:100, rewards:-1246.5577, queue:35.69479, delay:0.12742034, throughput:10963
REAL_TEST step:84, travel time:919.422975318892, q_loss:100, rewards:-1120.9573, queue:32.99809, delay:0.15367675, throughput:8280
REAL_TEST step:86, travel time:733.7367637678078, q_loss:100, rewards:-1227.8802, queue:34.853645, delay:0.1516941, throughput:10125
REAL_TEST step:88, travel time:857.2458154654862, q_loss:100, rewards:-1215.7284, queue:47.540974, delay:0.17191955, throughput:9433
REAL_TEST step:90, travel time:646.8696776760844, q_loss:100, rewards:-1054.9993, queue:30.342535, delay:0.14765555, throughput:11306
REAL_TEST step:92, travel time:756.7204504035408, q_loss:100, rewards:-1224.3872, queue:33.868404, delay:0.15547076, throughput:10704
REAL_TEST step:94, travel time:915.5766567754698, q_loss:100, rewards:-1080.5581, queue:37.45469, delay:0.15239245, throughput:8448
REAL_TEST step:96, travel time:830.3147337709701, q_loss:100, rewards:-1254.555, queue:35.583332, delay:0.15548414, throughput:9154
REAL_TEST step:98, travel time:1085.9901132330574, q_loss:100, rewards:-1253.5566, queue:58.49288, delay:0.17633064, throughput:6809
REAL_TEST step:100, travel time:577.678995115143, q_loss:100, rewards:-995.2722, queue:40.90035, delay:0.17637423, throughput:13242
REAL_TEST step:102, travel time:911.6044282127368, q_loss:100, rewards:-1184.8005, queue:49.326042, delay:0.19068077, throughput:8320
REAL_TEST step:104, travel time:693.0689210294017, q_loss:100, rewards:-975.3776, queue:48.6625, delay:0.17448251, throughput:10668
REAL_TEST step:106, travel time:940.097400136436, q_loss:100, rewards:-1389.2631, queue:62.16337, delay:0.16305918, throughput:8347
REAL_TEST step:108, travel time:646.5192640553881, q_loss:100, rewards:-1049.4032, queue:43.159027, delay:0.1770169, throughput:11696
REAL_TEST step:110, travel time:753.3930508134164, q_loss:100, rewards:-963.8832, queue:44.14722, delay:0.16153696, throughput:10311
REAL_TEST step:112, travel time:643.9055626598465, q_loss:100, rewards:-1155.1456, queue:36.73177, delay:0.14625359, throughput:11892
REAL_TEST step:114, travel time:584.0148733586409, q_loss:100, rewards:-888.0843, queue:29.365625, delay:0.17627862, throughput:12586
REAL_TEST step:116, travel time:719.0701514009728, q_loss:100, rewards:-1128.788, queue:26.595312, delay:0.15675855, throughput:10346
REAL_TEST step:118, travel time:494.6536523929471, q_loss:100, rewards:-947.32855, queue:37.83177, delay:0.17727476, throughput:13548
REAL_TEST step:120, travel time:437.76345390383767, q_loss:100, rewards:-813.3177, queue:33.309376, delay:0.13402516, throughput:14771
REAL_TEST step:122, travel time:765.4220276187268, q_loss:100, rewards:-1039.1166, queue:16.542534, delay:0.13275173, throughput:10014
REAL_TEST step:124, travel time:783.6266409817351, q_loss:100, rewards:-1085.4327, queue:40.382465, delay:0.1769987, throughput:9619
REAL_TEST step:126, travel time:777.5642735624363, q_loss:100, rewards:-1117.1254, queue:26.498264, delay:0.13560678, throughput:10379
REAL_TEST step:128, travel time:703.385645317026, q_loss:100, rewards:-1138.6239, queue:30.277605, delay:0.13455491, throughput:11342
REAL_TEST step:130, travel time:691.2795563398034, q_loss:100, rewards:-1046.734, queue:50.896526, delay:0.18046851, throughput:11283
REAL_TEST step:132, travel time:680.8509549795361, q_loss:100, rewards:-1073.0443, queue:42.45243, delay:0.19610927, throughput:10625
REAL_TEST step:134, travel time:725.0063612414059, q_loss:100, rewards:-1181.2328, queue:53.26441, delay:0.18366398, throughput:10784
REAL_TEST step:136, travel time:613.3814170292106, q_loss:100, rewards:-934.88995, queue:31.51111, delay:0.1510983, throughput:11877
REAL_TEST step:138, travel time:808.7940738640391, q_loss:100, rewards:-1220.2798, queue:52.26684, delay:0.16986766, throughput:9623
REAL_TEST step:140, travel time:664.7680403095195, q_loss:100, rewards:-937.5717, queue:45.492535, delay:0.12583376, throughput:12075
REAL_TEST step:142, travel time:757.0969813319211, q_loss:100, rewards:-1041.9797, queue:52.946354, delay:0.19100957, throughput:10460
REAL_TEST step:144, travel time:789.8917922948074, q_loss:100, rewards:-1097.0879, queue:39.308506, delay:0.1319179, throughput:10174
REAL_TEST step:146, travel time:761.0385073441842, q_loss:100, rewards:-1179.2441, queue:44.00712, delay:0.17646319, throughput:10824
REAL_TEST step:148, travel time:1350.4505961733987, q_loss:100, rewards:-1360.6093, queue:55.447395, delay:0.16429807, throughput:4852
REAL_TEST step:150, travel time:446.75704343921876, q_loss:100, rewards:-866.6047, queue:34.270485, delay:0.16045424, throughput:14110
REAL_TEST step:152, travel time:440.92234749927724, q_loss:100, rewards:-825.4, queue:19.410765, delay:0.11395118, throughput:14583
REAL_TEST step:154, travel time:1219.2447129909365, q_loss:100, rewards:-1235.6907, queue:56.450172, delay:0.1704833, throughput:6341
REAL_TEST step:156, travel time:507.61025886864815, q_loss:100, rewards:-860.19586, queue:25.515625, delay:0.1276527, throughput:13179
REAL_TEST step:158, travel time:722.8489736070381, q_loss:100, rewards:-1066.5815, queue:32.73264, delay:0.1411566, throughput:11100
REAL_TEST step:160, travel time:457.0433511385999, q_loss:100, rewards:-876.9502, queue:27.477951, delay:0.1442929, throughput:14256
REAL_TEST step:162, travel time:710.0870343364709, q_loss:100, rewards:-799.05884, queue:40.979168, delay:0.15217413, throughput:10293
REAL_TEST step:164, travel time:564.0794432811923, q_loss:100, rewards:-783.65607, queue:30.428125, delay:0.15048656, throughput:12601
REAL_TEST step:166, travel time:581.4344333748444, q_loss:100, rewards:-908.08887, queue:34.246876, delay:0.13760106, throughput:12367
REAL_TEST step:168, travel time:532.278110559644, q_loss:100, rewards:-1031.1471, queue:33.144096, delay:0.16070525, throughput:13225
REAL_TEST step:170, travel time:545.2012063008725, q_loss:100, rewards:-1052.9674, queue:43.65, delay:0.116585776, throughput:12991
REAL_TEST step:172, travel time:506.8436709977071, q_loss:100, rewards:-893.6183, queue:27.622744, delay:0.16684522, throughput:13600
REAL_TEST step:174, travel time:639.5379905712362, q_loss:100, rewards:-1036.8099, queue:50.937325, delay:0.17570174, throughput:11975
REAL_TEST step:176, travel time:665.4537296334012, q_loss:100, rewards:-895.0911, queue:39.45868, delay:0.12601987, throughput:11401
REAL_TEST step:178, travel time:358.0340200739567, q_loss:100, rewards:-709.5522, queue:14.785764, delay:0.12828891, throughput:16421
REAL_TEST step:180, travel time:773.4583973802045, q_loss:100, rewards:-1094.0356, queue:47.56389, delay:0.14109823, throughput:10459
REAL_TEST step:182, travel time:578.5022918030835, q_loss:100, rewards:-919.57416, queue:52.949825, delay:0.15959783, throughput:12725
REAL_TEST step:184, travel time:730.5610789721512, q_loss:100, rewards:-1196.8713, queue:63.616146, delay:0.1826872, throughput:10187
REAL_TEST step:186, travel time:589.1283593309528, q_loss:100, rewards:-1146.9542, queue:34.31927, delay:0.14222908, throughput:12301
REAL_TEST step:188, travel time:601.3141414141414, q_loss:100, rewards:-811.4741, queue:31.229166, delay:0.1544013, throughput:11139
REAL_TEST step:190, travel time:664.9112893199056, q_loss:100, rewards:-1318.5145, queue:52.83698, delay:0.16842568, throughput:11795
REAL_TEST step:192, travel time:1017.205736394987, q_loss:100, rewards:-1084.5774, queue:61.263195, delay:0.1828396, throughput:7354
REAL_TEST step:194, travel time:1149.406632698668, q_loss:100, rewards:-1219.0366, queue:37.23837, delay:0.15767324, throughput:5886
REAL_TEST step:196, travel time:773.2926018287615, q_loss:100, rewards:-1290.392, queue:29.289236, delay:0.11998097, throughput:9903
REAL_TEST step:198, travel time:348.86688662916487, q_loss:100, rewards:-702.1714, queue:23.501215, delay:0.13753842, throughput:15998
Total time taken: 12133.896927833557
