replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_16/baseline_v1_domain_randomization_s0/model/tempe_16_noise5_presslight_domain_randomization -> eval real_setting=noise10
REAL_TEST step:3, travel time:206.53400775917103, q_loss:100, rewards:-585.74664, queue:87.561325, delay:4.1703706, throughput:18979
REAL_TEST step:6, travel time:246.54685726081124, q_loss:100, rewards:-345.8773, queue:87.43198, delay:4.1622543, throughput:17676
REAL_TEST step:9, travel time:160.79760678730813, q_loss:100, rewards:-350.89392, queue:73.65388, delay:4.1380095, throughput:19219
REAL_TEST step:12, travel time:257.9139177706233, q_loss:100, rewards:-371.59305, queue:90.59528, delay:4.157035, throughput:17330
REAL_TEST step:15, travel time:317.1532942658415, q_loss:100, rewards:-461.5153, queue:99.644325, delay:4.1902704, throughput:16198
REAL_TEST step:18, travel time:359.1394908361651, q_loss:100, rewards:-617.9945, queue:116.16234, delay:4.1635838, throughput:15443
REAL_TEST step:21, travel time:433.20774848796077, q_loss:100, rewards:-986.6992, queue:133.11626, delay:4.2250123, throughput:14555
REAL_TEST step:24, travel time:283.702603785423, q_loss:100, rewards:-625.204, queue:98.92918, delay:4.1734076, throughput:16822
REAL_TEST step:27, travel time:449.05356598133125, q_loss:100, rewards:-433.6315, queue:114.43126, delay:4.2064133, throughput:13679
REAL_TEST step:30, travel time:242.03240885010908, q_loss:100, rewards:-356.24466, queue:86.34424, delay:4.2148438, throughput:17566
REAL_TEST step:33, travel time:203.80440135426284, q_loss:100, rewards:-363.85834, queue:79.35534, delay:4.107405, throughput:18003
REAL_TEST step:36, travel time:252.61575367743976, q_loss:100, rewards:-416.4409, queue:86.98029, delay:4.1805162, throughput:17217
REAL_TEST step:39, travel time:255.25640492646676, q_loss:100, rewards:-446.61166, queue:90.049576, delay:4.1301894, throughput:17480
REAL_TEST step:42, travel time:251.4099658491152, q_loss:100, rewards:-426.29163, queue:88.14616, delay:4.1419764, throughput:17457
REAL_TEST step:45, travel time:277.5244472127063, q_loss:100, rewards:-495.57773, queue:97.8115, delay:4.1998167, throughput:17144
REAL_TEST step:48, travel time:297.6818730008914, q_loss:100, rewards:-519.2061, queue:102.82118, delay:4.1915746, throughput:16824
REAL_TEST step:51, travel time:187.93657874321178, q_loss:100, rewards:-328.16998, queue:82.66992, delay:4.1677265, throughput:18934
REAL_TEST step:54, travel time:179.6179601316044, q_loss:100, rewards:-424.5359, queue:82.96968, delay:4.111184, throughput:19318
REAL_TEST step:57, travel time:188.0429662478443, q_loss:100, rewards:-377.49228, queue:81.06734, delay:4.197144, throughput:18671
REAL_TEST step:60, travel time:117.49434511239383, q_loss:100, rewards:-231.58939, queue:64.16818, delay:4.15997, throughput:20505
