Loading cached latent encoders from pretrained/lusr/presslight/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_16/baseline_v1_lusr_s0/model/tempe_16_noise5_presslight_latent_observation -> eval real_setting=noise10
REAL_TEST step:2, travel time:499.9463103406765, q_loss:100, rewards:-1214.5011, queue:144.61356, delay:4.232082, throughput:13397
REAL_TEST step:4, travel time:518.589340424302, q_loss:100, rewards:-1028.1561, queue:140.39561, delay:4.233913, throughput:13552
REAL_TEST step:6, travel time:662.2391229637776, q_loss:100, rewards:-1463.3302, queue:166.57289, delay:4.2061114, throughput:11020
REAL_TEST step:8, travel time:532.6305406097873, q_loss:100, rewards:-1067.4303, queue:143.51526, delay:4.223157, throughput:12265
REAL_TEST step:10, travel time:607.6632323232324, q_loss:100, rewards:-1242.9366, queue:153.0731, delay:4.263034, throughput:11363
REAL_TEST step:12, travel time:302.45655650319827, q_loss:100, rewards:-929.2005, queue:111.9189, delay:4.1746254, throughput:16532
REAL_TEST step:14, travel time:302.69733434060004, q_loss:100, rewards:-850.2311, queue:108.677536, delay:4.236454, throughput:16382
REAL_TEST step:16, travel time:321.96775082690186, q_loss:100, rewards:-754.96655, queue:111.3033, delay:4.2256985, throughput:15838
REAL_TEST step:18, travel time:318.1920250702399, q_loss:100, rewards:-748.0861, queue:111.11934, delay:4.2177715, throughput:16137
REAL_TEST step:20, travel time:329.75325092310163, q_loss:100, rewards:-993.8758, queue:119.25, delay:4.253441, throughput:15917
REAL_TEST step:22, travel time:315.8110736796349, q_loss:100, rewards:-1110.2515, queue:117.8556, delay:4.1489553, throughput:16183
REAL_TEST step:24, travel time:242.6498123436197, q_loss:100, rewards:-765.6861, queue:99.39371, delay:4.2149754, throughput:17427
REAL_TEST step:26, travel time:242.09832570715474, q_loss:100, rewards:-717.4579, queue:98.23942, delay:4.1724195, throughput:17393
REAL_TEST step:28, travel time:340.0733543323902, q_loss:100, rewards:-705.1861, queue:113.95934, delay:4.193269, throughput:16276
REAL_TEST step:30, travel time:228.55833249522277, q_loss:100, rewards:-531.05084, queue:90.86789, delay:4.2142096, throughput:18224
REAL_TEST step:32, travel time:251.74453418385718, q_loss:100, rewards:-618.93774, queue:93.65051, delay:4.2121043, throughput:17569
REAL_TEST step:34, travel time:284.10774687708835, q_loss:100, rewards:-708.0855, queue:103.52734, delay:4.2203703, throughput:17308
REAL_TEST step:36, travel time:226.42503392130257, q_loss:100, rewards:-498.6626, queue:93.65451, delay:4.090945, throughput:18783
REAL_TEST step:38, travel time:216.31494409998535, q_loss:100, rewards:-539.11505, queue:92.25786, delay:4.2153187, throughput:18661
REAL_TEST step:40, travel time:178.13478686918177, q_loss:100, rewards:-549.98895, queue:81.17386, delay:4.2083955, throughput:19065
REAL_TEST step:42, travel time:193.18624740843123, q_loss:100, rewards:-614.38446, queue:86.316154, delay:4.1583304, throughput:18744
REAL_TEST step:44, travel time:159.31238589410972, q_loss:100, rewards:-369.2208, queue:72.90274, delay:4.1551166, throughput:19547
REAL_TEST step:46, travel time:175.8354786210978, q_loss:100, rewards:-490.8301, queue:81.373505, delay:4.1445775, throughput:18955
REAL_TEST step:48, travel time:127.93571462635319, q_loss:100, rewards:-326.86697, queue:65.86929, delay:4.1357265, throughput:20047
REAL_TEST step:50, travel time:229.72464748426037, q_loss:100, rewards:-553.7633, queue:90.76495, delay:4.179666, throughput:17508
REAL_TEST step:52, travel time:213.79196787148595, q_loss:100, rewards:-459.5471, queue:85.436005, delay:4.156501, throughput:18382
REAL_TEST step:54, travel time:203.69317043861406, q_loss:100, rewards:-452.8553, queue:84.019585, delay:4.1548705, throughput:18446
REAL_TEST step:56, travel time:196.82793451758968, q_loss:100, rewards:-566.2872, queue:85.95261, delay:4.137946, throughput:18634
REAL_TEST step:58, travel time:154.4052259482182, q_loss:100, rewards:-385.4861, queue:72.00813, delay:4.1647325, throughput:19741
REAL_TEST step:60, travel time:168.63886172501466, q_loss:100, rewards:-402.25836, queue:76.62729, delay:4.1439853, throughput:18867
REAL_TEST step:62, travel time:211.33284593264122, q_loss:100, rewards:-508.76987, queue:88.11321, delay:4.1301184, throughput:18664
REAL_TEST step:64, travel time:228.52643037974684, q_loss:100, rewards:-546.7714, queue:90.60232, delay:4.154332, throughput:17884
REAL_TEST step:66, travel time:124.02469969607796, q_loss:100, rewards:-292.6698, queue:64.64174, delay:4.1248655, throughput:19891
REAL_TEST step:68, travel time:156.03771562225904, q_loss:100, rewards:-344.60083, queue:71.637276, delay:4.133725, throughput:19399
REAL_TEST step:70, travel time:182.45795107033638, q_loss:100, rewards:-470.87302, queue:78.53015, delay:4.14088, throughput:18414
REAL_TEST step:72, travel time:159.15385380902623, q_loss:100, rewards:-409.17694, queue:73.543, delay:4.158598, throughput:18978
REAL_TEST step:74, travel time:174.77704552367433, q_loss:100, rewards:-513.7522, queue:78.444565, delay:4.143963, throughput:18435
REAL_TEST step:76, travel time:173.56707616707618, q_loss:100, rewards:-494.0211, queue:79.32227, delay:4.1560345, throughput:18871
REAL_TEST step:78, travel time:140.0056374245871, q_loss:100, rewards:-353.62143, queue:68.64594, delay:4.1476, throughput:19292
REAL_TEST step:80, travel time:147.64234220979844, q_loss:100, rewards:-372.37274, queue:71.44983, delay:4.148743, throughput:19302
REAL_TEST step:82, travel time:140.90879414383224, q_loss:100, rewards:-365.19904, queue:68.648796, delay:4.1456585, throughput:19263
REAL_TEST step:84, travel time:139.83633752599783, q_loss:100, rewards:-363.12607, queue:69.1938, delay:4.152556, throughput:19223
REAL_TEST step:86, travel time:222.23586108419605, q_loss:100, rewards:-643.25885, queue:92.66632, delay:4.168296, throughput:17686
REAL_TEST step:88, travel time:139.00326135296734, q_loss:100, rewards:-370.29114, queue:68.52046, delay:4.118606, throughput:19245
REAL_TEST step:90, travel time:147.49672943508423, q_loss:100, rewards:-400.6059, queue:70.342445, delay:4.1368504, throughput:19137
REAL_TEST step:92, travel time:327.5675191399251, q_loss:100, rewards:-868.321, queue:115.85811, delay:4.1762857, throughput:16083
REAL_TEST step:94, travel time:122.5800267073636, q_loss:100, rewards:-263.27826, queue:62.6231, delay:4.1396465, throughput:20116
REAL_TEST step:96, travel time:199.57849037987174, q_loss:100, rewards:-559.1841, queue:84.86158, delay:4.1561823, throughput:18765
REAL_TEST step:98, travel time:124.42780646395104, q_loss:100, rewards:-305.02692, queue:63.877007, delay:4.1963325, throughput:20095
REAL_TEST step:100, travel time:253.6868718267537, q_loss:100, rewards:-692.65393, queue:98.98193, delay:4.193611, throughput:17432
REAL_TEST step:102, travel time:179.40681120780724, q_loss:100, rewards:-559.8347, queue:79.60281, delay:4.159032, throughput:18552
REAL_TEST step:104, travel time:174.19497953887614, q_loss:100, rewards:-395.3875, queue:75.55227, delay:4.1736884, throughput:18716
REAL_TEST step:106, travel time:154.66406402498535, q_loss:100, rewards:-417.9407, queue:73.3767, delay:4.1463714, throughput:19472
REAL_TEST step:108, travel time:155.57782034281223, q_loss:100, rewards:-491.22968, queue:74.2346, delay:4.137481, throughput:19407
REAL_TEST step:110, travel time:212.83253684793, q_loss:100, rewards:-585.80096, queue:91.16712, delay:4.166646, throughput:18392
REAL_TEST step:112, travel time:164.20475882966568, q_loss:100, rewards:-458.00317, queue:76.49381, delay:4.1480956, throughput:18831
REAL_TEST step:114, travel time:180.41150442477877, q_loss:100, rewards:-540.5796, queue:83.44639, delay:4.131009, throughput:19590
REAL_TEST step:116, travel time:136.8831245394252, q_loss:100, rewards:-339.22116, queue:67.02777, delay:4.1122136, throughput:19459
REAL_TEST step:118, travel time:218.44294521932486, q_loss:100, rewards:-480.28342, queue:86.19144, delay:4.1899805, throughput:18633
REAL_TEST step:120, travel time:153.66756444786455, q_loss:100, rewards:-311.50223, queue:68.79173, delay:4.160224, throughput:19831
REAL_TEST step:122, travel time:149.1480498554571, q_loss:100, rewards:-358.0897, queue:71.87542, delay:4.128818, throughput:20113
REAL_TEST step:124, travel time:196.7992485238862, q_loss:100, rewards:-449.99054, queue:84.77945, delay:4.119779, throughput:18978
REAL_TEST step:126, travel time:144.1093250655855, q_loss:100, rewards:-391.39508, queue:70.39718, delay:4.1193056, throughput:19901
REAL_TEST step:128, travel time:228.8533207584632, q_loss:100, rewards:-549.98157, queue:90.447426, delay:4.1609817, throughput:18342
REAL_TEST step:130, travel time:164.48378287740144, q_loss:100, rewards:-411.94748, queue:75.8271, delay:4.1729174, throughput:19269
REAL_TEST step:132, travel time:212.17249160106303, q_loss:100, rewards:-484.26236, queue:83.73448, delay:4.204006, throughput:18352
REAL_TEST step:134, travel time:156.88259708043125, q_loss:100, rewards:-313.5586, queue:71.29294, delay:4.1568656, throughput:20002
REAL_TEST step:136, travel time:243.16984487698844, q_loss:100, rewards:-685.4416, queue:97.813065, delay:4.1705146, throughput:17870
REAL_TEST step:138, travel time:172.88959005968104, q_loss:100, rewards:-456.5778, queue:74.87408, delay:4.1757793, throughput:19235
REAL_TEST step:140, travel time:302.7305561363161, q_loss:100, rewards:-645.86945, queue:101.956436, delay:4.1696315, throughput:16870
REAL_TEST step:142, travel time:331.37069192317813, q_loss:100, rewards:-772.72614, queue:113.18246, delay:4.167716, throughput:16374
REAL_TEST step:144, travel time:223.60432711795704, q_loss:100, rewards:-438.10843, queue:86.20415, delay:4.185483, throughput:17880
REAL_TEST step:146, travel time:304.8316001697793, q_loss:100, rewards:-587.94696, queue:102.352486, delay:4.184023, throughput:16547
REAL_TEST step:148, travel time:274.9401863222528, q_loss:100, rewards:-771.7185, queue:102.39721, delay:4.163987, throughput:17102
REAL_TEST step:150, travel time:215.6564189021669, q_loss:100, rewards:-667.733, queue:90.95226, delay:4.1614995, throughput:18481
REAL_TEST step:152, travel time:179.29766249136995, q_loss:100, rewards:-601.71765, queue:81.30701, delay:4.0979443, throughput:19132
REAL_TEST step:154, travel time:261.55391065790155, q_loss:100, rewards:-766.30945, queue:100.55616, delay:4.1785846, throughput:17586
REAL_TEST step:156, travel time:156.9454536646805, q_loss:100, rewards:-468.27496, queue:74.01044, delay:4.1493077, throughput:19552
REAL_TEST step:158, travel time:229.44941923955128, q_loss:100, rewards:-719.44, queue:96.3706, delay:4.1300726, throughput:18275
REAL_TEST step:160, travel time:227.32496624831242, q_loss:100, rewards:-710.94464, queue:93.22302, delay:4.113549, throughput:18134
REAL_TEST step:162, travel time:262.45550999487443, q_loss:100, rewards:-888.3509, queue:103.51038, delay:4.125954, throughput:17476
REAL_TEST step:164, travel time:198.4923046566693, q_loss:100, rewards:-566.87933, queue:85.92263, delay:4.1843543, throughput:18914
REAL_TEST step:166, travel time:243.60044608911645, q_loss:100, rewards:-696.7489, queue:97.702644, delay:4.13709, throughput:17760
REAL_TEST step:168, travel time:231.6625442602761, q_loss:100, rewards:-500.70233, queue:91.50286, delay:4.1305604, throughput:17793
REAL_TEST step:170, travel time:235.101325660261, q_loss:100, rewards:-507.3274, queue:89.67035, delay:4.1538863, throughput:17769
REAL_TEST step:172, travel time:177.8256472887152, q_loss:100, rewards:-396.7133, queue:79.08982, delay:4.1047087, throughput:19001
REAL_TEST step:174, travel time:233.2726048576131, q_loss:100, rewards:-471.99146, queue:91.16965, delay:4.1915455, throughput:18134
REAL_TEST step:176, travel time:250.84720327421556, q_loss:100, rewards:-478.0032, queue:96.011826, delay:4.157781, throughput:17531
REAL_TEST step:178, travel time:127.99180327868852, q_loss:100, rewards:-268.3072, queue:63.62996, delay:4.110257, throughput:19942
REAL_TEST step:180, travel time:254.45109881743898, q_loss:100, rewards:-575.95135, queue:97.214424, delay:4.197563, throughput:17587
REAL_TEST step:182, travel time:193.13751364222642, q_loss:100, rewards:-491.0898, queue:84.04257, delay:4.121666, throughput:18730
REAL_TEST step:184, travel time:257.53159662155286, q_loss:100, rewards:-637.6929, queue:99.157745, delay:4.1882505, throughput:17712
REAL_TEST step:186, travel time:202.70814162832568, q_loss:100, rewards:-431.80692, queue:83.88628, delay:4.1734476, throughput:18341
