Loading cached latent encoders from pretrained/lusr/presslight/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_16/baseline_v1_lusr_s0/model/tempe_16_noise5_presslight_latent_observation -> eval real_setting=combine4
REAL_TEST step:2, travel time:554.242880311385, q_loss:100, rewards:-1382.086, queue:105.53834, delay:1.7664807, throughput:12230
REAL_TEST step:4, travel time:504.2004253651984, q_loss:100, rewards:-1093.4764, queue:95.95569, delay:1.774072, throughput:14033
REAL_TEST step:6, travel time:613.021186716059, q_loss:100, rewards:-1583.9882, queue:113.30915, delay:1.6660739, throughput:11973
REAL_TEST step:8, travel time:502.1187296116206, q_loss:100, rewards:-1149.4058, queue:93.11267, delay:1.7402769, throughput:13184
REAL_TEST step:10, travel time:508.26147909967847, q_loss:100, rewards:-1271.4523, queue:90.78543, delay:1.7205026, throughput:12621
REAL_TEST step:12, travel time:408.5181518151815, q_loss:100, rewards:-1136.7368, queue:87.101006, delay:1.645003, throughput:14056
REAL_TEST step:14, travel time:414.0307084757751, q_loss:100, rewards:-1040.6464, queue:74.347084, delay:1.6212629, throughput:14172
REAL_TEST step:16, travel time:477.48562260891026, q_loss:100, rewards:-1049.0295, queue:86.12271, delay:1.6565845, throughput:13136
REAL_TEST step:18, travel time:364.7394525506164, q_loss:100, rewards:-820.624, queue:75.14116, delay:1.7038739, throughput:15106
REAL_TEST step:20, travel time:536.7134956417193, q_loss:100, rewards:-1375.0747, queue:104.84707, delay:1.7180545, throughput:13063
REAL_TEST step:22, travel time:469.8530950054601, q_loss:100, rewards:-1400.9016, queue:87.5779, delay:1.7138331, throughput:14174
REAL_TEST step:24, travel time:322.15282249409745, q_loss:100, rewards:-958.34204, queue:77.01597, delay:1.6532232, throughput:16207
REAL_TEST step:26, travel time:414.83178290306597, q_loss:100, rewards:-1014.3599, queue:80.32398, delay:1.6351261, throughput:14929
REAL_TEST step:28, travel time:428.51654187244435, q_loss:100, rewards:-918.29364, queue:86.0047, delay:1.619192, throughput:15400
REAL_TEST step:30, travel time:424.2474151902979, q_loss:100, rewards:-1019.31494, queue:70.94819, delay:1.6738987, throughput:14688
REAL_TEST step:32, travel time:387.9268292682927, q_loss:100, rewards:-997.71375, queue:65.15104, delay:1.6416621, throughput:15669
REAL_TEST step:34, travel time:519.6955254585977, q_loss:100, rewards:-1007.4005, queue:86.34656, delay:1.7195163, throughput:13985
REAL_TEST step:36, travel time:373.5199017969077, q_loss:100, rewards:-813.78827, queue:69.75226, delay:1.5350047, throughput:16078
REAL_TEST step:38, travel time:533.1204037897586, q_loss:100, rewards:-1180.162, queue:107.62801, delay:1.8000047, throughput:13964
REAL_TEST step:40, travel time:490.0505798030418, q_loss:100, rewards:-993.035, queue:77.96675, delay:1.7538859, throughput:13895
REAL_TEST step:42, travel time:337.81337395941017, q_loss:100, rewards:-1037.1818, queue:76.47371, delay:1.7263308, throughput:15991
REAL_TEST step:44, travel time:488.4449306660605, q_loss:100, rewards:-870.77014, queue:73.33646, delay:1.6066576, throughput:14206
REAL_TEST step:46, travel time:339.97927932751514, q_loss:100, rewards:-763.73956, queue:55.519585, delay:1.489626, throughput:16230
REAL_TEST step:48, travel time:336.5861739407455, q_loss:100, rewards:-747.654, queue:63.23562, delay:1.7034353, throughput:16447
REAL_TEST step:50, travel time:251.42574917898193, q_loss:100, rewards:-515.106, queue:54.399532, delay:1.59424, throughput:17568
REAL_TEST step:52, travel time:435.97760862318034, q_loss:100, rewards:-915.67267, queue:73.959274, delay:1.5921671, throughput:14991
REAL_TEST step:54, travel time:264.42594914489194, q_loss:100, rewards:-497.3536, queue:52.977554, delay:1.670245, throughput:18162
REAL_TEST step:56, travel time:292.61103696098564, q_loss:100, rewards:-733.9776, queue:53.45491, delay:1.630192, throughput:17184
REAL_TEST step:58, travel time:252.145373525557, q_loss:100, rewards:-607.54834, queue:48.00086, delay:1.7394458, throughput:17314
REAL_TEST step:60, travel time:222.2733490921893, q_loss:100, rewards:-536.80054, queue:48.610252, delay:1.6463789, throughput:18177
REAL_TEST step:62, travel time:288.21631744103655, q_loss:100, rewards:-747.46423, queue:71.23252, delay:1.608331, throughput:17521
REAL_TEST step:64, travel time:421.4260479382029, q_loss:100, rewards:-711.89655, queue:65.06943, delay:1.6824551, throughput:14723
REAL_TEST step:66, travel time:233.85935694021225, q_loss:100, rewards:-610.68274, queue:52.220963, delay:1.7511733, throughput:17301
REAL_TEST step:68, travel time:261.6886027175015, q_loss:100, rewards:-698.61584, queue:49.015713, delay:1.485013, throughput:17760
REAL_TEST step:70, travel time:297.67716658830903, q_loss:100, rewards:-539.73206, queue:63.497696, delay:1.763589, throughput:17122
REAL_TEST step:72, travel time:271.0817671203284, q_loss:100, rewards:-627.1304, queue:60.736088, delay:1.6497393, throughput:16606
REAL_TEST step:74, travel time:396.32961212052174, q_loss:100, rewards:-778.58716, queue:78.599686, delay:1.6332619, throughput:14827
REAL_TEST step:76, travel time:324.8171884849758, q_loss:100, rewards:-716.0177, queue:64.85405, delay:1.5890174, throughput:16625
REAL_TEST step:78, travel time:242.43378904300968, q_loss:100, rewards:-681.5303, queue:61.905098, delay:1.6274205, throughput:18100
REAL_TEST step:80, travel time:330.44672370728597, q_loss:100, rewards:-672.65643, queue:72.52888, delay:1.6730155, throughput:16259
REAL_TEST step:82, travel time:274.4510544860338, q_loss:100, rewards:-811.5118, queue:63.34515, delay:1.6041412, throughput:17275
REAL_TEST step:84, travel time:354.20446681346334, q_loss:100, rewards:-659.24664, queue:71.632805, delay:1.6269283, throughput:16491
