Loading cached latent encoders from pretrained/recon_baseline/presslight/tempe_16
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_16/baseline_v1_recon_baseline_s0/model/tempe_16_noise5_presslight_latent_observation -> eval real_setting=noise10
REAL_TEST step:1, travel time:589.1978677497144, q_loss:100, rewards:-1127.2023, queue:159.01906, delay:4.228818, throughput:11954
REAL_TEST step:2, travel time:952.5183346065699, q_loss:100, rewards:-1221.0375, queue:202.53049, delay:4.278062, throughput:8215
REAL_TEST step:3, travel time:688.8473021966304, q_loss:100, rewards:-1353.2253, queue:161.95645, delay:4.2494793, throughput:10407
REAL_TEST step:4, travel time:612.9577409162717, q_loss:100, rewards:-1031.4242, queue:149.04303, delay:4.221003, throughput:11324
REAL_TEST step:5, travel time:579.7468770545694, q_loss:100, rewards:-1317.1481, queue:158.31935, delay:4.2301903, throughput:12518
REAL_TEST step:6, travel time:558.8536513890517, q_loss:100, rewards:-1343.4366, queue:158.40656, delay:4.197157, throughput:12700
REAL_TEST step:7, travel time:499.41003018342235, q_loss:100, rewards:-1316.1012, queue:150.31662, delay:4.2451606, throughput:13601
REAL_TEST step:8, travel time:306.1890163934426, q_loss:100, rewards:-899.0047, queue:107.38014, delay:4.2137547, throughput:16050
REAL_TEST step:9, travel time:439.58564455928797, q_loss:100, rewards:-1201.3431, queue:139.78322, delay:4.225943, throughput:14231
REAL_TEST step:10, travel time:386.50040688212044, q_loss:100, rewards:-940.7825, queue:118.244965, delay:4.255956, throughput:14640
REAL_TEST step:11, travel time:388.74651902203703, q_loss:100, rewards:-1072.7511, queue:128.38062, delay:4.1424317, throughput:15350
REAL_TEST step:12, travel time:444.89957833999114, q_loss:100, rewards:-953.391, queue:131.5257, delay:4.2201614, throughput:14321
REAL_TEST step:13, travel time:288.6562467053242, q_loss:100, rewards:-636.23914, queue:102.02298, delay:4.175195, throughput:16718
REAL_TEST step:14, travel time:385.5539687055477, q_loss:100, rewards:-825.4922, queue:115.587654, delay:4.1944504, throughput:14680
REAL_TEST step:15, travel time:351.5682096361411, q_loss:100, rewards:-1065.3381, queue:122.92776, delay:4.2068667, throughput:15284
REAL_TEST step:16, travel time:374.1225691443388, q_loss:100, rewards:-917.5352, queue:121.54485, delay:4.204487, throughput:15445
REAL_TEST step:17, travel time:329.6491736424125, q_loss:100, rewards:-613.5789, queue:108.71834, delay:4.1990743, throughput:16052
REAL_TEST step:18, travel time:302.38753815387855, q_loss:100, rewards:-936.4112, queue:113.55132, delay:4.1367054, throughput:16671
REAL_TEST step:19, travel time:291.1573207890095, q_loss:100, rewards:-903.8396, queue:110.05053, delay:4.211971, throughput:16357
REAL_TEST step:20, travel time:288.43287399519784, q_loss:100, rewards:-887.5438, queue:106.23807, delay:4.1946564, throughput:16951
REAL_TEST step:21, travel time:171.92427541491267, q_loss:100, rewards:-511.9849, queue:80.30237, delay:4.145885, throughput:19327
REAL_TEST step:22, travel time:205.476418180903, q_loss:100, rewards:-512.5135, queue:83.99721, delay:4.153489, throughput:18040
REAL_TEST step:23, travel time:244.76357044375223, q_loss:100, rewards:-508.23636, queue:87.187195, delay:4.163909, throughput:17640
REAL_TEST step:24, travel time:181.1281561949501, q_loss:100, rewards:-431.53827, queue:78.139, delay:4.141123, throughput:18946
REAL_TEST step:25, travel time:184.3561226993865, q_loss:100, rewards:-553.68555, queue:82.48206, delay:4.1619897, throughput:18996
REAL_TEST step:26, travel time:207.46216588050314, q_loss:100, rewards:-474.30304, queue:84.57406, delay:4.1350026, throughput:18665
REAL_TEST step:27, travel time:144.4546896021526, q_loss:100, rewards:-310.6012, queue:68.29317, delay:4.133013, throughput:19837
REAL_TEST step:28, travel time:151.57045632589112, q_loss:100, rewards:-382.55713, queue:73.26913, delay:4.1143003, throughput:19230
REAL_TEST step:29, travel time:157.36472586123242, q_loss:100, rewards:-376.12082, queue:70.502304, delay:4.164543, throughput:19436
REAL_TEST step:30, travel time:154.9326387206203, q_loss:100, rewards:-410.22916, queue:74.91264, delay:4.123518, throughput:19302
REAL_TEST step:31, travel time:147.9574614740781, q_loss:100, rewards:-316.7945, queue:69.31053, delay:4.1335382, throughput:19267
REAL_TEST step:32, travel time:129.1010212398715, q_loss:100, rewards:-223.2579, queue:65.07016, delay:4.130265, throughput:19943
REAL_TEST step:33, travel time:167.0022833268558, q_loss:100, rewards:-486.03928, queue:77.88344, delay:4.143796, throughput:19170
REAL_TEST step:34, travel time:134.86482416941908, q_loss:100, rewards:-285.3377, queue:67.76283, delay:4.124859, throughput:19659
REAL_TEST step:35, travel time:140.54561795569373, q_loss:100, rewards:-323.2095, queue:69.26401, delay:4.11539, throughput:19608
REAL_TEST step:36, travel time:181.7276208474239, q_loss:100, rewards:-340.77716, queue:80.14974, delay:4.152805, throughput:18729
REAL_TEST step:37, travel time:129.5286021908061, q_loss:100, rewards:-270.9144, queue:66.73687, delay:4.1263986, throughput:20425
REAL_TEST step:38, travel time:117.69329542762378, q_loss:100, rewards:-231.93504, queue:63.10029, delay:4.1310554, throughput:20240
REAL_TEST step:39, travel time:121.68296906444517, q_loss:100, rewards:-216.28445, queue:64.10636, delay:4.123436, throughput:20437
REAL_TEST step:40, travel time:181.96597178147732, q_loss:100, rewards:-392.37256, queue:80.06363, delay:4.1456647, throughput:19149
REAL_TEST step:41, travel time:218.5694067468011, q_loss:100, rewards:-316.584, queue:80.79608, delay:4.1357465, throughput:18860
REAL_TEST step:42, travel time:129.56409166076068, q_loss:100, rewards:-257.0339, queue:66.679306, delay:4.1380854, throughput:20133
REAL_TEST step:43, travel time:122.59737470167065, q_loss:100, rewards:-221.23717, queue:64.29039, delay:4.1352534, throughput:20053
REAL_TEST step:44, travel time:127.18768273130246, q_loss:100, rewards:-234.73192, queue:65.74627, delay:4.097233, throughput:20238
REAL_TEST step:45, travel time:117.80042887776983, q_loss:100, rewards:-234.0922, queue:62.323303, delay:4.1017246, throughput:20175
REAL_TEST step:46, travel time:131.78319536819944, q_loss:100, rewards:-304.86197, queue:67.38986, delay:4.1372337, throughput:19770
REAL_TEST step:47, travel time:122.58038302523404, q_loss:100, rewards:-236.2339, queue:64.32836, delay:4.128773, throughput:20140
REAL_TEST step:48, travel time:134.4165212881324, q_loss:100, rewards:-249.42331, queue:67.53916, delay:4.1118107, throughput:20141
REAL_TEST step:49, travel time:128.88324313969636, q_loss:100, rewards:-239.10895, queue:65.05238, delay:4.173864, throughput:19946
REAL_TEST step:50, travel time:132.82577870208442, q_loss:100, rewards:-279.0775, queue:66.47298, delay:4.1619034, throughput:20309
REAL_TEST step:51, travel time:129.79096018514144, q_loss:100, rewards:-279.78915, queue:66.45097, delay:4.1299057, throughput:20163
REAL_TEST step:52, travel time:137.81316947207344, q_loss:100, rewards:-282.74142, queue:67.84835, delay:4.149964, throughput:19869
REAL_TEST step:53, travel time:127.1406308851224, q_loss:100, rewards:-251.16302, queue:65.13309, delay:4.1377077, throughput:20182
REAL_TEST step:54, travel time:135.42373992879894, q_loss:100, rewards:-252.445, queue:66.76512, delay:4.1408415, throughput:20298
REAL_TEST step:55, travel time:145.80660310231963, q_loss:100, rewards:-287.10168, queue:69.39848, delay:4.1491055, throughput:20067
REAL_TEST step:56, travel time:145.55289260120546, q_loss:100, rewards:-258.1674, queue:67.01069, delay:4.151526, throughput:19929
REAL_TEST step:57, travel time:127.39940082742879, q_loss:100, rewards:-268.7788, queue:64.65583, delay:4.1349845, throughput:20098
REAL_TEST step:58, travel time:137.21362991008044, q_loss:100, rewards:-267.07358, queue:65.43518, delay:4.1214337, throughput:20041
REAL_TEST step:59, travel time:135.4661575677086, q_loss:100, rewards:-261.8353, queue:65.727974, delay:4.161542, throughput:20074
REAL_TEST step:60, travel time:129.8700146316137, q_loss:100, rewards:-322.49417, queue:65.42458, delay:4.154061, throughput:20223
REAL_TEST step:61, travel time:119.86386395843174, q_loss:100, rewards:-268.61862, queue:62.75283, delay:4.120181, throughput:20318
REAL_TEST step:62, travel time:136.6606687515035, q_loss:100, rewards:-339.25665, queue:66.87155, delay:4.11786, throughput:19813
REAL_TEST step:63, travel time:137.40756996554816, q_loss:100, rewards:-248.13416, queue:64.485374, delay:4.127216, throughput:20196
REAL_TEST step:64, travel time:141.00943173779768, q_loss:100, rewards:-260.39667, queue:66.23584, delay:4.1372633, throughput:20207
REAL_TEST step:65, travel time:129.11589868211982, q_loss:100, rewards:-254.73976, queue:65.70329, delay:4.1733503, throughput:20485
REAL_TEST step:66, travel time:134.61977990970655, q_loss:100, rewards:-336.78857, queue:68.17516, delay:4.176027, throughput:20191
REAL_TEST step:67, travel time:124.92748181178128, q_loss:100, rewards:-254.1109, queue:62.882748, delay:4.153185, throughput:20418
