Loading cached latent encoders from pretrained/recon_baseline/presslight/tempe_16
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_16/baseline_v1_recon_baseline_s0/model/tempe_16_noise5_presslight_latent_observation -> eval real_setting=dz10
REAL_TEST step:1, travel time:1139.5658613271553, q_loss:100, rewards:-1512.1278, queue:190.99496, delay:0.5727318, throughput:6651
REAL_TEST step:2, travel time:1075.6443186413264, q_loss:100, rewards:-1424.9564, queue:184.37761, delay:0.6058233, throughput:7277
REAL_TEST step:3, travel time:876.4792027729636, q_loss:100, rewards:-1429.0742, queue:144.71042, delay:0.6134015, throughput:8501
REAL_TEST step:4, travel time:796.8185574755822, q_loss:100, rewards:-1171.4148, queue:132.754, delay:0.538123, throughput:9192
REAL_TEST step:5, travel time:565.7537673476681, q_loss:100, rewards:-1263.0618, queue:118.70868, delay:0.50865674, throughput:12703
REAL_TEST step:6, travel time:646.0771013403482, q_loss:100, rewards:-1380.1462, queue:134.26718, delay:0.54584056, throughput:11726
REAL_TEST step:7, travel time:620.5265558610347, q_loss:100, rewards:-1457.1434, queue:134.48785, delay:0.5341389, throughput:12071
REAL_TEST step:8, travel time:579.5002528764699, q_loss:100, rewards:-1485.8622, queue:126.37222, delay:0.56486094, throughput:12205
REAL_TEST step:9, travel time:837.5200815924597, q_loss:100, rewards:-1733.6185, queue:167.72534, delay:0.5743384, throughput:9615
REAL_TEST step:10, travel time:582.2369414726243, q_loss:100, rewards:-1334.1969, queue:115.77934, delay:0.5398816, throughput:12425
REAL_TEST step:11, travel time:743.944008729455, q_loss:100, rewards:-1345.9182, queue:139.90851, delay:0.5641447, throughput:10408
REAL_TEST step:12, travel time:872.8722332576617, q_loss:100, rewards:-1377.8019, queue:151.83125, delay:0.5564341, throughput:9317
REAL_TEST step:13, travel time:684.7280225306779, q_loss:100, rewards:-1272.7686, queue:130.26076, delay:0.5803755, throughput:10956
REAL_TEST step:14, travel time:786.7360183948969, q_loss:100, rewards:-1134.5068, queue:127.00347, delay:0.5732073, throughput:9523
REAL_TEST step:15, travel time:894.6177497722441, q_loss:100, rewards:-1298.6066, queue:153.07518, delay:0.5463366, throughput:8576
REAL_TEST step:16, travel time:1042.2339001732012, q_loss:100, rewards:-1338.8812, queue:172.08177, delay:0.59172904, throughput:7534
REAL_TEST step:17, travel time:1098.1859716859717, q_loss:100, rewards:-1204.7035, queue:176.64844, delay:0.58134675, throughput:7152
REAL_TEST step:18, travel time:949.4295421202996, q_loss:100, rewards:-1350.5966, queue:161.42049, delay:0.57539535, throughput:8192
REAL_TEST step:19, travel time:1236.9233131689157, q_loss:100, rewards:-1253.4485, queue:171.74219, delay:0.5900689, throughput:5682
REAL_TEST step:20, travel time:1233.2334110473457, q_loss:100, rewards:-1410.1718, queue:180.23837, delay:0.582779, throughput:5943
REAL_TEST step:21, travel time:983.9235270858047, q_loss:100, rewards:-1078.533, queue:162.24826, delay:0.54950315, throughput:7683
REAL_TEST step:22, travel time:1165.9691068425245, q_loss:100, rewards:-1176.5176, queue:164.92621, delay:0.5808432, throughput:6240
REAL_TEST step:23, travel time:1020.0703987112364, q_loss:100, rewards:-1432.1294, queue:170.75104, delay:0.5536654, throughput:7522
REAL_TEST step:24, travel time:807.3692690786582, q_loss:100, rewards:-1150.1498, queue:147.07048, delay:0.5128595, throughput:9387
REAL_TEST step:25, travel time:985.4434956535118, q_loss:100, rewards:-1401.5435, queue:171.2658, delay:0.5226911, throughput:8038
REAL_TEST step:26, travel time:697.271186440678, q_loss:100, rewards:-1309.7151, queue:143.58855, delay:0.47847205, throughput:10777
REAL_TEST step:27, travel time:1111.222690464386, q_loss:100, rewards:-1275.1682, queue:171.28403, delay:0.5256766, throughput:7275
REAL_TEST step:28, travel time:777.6197880831155, q_loss:100, rewards:-1177.2349, queue:155.73315, delay:0.48947453, throughput:10192
REAL_TEST step:29, travel time:1146.7913183008193, q_loss:100, rewards:-1289.6031, queue:173.28854, delay:0.53134865, throughput:7046
REAL_TEST step:30, travel time:919.9668071264878, q_loss:100, rewards:-1109.3657, queue:156.84062, delay:0.5080841, throughput:8537
REAL_TEST step:31, travel time:1136.0633108458744, q_loss:100, rewards:-1343.3622, queue:183.2349, delay:0.51937103, throughput:6583
REAL_TEST step:32, travel time:904.5849988771614, q_loss:100, rewards:-1191.1555, queue:167.25139, delay:0.5154867, throughput:8637
REAL_TEST step:33, travel time:1159.7265499450225, q_loss:100, rewards:-1470.3323, queue:193.32518, delay:0.5483501, throughput:6606
REAL_TEST step:34, travel time:1071.5716587448642, q_loss:100, rewards:-1288.5293, queue:187.71216, delay:0.53384405, throughput:7389
REAL_TEST step:35, travel time:1181.0667642514434, q_loss:100, rewards:-1526.0657, queue:193.1026, delay:0.5481176, throughput:6743
REAL_TEST step:36, travel time:1135.2676659528909, q_loss:100, rewards:-1462.0781, queue:188.9526, delay:0.5647346, throughput:7031
REAL_TEST step:37, travel time:1187.6022338170553, q_loss:100, rewards:-1544.5527, queue:193.98593, delay:0.55952656, throughput:6697
