Loading cached latent encoders from pretrained/vae_embedding/presslight/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_16/baseline_v1_vae_s0/model/tempe_16_noise5_presslight_latent_observation -> eval real_setting=dz20
REAL_TEST step:2, travel time:1268.6633960207141, q_loss:100, rewards:-1413.3721, queue:183.53403, delay:0.62902015, throughput:5740
REAL_TEST step:4, travel time:635.1890657620041, q_loss:100, rewards:-1230.8358, queue:122.88299, delay:0.5742253, throughput:11446
REAL_TEST step:6, travel time:579.6350315737845, q_loss:100, rewards:-1484.7274, queue:124.25087, delay:0.53312683, throughput:12353
REAL_TEST step:8, travel time:567.6951173591063, q_loss:100, rewards:-1347.2628, queue:117.32396, delay:0.51761067, throughput:12314
REAL_TEST step:10, travel time:715.185067723819, q_loss:100, rewards:-1300.2799, queue:137.53716, delay:0.5309842, throughput:10537
REAL_TEST step:12, travel time:880.7892619526535, q_loss:100, rewards:-1256.909, queue:137.05035, delay:0.5500558, throughput:8351
REAL_TEST step:14, travel time:813.2227576558371, q_loss:100, rewards:-1122.9983, queue:132.64827, delay:0.5922974, throughput:9008
REAL_TEST step:16, travel time:488.0551195254928, q_loss:100, rewards:-1104.7318, queue:102.97569, delay:0.5113507, throughput:13455
REAL_TEST step:18, travel time:485.5584566965847, q_loss:100, rewards:-721.3092, queue:96.53993, delay:0.49585834, throughput:13799
REAL_TEST step:20, travel time:843.3382978723404, q_loss:100, rewards:-1061.6401, queue:156.85834, delay:0.5284675, throughput:9399
REAL_TEST step:22, travel time:553.5420202255027, q_loss:100, rewards:-871.78265, queue:112.7033, delay:0.47270826, throughput:13314
REAL_TEST step:24, travel time:450.0827399517448, q_loss:100, rewards:-1045.0082, queue:94.1625, delay:0.44602376, throughput:13998
REAL_TEST step:26, travel time:755.6155370590567, q_loss:100, rewards:-1156.58, queue:162.66058, delay:0.48131317, throughput:10541
REAL_TEST step:28, travel time:684.4642785937397, q_loss:100, rewards:-947.69696, queue:125.3533, delay:0.48094642, throughput:10995
REAL_TEST step:30, travel time:630.6084880636605, q_loss:100, rewards:-864.7882, queue:118.20608, delay:0.47073874, throughput:11546
REAL_TEST step:32, travel time:1274.7576953433306, q_loss:100, rewards:-1320.4568, queue:200.18091, delay:0.5457992, throughput:5626
REAL_TEST step:34, travel time:538.8190528837295, q_loss:100, rewards:-653.095, queue:99.134026, delay:0.4508335, throughput:13024
REAL_TEST step:36, travel time:946.16852041563, q_loss:100, rewards:-1189.9128, queue:169.83942, delay:0.5032376, throughput:8636
REAL_TEST step:38, travel time:1100.8775286184725, q_loss:100, rewards:-1263.0874, queue:196.66129, delay:0.5328445, throughput:6970
REAL_TEST step:40, travel time:1049.3211696279182, q_loss:100, rewards:-1119.8915, queue:168.34236, delay:0.5128816, throughput:7468
REAL_TEST step:42, travel time:1259.7911918430298, q_loss:100, rewards:-1189.8097, queue:208.54427, delay:0.5463769, throughput:5800
REAL_TEST step:44, travel time:741.1885003778251, q_loss:100, rewards:-1023.60583, queue:138.60782, delay:0.47896636, throughput:10261
REAL_TEST step:46, travel time:1085.3718790012804, q_loss:100, rewards:-1190.433, queue:174.59358, delay:0.53015614, throughput:7265
REAL_TEST step:48, travel time:1105.4282742552837, q_loss:100, rewards:-1172.6312, queue:178.14272, delay:0.54521585, throughput:6690
REAL_TEST step:50, travel time:774.5097774301358, q_loss:100, rewards:-845.3689, queue:132.31683, delay:0.49988845, throughput:9621
REAL_TEST step:52, travel time:976.8529297027386, q_loss:100, rewards:-1090.8052, queue:167.39827, delay:0.5219111, throughput:7713
REAL_TEST step:54, travel time:703.64466808593, q_loss:100, rewards:-950.24585, queue:134.329, delay:0.46814737, throughput:10985
REAL_TEST step:56, travel time:894.9015622509166, q_loss:100, rewards:-1040.0363, queue:146.1835, delay:0.48742574, throughput:8391
REAL_TEST step:58, travel time:1071.161079247112, q_loss:100, rewards:-1057.7869, queue:183.48767, delay:0.5067337, throughput:7399
REAL_TEST step:60, travel time:1033.3564062226883, q_loss:100, rewards:-1048.6913, queue:157.67084, delay:0.49959487, throughput:7042
REAL_TEST step:62, travel time:1146.3567855678557, q_loss:100, rewards:-1161.9825, queue:204.70103, delay:0.50741684, throughput:6714
REAL_TEST step:64, travel time:909.1053133948457, q_loss:100, rewards:-956.90045, queue:144.75659, delay:0.47377676, throughput:8285
REAL_TEST step:66, travel time:779.9551566349877, q_loss:100, rewards:-966.92706, queue:137.52795, delay:0.47930178, throughput:10010
REAL_TEST step:68, travel time:1307.007797270955, q_loss:100, rewards:-1260.9646, queue:185.45642, delay:0.51608115, throughput:5377
REAL_TEST step:70, travel time:795.4237075280821, q_loss:100, rewards:-863.2722, queue:148.09375, delay:0.46964434, throughput:10115
REAL_TEST step:72, travel time:1273.6812296309345, q_loss:100, rewards:-1275.7042, queue:182.98212, delay:0.528856, throughput:5772
REAL_TEST step:74, travel time:1006.2844426623898, q_loss:100, rewards:-1108.5525, queue:163.43263, delay:0.4897619, throughput:7513
REAL_TEST step:76, travel time:937.4459337349398, q_loss:100, rewards:-1084.3528, queue:151.22673, delay:0.46425045, throughput:8426
REAL_TEST step:78, travel time:1022.198641630044, q_loss:100, rewards:-974.4849, queue:176.56857, delay:0.49781096, throughput:7457
REAL_TEST step:80, travel time:1068.4017432646592, q_loss:100, rewards:-1087.437, queue:165.73021, delay:0.51403147, throughput:7504
REAL_TEST step:82, travel time:1155.7936929460582, q_loss:100, rewards:-1039.0098, queue:194.80573, delay:0.49759305, throughput:6550
REAL_TEST step:84, travel time:1218.9952347334981, q_loss:100, rewards:-1110.5321, queue:181.70955, delay:0.5111113, throughput:6011
REAL_TEST step:86, travel time:954.9582005765437, q_loss:100, rewards:-936.0421, queue:171.47014, delay:0.4924458, throughput:8639
REAL_TEST step:88, travel time:1289.2628870715796, q_loss:100, rewards:-1019.9657, queue:184.62604, delay:0.52198577, throughput:5425
REAL_TEST step:90, travel time:1222.5662124388539, q_loss:100, rewards:-1097.1306, queue:192.57431, delay:0.5209321, throughput:6014
REAL_TEST step:92, travel time:841.3040589867134, q_loss:100, rewards:-762.65, queue:144.05399, delay:0.4707399, throughput:9105
REAL_TEST step:94, travel time:1136.6520665239584, q_loss:100, rewards:-1010.2546, queue:188.1434, delay:0.5385087, throughput:6630
