Loading cached latent encoders from pretrained/vae_embedding/presslight/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_16/baseline_v1_vae_s0/model/tempe_16_noise5_presslight_latent_observation -> eval real_setting=sensor5
REAL_TEST step:2, travel time:1151.0393470790377, q_loss:100, rewards:-1230.7625, queue:167.61076, delay:0.57785773, throughput:6418
REAL_TEST step:4, travel time:659.8940545373267, q_loss:100, rewards:-1288.5299, queue:127.272224, delay:0.54645, throughput:11780
REAL_TEST step:6, travel time:640.1468102947816, q_loss:100, rewards:-1337.3253, queue:121.99288, delay:0.5220491, throughput:11430
REAL_TEST step:8, travel time:796.6040202417768, q_loss:100, rewards:-1395.3358, queue:140.67882, delay:0.49950138, throughput:9711
REAL_TEST step:10, travel time:572.2141085365116, q_loss:100, rewards:-1159.8407, queue:113.467705, delay:0.49039486, throughput:12615
REAL_TEST step:12, travel time:694.4958342084996, q_loss:100, rewards:-1075.4011, queue:118.510414, delay:0.55886227, throughput:10718
REAL_TEST step:14, travel time:468.6105769230769, q_loss:100, rewards:-921.6754, queue:87.6809, delay:0.516207, throughput:13689
REAL_TEST step:16, travel time:362.3529411764706, q_loss:100, rewards:-937.7144, queue:69.142365, delay:0.47688752, throughput:14809
REAL_TEST step:18, travel time:347.6790682450494, q_loss:100, rewards:-747.4293, queue:67.81198, delay:0.4676914, throughput:15712
REAL_TEST step:20, travel time:467.05894001164825, q_loss:100, rewards:-808.2607, queue:86.43073, delay:0.47993428, throughput:14137
REAL_TEST step:22, travel time:341.10568841169135, q_loss:100, rewards:-728.5236, queue:68.458855, delay:0.4324947, throughput:15752
REAL_TEST step:24, travel time:315.6294345121336, q_loss:100, rewards:-828.49915, queue:57.436977, delay:0.4590472, throughput:15739
REAL_TEST step:26, travel time:289.182467919216, q_loss:100, rewards:-843.24976, queue:61.567535, delay:0.41764522, throughput:16610
REAL_TEST step:28, travel time:224.17484270295157, q_loss:100, rewards:-777.72363, queue:42.156944, delay:0.38897213, throughput:17959
REAL_TEST step:30, travel time:228.11841335672887, q_loss:100, rewards:-664.3097, queue:45.537846, delay:0.39487898, throughput:17135
REAL_TEST step:32, travel time:274.1286009956928, q_loss:100, rewards:-519.2708, queue:43.053993, delay:0.3722986, throughput:16222
REAL_TEST step:34, travel time:186.51663365330896, q_loss:100, rewards:-535.9774, queue:36.664238, delay:0.35867116, throughput:18173
REAL_TEST step:36, travel time:361.1609617632326, q_loss:100, rewards:-737.9308, queue:68.70451, delay:0.41592017, throughput:15352
REAL_TEST step:38, travel time:236.49286258572516, q_loss:100, rewards:-511.6948, queue:43.98316, delay:0.37994596, throughput:17845
REAL_TEST step:40, travel time:260.6864288303215, q_loss:100, rewards:-639.0981, queue:51.042534, delay:0.38513386, throughput:17362
REAL_TEST step:42, travel time:327.4797949824656, q_loss:100, rewards:-769.1663, queue:72.36962, delay:0.40925887, throughput:15756
REAL_TEST step:44, travel time:253.4509931455446, q_loss:100, rewards:-780.4308, queue:57.563023, delay:0.3366853, throughput:17855
REAL_TEST step:46, travel time:280.8762962962963, q_loss:100, rewards:-721.09503, queue:51.440277, delay:0.37470475, throughput:16930
REAL_TEST step:48, travel time:310.7156344019089, q_loss:100, rewards:-767.6573, queue:63.14132, delay:0.4144308, throughput:16578
REAL_TEST step:50, travel time:347.67069980379335, q_loss:100, rewards:-798.25836, queue:71.098434, delay:0.42834482, throughput:16199
REAL_TEST step:52, travel time:454.87357819905213, q_loss:100, rewards:-1003.2744, queue:76.63698, delay:0.42629853, throughput:14049
REAL_TEST step:54, travel time:338.55435018442176, q_loss:100, rewards:-983.83167, queue:74.69323, delay:0.42368016, throughput:16056
REAL_TEST step:56, travel time:212.3966304678778, q_loss:100, rewards:-504.79657, queue:41.271526, delay:0.37315205, throughput:18060
REAL_TEST step:58, travel time:217.0240838783349, q_loss:100, rewards:-557.22363, queue:41.40729, delay:0.36588475, throughput:17736
REAL_TEST step:60, travel time:463.4369006295229, q_loss:100, rewards:-1012.62006, queue:92.011635, delay:0.3821065, throughput:13952
REAL_TEST step:62, travel time:395.4079333986288, q_loss:100, rewards:-768.35046, queue:77.17986, delay:0.38317388, throughput:15397
REAL_TEST step:64, travel time:299.22047078604453, q_loss:100, rewards:-719.8084, queue:60.790974, delay:0.37135956, throughput:17106
REAL_TEST step:66, travel time:289.95593327038085, q_loss:100, rewards:-736.26, queue:59.478645, delay:0.3524499, throughput:17117
REAL_TEST step:68, travel time:331.7044919730168, q_loss:100, rewards:-750.1345, queue:65.769966, delay:0.35087737, throughput:16889
REAL_TEST step:70, travel time:290.18398724739035, q_loss:100, rewards:-711.77594, queue:63.277603, delay:0.38062888, throughput:17440
REAL_TEST step:72, travel time:410.4411414307596, q_loss:100, rewards:-895.98627, queue:81.42049, delay:0.44228476, throughput:14878
REAL_TEST step:74, travel time:202.96606356500095, q_loss:100, rewards:-497.49475, queue:36.460068, delay:0.3671579, throughput:19302
REAL_TEST step:76, travel time:225.8705726742762, q_loss:100, rewards:-479.8637, queue:36.57934, delay:0.34051874, throughput:18947
REAL_TEST step:78, travel time:400.166797752809, q_loss:100, rewards:-809.8207, queue:77.66302, delay:0.3655352, throughput:15079
REAL_TEST step:80, travel time:268.6147329470763, q_loss:100, rewards:-512.03723, queue:45.27448, delay:0.34818843, throughput:18435
REAL_TEST step:82, travel time:319.7956459231875, q_loss:100, rewards:-727.91907, queue:61.558853, delay:0.34666666, throughput:16813
REAL_TEST step:84, travel time:148.2346148362876, q_loss:100, rewards:-234.53168, queue:19.417013, delay:0.28511482, throughput:20218
REAL_TEST step:86, travel time:161.05137819213618, q_loss:100, rewards:-277.38055, queue:18.254515, delay:0.29778433, throughput:18717
REAL_TEST step:88, travel time:215.6551268240133, q_loss:100, rewards:-383.29526, queue:37.940624, delay:0.3316065, throughput:18761
REAL_TEST step:90, travel time:157.15368181170774, q_loss:100, rewards:-358.3997, queue:26.986458, delay:0.34667015, throughput:20049
REAL_TEST step:92, travel time:171.11097393038605, q_loss:100, rewards:-329.54358, queue:27.104687, delay:0.29951504, throughput:19707
REAL_TEST step:94, travel time:210.3665207339269, q_loss:100, rewards:-374.3634, queue:32.32448, delay:0.35429072, throughput:18604
REAL_TEST step:96, travel time:115.39795196073806, q_loss:100, rewards:-222.65532, queue:12.209375, delay:0.30117807, throughput:20511
REAL_TEST step:98, travel time:194.2020523196994, q_loss:100, rewards:-369.16437, queue:29.749653, delay:0.34739733, throughput:18937
REAL_TEST step:100, travel time:153.49767860526813, q_loss:100, rewards:-269.24643, queue:22.290972, delay:0.360458, throughput:19962
REAL_TEST step:102, travel time:149.37283641097343, q_loss:100, rewards:-305.5361, queue:23.383854, delay:0.33270788, throughput:19548
REAL_TEST step:104, travel time:139.05612004892276, q_loss:100, rewards:-259.70227, queue:19.702951, delay:0.30923876, throughput:20207
REAL_TEST step:106, travel time:150.47835933568194, q_loss:100, rewards:-336.21536, queue:21.14514, delay:0.33032712, throughput:18902
REAL_TEST step:108, travel time:179.95754125253305, q_loss:100, rewards:-284.04172, queue:27.588194, delay:0.33122423, throughput:19816
REAL_TEST step:110, travel time:154.8108544048579, q_loss:100, rewards:-205.41612, queue:20.894966, delay:0.3176849, throughput:19703
REAL_TEST step:112, travel time:211.82832386919912, q_loss:100, rewards:-319.05676, queue:36.659897, delay:0.34702814, throughput:18796
REAL_TEST step:114, travel time:344.6519392354349, q_loss:100, rewards:-487.18582, queue:56.053646, delay:0.3563061, throughput:15562
REAL_TEST step:116, travel time:145.7187903727451, q_loss:100, rewards:-272.34747, queue:21.27552, delay:0.34636286, throughput:20002
REAL_TEST step:118, travel time:225.82502913752913, q_loss:100, rewards:-466.78293, queue:44.436977, delay:0.37472594, throughput:18687
REAL_TEST step:120, travel time:141.30831486655748, q_loss:100, rewards:-295.83582, queue:19.614758, delay:0.318084, throughput:19919
REAL_TEST step:122, travel time:149.361239505707, q_loss:100, rewards:-347.83633, queue:22.066319, delay:0.34307492, throughput:20154
REAL_TEST step:124, travel time:268.60353416181636, q_loss:100, rewards:-587.0456, queue:55.758682, delay:0.37721854, throughput:17045
REAL_TEST step:126, travel time:177.84897900626464, q_loss:100, rewards:-558.5578, queue:29.963888, delay:0.30297935, throughput:19442
REAL_TEST step:128, travel time:127.3824648780717, q_loss:100, rewards:-239.81393, queue:17.595312, delay:0.32518926, throughput:20406
REAL_TEST step:130, travel time:117.87343171657933, q_loss:100, rewards:-235.14752, queue:14.317882, delay:0.29647088, throughput:19834
REAL_TEST step:132, travel time:160.99349326975613, q_loss:100, rewards:-417.86633, queue:23.25868, delay:0.33229378, throughput:19184
REAL_TEST step:134, travel time:125.82015281757403, q_loss:100, rewards:-204.10948, queue:14.974479, delay:0.3401577, throughput:20158
REAL_TEST step:136, travel time:196.67371025099212, q_loss:100, rewards:-400.47113, queue:30.932985, delay:0.37779015, throughput:18150
REAL_TEST step:138, travel time:170.65249351398097, q_loss:100, rewards:-269.48892, queue:24.655382, delay:0.33916107, throughput:19388
REAL_TEST step:140, travel time:202.51678165689682, q_loss:100, rewards:-424.6803, queue:35.33993, delay:0.36222148, throughput:17988
REAL_TEST step:142, travel time:304.28252250321475, q_loss:100, rewards:-703.70807, queue:60.343575, delay:0.38848817, throughput:16537
REAL_TEST step:144, travel time:172.710447172509, q_loss:100, rewards:-284.83063, queue:21.64236, delay:0.33824214, throughput:18596
REAL_TEST step:146, travel time:142.90168404937327, q_loss:100, rewards:-237.31667, queue:20.289236, delay:0.36483654, throughput:19638
REAL_TEST step:148, travel time:223.63449792328365, q_loss:100, rewards:-432.8308, queue:40.0375, delay:0.36782855, throughput:18851
REAL_TEST step:150, travel time:154.3080998520357, q_loss:100, rewards:-333.80887, queue:24.783333, delay:0.37287936, throughput:19996
REAL_TEST step:152, travel time:280.90950773416637, q_loss:100, rewards:-717.198, queue:58.798958, delay:0.3766014, throughput:17892
REAL_TEST step:154, travel time:376.5203622454719, q_loss:100, rewards:-585.9044, queue:67.2316, delay:0.38695875, throughput:15112
REAL_TEST step:156, travel time:229.76578855980551, q_loss:100, rewards:-472.4111, queue:41.01875, delay:0.3923138, throughput:18640
REAL_TEST step:158, travel time:199.08562958643145, q_loss:100, rewards:-497.7282, queue:35.441494, delay:0.3573774, throughput:18798
REAL_TEST step:160, travel time:151.81421025079712, q_loss:100, rewards:-326.0409, queue:20.599133, delay:0.33971897, throughput:19968
REAL_TEST step:162, travel time:169.83034577333726, q_loss:100, rewards:-417.24323, queue:31.198784, delay:0.3520091, throughput:19378
REAL_TEST step:164, travel time:214.45992233396396, q_loss:100, rewards:-523.98804, queue:44.396526, delay:0.34598288, throughput:18594
REAL_TEST step:166, travel time:370.273366241013, q_loss:100, rewards:-729.3281, queue:66.692535, delay:0.3816703, throughput:16064
REAL_TEST step:168, travel time:353.56923245254114, q_loss:100, rewards:-696.7884, queue:68.55191, delay:0.37974787, throughput:15493
REAL_TEST step:170, travel time:158.7453278885419, q_loss:100, rewards:-251.50415, queue:24.659895, delay:0.32444778, throughput:19591
REAL_TEST step:172, travel time:161.26596504595457, q_loss:100, rewards:-319.77136, queue:23.61389, delay:0.3244178, throughput:19985
REAL_TEST step:174, travel time:194.84129012471888, q_loss:100, rewards:-341.35504, queue:29.947222, delay:0.3494556, throughput:18219
REAL_TEST step:176, travel time:244.13617744030373, q_loss:100, rewards:-538.696, queue:44.02552, delay:0.3707194, throughput:18116
REAL_TEST step:178, travel time:210.42360285374554, q_loss:100, rewards:-393.81406, queue:34.184376, delay:0.35410935, throughput:18700
REAL_TEST step:180, travel time:233.7641747376917, q_loss:100, rewards:-452.5948, queue:44.803818, delay:0.3572537, throughput:18198
REAL_TEST step:182, travel time:323.0586508698901, q_loss:100, rewards:-560.1838, queue:62.894966, delay:0.363472, throughput:16319
REAL_TEST step:184, travel time:425.6481012658228, q_loss:100, rewards:-675.08356, queue:83.329865, delay:0.4256366, throughput:14646
REAL_TEST step:186, travel time:169.32733865830352, q_loss:100, rewards:-316.7933, queue:30.847918, delay:0.3222639, throughput:19196
REAL_TEST step:188, travel time:292.29189601613166, q_loss:100, rewards:-526.7752, queue:59.750523, delay:0.34133196, throughput:16302
REAL_TEST step:190, travel time:321.10837311977, q_loss:100, rewards:-649.5315, queue:54.70156, delay:0.38687024, throughput:17434
REAL_TEST step:192, travel time:363.429769842977, q_loss:100, rewards:-628.7486, queue:67.89948, delay:0.37515903, throughput:15973
REAL_TEST step:194, travel time:244.58598039718788, q_loss:100, rewards:-382.11813, queue:42.93854, delay:0.3670083, throughput:17322
REAL_TEST step:196, travel time:381.02188857724246, q_loss:100, rewards:-641.3098, queue:70.083855, delay:0.41475186, throughput:15067
REAL_TEST step:198, travel time:365.35855578007016, q_loss:100, rewards:-632.17523, queue:73.14809, delay:0.3956117, throughput:15969
Total time taken: 6696.951620578766
