Loading cached latent encoders from pretrained/vae_embedding/presslight/tempe_16
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_16/baseline_v1_vae_s0/model/tempe_16_noise5_presslight_latent_observation -> eval real_setting=combine4
REAL_TEST step:2, travel time:700.6515080271378, q_loss:100, rewards:-977.40216, queue:104.42334, delay:1.7820603, throughput:11050
REAL_TEST step:4, travel time:511.7096179026306, q_loss:100, rewards:-1058.1805, queue:98.80826, delay:1.7901157, throughput:13465
REAL_TEST step:6, travel time:392.1721262976709, q_loss:100, rewards:-1001.09235, queue:79.86181, delay:1.6463913, throughput:15583
REAL_TEST step:8, travel time:497.57437522420184, q_loss:100, rewards:-1215.369, queue:98.95448, delay:1.7062663, throughput:13466
REAL_TEST step:10, travel time:376.2709013445471, q_loss:100, rewards:-1033.8262, queue:65.25217, delay:1.7046384, throughput:15442
REAL_TEST step:12, travel time:616.4545877969259, q_loss:100, rewards:-975.3175, queue:101.567825, delay:1.6681511, throughput:11475
REAL_TEST step:14, travel time:469.1014167650531, q_loss:100, rewards:-915.6042, queue:81.432205, delay:1.6450083, throughput:13910
REAL_TEST step:16, travel time:274.8650991440026, q_loss:100, rewards:-649.90967, queue:50.37716, delay:1.6161574, throughput:16526
REAL_TEST step:18, travel time:293.4820267583687, q_loss:100, rewards:-610.06976, queue:55.311142, delay:1.6635525, throughput:16538
REAL_TEST step:20, travel time:433.0574712643678, q_loss:100, rewards:-738.63214, queue:81.37608, delay:1.6808491, throughput:14758
REAL_TEST step:22, travel time:312.006196746708, q_loss:100, rewards:-527.60254, queue:55.471535, delay:1.6696371, throughput:16914
REAL_TEST step:24, travel time:267.3106044538706, q_loss:100, rewards:-730.2995, queue:53.091396, delay:1.6403155, throughput:17029
REAL_TEST step:26, travel time:348.8303869246164, q_loss:100, rewards:-848.5, queue:63.73165, delay:1.6096995, throughput:15531
REAL_TEST step:28, travel time:280.42221624529316, q_loss:100, rewards:-685.0086, queue:51.112057, delay:1.5759076, throughput:16630
REAL_TEST step:30, travel time:321.89490295092315, q_loss:100, rewards:-774.9675, queue:56.80204, delay:1.6495794, throughput:16645
REAL_TEST step:32, travel time:363.0095570047223, q_loss:100, rewards:-719.40515, queue:56.240982, delay:1.6046431, throughput:15320
REAL_TEST step:34, travel time:280.9599379546427, q_loss:100, rewards:-430.7347, queue:45.59243, delay:1.6480752, throughput:16723
REAL_TEST step:36, travel time:276.4118075422627, q_loss:100, rewards:-586.373, queue:52.902573, delay:1.5225284, throughput:17304
REAL_TEST step:38, travel time:411.6462577622835, q_loss:100, rewards:-601.72125, queue:80.855675, delay:1.761203, throughput:15501
REAL_TEST step:40, travel time:341.747436101812, q_loss:100, rewards:-591.66, queue:70.529045, delay:1.711605, throughput:16461
REAL_TEST step:42, travel time:342.7803443015908, q_loss:100, rewards:-651.3446, queue:76.62206, delay:1.7006795, throughput:15990
REAL_TEST step:44, travel time:395.6981206171108, q_loss:100, rewards:-567.40186, queue:63.012672, delay:1.5664871, throughput:15097
REAL_TEST step:46, travel time:283.423000269324, q_loss:100, rewards:-648.89294, queue:45.149002, delay:1.4829566, throughput:16651
REAL_TEST step:48, travel time:305.80272965879266, q_loss:100, rewards:-583.4301, queue:55.68941, delay:1.6988683, throughput:16791
REAL_TEST step:50, travel time:303.5603539635439, q_loss:100, rewards:-510.6864, queue:56.75959, delay:1.5867808, throughput:16833
REAL_TEST step:52, travel time:358.35840776498526, q_loss:100, rewards:-634.1816, queue:69.56569, delay:1.5803708, throughput:16762
REAL_TEST step:54, travel time:420.65277248734833, q_loss:100, rewards:-881.11304, queue:86.91969, delay:1.651495, throughput:15525
REAL_TEST step:56, travel time:477.9042754908557, q_loss:100, rewards:-700.4047, queue:76.38462, delay:1.6465033, throughput:13509
REAL_TEST step:58, travel time:437.2505600358423, q_loss:100, rewards:-768.5982, queue:78.77703, delay:1.7332265, throughput:14980
