Loading cached latent encoders from pretrained/atc/presslight/tempe_1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_1x1/baseline_v1_atc_s0/model/tempe_1x1_noise5_presslight_latent_observation -> eval real_setting=dz100
REAL_TEST step:2, travel time:1313.5112391930836, q_loss:100, rewards:-622.0243, queue:597.41943, delay:0.76376784, throughput:624
REAL_TEST step:4, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:413.05276, delay:0.7330412, throughput:806
REAL_TEST step:6, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:651.33057, delay:0.76152635, throughput:293
REAL_TEST step:8, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:413.05276, delay:0.7330412, throughput:806
REAL_TEST step:10, travel time:1073.9166119500985, q_loss:100, rewards:-438.46957, queue:412.09723, delay:0.73130834, throughput:807
REAL_TEST step:12, travel time:1200.7550886408405, q_loss:100, rewards:-496.10938, queue:470.91388, delay:0.7500937, throughput:654
REAL_TEST step:14, travel time:1204.0753993610224, q_loss:100, rewards:-511.7177, queue:486.1861, delay:0.7495493, throughput:662
REAL_TEST step:16, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:538.4472, delay:0.76202315, throughput:738
REAL_TEST step:18, travel time:913.1525423728814, q_loss:100, rewards:-386.1623, queue:358.03888, delay:0.7200737, throughput:917
REAL_TEST step:20, travel time:1251.6871827411167, q_loss:100, rewards:-533.2096, queue:510.87778, delay:0.71091145, throughput:737
REAL_TEST step:22, travel time:1219.0031036623216, q_loss:100, rewards:-530.50183, queue:507.7389, delay:0.7099443, throughput:751
REAL_TEST step:24, travel time:984.4540155440415, q_loss:100, rewards:-405.3461, queue:378.24167, delay:0.719221, throughput:861
REAL_TEST step:26, travel time:1029.787622149837, q_loss:100, rewards:-422.7214, queue:395.98056, delay:0.7258246, throughput:834
REAL_TEST step:28, travel time:1046.1185667752443, q_loss:100, rewards:-429.86697, queue:403.19724, delay:0.7314188, throughput:825
REAL_TEST step:30, travel time:752.5809523809523, q_loss:100, rewards:-345.82312, queue:314.25278, delay:0.6919194, throughput:1413
REAL_TEST step:32, travel time:364.69367485624673, q_loss:100, rewards:-162.83307, queue:126.611115, delay:0.57874715, throughput:1612
REAL_TEST step:34, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:651.33057, delay:0.76152635, throughput:293
REAL_TEST step:36, travel time:1296.3311214333112, q_loss:100, rewards:-531.8788, queue:509.9639, delay:0.71847916, throughput:527
REAL_TEST step:38, travel time:1180.8837820091924, q_loss:100, rewards:-487.57245, queue:463.9861, delay:0.7251244, throughput:597
REAL_TEST step:40, travel time:1263.3677233429394, q_loss:100, rewards:-596.6341, queue:571.9694, delay:0.7126328, throughput:672
REAL_TEST step:42, travel time:1037.4806303348655, q_loss:100, rewards:-424.7447, queue:400.91388, delay:0.6279718, throughput:696
REAL_TEST step:44, travel time:1311.7137229152988, q_loss:100, rewards:-544.3896, queue:519.96387, delay:0.75734544, throughput:598
REAL_TEST step:46, travel time:1501.1782894736841, q_loss:100, rewards:-622.5381, queue:602.1139, delay:0.7459376, throughput:549
REAL_TEST step:48, travel time:1079.7938682322244, q_loss:100, rewards:-445.96277, queue:420.45834, delay:0.7153668, throughput:750
REAL_TEST step:50, travel time:1924.0339483394835, q_loss:100, rewards:-721.3887, queue:704.9361, delay:0.7498769, throughput:171
REAL_TEST step:52, travel time:1109.996738421396, q_loss:100, rewards:-459.20218, queue:436.33057, delay:0.6625904, throughput:653
