Loading cached latent encoders from pretrained/atc/presslight/tempe_1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_1x1/baseline_v1_atc_s0/model/tempe_1x1_noise5_presslight_latent_observation -> eval real_setting=sensor70
REAL_TEST step:2, travel time:1313.5112391930836, q_loss:100, rewards:-622.0243, queue:288.16388, delay:0.31918, throughput:624
REAL_TEST step:4, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:129.33888, delay:0.21459614, throughput:806
REAL_TEST step:6, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:277.325, delay:0.36351788, throughput:293
REAL_TEST step:8, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:175.99722, delay:0.26469794, throughput:806
REAL_TEST step:10, travel time:1066.6618516086671, q_loss:100, rewards:-435.29572, queue:185.31389, delay:0.26573685, throughput:812
REAL_TEST step:12, travel time:1071.7708470124753, q_loss:100, rewards:-437.54514, queue:186.9, delay:0.3418898, throughput:808
REAL_TEST step:14, travel time:1216.4465174129352, q_loss:100, rewards:-525.67993, queue:195.11667, delay:0.2730413, throughput:971
REAL_TEST step:16, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:234.11667, delay:0.35983846, throughput:738
REAL_TEST step:18, travel time:548.8787245164663, q_loss:100, rewards:-265.24667, queue:146.44167, delay:0.39095455, throughput:1374
REAL_TEST step:20, travel time:995.463976945245, q_loss:100, rewards:-463.5654, queue:133.36389, delay:0.19123489, throughput:866
REAL_TEST step:22, travel time:325.8964976476738, q_loss:100, rewards:-141.48056, queue:2.0722222, delay:0.11244714, throughput:1651
REAL_TEST step:24, travel time:561.0956612650288, q_loss:100, rewards:-275.84726, queue:66.98889, delay:0.24941237, throughput:1182
REAL_TEST step:26, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:103.76111, delay:0.27331635, throughput:806
REAL_TEST step:28, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:103.10833, delay:0.30658084, throughput:806
REAL_TEST step:30, travel time:1693.7977695167285, q_loss:100, rewards:-624.70636, queue:0.0, delay:0.019317498, throughput:380
REAL_TEST step:32, travel time:1313.5112391930836, q_loss:100, rewards:-622.0243, queue:278.18332, delay:0.2397903, throughput:624
REAL_TEST step:34, travel time:1185.4509466437178, q_loss:100, rewards:-560.67725, queue:145.71388, delay:0.2175331, throughput:744
REAL_TEST step:36, travel time:1238.613263296126, q_loss:100, rewards:-508.0008, queue:105.24722, delay:0.18220259, throughput:812
REAL_TEST step:38, travel time:495.2838473601673, q_loss:100, rewards:-232.95424, queue:43.14722, delay:0.17902501, throughput:1573
REAL_TEST step:40, travel time:2020.5141579731744, q_loss:100, rewards:-751.6937, queue:226.51666, delay:0.28466836, throughput:89
REAL_TEST step:42, travel time:773.3319393622583, q_loss:100, rewards:-391.66537, queue:159.13889, delay:0.27261108, throughput:1031
REAL_TEST step:44, travel time:990.8369053842133, q_loss:100, rewards:-511.68332, queue:227.225, delay:0.39156872, throughput:834
REAL_TEST step:46, travel time:801.426092160383, q_loss:100, rewards:-351.33032, queue:202.31667, delay:0.3480832, throughput:1066
REAL_TEST step:48, travel time:1200.0282894736843, q_loss:100, rewards:-494.41403, queue:68.077774, delay:0.24490242, throughput:679
REAL_TEST step:50, travel time:1098.5147734734078, q_loss:100, rewards:-447.13477, queue:118.675, delay:0.27170688, throughput:895
REAL_TEST step:52, travel time:1061.3847669074196, q_loss:100, rewards:-433.04166, queue:76.755554, delay:0.16963556, throughput:813
REAL_TEST step:54, travel time:1185.9986842105263, q_loss:100, rewards:-484.95767, queue:142.80556, delay:0.22557223, throughput:775
REAL_TEST step:56, travel time:1188.7875647668393, q_loss:100, rewards:-558.3368, queue:64.41944, delay:0.15473533, throughput:819
REAL_TEST step:58, travel time:2020.5141579731744, q_loss:100, rewards:-751.6937, queue:242.79445, delay:0.2524986, throughput:89
REAL_TEST step:60, travel time:1237.608845491097, q_loss:100, rewards:-583.32306, queue:59.238888, delay:0.12107146, throughput:835
REAL_TEST step:62, travel time:940.1490479317138, q_loss:100, rewards:-379.90192, queue:47.305557, delay:0.14427082, throughput:896
REAL_TEST step:64, travel time:654.7944269190326, q_loss:100, rewards:-321.499, queue:186.58055, delay:0.38973063, throughput:1250
REAL_TEST step:66, travel time:1316.6270967741937, q_loss:100, rewards:-554.539, queue:129.43611, delay:0.19289172, throughput:610
REAL_TEST step:68, travel time:629.0044444444444, q_loss:100, rewards:-291.0872, queue:173.575, delay:0.333907, throughput:1208
REAL_TEST step:70, travel time:589.2195504443283, q_loss:100, rewards:-284.62976, queue:78.236115, delay:0.31875733, throughput:1468
REAL_TEST step:72, travel time:1471.0492264416316, q_loss:100, rewards:-571.53156, queue:99.75, delay:0.1494092, throughput:458
REAL_TEST step:74, travel time:1039.5341757610568, q_loss:100, rewards:-485.8393, queue:10.422222, delay:0.11484527, throughput:908
REAL_TEST step:76, travel time:843.6744318181818, q_loss:100, rewards:-390.2182, queue:47.461113, delay:0.17739654, throughput:1151
REAL_TEST step:78, travel time:479.99372713016203, q_loss:100, rewards:-226.76747, queue:50.663887, delay:0.19634765, throughput:1470
REAL_TEST step:80, travel time:1533.4229747675963, q_loss:100, rewards:-633.9485, queue:84.16111, delay:0.11142851, throughput:410
REAL_TEST step:82, travel time:538.1918452692107, q_loss:100, rewards:-259.35788, queue:123.60555, delay:0.36712247, throughput:1385
REAL_TEST step:84, travel time:581.5133298484056, q_loss:100, rewards:-283.7559, queue:156.58333, delay:0.43007672, throughput:1316
REAL_TEST step:86, travel time:1870.9604240282686, q_loss:100, rewards:-729.74695, queue:162.76111, delay:0.20934351, throughput:271
REAL_TEST step:88, travel time:1044.7655942219303, q_loss:100, rewards:-425.8085, queue:84.61389, delay:0.29674765, throughput:822
REAL_TEST step:90, travel time:634.3388520971303, q_loss:100, rewards:-294.29898, queue:88.60555, delay:0.21493953, throughput:1291
REAL_TEST step:92, travel time:751.5133185349612, q_loss:100, rewards:-349.9752, queue:49.216667, delay:0.19819741, throughput:1362
REAL_TEST step:94, travel time:1073.8864084044649, q_loss:100, rewards:-438.4562, queue:92.73055, delay:0.19791348, throughput:807
REAL_TEST step:96, travel time:1938.0131675201171, q_loss:100, rewards:-733.6717, queue:318.28888, delay:0.2749442, throughput:126
REAL_TEST step:98, travel time:950.0057240984545, q_loss:100, rewards:-442.7611, queue:122.925, delay:0.26111367, throughput:938
REAL_TEST step:100, travel time:1036.758486366166, q_loss:100, rewards:-502.62384, queue:117.583336, delay:0.21354339, throughput:823
REAL_TEST step:102, travel time:1130.257601835915, q_loss:100, rewards:-532.90344, queue:77.34722, delay:0.16720486, throughput:793
REAL_TEST step:104, travel time:643.3653946680606, q_loss:100, rewards:-320.77783, queue:141.43333, delay:0.25061926, throughput:1104
REAL_TEST step:106, travel time:506.3612127548353, q_loss:100, rewards:-238.9909, queue:45.025, delay:0.16825993, throughput:1561
REAL_TEST step:108, travel time:549.855201254574, q_loss:100, rewards:-266.76498, queue:35.975, delay:0.10590566, throughput:1360
REAL_TEST step:110, travel time:801.3644123440578, q_loss:100, rewards:-318.36438, queue:10.075, delay:0.13557145, throughput:1044
REAL_TEST step:112, travel time:2020.5141579731744, q_loss:100, rewards:-751.6937, queue:157.025, delay:0.2055254, throughput:89
REAL_TEST step:114, travel time:1048.74130006566, q_loss:100, rewards:-427.49313, queue:143.39722, delay:0.3757216, throughput:822
REAL_TEST step:116, travel time:929.766447368421, q_loss:100, rewards:-374.61588, queue:0.030555556, delay:0.0030153268, throughput:901
REAL_TEST step:118, travel time:1753.8514084507042, q_loss:100, rewards:-685.203, queue:52.491665, delay:0.14297369, throughput:359
REAL_TEST step:120, travel time:524.5342394145322, q_loss:100, rewards:-251.3464, queue:101.41111, delay:0.28679955, throughput:1396
REAL_TEST step:122, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:50.39722, delay:0.16873436, throughput:806
REAL_TEST step:124, travel time:1311.7137229152988, q_loss:100, rewards:-544.3896, queue:73.333336, delay:0.11191, throughput:598
REAL_TEST step:126, travel time:919.2375458835868, q_loss:100, rewards:-470.69327, queue:162.13889, delay:0.20868333, throughput:906
REAL_TEST step:128, travel time:924.6327272727273, q_loss:100, rewards:-402.64175, queue:102.833336, delay:0.22360554, throughput:1064
REAL_TEST step:130, travel time:477.60742289597493, q_loss:100, rewards:-225.57367, queue:65.397224, delay:0.18904564, throughput:1459
REAL_TEST step:132, travel time:659.9425014819205, q_loss:100, rewards:-284.42612, queue:26.602777, delay:0.1679896, throughput:1263
REAL_TEST step:134, travel time:1020.7511490479317, q_loss:100, rewards:-415.29102, queue:98.33889, delay:0.12785201, throughput:841
REAL_TEST step:136, travel time:304.66858337689496, q_loss:100, rewards:-128.75392, queue:24.802778, delay:0.20444985, throughput:1713
REAL_TEST step:138, travel time:1146.1899549259497, q_loss:100, rewards:-479.73938, queue:90.86389, delay:0.20271382, throughput:780
REAL_TEST step:140, travel time:244.91740721380032, q_loss:100, rewards:-96.56082, queue:23.852777, delay:0.27354217, throughput:1719
REAL_TEST step:142, travel time:690.5910693301997, q_loss:100, rewards:-299.40817, queue:82.13611, delay:0.32184216, throughput:1364
REAL_TEST step:144, travel time:1095.4963887065003, q_loss:100, rewards:-451.10715, queue:194.94167, delay:0.2822949, throughput:630
REAL_TEST step:146, travel time:1334.9788732394366, q_loss:100, rewards:-570.80646, queue:286.75833, delay:0.47335052, throughput:450
REAL_TEST step:148, travel time:1284.9527248850952, q_loss:100, rewards:-532.49066, queue:172.92223, delay:0.2930908, throughput:622
REAL_TEST step:150, travel time:639.8707995365006, q_loss:100, rewards:-280.4412, queue:23.333334, delay:0.17256507, throughput:1350
REAL_TEST step:152, travel time:1006.4747209455023, q_loss:100, rewards:-408.7746, queue:41.541668, delay:0.17447934, throughput:869
REAL_TEST step:154, travel time:982.4556795797768, q_loss:100, rewards:-397.59622, queue:96.888885, delay:0.16385303, throughput:921
REAL_TEST step:156, travel time:166.14009409304757, q_loss:100, rewards:-52.72024, queue:5.563889, delay:0.21703792, throughput:1832
REAL_TEST step:158, travel time:877.2338797814208, q_loss:100, rewards:-419.86948, queue:34.819443, delay:0.15880306, throughput:1334
REAL_TEST step:160, travel time:1311.7137229152988, q_loss:100, rewards:-544.3896, queue:0.0, delay:0.019902168, throughput:598
REAL_TEST step:162, travel time:1836.5408090844571, q_loss:100, rewards:-715.54565, queue:68.50278, delay:0.14115694, throughput:180
REAL_TEST step:164, travel time:1269.7222586999344, q_loss:100, rewards:-526.1977, queue:198.925, delay:0.25131872, throughput:617
REAL_TEST step:166, travel time:402.31677992681654, q_loss:100, rewards:-182.91751, queue:11.588889, delay:0.15959193, throughput:1565
REAL_TEST step:168, travel time:1393.6334968465312, q_loss:100, rewards:-542.15076, queue:135.9611, delay:0.22682214, throughput:494
REAL_TEST step:170, travel time:1566.9329359165424, q_loss:100, rewards:-574.69476, queue:358.96945, delay:0.33393088, throughput:442
REAL_TEST step:172, travel time:267.39153162571876, q_loss:100, rewards:-112.2611, queue:14.588889, delay:0.24367142, throughput:1541
REAL_TEST step:174, travel time:1197.15, q_loss:100, rewards:-493.6019, queue:74.66111, delay:0.1605235, throughput:662
REAL_TEST step:176, travel time:1311.7137229152988, q_loss:100, rewards:-544.3896, queue:189.25, delay:0.2102633, throughput:598
REAL_TEST step:178, travel time:327.74647151071616, q_loss:100, rewards:-141.513, queue:7.4444447, delay:0.12415627, throughput:1729
REAL_TEST step:180, travel time:922.81652490887, q_loss:100, rewards:-406.36368, queue:152.03612, delay:0.2162196, throughput:844
REAL_TEST step:182, travel time:733.1534936998854, q_loss:100, rewards:-331.25638, queue:6.713889, delay:0.15265375, throughput:1231
REAL_TEST step:184, travel time:1211.8942875902824, q_loss:100, rewards:-503.2184, queue:130.34723, delay:0.1649871, throughput:525
REAL_TEST step:186, travel time:886.0078947368421, q_loss:100, rewards:-358.00046, queue:24.019444, delay:0.15884747, throughput:849
REAL_TEST step:188, travel time:981.4721744119335, q_loss:100, rewards:-457.946, queue:17.705555, delay:0.14859697, throughput:938
REAL_TEST step:190, travel time:1311.7137229152988, q_loss:100, rewards:-544.3896, queue:128.4139, delay:0.115238056, throughput:598
REAL_TEST step:192, travel time:163.06063774176687, q_loss:100, rewards:-51.154987, queue:1.4361111, delay:0.08703693, throughput:1822
