Loading cached latent encoders from pretrained/darla/presslight/tempe_1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_1x1/baseline_v1_darla_s0/model/tempe_1x1_noise5_presslight_latent_observation -> eval real_setting=noise10
REAL_TEST step:2, travel time:1028.3243598161523, q_loss:100, rewards:-418.37634, queue:427.22736, delay:4.4442677, throughput:849
REAL_TEST step:4, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:564.6523, delay:4.3891454, throughput:738
REAL_TEST step:6, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:445.2283, delay:4.5300946, throughput:806
REAL_TEST step:8, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:565.86426, delay:4.4133234, throughput:738
REAL_TEST step:10, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:443.56314, delay:4.4672294, throughput:806
REAL_TEST step:12, travel time:536.5891270256142, q_loss:100, rewards:-257.57748, queue:264.0799, delay:4.254984, throughput:1427
REAL_TEST step:14, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:564.93774, delay:4.2360168, throughput:738
REAL_TEST step:16, travel time:1195.8870317002882, q_loss:100, rewards:-563.1648, queue:565.6003, delay:4.344267, throughput:739
REAL_TEST step:18, travel time:1962.4063656550704, q_loss:100, rewards:-733.9268, queue:741.4383, delay:4.3500786, throughput:157
REAL_TEST step:20, travel time:1238.585590778098, q_loss:100, rewards:-584.4491, queue:588.93243, delay:4.32629, throughput:675
REAL_TEST step:22, travel time:609.3836905384213, q_loss:100, rewards:-297.41257, queue:306.29413, delay:4.257619, throughput:1369
REAL_TEST step:24, travel time:369.47673810768424, q_loss:100, rewards:-165.5014, queue:180.55957, delay:4.2989874, throughput:1592
REAL_TEST step:26, travel time:361.6251960271824, q_loss:100, rewards:-161.22702, queue:176.33075, delay:4.1440644, throughput:1601
REAL_TEST step:28, travel time:320.47255619445895, q_loss:100, rewards:-138.4436, queue:156.6919, delay:4.261939, throughput:1646
REAL_TEST step:30, travel time:381.94615786722426, q_loss:100, rewards:-172.57811, queue:186.98514, delay:4.341514, throughput:1565
REAL_TEST step:32, travel time:1081.2990815154994, q_loss:100, rewards:-507.77982, queue:517.2817, delay:4.364972, throughput:856
REAL_TEST step:34, travel time:170.3742812336644, q_loss:100, rewards:-55.309994, queue:86.72718, delay:4.1973987, throughput:1815
REAL_TEST step:36, travel time:618.7407213800313, q_loss:100, rewards:-305.1297, queue:308.95792, delay:4.3585114, throughput:1294
REAL_TEST step:38, travel time:277.6037637219028, q_loss:100, rewards:-114.6222, queue:136.50055, delay:4.251318, throughput:1702
REAL_TEST step:40, travel time:265.1521170935703, q_loss:100, rewards:-107.62106, queue:123.81432, delay:4.207336, throughput:1707
REAL_TEST step:42, travel time:382.4704652378463, q_loss:100, rewards:-173.16356, queue:185.04337, delay:4.2921114, throughput:1568
REAL_TEST step:44, travel time:430.81076842655517, q_loss:100, rewards:-199.62247, queue:205.96613, delay:4.376117, throughput:1512
REAL_TEST step:46, travel time:274.90956612650285, q_loss:100, rewards:-113.055565, queue:133.81308, delay:4.326237, throughput:1704
REAL_TEST step:48, travel time:276.35128071092527, q_loss:100, rewards:-114.26225, queue:134.92456, delay:4.232296, throughput:1670
REAL_TEST step:50, travel time:288.1369576581286, q_loss:100, rewards:-120.67805, queue:137.47437, delay:4.252749, throughput:1657
REAL_TEST step:52, travel time:275.1615263983272, q_loss:100, rewards:-113.30643, queue:133.64241, delay:4.3260646, throughput:1690
REAL_TEST step:54, travel time:266.4605331939362, q_loss:100, rewards:-108.96418, queue:130.06868, delay:4.28909, throughput:1678
REAL_TEST step:56, travel time:301.0491374803973, q_loss:100, rewards:-126.9722, queue:144.04105, delay:4.2608185, throughput:1701
REAL_TEST step:58, travel time:216.31887088342916, q_loss:100, rewards:-80.68749, queue:106.44031, delay:4.1738434, throughput:1752
REAL_TEST step:60, travel time:553.0074388947928, q_loss:100, rewards:-264.30615, queue:282.33258, delay:4.286032, throughput:1266
REAL_TEST step:62, travel time:273.9639309984318, q_loss:100, rewards:-112.92141, queue:134.48683, delay:4.2369866, throughput:1675
REAL_TEST step:64, travel time:337.4809200209096, q_loss:100, rewards:-147.80576, queue:166.08002, delay:4.279315, throughput:1620
REAL_TEST step:66, travel time:378.5572399372713, q_loss:100, rewards:-170.16492, queue:189.84015, delay:4.259964, throughput:1585
REAL_TEST step:68, travel time:987.2593659942363, q_loss:100, rewards:-459.09445, queue:462.54092, delay:4.408663, throughput:896
REAL_TEST step:70, travel time:490.2906429691584, q_loss:100, rewards:-234.17274, queue:250.25658, delay:4.2453127, throughput:1355
REAL_TEST step:72, travel time:473.851950828434, q_loss:100, rewards:-217.6891, queue:235.7006, delay:4.3697767, throughput:1471
REAL_TEST step:74, travel time:839.0139559849705, q_loss:100, rewards:-414.08194, queue:420.5256, delay:4.4618115, throughput:1051
REAL_TEST step:76, travel time:387.71197072660743, q_loss:100, rewards:-173.96748, queue:197.24814, delay:4.2038894, throughput:1652
REAL_TEST step:78, travel time:346.53685311029795, q_loss:100, rewards:-152.29945, queue:170.42244, delay:4.255305, throughput:1633
REAL_TEST step:80, travel time:432.24411918452694, q_loss:100, rewards:-202.40753, queue:208.43744, delay:4.2739077, throughput:1413
REAL_TEST step:82, travel time:228.38003136434918, q_loss:100, rewards:-87.29526, queue:109.73929, delay:4.3036413, throughput:1751
REAL_TEST step:84, travel time:1142.1775216138328, q_loss:100, rewards:-536.188, queue:546.62177, delay:4.40721, throughput:777
REAL_TEST step:86, travel time:359.4751698902248, q_loss:100, rewards:-159.44278, queue:178.00008, delay:4.2668824, throughput:1616
REAL_TEST step:88, travel time:1396.891304347826, q_loss:100, rewards:-616.3958, queue:624.78467, delay:4.3843546, throughput:471
REAL_TEST step:90, travel time:428.446941975954, q_loss:100, rewards:-197.58614, queue:214.19763, delay:4.295456, throughput:1546
REAL_TEST step:92, travel time:951.692098092643, q_loss:100, rewards:-467.32443, queue:467.72504, delay:4.3055058, throughput:956
REAL_TEST step:94, travel time:382.13591217982224, q_loss:100, rewards:-170.86781, queue:191.31348, delay:4.256862, throughput:1649
REAL_TEST step:96, travel time:464.5974908520648, q_loss:100, rewards:-215.03197, queue:228.69737, delay:4.2303853, throughput:1629
REAL_TEST step:98, travel time:530.7140583554377, q_loss:100, rewards:-248.90004, queue:265.66956, delay:4.24895, throughput:1484
REAL_TEST step:100, travel time:222.51907997909044, q_loss:100, rewards:-83.881096, queue:107.59261, delay:4.2623334, throughput:1765
REAL_TEST step:102, travel time:511.72713016204915, q_loss:100, rewards:-246.40553, queue:253.3895, delay:4.198875, throughput:1322
REAL_TEST step:104, travel time:228.90015682174595, q_loss:100, rewards:-87.706665, queue:110.39594, delay:4.266636, throughput:1740
REAL_TEST step:106, travel time:939.0589543937708, q_loss:100, rewards:-451.89865, queue:453.29626, delay:4.4358435, throughput:922
REAL_TEST step:108, travel time:442.8729743857815, q_loss:100, rewards:-204.52415, queue:218.49644, delay:4.2767878, throughput:1571
REAL_TEST step:110, travel time:312.34448510193414, q_loss:100, rewards:-133.20438, queue:149.72018, delay:4.236996, throughput:1676
REAL_TEST step:112, travel time:880.2148936170213, q_loss:100, rewards:-441.0, queue:438.93555, delay:4.339162, throughput:997
REAL_TEST step:114, travel time:387.53685311029795, q_loss:100, rewards:-173.3505, queue:196.45784, delay:4.2656174, throughput:1670
REAL_TEST step:116, travel time:1102.0829971181556, q_loss:100, rewards:-516.0482, queue:518.7934, delay:4.4004326, throughput:826
REAL_TEST step:118, travel time:496.7109252483011, q_loss:100, rewards:-234.82916, queue:249.21474, delay:4.4446874, throughput:1482
REAL_TEST step:120, travel time:280.75901725039205, q_loss:100, rewards:-117.32665, queue:134.87192, delay:4.2902756, throughput:1638
REAL_TEST step:122, travel time:470.2190277051751, q_loss:100, rewards:-219.69807, queue:231.8518, delay:4.308092, throughput:1553
REAL_TEST step:124, travel time:265.4955567171981, q_loss:100, rewards:-107.894714, queue:128.76683, delay:4.241153, throughput:1708
REAL_TEST step:126, travel time:280.9435441714584, q_loss:100, rewards:-116.23222, queue:133.67392, delay:4.287839, throughput:1697
REAL_TEST step:128, travel time:303.3685311029796, q_loss:100, rewards:-128.3423, queue:145.39552, delay:4.214523, throughput:1680
REAL_TEST step:130, travel time:696.8086774699425, q_loss:100, rewards:-350.51123, queue:350.68643, delay:4.483, throughput:1057
REAL_TEST step:132, travel time:342.9283847360167, q_loss:100, rewards:-149.83134, queue:157.61008, delay:4.315494, throughput:1664
REAL_TEST step:134, travel time:263.0930475692629, q_loss:100, rewards:-106.40527, queue:125.04191, delay:4.2192764, throughput:1715
REAL_TEST step:136, travel time:329.9064296915839, q_loss:100, rewards:-141.86105, queue:159.60138, delay:4.333712, throughput:1703
REAL_TEST step:138, travel time:1022.3592286501378, q_loss:100, rewards:-499.75034, queue:499.22092, delay:4.374532, throughput:857
REAL_TEST step:140, travel time:356.3491897543126, q_loss:100, rewards:-156.5642, queue:170.18558, delay:4.289651, throughput:1669
REAL_TEST step:142, travel time:269.0820700470465, q_loss:100, rewards:-109.496635, queue:130.08237, delay:4.245868, throughput:1723
REAL_TEST step:144, travel time:380.74228959749087, q_loss:100, rewards:-170.36687, queue:189.88362, delay:4.2494125, throughput:1632
REAL_TEST step:146, travel time:215.20073183481443, q_loss:100, rewards:-79.884995, queue:105.943436, delay:4.2818937, throughput:1768
REAL_TEST step:148, travel time:225.52012545739677, q_loss:100, rewards:-85.70194, queue:109.225655, delay:4.288622, throughput:1764
REAL_TEST step:150, travel time:438.4777835859906, q_loss:100, rewards:-201.86319, queue:216.19984, delay:4.2131534, throughput:1589
REAL_TEST step:152, travel time:498.1343439623628, q_loss:100, rewards:-234.93004, queue:239.91124, delay:4.3192544, throughput:1531
REAL_TEST step:154, travel time:221.54103502352325, q_loss:100, rewards:-83.29884, queue:108.83347, delay:4.1941037, throughput:1766
REAL_TEST step:156, travel time:218.9832723470988, q_loss:100, rewards:-82.06497, queue:106.75468, delay:4.273635, throughput:1760
REAL_TEST step:158, travel time:288.2618923157344, q_loss:100, rewards:-119.80947, queue:138.33861, delay:4.272855, throughput:1708
REAL_TEST step:160, travel time:271.3993727130162, q_loss:100, rewards:-111.093925, queue:127.99684, delay:4.202675, throughput:1705
REAL_TEST step:162, travel time:225.95190799790905, q_loss:100, rewards:-85.45338, queue:108.146736, delay:4.3057113, throughput:1772
REAL_TEST step:164, travel time:581.5478306325143, q_loss:100, rewards:-284.11676, queue:290.27112, delay:4.380858, throughput:1300
