Loading cached latent encoders from pretrained/darla/presslight/tempe_1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_1x1/baseline_v1_darla_s0/model/tempe_1x1_noise5_presslight_latent_observation -> eval real_setting=combine4
REAL_TEST step:2, travel time:590.6690528634361, q_loss:100, rewards:-272.15036, queue:155.7936, delay:1.7298061, throughput:1333
REAL_TEST step:4, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:457.09344, delay:1.990764, throughput:738
REAL_TEST step:6, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:381.4411, delay:2.3353724, throughput:806
REAL_TEST step:8, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:388.83923, delay:1.8131782, throughput:738
REAL_TEST step:10, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:337.21045, delay:1.9309508, throughput:806
REAL_TEST step:12, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:307.23422, delay:1.804818, throughput:806
REAL_TEST step:14, travel time:469.65656037637217, q_loss:100, rewards:-221.0241, queue:128.2883, delay:1.5648438, throughput:1481
REAL_TEST step:16, travel time:1154.5370581527936, q_loss:100, rewards:-548.7882, queue:530.7523, delay:2.1221123, throughput:764
REAL_TEST step:18, travel time:1962.4063656550704, q_loss:100, rewards:-733.9268, queue:724.365, delay:2.1519725, throughput:157
REAL_TEST step:20, travel time:1756.6561829878485, q_loss:100, rewards:-676.5139, queue:615.0483, delay:1.8786184, throughput:333
REAL_TEST step:22, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:310.11908, delay:1.7317485, throughput:806
REAL_TEST step:24, travel time:969.1334149326806, q_loss:100, rewards:-421.63464, queue:315.21826, delay:1.8809745, throughput:924
REAL_TEST step:26, travel time:372.82854155776266, q_loss:100, rewards:-167.47134, queue:119.10061, delay:1.8859614, throughput:1594
REAL_TEST step:28, travel time:623.5094130675526, q_loss:100, rewards:-286.92062, queue:273.977, delay:2.104948, throughput:1322
REAL_TEST step:30, travel time:810.3939577039275, q_loss:100, rewards:-351.24768, queue:342.1624, delay:2.3526318, throughput:1082
REAL_TEST step:32, travel time:1134.9183438757907, q_loss:100, rewards:-533.44226, queue:497.19962, delay:1.8877556, throughput:812
REAL_TEST step:34, travel time:706.8879798615482, q_loss:100, rewards:-289.36502, queue:243.99506, delay:1.9730484, throughput:1152
REAL_TEST step:36, travel time:1148.6902106567534, q_loss:100, rewards:-501.24908, queue:388.6921, delay:2.0388644, throughput:771
REAL_TEST step:38, travel time:483.941847826087, q_loss:100, rewards:-219.14694, queue:143.00105, delay:1.671041, throughput:1429
REAL_TEST step:40, travel time:587.0730304772858, q_loss:100, rewards:-257.94583, queue:82.86449, delay:1.5237249, throughput:1308
REAL_TEST step:42, travel time:619.4439024390244, q_loss:100, rewards:-291.78128, queue:131.56636, delay:1.6821904, throughput:1331
REAL_TEST step:44, travel time:616.8397231096911, q_loss:100, rewards:-295.34924, queue:188.68188, delay:1.8559583, throughput:1356
REAL_TEST step:46, travel time:302.55619445896497, q_loss:100, rewards:-128.155, queue:84.11247, delay:1.8643727, throughput:1676
REAL_TEST step:48, travel time:279.9006795608991, q_loss:100, rewards:-115.42245, queue:92.98797, delay:1.8914617, throughput:1718
REAL_TEST step:50, travel time:536.3978853644963, q_loss:100, rewards:-240.55305, queue:54.04839, delay:1.4965422, throughput:1375
REAL_TEST step:52, travel time:264.7339257710403, q_loss:100, rewards:-107.35996, queue:86.60654, delay:1.8185071, throughput:1710
REAL_TEST step:54, travel time:279.8076319916362, q_loss:100, rewards:-115.36305, queue:94.84007, delay:2.0579486, throughput:1711
REAL_TEST step:56, travel time:264.39884997386304, q_loss:100, rewards:-107.133896, queue:54.136166, delay:1.5530591, throughput:1714
REAL_TEST step:58, travel time:231.65394668060637, q_loss:100, rewards:-89.12585, queue:72.006134, delay:1.8830506, throughput:1742
REAL_TEST step:60, travel time:813.7927927927927, q_loss:100, rewards:-330.80026, queue:184.95453, delay:1.6687205, throughput:1032
REAL_TEST step:62, travel time:267.20909566126505, q_loss:100, rewards:-108.5606, queue:91.82457, delay:1.9618185, throughput:1713
REAL_TEST step:64, travel time:879.3426930440332, q_loss:100, rewards:-363.5328, queue:348.34583, delay:1.8691671, throughput:957
REAL_TEST step:66, travel time:1161.2169433314252, q_loss:100, rewards:-549.8446, queue:221.99455, delay:1.4933877, throughput:762
REAL_TEST step:68, travel time:867.3716814159292, q_loss:100, rewards:-361.0166, queue:329.3169, delay:1.9016038, throughput:1009
REAL_TEST step:70, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:531.72034, delay:2.013107, throughput:738
REAL_TEST step:72, travel time:932.0111842105263, q_loss:100, rewards:-375.62973, queue:261.1443, delay:1.5963553, throughput:895
REAL_TEST step:74, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:391.86954, delay:2.011289, throughput:738
