replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_1x1/baseline_v1_domain_randomization_s0/model/tempe_1x1_noise5_presslight_domain_randomization -> eval real_setting=combine2
REAL_TEST step:3, travel time:312.22843700993207, q_loss:100, rewards:-133.73058, queue:65.22965, delay:1.1174083, throughput:1652
REAL_TEST step:6, travel time:260.15002613695765, q_loss:100, rewards:-103.91136, queue:74.99721, delay:1.4619359, throughput:1766
REAL_TEST step:9, travel time:175.30109775222164, q_loss:100, rewards:-57.657497, queue:36.345406, delay:1.5338589, throughput:1828
REAL_TEST step:12, travel time:201.97438578149504, q_loss:100, rewards:-72.40111, queue:32.14073, delay:1.1098688, throughput:1796
REAL_TEST step:15, travel time:172.212232096184, q_loss:100, rewards:-56.047466, queue:30.193333, delay:1.2453593, throughput:1818
REAL_TEST step:18, travel time:164.81704129639309, q_loss:100, rewards:-52.054157, queue:31.767681, delay:1.4106457, throughput:1835
REAL_TEST step:21, travel time:211.85938316779928, q_loss:100, rewards:-78.05221, queue:36.968468, delay:1.1076636, throughput:1766
REAL_TEST step:24, travel time:166.94354417145846, q_loss:100, rewards:-53.24805, queue:30.962969, delay:1.3551118, throughput:1823
REAL_TEST step:27, travel time:178.79456351280712, q_loss:100, rewards:-59.621635, queue:33.340115, delay:1.3749771, throughput:1817
REAL_TEST step:30, travel time:210.57135389440668, q_loss:100, rewards:-77.229485, queue:43.147617, delay:1.4368628, throughput:1787
REAL_TEST step:33, travel time:190.37846314688971, q_loss:100, rewards:-65.679115, queue:38.602146, delay:1.3089187, throughput:1821
REAL_TEST step:36, travel time:185.25666492420282, q_loss:100, rewards:-63.042763, queue:35.49607, delay:1.3213927, throughput:1824
REAL_TEST step:39, travel time:185.9262937794041, q_loss:100, rewards:-63.391087, queue:40.26536, delay:1.4403096, throughput:1811
REAL_TEST step:42, travel time:172.55671719811815, q_loss:100, rewards:-56.353603, queue:34.520428, delay:1.465987, throughput:1821
REAL_TEST step:45, travel time:156.91270256142184, q_loss:100, rewards:-47.645267, queue:29.146421, delay:1.4421138, throughput:1834
REAL_TEST step:48, travel time:197.55776267642446, q_loss:100, rewards:-69.993904, queue:39.50558, delay:1.4007467, throughput:1804
REAL_TEST step:51, travel time:169.69315211709358, q_loss:100, rewards:-54.631916, queue:34.005856, delay:1.4474146, throughput:1832
REAL_TEST step:54, travel time:157.0057501306848, q_loss:100, rewards:-47.710564, queue:24.769012, delay:1.2891076, throughput:1838
REAL_TEST step:57, travel time:165.40407736539467, q_loss:100, rewards:-52.21777, queue:32.64431, delay:1.4469218, throughput:1832
REAL_TEST step:60, travel time:165.59958180867747, q_loss:100, rewards:-52.51696, queue:24.330797, delay:1.1805404, throughput:1819
REAL_TEST step:63, travel time:165.67276529012022, q_loss:100, rewards:-52.417774, queue:29.461746, delay:1.4005032, throughput:1823
REAL_TEST step:66, travel time:163.20020909566128, q_loss:100, rewards:-51.06192, queue:29.96455, delay:1.465043, throughput:1824
REAL_TEST step:69, travel time:156.54783063251438, q_loss:100, rewards:-47.52276, queue:27.390919, delay:1.3828822, throughput:1833
REAL_TEST step:72, travel time:317.9508625196027, q_loss:100, rewards:-135.95386, queue:105.67154, delay:1.3689685, throughput:1685
REAL_TEST step:75, travel time:159.65133298484056, q_loss:100, rewards:-49.186096, queue:27.107311, delay:1.3567618, throughput:1829
REAL_TEST step:78, travel time:164.5138525875588, q_loss:100, rewards:-51.746933, queue:27.419338, delay:1.3201029, throughput:1831
REAL_TEST step:81, travel time:158.72138003136436, q_loss:100, rewards:-48.595844, queue:27.678331, delay:1.3834867, throughput:1836
REAL_TEST step:84, travel time:173.00627286983794, q_loss:100, rewards:-56.407204, queue:25.38508, delay:1.1396719, throughput:1827
REAL_TEST step:87, travel time:166.66962885520127, q_loss:100, rewards:-53.068317, queue:30.869173, delay:1.376109, throughput:1826
REAL_TEST step:90, travel time:347.38944066910614, q_loss:100, rewards:-152.24611, queue:89.723816, delay:1.1416306, throughput:1654
REAL_TEST step:93, travel time:165.06534239414532, q_loss:100, rewards:-52.053284, queue:31.16455, delay:1.3842965, throughput:1831
REAL_TEST step:96, travel time:162.99372713016206, q_loss:100, rewards:-51.02638, queue:29.066225, delay:1.3588364, throughput:1827
REAL_TEST step:99, travel time:193.38891792995295, q_loss:100, rewards:-67.414734, queue:35.716694, delay:1.2184122, throughput:1821
REAL_TEST step:102, travel time:163.6523784631469, q_loss:100, rewards:-51.398335, queue:25.802208, delay:1.2490826, throughput:1826
REAL_TEST step:105, travel time:165.787767903816, q_loss:100, rewards:-52.42529, queue:29.80062, delay:1.3549991, throughput:1832
REAL_TEST step:108, travel time:253.94615786722426, q_loss:100, rewards:-102.09747, queue:77.847595, delay:1.339789, throughput:1717
REAL_TEST step:111, travel time:158.93727130162048, q_loss:100, rewards:-48.761395, queue:27.486963, delay:1.3263953, throughput:1831
REAL_TEST step:114, travel time:417.6231050705698, q_loss:100, rewards:-191.75809, queue:164.80865, delay:1.3424405, throughput:1550
REAL_TEST step:117, travel time:164.97856769472034, q_loss:100, rewards:-52.064156, queue:27.45152, delay:1.2399199, throughput:1828
REAL_TEST step:120, travel time:1029.6212984054669, q_loss:100, rewards:-485.40564, queue:308.34763, delay:1.1775167, throughput:898
REAL_TEST step:123, travel time:178.52744380554103, q_loss:100, rewards:-59.32946, queue:30.471075, delay:1.2944865, throughput:1828
REAL_TEST step:126, travel time:247.94929430214324, q_loss:100, rewards:-98.61138, queue:73.74993, delay:1.4383705, throughput:1724
REAL_TEST step:129, travel time:171.678515420805, q_loss:100, rewards:-55.797184, queue:23.978003, delay:1.0510972, throughput:1826
REAL_TEST step:132, travel time:215.89702038682697, q_loss:100, rewards:-79.048325, queue:51.393906, delay:1.3432044, throughput:1835
REAL_TEST step:135, travel time:182.1996863565081, q_loss:100, rewards:-61.64029, queue:25.645998, delay:1.0649797, throughput:1806
