Loading cached latent encoders from pretrained/lusr/presslight/tempe_1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_1x1/baseline_v1_lusr_s0/model/tempe_1x1_noise5_presslight_latent_observation -> eval real_setting=sensor20
REAL_TEST step:2, travel time:998.4970453053185, q_loss:100, rewards:-403.28308, queue:274.39444, delay:0.52629274, throughput:945
REAL_TEST step:4, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:413.05276, delay:0.71255076, throughput:806
REAL_TEST step:6, travel time:1142.8531147540984, q_loss:100, rewards:-468.23682, queue:397.64166, delay:0.6764814, throughput:794
REAL_TEST step:8, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:379.97223, delay:0.55916137, throughput:738
REAL_TEST step:10, travel time:638.23470987977, q_loss:100, rewards:-313.5214, queue:245.425, delay:0.5741723, throughput:1325
REAL_TEST step:12, travel time:588.6011500261369, q_loss:100, rewards:-286.3662, queue:235.99445, delay:0.56420106, throughput:1368
REAL_TEST step:14, travel time:589.3204391008886, q_loss:100, rewards:-286.81274, queue:169.60556, delay:0.40036565, throughput:1363
REAL_TEST step:16, travel time:597.0564558285415, q_loss:100, rewards:-291.07758, queue:188.24445, delay:0.56258845, throughput:1354
REAL_TEST step:18, travel time:524.3680083638264, q_loss:100, rewards:-251.22198, queue:171.6, delay:0.5276358, throughput:1414
REAL_TEST step:20, travel time:1218.474233529028, q_loss:100, rewards:-502.82434, queue:448.95557, delay:0.6073747, throughput:796
REAL_TEST step:22, travel time:324.22373235755356, q_loss:100, rewards:-142.88387, queue:87.14167, delay:0.46034268, throughput:1513
REAL_TEST step:24, travel time:619.0219550444328, q_loss:100, rewards:-305.10675, queue:188.35, delay:0.58190745, throughput:1234
REAL_TEST step:26, travel time:532.6936748562467, q_loss:100, rewards:-255.51578, queue:192.25833, delay:0.5683277, throughput:1427
REAL_TEST step:28, travel time:567.1108207004704, q_loss:100, rewards:-274.19528, queue:239.36945, delay:0.6351368, throughput:1408
REAL_TEST step:30, travel time:345.5331939362258, q_loss:100, rewards:-151.81529, queue:114.44444, delay:0.63636804, throughput:1652
REAL_TEST step:32, travel time:507.70360690015684, q_loss:100, rewards:-240.97723, queue:132.23611, delay:0.49053842, throughput:1491
REAL_TEST step:34, travel time:506.30266596968113, q_loss:100, rewards:-241.05441, queue:189.68889, delay:0.6323816, throughput:1452
REAL_TEST step:36, travel time:950.791447368421, q_loss:100, rewards:-383.126, queue:273.99445, delay:0.49085486, throughput:905
REAL_TEST step:38, travel time:444.45896497647675, q_loss:100, rewards:-207.5275, queue:150.53055, delay:0.5173412, throughput:1486
REAL_TEST step:40, travel time:528.7323575535808, q_loss:100, rewards:-253.16309, queue:160.15834, delay:0.5073127, throughput:1450
REAL_TEST step:42, travel time:490.12545739675903, q_loss:100, rewards:-232.0931, queue:177.23889, delay:0.54114836, throughput:1477
REAL_TEST step:44, travel time:368.07841087297436, q_loss:100, rewards:-165.05804, queue:111.01667, delay:0.5167264, throughput:1579
REAL_TEST step:46, travel time:472.1301620491375, q_loss:100, rewards:-220.60143, queue:168.05, delay:0.5715723, throughput:1568
REAL_TEST step:48, travel time:759.4208472686734, q_loss:100, rewards:-360.11273, queue:284.80832, delay:0.6788873, throughput:1008
REAL_TEST step:50, travel time:549.6711970726608, q_loss:100, rewards:-268.14142, queue:159.59723, delay:0.5189597, throughput:1300
REAL_TEST step:52, travel time:407.0277051751176, q_loss:100, rewards:-185.33693, queue:144.77777, delay:0.5706105, throughput:1615
REAL_TEST step:54, travel time:379.96968112911657, q_loss:100, rewards:-170.34808, queue:132.05833, delay:0.5957787, throughput:1649
REAL_TEST step:56, travel time:512.3753267119707, q_loss:100, rewards:-244.18889, queue:143.04445, delay:0.49049997, throughput:1457
REAL_TEST step:58, travel time:391.25927861996865, q_loss:100, rewards:-176.31223, queue:136.95833, delay:0.5391628, throughput:1646
REAL_TEST step:60, travel time:432.6999477260847, q_loss:100, rewards:-200.51752, queue:128.96945, delay:0.50484, throughput:1528
REAL_TEST step:62, travel time:606.6466283324621, q_loss:100, rewards:-297.66998, queue:214.4139, delay:0.64041907, throughput:1293
REAL_TEST step:64, travel time:486.6717198118139, q_loss:100, rewards:-228.82886, queue:178.975, delay:0.60938424, throughput:1555
REAL_TEST step:66, travel time:1111.8774051676746, q_loss:100, rewards:-537.03253, queue:223.34723, delay:0.47147182, throughput:1265
REAL_TEST step:68, travel time:514.7783585990591, q_loss:100, rewards:-245.62242, queue:144.7111, delay:0.5066071, throughput:1448
REAL_TEST step:70, travel time:473.3141662310507, q_loss:100, rewards:-220.78186, queue:160.2111, delay:0.5785529, throughput:1594
REAL_TEST step:72, travel time:645.9769994772608, q_loss:100, rewards:-315.45535, queue:212.68889, delay:0.56179625, throughput:1436
REAL_TEST step:74, travel time:838.40825927862, q_loss:100, rewards:-422.25143, queue:278.58334, delay:0.5854516, throughput:1208
REAL_TEST step:76, travel time:1063.7537754432042, q_loss:100, rewards:-432.95087, queue:289.3639, delay:0.5595693, throughput:865
REAL_TEST step:78, travel time:490.10559330893886, q_loss:100, rewards:-231.46721, queue:121.76945, delay:0.4992976, throughput:1499
REAL_TEST step:80, travel time:1118.6672672672673, q_loss:100, rewards:-503.52902, queue:331.19168, delay:0.53894943, throughput:773
REAL_TEST step:82, travel time:375.8813382122321, q_loss:100, rewards:-168.80719, queue:86.68889, delay:0.47526792, throughput:1608
REAL_TEST step:84, travel time:354.05906952430735, q_loss:100, rewards:-155.72888, queue:116.76111, delay:0.63256365, throughput:1672
REAL_TEST step:86, travel time:322.24621014113956, q_loss:100, rewards:-138.5811, queue:53.788887, delay:0.33623898, throughput:1677
REAL_TEST step:88, travel time:428.34971249346574, q_loss:100, rewards:-196.2775, queue:123.75, delay:0.5172882, throughput:1607
REAL_TEST step:90, travel time:880.4156069364162, q_loss:100, rewards:-400.3119, queue:265.56668, delay:0.5610919, throughput:1184
REAL_TEST step:92, travel time:408.49503397804494, q_loss:100, rewards:-184.78807, queue:86.37222, delay:0.41393763, throughput:1652
REAL_TEST step:94, travel time:325.09984317825405, q_loss:100, rewards:-140.02446, queue:103.18889, delay:0.58446014, throughput:1690
REAL_TEST step:96, travel time:564.636696288552, q_loss:100, rewards:-270.0878, queue:173.475, delay:0.5252016, throughput:1578
REAL_TEST step:98, travel time:310.1296393099843, q_loss:100, rewards:-131.80026, queue:81.25, delay:0.49489495, throughput:1699
REAL_TEST step:100, travel time:457.7062205959226, q_loss:100, rewards:-216.62659, queue:133.2, delay:0.5099246, throughput:1353
REAL_TEST step:102, travel time:477.65656037637217, q_loss:100, rewards:-225.6014, queue:130.80833, delay:0.5091771, throughput:1456
REAL_TEST step:104, travel time:529.6027182435964, q_loss:100, rewards:-255.28316, queue:220.66112, delay:0.61627734, throughput:1378
REAL_TEST step:106, travel time:331.03450078410873, q_loss:100, rewards:-144.15335, queue:78.16389, delay:0.511227, throughput:1644
REAL_TEST step:108, travel time:1044.375641025641, q_loss:100, rewards:-435.21045, queue:249.26111, delay:0.45565453, throughput:887
REAL_TEST step:110, travel time:549.6586513329848, q_loss:100, rewards:-264.31668, queue:187.5, delay:0.5408676, throughput:1447
REAL_TEST step:112, travel time:418.8771562990068, q_loss:100, rewards:-195.32059, queue:100.80278, delay:0.4970832, throughput:1414
REAL_TEST step:114, travel time:961.6090509113765, q_loss:100, rewards:-404.4572, queue:294.675, delay:0.62840116, throughput:1039
REAL_TEST step:116, travel time:671.9451123889179, q_loss:100, rewards:-330.08026, queue:221.04723, delay:0.55311394, throughput:1391
REAL_TEST step:118, travel time:284.7746994249869, q_loss:100, rewards:-117.96338, queue:68.486115, delay:0.49559376, throughput:1715
REAL_TEST step:120, travel time:292.4762153685311, q_loss:100, rewards:-122.001175, queue:52.394444, delay:0.45646316, throughput:1709
REAL_TEST step:122, travel time:575.3559853633037, q_loss:100, rewards:-281.85867, queue:155.0861, delay:0.49072695, throughput:1271
REAL_TEST step:124, travel time:340.26450601150026, q_loss:100, rewards:-148.41779, queue:47.27222, delay:0.37890172, throughput:1663
REAL_TEST step:126, travel time:542.453214845792, q_loss:100, rewards:-255.27606, queue:173.11667, delay:0.55591476, throughput:1684
REAL_TEST step:128, travel time:606.0726607422896, q_loss:100, rewards:-294.1311, queue:189.85278, delay:0.4969149, throughput:1475
REAL_TEST step:130, travel time:793.5231431646932, q_loss:100, rewards:-384.35956, queue:298.75833, delay:0.53182614, throughput:1300
REAL_TEST step:132, travel time:518.4181913225301, q_loss:100, rewards:-244.43083, queue:156.77777, delay:0.49761936, throughput:1613
REAL_TEST step:134, travel time:1195.8829971181556, q_loss:100, rewards:-563.1651, queue:291.40277, delay:0.53881985, throughput:739
REAL_TEST step:136, travel time:754.1738660907127, q_loss:100, rewards:-363.25995, queue:301.01944, delay:0.686077, throughput:1287
REAL_TEST step:138, travel time:1195.8829971181556, q_loss:100, rewards:-563.1651, queue:339.1, delay:0.568325, throughput:739
REAL_TEST step:140, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:382.24722, delay:0.6296319, throughput:806
REAL_TEST step:142, travel time:532.3010977522216, q_loss:100, rewards:-251.90608, queue:168.65555, delay:0.53397316, throughput:1609
REAL_TEST step:144, travel time:532.1040250914793, q_loss:100, rewards:-249.40675, queue:162.60556, delay:0.59998256, throughput:1731
REAL_TEST step:146, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:396.80276, delay:0.678111, throughput:806
REAL_TEST step:148, travel time:278.68008363826453, q_loss:100, rewards:-113.78056, queue:58.908333, delay:0.5045026, throughput:1789
REAL_TEST step:150, travel time:734.9219672131147, q_loss:100, rewards:-288.81253, queue:93.147224, delay:0.4931961, throughput:1117
REAL_TEST step:152, travel time:362.26973340303186, q_loss:100, rewards:-160.03107, queue:94.03611, delay:0.5460253, throughput:1689
REAL_TEST step:154, travel time:871.0292504570384, q_loss:100, rewards:-378.18393, queue:273.9889, delay:0.52091634, throughput:967
REAL_TEST step:156, travel time:926.7868437697659, q_loss:100, rewards:-387.5268, queue:273.2028, delay:0.60223716, throughput:1003
REAL_TEST step:158, travel time:408.6826973340303, q_loss:100, rewards:-186.90608, queue:123.80278, delay:0.64474905, throughput:1547
REAL_TEST step:160, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:324.33057, delay:0.5624178, throughput:806
REAL_TEST step:162, travel time:421.1913225300575, q_loss:100, rewards:-190.81863, queue:91.708336, delay:0.45720002, throughput:1706
REAL_TEST step:164, travel time:1127.5548260013131, q_loss:100, rewards:-463.977, queue:294.13055, delay:0.54292595, throughput:702
REAL_TEST step:166, travel time:961.6452459016393, q_loss:100, rewards:-388.1915, queue:339.9111, delay:0.6048121, throughput:977
REAL_TEST step:168, travel time:962.5903141361257, q_loss:100, rewards:-389.61496, queue:221.93056, delay:0.5371315, throughput:969
REAL_TEST step:170, travel time:1012.6808929743927, q_loss:100, rewards:-409.55188, queue:382.775, delay:0.7095678, throughput:965
REAL_TEST step:172, travel time:1049.6203522504893, q_loss:100, rewards:-428.57504, queue:283.06946, delay:0.5880571, throughput:923
REAL_TEST step:174, travel time:1074.537704918033, q_loss:100, rewards:-440.85678, queue:289.69446, delay:0.5625914, throughput:782
REAL_TEST step:176, travel time:948.4793442622951, q_loss:100, rewards:-380.70834, queue:255.51944, delay:0.5787557, throughput:1074
REAL_TEST step:178, travel time:931.9639344262295, q_loss:100, rewards:-375.978, queue:216.30556, delay:0.41145253, throughput:962
REAL_TEST step:180, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:352.66943, delay:0.5327344, throughput:806
REAL_TEST step:182, travel time:977.5588235294117, q_loss:100, rewards:-395.2673, queue:268.47778, delay:0.5819117, throughput:1033
REAL_TEST step:184, travel time:1075.6513460275771, q_loss:100, rewards:-438.5262, queue:396.03333, delay:0.6521717, throughput:832
REAL_TEST step:186, travel time:219.00731834814428, q_loss:100, rewards:-81.38445, queue:39.35, delay:0.4491085, throughput:1809
REAL_TEST step:188, travel time:893.128488372093, q_loss:100, rewards:-403.96115, queue:252.76944, delay:0.61258143, throughput:1183
REAL_TEST step:190, travel time:443.02822791427076, q_loss:100, rewards:-203.90187, queue:93.8, delay:0.52011865, throughput:1667
REAL_TEST step:192, travel time:1068.9159553512804, q_loss:100, rewards:-435.16858, queue:390.16666, delay:0.67337316, throughput:866
REAL_TEST step:194, travel time:1860.2020725388602, q_loss:100, rewards:-694.7012, queue:450.19724, delay:0.49854738, throughput:200
REAL_TEST step:196, travel time:1110.8253447143795, q_loss:100, rewards:-456.05222, queue:312.1139, delay:0.59269583, throughput:720
REAL_TEST step:198, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:353.2639, delay:0.5639627, throughput:806
Total time taken: 1030.0447719097137
