Loading cached latent encoders from pretrained/lusr/presslight/tempe_1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_1x1/baseline_v1_lusr_s0/model/tempe_1x1_noise5_presslight_latent_observation -> eval real_setting=combine2
REAL_TEST step:2, travel time:869.0446927374302, q_loss:100, rewards:-410.98962, queue:335.29593, delay:1.2195624, throughput:1064
REAL_TEST step:4, travel time:1024.9615384615386, q_loss:100, rewards:-426.86172, queue:406.1137, delay:1.5379281, throughput:884
REAL_TEST step:6, travel time:946.8819672131148, q_loss:100, rewards:-383.03836, queue:366.98315, delay:1.6178954, throughput:923
REAL_TEST step:8, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:384.95743, delay:1.2235426, throughput:738
REAL_TEST step:10, travel time:657.3575535807632, q_loss:100, rewards:-324.06277, queue:258.06396, delay:1.336004, throughput:1312
REAL_TEST step:12, travel time:518.1291165708311, q_loss:100, rewards:-247.70251, queue:223.59756, delay:1.5029409, throughput:1427
REAL_TEST step:14, travel time:523.3099843178254, q_loss:100, rewards:-250.56729, queue:177.5353, delay:1.1743655, throughput:1422
REAL_TEST step:16, travel time:518.7302665969681, q_loss:100, rewards:-248.01141, queue:222.59673, delay:1.4253881, throughput:1427
REAL_TEST step:18, travel time:524.1615263983273, q_loss:100, rewards:-251.07109, queue:209.73958, delay:1.4355336, throughput:1420
REAL_TEST step:20, travel time:366.9147935180345, q_loss:100, rewards:-164.0823, queue:142.33963, delay:1.3803482, throughput:1596
REAL_TEST step:22, travel time:322.53998954521694, q_loss:100, rewards:-138.60269, queue:107.19608, delay:1.3497477, throughput:1691
REAL_TEST step:24, travel time:458.65760585467854, q_loss:100, rewards:-214.27669, queue:177.5361, delay:1.433605, throughput:1532
REAL_TEST step:26, travel time:522.7020386826973, q_loss:100, rewards:-250.32465, queue:225.5982, delay:1.492217, throughput:1426
REAL_TEST step:28, travel time:317.6299006795609, q_loss:100, rewards:-136.93109, queue:111.593475, delay:1.5112259, throughput:1655
REAL_TEST step:30, travel time:864.1014067995311, q_loss:100, rewards:-389.3948, queue:370.30188, delay:1.5903677, throughput:1035
REAL_TEST step:32, travel time:434.63303711447986, q_loss:100, rewards:-201.5339, queue:144.91533, delay:1.4730248, throughput:1516
