Loading cached latent encoders from pretrained/recon_baseline/presslight/tempe_1x1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_1x1/baseline_v1_recon_baseline_s0/model/tempe_1x1_noise5_presslight_latent_observation -> eval real_setting=noise20
REAL_TEST step:1, travel time:308.1144798745426, q_loss:100, rewards:-131.4986, queue:221.03064, delay:8.427997, throughput:1667
REAL_TEST step:2, travel time:1311.7137229152988, q_loss:100, rewards:-544.3896, queue:580.20624, delay:8.372634, throughput:598
REAL_TEST step:3, travel time:1775.216654384672, q_loss:100, rewards:-663.5113, queue:710.3227, delay:8.680516, throughput:306
REAL_TEST step:4, travel time:1313.5112391930836, q_loss:100, rewards:-622.0243, queue:661.91907, delay:8.423576, throughput:624
REAL_TEST step:5, travel time:1088.6674351585013, q_loss:100, rewards:-509.31827, queue:558.79913, delay:8.537853, throughput:853
REAL_TEST step:6, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:489.50244, delay:8.19355, throughput:806
REAL_TEST step:7, travel time:422.0292733925771, q_loss:100, rewards:-194.24115, queue:261.78714, delay:8.00204, throughput:1559
REAL_TEST step:8, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:608.18005, delay:8.293164, throughput:738
REAL_TEST step:9, travel time:489.4218504966022, q_loss:100, rewards:-232.16191, queue:297.61053, delay:8.221414, throughput:1449
REAL_TEST step:10, travel time:483.996863565081, q_loss:100, rewards:-230.77812, queue:291.4605, delay:8.231388, throughput:1383
REAL_TEST step:11, travel time:327.4845791949817, q_loss:100, rewards:-142.22949, queue:222.92104, delay:8.123671, throughput:1649
REAL_TEST step:12, travel time:417.9069524307371, q_loss:100, rewards:-192.36777, queue:263.5829, delay:8.329639, throughput:1536
REAL_TEST step:13, travel time:440.1144798745426, q_loss:100, rewards:-204.25114, queue:268.0358, delay:8.023629, throughput:1542
REAL_TEST step:14, travel time:435.1369576581286, q_loss:100, rewards:-201.89526, queue:263.7694, delay:8.312014, throughput:1532
REAL_TEST step:15, travel time:382.8588604286461, q_loss:100, rewards:-171.88326, queue:245.0291, delay:8.370321, throughput:1633
REAL_TEST step:16, travel time:933.8371943371943, q_loss:100, rewards:-384.81918, queue:447.6104, delay:8.351146, throughput:910
REAL_TEST step:17, travel time:368.37794040773656, q_loss:100, rewards:-164.53673, queue:245.87419, delay:8.252777, throughput:1603
REAL_TEST step:18, travel time:414.9539989545217, q_loss:100, rewards:-190.84859, queue:259.0392, delay:8.342037, throughput:1541
REAL_TEST step:19, travel time:313.51228437009934, q_loss:100, rewards:-134.32994, queue:219.46613, delay:8.279377, throughput:1675
REAL_TEST step:20, travel time:415.07631991636174, q_loss:100, rewards:-190.78023, queue:255.03094, delay:8.1768, throughput:1542
REAL_TEST step:21, travel time:418.4202822791427, q_loss:100, rewards:-193.11029, queue:257.71906, delay:8.294206, throughput:1521
REAL_TEST step:22, travel time:522.0057501306848, q_loss:100, rewards:-250.00775, queue:310.55637, delay:8.419871, throughput:1407
REAL_TEST step:23, travel time:519.9728175640355, q_loss:100, rewards:-248.94225, queue:317.33282, delay:8.396209, throughput:1423
REAL_TEST step:24, travel time:377.81808677469945, q_loss:100, rewards:-170.7867, queue:255.9829, delay:8.201678, throughput:1558
REAL_TEST step:25, travel time:316.1238891792995, q_loss:100, rewards:-136.04323, queue:222.54195, delay:8.219772, throughput:1644
REAL_TEST step:26, travel time:323.9796131730267, q_loss:100, rewards:-140.39468, queue:225.28134, delay:8.389664, throughput:1641
REAL_TEST step:27, travel time:341.787767903816, q_loss:100, rewards:-150.01111, queue:231.9711, delay:8.3028555, throughput:1628
REAL_TEST step:28, travel time:324.50339780449553, q_loss:100, rewards:-140.97119, queue:227.4081, delay:8.217054, throughput:1635
REAL_TEST step:29, travel time:319.21850496602195, q_loss:100, rewards:-137.60052, queue:226.14455, delay:8.117507, throughput:1660
REAL_TEST step:30, travel time:208.34134866701515, q_loss:100, rewards:-76.49724, queue:174.74661, delay:8.248372, throughput:1763
REAL_TEST step:31, travel time:317.974385781495, q_loss:100, rewards:-137.01114, queue:228.39023, delay:8.201194, throughput:1643
REAL_TEST step:32, travel time:292.49242028227917, q_loss:100, rewards:-123.15974, queue:215.69998, delay:8.25243, throughput:1665
REAL_TEST step:33, travel time:268.4709879769995, q_loss:100, rewards:-109.78669, queue:205.91649, delay:8.185791, throughput:1697
REAL_TEST step:34, travel time:269.1845269210664, q_loss:100, rewards:-109.63474, queue:199.92944, delay:8.3101635, throughput:1713
