Loading cached latent encoders from pretrained/recon_baseline/presslight/tempe_1x1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_1x1/baseline_v1_recon_baseline_s0/model/tempe_1x1_noise5_presslight_latent_observation -> eval real_setting=sensor5
REAL_TEST step:1, travel time:1962.4063656550704, q_loss:100, rewards:-733.9268, queue:555.5639, delay:0.5394524, throughput:157
REAL_TEST step:2, travel time:1311.7137229152988, q_loss:100, rewards:-544.3896, queue:519.96387, delay:0.75734544, throughput:598
REAL_TEST step:3, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:651.33057, delay:0.76152635, throughput:293
REAL_TEST step:4, travel time:1313.5112391930836, q_loss:100, rewards:-622.0243, queue:500.10556, delay:0.65380394, throughput:624
REAL_TEST step:5, travel time:1191.2215843857634, q_loss:100, rewards:-563.1864, queue:492.4361, delay:0.6939665, throughput:741
REAL_TEST step:6, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:413.05276, delay:0.7330412, throughput:806
REAL_TEST step:7, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:413.05276, delay:0.7330412, throughput:806
REAL_TEST step:8, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:538.4472, delay:0.76202315, throughput:738
REAL_TEST step:9, travel time:662.4155776267643, q_loss:100, rewards:-327.56998, queue:294.14444, delay:0.70827305, throughput:1271
REAL_TEST step:10, travel time:697.9654992158912, q_loss:100, rewards:-351.1179, queue:319.1361, delay:0.7180573, throughput:1056
REAL_TEST step:11, travel time:592.6602195504444, q_loss:100, rewards:-288.76517, queue:254.63055, delay:0.65035903, throughput:1360
REAL_TEST step:12, travel time:505.9607945635128, q_loss:100, rewards:-239.47282, queue:204.34723, delay:0.64622885, throughput:1526
REAL_TEST step:13, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:413.05276, delay:0.7330412, throughput:806
REAL_TEST step:14, travel time:613.2550967067433, q_loss:100, rewards:-301.5977, queue:267.89722, delay:0.71069485, throughput:1272
REAL_TEST step:15, travel time:981.2117400419287, q_loss:100, rewards:-502.77335, queue:474.24445, delay:0.7559937, throughput:918
REAL_TEST step:16, travel time:1306.215081967213, q_loss:100, rewards:-539.05536, queue:497.8111, delay:0.6838645, throughput:707
REAL_TEST step:17, travel time:1125.177049180328, q_loss:100, rewards:-459.57535, queue:435.4361, delay:0.73425794, throughput:833
REAL_TEST step:18, travel time:433.87663355985364, q_loss:100, rewards:-201.39616, queue:164.76389, delay:0.64161277, throughput:1510
REAL_TEST step:19, travel time:348.77574490329323, q_loss:100, rewards:-153.93144, queue:116.7, delay:0.6159889, throughput:1627
REAL_TEST step:20, travel time:684.4354417145844, q_loss:100, rewards:-335.83603, queue:252.50555, delay:0.6813433, throughput:1450
REAL_TEST step:21, travel time:549.1249346576059, q_loss:100, rewards:-266.59393, queue:232.00278, delay:0.6947487, throughput:1314
REAL_TEST step:22, travel time:719.0052273915317, q_loss:100, rewards:-359.1008, queue:326.67776, delay:0.7100263, throughput:1191
REAL_TEST step:23, travel time:697.1683220073184, q_loss:100, rewards:-347.12482, queue:314.26666, delay:0.7080494, throughput:1200
REAL_TEST step:24, travel time:699.0517511761631, q_loss:100, rewards:-347.9928, queue:315.22223, delay:0.70457107, throughput:1209
REAL_TEST step:25, travel time:438.1134343962363, q_loss:100, rewards:-204.00833, queue:160.15277, delay:0.6164528, throughput:1477
REAL_TEST step:26, travel time:228.87245164662832, q_loss:100, rewards:-87.995026, queue:49.261112, delay:0.432461, throughput:1742
REAL_TEST step:27, travel time:414.4871928907475, q_loss:100, rewards:-190.75883, queue:155.16112, delay:0.6552779, throughput:1524
REAL_TEST step:28, travel time:641.008192244675, q_loss:100, rewards:-301.20413, queue:235.45, delay:0.551382, throughput:1272
REAL_TEST step:29, travel time:360.4777835859906, q_loss:100, rewards:-160.84196, queue:123.775, delay:0.5022259, throughput:1581
REAL_TEST step:30, travel time:207.46576058546785, q_loss:100, rewards:-75.6186, queue:37.45, delay:0.54085726, throughput:1788
REAL_TEST step:31, travel time:394.4568740198641, q_loss:100, rewards:-180.19162, queue:144.73056, delay:0.5870478, throughput:1529
REAL_TEST step:32, travel time:422.7124934657606, q_loss:100, rewards:-196.07355, queue:155.42223, delay:0.5983387, throughput:1479
REAL_TEST step:33, travel time:307.7522216414009, q_loss:100, rewards:-131.67418, queue:94.875, delay:0.61833286, throughput:1661
REAL_TEST step:34, travel time:444.4485101934135, q_loss:100, rewards:-207.21912, queue:134.83055, delay:0.5436375, throughput:1474
REAL_TEST step:35, travel time:468.01463669628856, q_loss:100, rewards:-220.55171, queue:184.50278, delay:0.5981041, throughput:1455
REAL_TEST step:36, travel time:200.75797177208574, q_loss:100, rewards:-72.28694, queue:34.383335, delay:0.5230638, throughput:1785
REAL_TEST step:37, travel time:210.72242550967067, q_loss:100, rewards:-76.90915, queue:37.944443, delay:0.56963265, throughput:1801
REAL_TEST step:38, travel time:866.347972972973, q_loss:100, rewards:-409.3036, queue:361.39722, delay:0.6236017, throughput:936
REAL_TEST step:39, travel time:304.20020909566125, q_loss:100, rewards:-129.57805, queue:92.297226, delay:0.63058084, throughput:1669
REAL_TEST step:40, travel time:501.4971249346576, q_loss:100, rewards:-239.21884, queue:101.42778, delay:0.46160275, throughput:1407
REAL_TEST step:41, travel time:335.37375849451126, q_loss:100, rewards:-146.51277, queue:81.72222, delay:0.50837284, throughput:1648
REAL_TEST step:42, travel time:247.86251960271824, q_loss:100, rewards:-96.735275, queue:58.836113, delay:0.60588205, throughput:1779
REAL_TEST step:43, travel time:456.03554626241504, q_loss:100, rewards:-213.32982, queue:118.791664, delay:0.47870228, throughput:1505
REAL_TEST step:44, travel time:244.64453737584944, q_loss:100, rewards:-96.526924, queue:58.741665, delay:0.5837416, throughput:1733
REAL_TEST step:45, travel time:470.15316257187663, q_loss:100, rewards:-224.17947, queue:139.92223, delay:0.56152236, throughput:1345
REAL_TEST step:46, travel time:250.27339257710403, q_loss:100, rewards:-98.1514, queue:57.958332, delay:0.568799, throughput:1801
REAL_TEST step:47, travel time:249.52430737062207, q_loss:100, rewards:-98.16252, queue:60.59722, delay:0.59079087, throughput:1777
REAL_TEST step:48, travel time:310.4542603240983, q_loss:100, rewards:-132.38078, queue:90.31944, delay:0.5371307, throughput:1694
REAL_TEST step:49, travel time:227.90538421327759, q_loss:100, rewards:-87.4631, queue:49.558334, delay:0.53518504, throughput:1738
REAL_TEST step:50, travel time:431.382645060115, q_loss:100, rewards:-200.83945, queue:135.77777, delay:0.5511892, throughput:1495
REAL_TEST step:51, travel time:269.951907997909, q_loss:100, rewards:-111.585014, queue:74.191666, delay:0.5521815, throughput:1658
REAL_TEST step:52, travel time:554.7496079456351, q_loss:100, rewards:-268.67825, queue:236.05556, delay:0.6580333, throughput:1325
REAL_TEST step:53, travel time:541.2446419236801, q_loss:100, rewards:-260.8977, queue:212.82777, delay:0.6005882, throughput:1359
REAL_TEST step:54, travel time:1010.5954052329291, q_loss:100, rewards:-423.23477, queue:275.52777, delay:0.55451787, throughput:850
REAL_TEST step:55, travel time:237.68949294302143, q_loss:100, rewards:-92.07027, queue:51.40278, delay:0.59589535, throughput:1772
REAL_TEST step:56, travel time:336.0601150026137, q_loss:100, rewards:-145.2605, queue:84.05278, delay:0.5869601, throughput:1709
REAL_TEST step:57, travel time:506.90852064819654, q_loss:100, rewards:-241.3619, queue:182.81667, delay:0.5833432, throughput:1422
REAL_TEST step:58, travel time:223.36382645060115, q_loss:100, rewards:-84.313896, queue:46.494446, delay:0.58697534, throughput:1777
REAL_TEST step:59, travel time:188.35964453737586, q_loss:100, rewards:-64.93165, queue:22.825, delay:0.4624015, throughput:1809
REAL_TEST step:60, travel time:208.93831677992682, q_loss:100, rewards:-75.97831, queue:37.922222, delay:0.59472215, throughput:1799
REAL_TEST step:61, travel time:1103.7462603878116, q_loss:100, rewards:-536.07776, queue:381.14166, delay:0.6666286, throughput:945
REAL_TEST step:62, travel time:316.1944589649765, q_loss:100, rewards:-135.47974, queue:93.60555, delay:0.58177274, throughput:1659
REAL_TEST step:63, travel time:206.35493988499738, q_loss:100, rewards:-74.78249, queue:36.68889, delay:0.60598207, throughput:1802
REAL_TEST step:64, travel time:279.61787767903814, q_loss:100, rewards:-115.36055, queue:47.211113, delay:0.48825592, throughput:1724
REAL_TEST step:65, travel time:333.30057501306845, q_loss:100, rewards:-147.00525, queue:95.76945, delay:0.5437931, throughput:1559
REAL_TEST step:66, travel time:186.03659174072138, q_loss:100, rewards:-63.669437, queue:25.625, delay:0.5575935, throughput:1815
REAL_TEST step:67, travel time:1098.5198847262247, q_loss:100, rewards:-514.82556, queue:403.30276, delay:0.69941723, throughput:817
REAL_TEST step:68, travel time:201.92838473601674, q_loss:100, rewards:-72.38112, queue:34.538887, delay:0.5894255, throughput:1809
REAL_TEST step:69, travel time:207.96759017250392, q_loss:100, rewards:-75.57055, queue:36.886112, delay:0.5561028, throughput:1811
REAL_TEST step:70, travel time:202.70047046523786, q_loss:100, rewards:-73.39557, queue:34.377777, delay:0.5462028, throughput:1781
REAL_TEST step:71, travel time:393.14270778881337, q_loss:100, rewards:-180.12167, queue:144.48889, delay:0.6658704, throughput:1486
REAL_TEST step:72, travel time:387.662310507057, q_loss:100, rewards:-175.30835, queue:114.308334, delay:0.5373984, throughput:1587
REAL_TEST step:73, travel time:909.6218487394958, q_loss:100, rewards:-459.9325, queue:364.43054, delay:0.6759748, throughput:1122
REAL_TEST step:74, travel time:534.1594354417145, q_loss:100, rewards:-256.5464, queue:222.03334, delay:0.6393439, throughput:1403
REAL_TEST step:75, travel time:764.2789532293987, q_loss:100, rewards:-351.61697, queue:248.825, delay:0.6695324, throughput:1513
REAL_TEST step:76, travel time:219.30005227391533, q_loss:100, rewards:-81.80277, queue:44.1, delay:0.610084, throughput:1782
REAL_TEST step:77, travel time:240.32618923157344, q_loss:100, rewards:-92.761665, queue:44.544445, delay:0.5026697, throughput:1813
REAL_TEST step:78, travel time:841.6893411890734, q_loss:100, rewards:-418.48816, queue:388.775, delay:0.71259385, throughput:896
REAL_TEST step:79, travel time:727.9926624737946, q_loss:100, rewards:-367.3836, queue:336.58612, delay:0.73432297, throughput:993
REAL_TEST step:80, travel time:222.91165708311553, q_loss:100, rewards:-83.5078, queue:44.947224, delay:0.58057016, throughput:1805
REAL_TEST step:81, travel time:220.0977522216414, q_loss:100, rewards:-82.83304, queue:42.81389, delay:0.5860523, throughput:1782
REAL_TEST step:82, travel time:311.75378985886044, q_loss:100, rewards:-131.79662, queue:91.547226, delay:0.58367026, throughput:1747
REAL_TEST step:83, travel time:845.6113794954375, q_loss:100, rewards:-421.30795, queue:382.94724, delay:0.67233217, throughput:887
REAL_TEST step:84, travel time:256.19184526921066, q_loss:100, rewards:-102.44252, queue:54.875, delay:0.5558791, throughput:1743
REAL_TEST step:85, travel time:897.3444851019341, q_loss:100, rewards:-450.86554, queue:349.6, delay:0.700787, throughput:1354
REAL_TEST step:86, travel time:420.63199163617355, q_loss:100, rewards:-192.43776, queue:156.94444, delay:0.66606295, throughput:1598
REAL_TEST step:87, travel time:234.60794563512806, q_loss:100, rewards:-90.30667, queue:52.452778, delay:0.5862984, throughput:1790
REAL_TEST step:88, travel time:675.6126502875065, q_loss:100, rewards:-333.7392, queue:301.67776, delay:0.7092695, throughput:1318
REAL_TEST step:89, travel time:330.85833768949294, q_loss:100, rewards:-146.95024, queue:94.06944, delay:0.62207913, throughput:1519
REAL_TEST step:90, travel time:584.3512807109253, q_loss:100, rewards:-286.3764, queue:238.475, delay:0.6230147, throughput:1244
REAL_TEST step:91, travel time:430.8290642969158, q_loss:100, rewards:-199.4028, queue:164.625, delay:0.6545438, throughput:1520
REAL_TEST step:92, travel time:323.1965499215891, q_loss:100, rewards:-138.92332, queue:102.09722, delay:0.62312925, throughput:1703
REAL_TEST step:93, travel time:261.0277051751176, q_loss:100, rewards:-103.90218, queue:66.90833, delay:0.6314667, throughput:1809
REAL_TEST step:94, travel time:575.742812336644, q_loss:100, rewards:-280.0967, queue:247.44167, delay:0.6720966, throughput:1317
REAL_TEST step:95, travel time:620.6884474647151, q_loss:100, rewards:-305.22833, queue:273.50555, delay:0.6830015, throughput:1262
REAL_TEST step:96, travel time:571.7276529012023, q_loss:100, rewards:-277.91022, queue:245.68333, delay:0.6543268, throughput:1316
REAL_TEST step:97, travel time:827.9153162571877, q_loss:100, rewards:-419.36957, queue:360.05276, delay:0.6763899, throughput:1045
REAL_TEST step:98, travel time:902.6711111111111, q_loss:100, rewards:-374.7654, queue:268.5611, delay:0.6585775, throughput:1021
REAL_TEST step:99, travel time:667.5211709357031, q_loss:100, rewards:-331.6587, queue:285.74167, delay:0.60614324, throughput:1205
