Loading cached latent encoders from pretrained/recon_baseline/presslight/tempe_1x1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_1x1/baseline_v1_recon_baseline_s0/model/tempe_1x1_noise5_presslight_latent_observation -> eval real_setting=combine3
REAL_TEST step:1, travel time:342.8290642969158, q_loss:100, rewards:-150.4841, queue:72.36042, delay:1.0736339, throughput:1627
REAL_TEST step:2, travel time:1311.7137229152988, q_loss:100, rewards:-544.3896, queue:480.20316, delay:1.5415895, throughput:598
REAL_TEST step:3, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:656.5039, delay:1.605074, throughput:293
REAL_TEST step:4, travel time:1313.5112391930836, q_loss:100, rewards:-622.0243, queue:443.19962, delay:1.2232711, throughput:624
REAL_TEST step:5, travel time:631.4343962362781, q_loss:100, rewards:-309.53284, queue:216.91977, delay:1.247957, throughput:1345
REAL_TEST step:6, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:385.45325, delay:1.3359632, throughput:806
REAL_TEST step:7, travel time:632.8766335598536, q_loss:100, rewards:-310.0708, queue:167.35469, delay:1.0417708, throughput:1354
REAL_TEST step:8, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:542.9771, delay:1.4483266, throughput:738
REAL_TEST step:9, travel time:504.4072138003136, q_loss:100, rewards:-240.22733, queue:173.93579, delay:1.3369621, throughput:1437
REAL_TEST step:10, travel time:457.1160480920021, q_loss:100, rewards:-213.88884, queue:111.48059, delay:1.2003474, throughput:1510
REAL_TEST step:11, travel time:328.7401986408782, q_loss:100, rewards:-142.75551, queue:110.281586, delay:1.1802155, throughput:1653
REAL_TEST step:12, travel time:416.01045478306327, q_loss:100, rewards:-191.34944, queue:149.04523, delay:1.2484473, throughput:1542
REAL_TEST step:13, travel time:467.66387872451645, q_loss:100, rewards:-218.96526, queue:190.1651, delay:1.3925979, throughput:1534
REAL_TEST step:14, travel time:425.6743335075797, q_loss:100, rewards:-196.61612, queue:166.21365, delay:1.4220891, throughput:1538
REAL_TEST step:15, travel time:425.14898065865134, q_loss:100, rewards:-196.19188, queue:170.03348, delay:1.5751013, throughput:1538
REAL_TEST step:16, travel time:863.7431309904154, q_loss:100, rewards:-355.23325, queue:291.77176, delay:1.2597446, throughput:1033
REAL_TEST step:17, travel time:366.4704652378463, q_loss:100, rewards:-163.84166, queue:123.20075, delay:1.3515851, throughput:1579
REAL_TEST step:18, travel time:414.6941975953999, q_loss:100, rewards:-190.58476, queue:135.30112, delay:1.2808709, throughput:1544
REAL_TEST step:19, travel time:324.47412441191847, q_loss:100, rewards:-140.15863, queue:107.21112, delay:1.1860795, throughput:1673
REAL_TEST step:20, travel time:415.8238369053842, q_loss:100, rewards:-191.151, queue:142.88953, delay:1.057458, throughput:1542
REAL_TEST step:21, travel time:419.9038159958181, q_loss:100, rewards:-193.62779, queue:148.60939, delay:1.3107865, throughput:1535
REAL_TEST step:22, travel time:678.9398849973863, q_loss:100, rewards:-336.7531, queue:249.00308, delay:1.2849668, throughput:1251
REAL_TEST step:23, travel time:520.4061683220074, q_loss:100, rewards:-248.91864, queue:206.51738, delay:1.3317457, throughput:1426
REAL_TEST step:24, travel time:375.26555148980657, q_loss:100, rewards:-168.5555, queue:145.42513, delay:1.3839288, throughput:1597
REAL_TEST step:25, travel time:324.07527443805543, q_loss:100, rewards:-140.2214, queue:107.35497, delay:1.1542443, throughput:1651
REAL_TEST step:26, travel time:416.69472033455304, q_loss:100, rewards:-191.57333, queue:161.22005, delay:1.2794875, throughput:1549
REAL_TEST step:27, travel time:353.9947726084684, q_loss:100, rewards:-156.31448, queue:101.155556, delay:1.3265524, throughput:1641
REAL_TEST step:28, travel time:747.7842900302115, q_loss:100, rewards:-320.82938, queue:259.59918, delay:1.1374589, throughput:1181
REAL_TEST step:29, travel time:333.1636173549399, q_loss:100, rewards:-145.08446, queue:85.26964, delay:1.2334819, throughput:1649
REAL_TEST step:30, travel time:226.8839519079979, q_loss:100, rewards:-85.263336, queue:38.16587, delay:1.0466034, throughput:1807
REAL_TEST step:31, travel time:554.7370410367171, q_loss:100, rewards:-258.71338, queue:234.26088, delay:1.2862217, throughput:1371
REAL_TEST step:32, travel time:392.5974908520648, q_loss:100, rewards:-177.42166, queue:122.34752, delay:1.2484609, throughput:1609
REAL_TEST step:33, travel time:502.26868792472555, q_loss:100, rewards:-237.7459, queue:182.21758, delay:1.0506328, throughput:1511
REAL_TEST step:34, travel time:268.1719811813905, q_loss:100, rewards:-108.632744, queue:69.11701, delay:1.2008668, throughput:1731
REAL_TEST step:35, travel time:214.3967590172504, q_loss:100, rewards:-79.75586, queue:41.929646, delay:1.2846239, throughput:1776
REAL_TEST step:36, travel time:251.28071092524831, q_loss:100, rewards:-100.122475, queue:72.959404, delay:1.2096922, throughput:1717
REAL_TEST step:37, travel time:488.8410872974386, q_loss:100, rewards:-230.6806, queue:149.40833, delay:1.2714138, throughput:1505
REAL_TEST step:38, travel time:429.9595791805094, q_loss:100, rewards:-185.64442, queue:95.78875, delay:1.1488523, throughput:1536
