Loading cached latent encoders from pretrained/vae_embedding/presslight/tempe_1x1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_presslight/tempe_1x1/baseline_v1_vae_s0/model/tempe_1x1_noise5_presslight_latent_observation -> eval real_setting=dz10
REAL_TEST step:2, travel time:1313.5112391930836, q_loss:100, rewards:-622.0243, queue:597.41943, delay:0.76376784, throughput:624
REAL_TEST step:4, travel time:1693.7977695167285, q_loss:100, rewards:-624.70636, queue:606.5195, delay:0.72988814, throughput:380
REAL_TEST step:6, travel time:1181.7055779183438, q_loss:100, rewards:-557.49255, queue:531.6139, delay:0.7606755, throughput:746
REAL_TEST step:8, travel time:1197.864553314121, q_loss:100, rewards:-564.13696, queue:538.4472, delay:0.76202315, throughput:738
REAL_TEST step:10, travel time:1313.5112391930836, q_loss:100, rewards:-622.0243, queue:597.41943, delay:0.76376784, throughput:624
REAL_TEST step:12, travel time:1313.5112391930836, q_loss:100, rewards:-622.0243, queue:597.41943, delay:0.76376784, throughput:624
REAL_TEST step:14, travel time:1313.5112391930836, q_loss:100, rewards:-622.0243, queue:597.41943, delay:0.76376784, throughput:624
REAL_TEST step:16, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:413.05276, delay:0.7330412, throughput:806
REAL_TEST step:18, travel time:1313.5112391930836, q_loss:100, rewards:-622.0243, queue:597.41943, delay:0.76376784, throughput:624
REAL_TEST step:20, travel time:1313.5112391930836, q_loss:100, rewards:-622.0243, queue:597.41943, delay:0.76376784, throughput:624
REAL_TEST step:22, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:413.05276, delay:0.7330412, throughput:806
REAL_TEST step:24, travel time:1311.5164265129683, q_loss:100, rewards:-621.04175, queue:596.4361, delay:0.76334006, throughput:625
REAL_TEST step:26, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:413.05276, delay:0.7330412, throughput:806
REAL_TEST step:28, travel time:524.0392054364872, q_loss:100, rewards:-250.92505, queue:215.225, delay:0.63563854, throughput:1428
REAL_TEST step:30, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:413.05276, delay:0.7330412, throughput:806
REAL_TEST step:32, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:413.05276, delay:0.7330412, throughput:806
REAL_TEST step:34, travel time:524.6105593308939, q_loss:100, rewards:-251.26831, queue:215.64444, delay:0.63642675, throughput:1419
REAL_TEST step:36, travel time:1693.7977695167285, q_loss:100, rewards:-624.70636, queue:606.5195, delay:0.72988814, throughput:380
REAL_TEST step:38, travel time:524.7229482488239, q_loss:100, rewards:-251.30305, queue:215.5389, delay:0.6418944, throughput:1426
REAL_TEST step:40, travel time:1076.1372291529876, q_loss:100, rewards:-439.4231, queue:413.05276, delay:0.7330412, throughput:806
REAL_TEST step:42, travel time:1141.1031700288183, q_loss:100, rewards:-535.1353, queue:509.15, delay:0.6982215, throughput:797
REAL_TEST step:44, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:651.33057, delay:0.76152635, throughput:293
REAL_TEST step:46, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:651.33057, delay:0.76152635, throughput:293
REAL_TEST step:48, travel time:750.9376606683804, q_loss:100, rewards:-302.4262, queue:273.5111, delay:0.6440223, throughput:1105
REAL_TEST step:50, travel time:1082.2558806655193, q_loss:100, rewards:-508.63272, queue:482.1861, delay:0.7236695, throughput:855
REAL_TEST step:52, travel time:755.28, q_loss:100, rewards:-298.03854, queue:269.48334, delay:0.6215913, throughput:1095
REAL_TEST step:54, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:651.33057, delay:0.76152635, throughput:293
REAL_TEST step:56, travel time:1069.3328956007879, q_loss:100, rewards:-436.4862, queue:410.09723, delay:0.73081684, throughput:809
REAL_TEST step:58, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:651.33057, delay:0.76152635, throughput:293
REAL_TEST step:60, travel time:613.9102132435465, q_loss:100, rewards:-278.90698, queue:248.08888, delay:0.55078995, throughput:1281
REAL_TEST step:62, travel time:212.32357553580763, q_loss:100, rewards:-78.56083, queue:40.730556, delay:0.43274105, throughput:1770
REAL_TEST step:64, travel time:920.0478662053057, q_loss:100, rewards:-424.3471, queue:397.675, delay:0.5150624, throughput:1004
REAL_TEST step:66, travel time:883.623768877216, q_loss:100, rewards:-354.7079, queue:327.7361, delay:0.60052997, throughput:975
REAL_TEST step:68, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:651.33057, delay:0.76152635, throughput:293
REAL_TEST step:70, travel time:1736.2270389419543, q_loss:100, rewards:-650.4543, queue:632.35834, delay:0.7581843, throughput:318
REAL_TEST step:72, travel time:1802.1799256505576, q_loss:100, rewards:-667.8863, queue:650.33057, delay:0.7604554, throughput:294
REAL_TEST step:74, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:651.33057, delay:0.76152635, throughput:293
REAL_TEST step:76, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:651.33057, delay:0.76152635, throughput:293
REAL_TEST step:78, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:651.33057, delay:0.76152635, throughput:293
REAL_TEST step:80, travel time:913.8360655737705, q_loss:100, rewards:-369.38907, queue:342.9111, delay:0.5672681, throughput:951
REAL_TEST step:82, travel time:1367.70029455081, q_loss:100, rewards:-502.6846, queue:482.475, delay:0.6497184, throughput:628
REAL_TEST step:84, travel time:1802.1799256505576, q_loss:100, rewards:-667.8863, queue:650.33057, delay:0.7604554, throughput:294
REAL_TEST step:86, travel time:1802.1799256505576, q_loss:100, rewards:-667.8863, queue:650.33057, delay:0.7604554, throughput:294
REAL_TEST step:88, travel time:1804.753903345725, q_loss:100, rewards:-668.8644, queue:651.33057, delay:0.76152635, throughput:293
REAL_TEST step:90, travel time:1802.1799256505576, q_loss:100, rewards:-667.8863, queue:650.33057, delay:0.7604554, throughput:294
REAL_TEST step:92, travel time:1770.2851879145173, q_loss:100, rewards:-661.61096, queue:643.8778, delay:0.75610656, throughput:308
REAL_TEST step:94, travel time:1802.1799256505576, q_loss:100, rewards:-667.8863, queue:650.33057, delay:0.7604554, throughput:294
REAL_TEST step:96, travel time:1361.2223692918596, q_loss:100, rewards:-560.9232, queue:540.79724, delay:0.65708494, throughput:562
REAL_TEST step:98, travel time:698.373417721519, q_loss:100, rewards:-314.8969, queue:285.3639, delay:0.5664156, throughput:1197
REAL_TEST step:100, travel time:1568.7355555555555, q_loss:100, rewards:-580.04425, queue:562.08887, delay:0.5537667, throughput:436
REAL_TEST step:102, travel time:1682.1609792284867, q_loss:100, rewards:-622.9755, queue:605.15, delay:0.7234274, throughput:372
REAL_TEST step:104, travel time:1315.3273311897105, q_loss:100, rewards:-556.131, queue:535.66943, delay:0.6282663, throughput:648
REAL_TEST step:106, travel time:759.1156670746634, q_loss:100, rewards:-324.25854, queue:296.14444, delay:0.5669568, throughput:1092
REAL_TEST step:108, travel time:1359.7213765718068, q_loss:100, rewards:-560.2397, queue:540.11664, delay:0.64310676, throughput:565
REAL_TEST step:110, travel time:1267.6698292220115, q_loss:100, rewards:-544.27783, queue:523.4722, delay:0.57755506, throughput:669
REAL_TEST step:112, travel time:1802.1799256505576, q_loss:100, rewards:-667.8863, queue:650.33057, delay:0.7604554, throughput:294
REAL_TEST step:114, travel time:1262.6532915360501, q_loss:100, rewards:-546.6055, queue:525.5972, delay:0.6020178, throughput:691
REAL_TEST step:116, travel time:1802.1799256505576, q_loss:100, rewards:-667.8863, queue:650.33057, delay:0.7604554, throughput:294
REAL_TEST step:118, travel time:1802.1799256505576, q_loss:100, rewards:-667.8863, queue:650.33057, delay:0.7604554, throughput:294
REAL_TEST step:120, travel time:1364.7592838196285, q_loss:100, rewards:-561.39307, queue:541.25, delay:0.67529005, throughput:555
REAL_TEST step:122, travel time:1802.1799256505576, q_loss:100, rewards:-667.8863, queue:650.33057, delay:0.7604554, throughput:294
REAL_TEST step:124, travel time:1802.1799256505576, q_loss:100, rewards:-667.8863, queue:650.33057, delay:0.7604554, throughput:294
REAL_TEST step:126, travel time:1802.1799256505576, q_loss:100, rewards:-667.8863, queue:650.33057, delay:0.7604554, throughput:294
REAL_TEST step:128, travel time:1802.1799256505576, q_loss:100, rewards:-667.8863, queue:650.33057, delay:0.7604554, throughput:294
REAL_TEST step:130, travel time:914.1361286616886, q_loss:100, rewards:-423.15988, queue:396.3111, delay:0.47501582, throughput:1013
REAL_TEST step:132, travel time:1492.8957011980267, q_loss:100, rewards:-579.2974, queue:560.4861, delay:0.6409652, throughput:493
REAL_TEST step:134, travel time:914.8360184119678, q_loss:100, rewards:-422.78143, queue:395.99722, delay:0.47112012, throughput:1009
REAL_TEST step:136, travel time:1489.3572953736655, q_loss:100, rewards:-572.1999, queue:553.5, delay:0.6059096, throughput:482
REAL_TEST step:138, travel time:1673.2640949554896, q_loss:100, rewards:-619.6293, queue:601.93335, delay:0.7043466, throughput:373
