exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	0	130.8	0.0	-7.26	6.01	0.51	1399	-1.13	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	1	130.3	0.0	-7.00	5.96	0.48	1398	-1.00	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	2	141.3	1.5	-12.26	10.62	0.54	1347	-1.51	0.0000			1053.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	3	126.7	0.6	-5.19	4.49	0.45	1396	-0.86	0.0000			260.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	4	124.6	0.2	-5.10	3.96	0.50	1393	-0.93	0.0000			216.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	5	121.1	0.1	-3.66	2.80	0.47	1394	-0.74	0.0000			213.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	6	122.0	0.1	-3.74	3.02	0.45	1394	-0.72	0.0000			244.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	7	120.3	0.1	-2.88	2.34	0.43	1398	-0.61	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	8	120.0	0.1	-2.83	2.26	0.43	1399	-0.57	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	9	120.3	0.1	-2.91	2.35	0.43	1398	-0.57	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	10	120.3	0.1	-2.94	2.36	0.43	1399	-0.59	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	11	120.9	0.1	-3.18	2.62	0.43	1399	-0.60	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	12	120.0	0.1	-2.84	2.31	0.43	1399	-0.59	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	13	120.9	0.1	-3.21	2.64	0.44	1396	-0.63	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	14	120.1	0.1	-2.92	2.38	0.44	1399	-0.55	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	15	121.0	0.1	-3.29	2.65	0.44	1399	-0.62	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	16	121.5	0.1	-3.67	2.94	0.44	1392	-0.66	0.0000			259.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	17	120.5	0.1	-3.03	2.45	0.43	1399	-0.59	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	18	120.7	0.1	-3.20	2.60	0.44	1399	-0.59	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	19	121.0	0.1	-3.32	2.76	0.43	1399	-0.60	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	20	120.8	0.1	-3.46	2.72	0.45	1399	-2.21	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	21	121.6	0.1	-3.39	2.82	0.43	1399	-2.07	0.0000			0.0000						
bullhead_1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	22	120.3	0.1	-2.97	2.41	0.43	1398	-2.00	0.0000			201.0000						
