exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	0	269.0	0.0	-66.11	62.30	0.67	1276	-2.86	0.0000			0.0000	682.8748	221.3815	5.0000	754.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	1	272.6	0.0	-67.62	65.06	0.62	1217	-2.89	0.0000			0.0000	686.2475	222.4750	2.0000	793.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	2	258.3	0.3	-60.78	57.71	0.66	1316	-2.71	0.0000			0.0000	661.4109	214.4229	11.0000	868.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	2	630.5	100.0	-179.68	159.19	0.84	775		-5.9823	queue=0.7503;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=5.232		208.0000	1099.7713	356.5383	0.0000	345.0000	0.0000	queue=15.0065;delay=0.8377;waiting=16886.5993;pressure=176.9333;switches=0.0306;emission=26.1598
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	3	158.8	0.1	-33.30	16.22	0.78	1356	-1.91	0.0000			678.0000	441.7530	143.2115	1.0000	394.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	4	148.1	0.2	-15.33	11.77	0.60	1369	-1.39	0.0000			155.0000	421.8870	136.7709	11.0000	494.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	4	231.0	100.0	-51.83	42.34	0.68	1255		-2.4475	queue=0.2174;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=2.2301		697.0000	583.5555	189.1830	9.0000	791.0000	0.0000	queue=4.3484;delay=0.6835;waiting=4571.5424;pressure=66.4472;switches=0.6361;emission=11.1506
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	5	128.9	0.2	-5.77	4.43	0.53	1374	-1.10	0.0000			155.0000	378.7994	122.8023	9.0000	298.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	6	128.3	0.1	-5.11	4.17	0.50	1376	-1.08	0.0000			0.0000	377.5965	122.4123	14.0000	269.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	6	214.6	100.0	-44.42	36.69	0.66	1275		-2.2283	queue=0.1873;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=2.041		699.0000	552.6751	179.1718	9.0000	583.0000	0.0000	queue=3.7454;delay=0.6578;waiting=3570.5412;pressure=60.7417;switches=0.7306;emission=10.2052
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	7	129.0	0.1	-4.85	4.46	0.46	1371	-1.07	0.0000			0.0000	378.7093	122.7730	13.0000	246.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	8	128.0	0.1	-4.69	4.08	0.48	1372	-1.07	0.0000			159.0000	376.5436	122.0710	16.0000	221.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	8	212.9	100.0	-43.56	36.38	0.63	1270		-2.1974	queue=0.1838;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=2.0136		691.0000	547.6988	177.5586	12.0000	307.0000	0.0000	queue=3.6769;delay=0.6262;waiting=3524.2208;pressure=60.375;switches=0.8694;emission=10.068
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	9	128.7	0.1	-4.97	4.35	0.50	1371	-1.08	0.0000			0.0000	378.4804	122.6988	9.0000	253.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	10	128.5	0.1	-4.72	4.29	0.46	1375	-1.07	0.0000			154.0000	377.3859	122.3440	11.0000	213.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	10	126.9	100.0	-4.33	3.64	0.52	1374		-1.0565	queue=0.021;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=1.0355		681.0000	374.2286	121.3204	14.0000	180.0000	0.0000	queue=0.4192;delay=0.5243;waiting=19.3063;pressure=27.8444;switches=0.9972;emission=5.1776
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	11	126.6	0.0	-3.94	3.51	0.47	1375	-1.05	0.0000			0.0000	373.5271	121.0930	14.0000	219.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	12	125.5	0.0	-4.25	3.12	0.51	1374	-1.05	0.0000			0.0000	371.5407	120.4490	13.0000	194.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	12	124.8	100.0	-3.82	2.99	0.48	1375		-1.0413	queue=0.0178;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=1.0235		0.0000	368.5177	119.4690	8.0000	113.0000	0.0000	queue=0.3565;delay=0.4762;waiting=13.8919;pressure=27.0028;switches=0.5667;emission=5.1176
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	13	125.9	0.0	-3.69	3.20	0.47	1374	-1.04	0.0000			154.0000	372.3592	120.7144	15.0000	233.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	14	124.3	0.0	-2.79	2.63	0.43	1375	-1.01	0.0000			0.0000	368.7104	119.5315	14.0000	191.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	14	124.6	100.0	-2.37	2.68	0.38	1372		-0.9999	queue=0.0127;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.9872		0.0000	369.6706	119.8427	6.0000	244.0000	0.0000	queue=0.2544;delay=0.3833;waiting=4.5708;pressure=26.9139;switches=0.9833;emission=4.9358
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	15	125.0	0.0	-3.30	2.84	0.46	1375	-1.03	0.0000			0.0000	370.2809	120.0406	10.0000	204.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	16	124.3	0.0	-2.95	2.64	0.44	1374	-1.02	0.0000			154.0000	368.5390	119.4759	19.0000	189.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	16	121.9	100.0	-1.64	1.78	0.38	1376		-0.9763	queue=0.0099;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.9664		0.0000	362.8842	117.6427	12.0000	111.0000	0.0000	queue=0.1979;delay=0.3766;waiting=1.8891;pressure=25.95;switches=0.9917;emission=4.8322
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	17	124.7	0.0	-3.20	2.76	0.46	1373	-1.02	0.0000			0.0000	369.3914	119.7522	15.0000	192.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	18	124.7	0.0	-3.03	2.76	0.45	1375	-1.02	0.0000			0.0000	369.6635	119.8404	9.0000	184.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	18	122.7	100.0	-2.34	2.05	0.44	1376		-0.9980	queue=0.0129;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.9851		681.0000	364.8963	118.2950	14.0000	99.0000	0.0000	queue=0.2586;delay=0.4358;waiting=7.4704;pressure=26.2444;switches=0.9972;emission=4.9254
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	19	124.3	0.0	-2.79	2.62	0.43	1376	-1.01	0.0000			0.0000	368.8507	119.5770	13.0000	175.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	20	124.4	0.0	-2.75	2.63	0.42	1374	-1.01	0.0000			0.0000	369.0226	119.6327	8.0000	182.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	20	125.4	100.0	-2.53	3.03	0.40	1374		-1.0024	queue=0.0137;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.9887		154.0000	371.3853	120.3986	17.0000	165.0000	0.0000	queue=0.2743;delay=0.3956;waiting=6.9926;pressure=27.2861;switches=1.0;emission=4.9435
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	21	124.8	0.0	-2.99	2.80	0.43	1373	-1.02	0.0000			153.0000	370.0133	119.9539	11.0000	198.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	22	124.4	0.0	-2.63	2.66	0.41	1376	-1.01	0.0000			154.0000	368.4508	119.4473	14.0000	179.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	22	124.1	100.0	-2.21	2.55	0.40	1373		-0.9938	queue=0.0122;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.9816		154.0000	368.3737	119.4223	13.0000	124.0000	0.0000	queue=0.2442;delay=0.3951;waiting=4.2736;pressure=26.7972;switches=0.9667;emission=4.908
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	23	124.5	0.0	-2.62	2.65	0.42	1375	-1.01	0.0000			154.0000	369.3166	119.7280	19.0000	189.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	24	124.7	0.0	-2.92	2.76	0.43	1377	-1.02	0.0000			153.0000	370.0928	119.9796	23.0000	184.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	24	121.9	100.0	-1.49	1.78	0.37	1377		-0.9726	queue=0.0095;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.9631		0.0000	363.3103	117.7808	8.0000	100.0000	0.0000	queue=0.1898;delay=0.3668;waiting=1.6315;pressure=25.9222;switches=0.9722;emission=4.8155
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	25	124.3	0.0	-2.61	2.61	0.41	1375	-1.01	0.0000			154.0000	368.7096	119.5312	13.0000	185.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	26	123.7	0.0	-2.40	2.47	0.41	1375	-1.00	0.0000			0.0000	367.0745	119.0011	9.0000	150.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	26	124.2	100.0	-3.82	2.75	0.49	1373		-1.0426	queue=0.018;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=1.0245		672.0000	367.2636	119.0625	6.0000	132.0000	0.0000	queue=0.3602;delay=0.4884;waiting=13.1535;pressure=26.7889;switches=0.7528;emission=5.1227
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	27	123.8	0.0	-2.48	2.49	0.41	1373	-1.00	0.0000			0.0000	367.6631	119.1919	14.0000	159.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	28	123.8	0.0	-2.44	2.49	0.40	1375	-1.00	0.0000			0.0000	367.7075	119.2063	15.0000	171.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	28	122.6	100.0	-1.69	2.01	0.37	1375		-0.9784	queue=0.0102;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.9681		153.0000	364.9975	118.3278	13.0000	156.0000	0.0000	queue=0.2044;delay=0.3703;waiting=1.763;pressure=26.2194;switches=1.0;emission=4.8407
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	29	124.3	0.0	-2.69	2.63	0.42	1375	-1.01	0.0000			0.0000	368.6019	119.4963	9.0000	164.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	30	124.0	0.0	-2.40	2.47	0.40	1376	-1.00	0.0000			0.0000	367.8220	119.2435	12.0000	161.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	30	123.6	100.0	-2.20	2.44	0.39	1375		-0.9951	queue=0.0118;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.9833		154.0000	366.2916	118.7473	13.0000	100.0000	0.0000	queue=0.2368;delay=0.3947;waiting=5.16;pressure=26.5222;switches=0.6917;emission=4.9164
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	31	124.4	0.0	-2.62	2.64	0.42	1376	-1.01	0.0000			0.0000	368.7336	119.5390	15.0000	182.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	32	124.1	0.0	-2.73	2.63	0.42	1371	-1.01	0.0000			0.0000	367.6696	119.1940	16.0000	169.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	32	122.8	100.0	-1.92	2.12	0.37	1375		-0.9861	queue=0.0108;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.9753		0.0000	364.8390	118.2764	11.0000	133.0000	0.0000	queue=0.2153;delay=0.3746;waiting=3.2694;pressure=26.2028;switches=0.9278;emission=4.8766
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	33	124.3	0.0	-2.64	2.64	0.41	1376	-1.01	0.0000			0.0000	368.3656	119.4197	12.0000	198.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	34	124.0	0.0	-2.52	2.60	0.41	1376	-1.00	0.0000			0.0000	367.7045	119.2053	12.0000	184.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	34	122.3	100.0	-1.55	1.84	0.37	1375		-0.9740	queue=0.0096;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.9644		154.0000	364.1673	118.0586	20.0000	107.0000	0.0000	queue=0.1924;delay=0.3719;waiting=1.6581;pressure=26.0889;switches=0.9028;emission=4.8219
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	35	124.1	0.0	-2.51	2.58	0.41	1374	-1.00	0.0000			154.0000	368.1540	119.3511	8.0000	166.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	36	124.1	0.0	-2.56	2.54	0.41	1376	-1.01	0.0000			0.0000	368.2154	119.3710	11.0000	199.0000	0.0000	
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TEST	36	122.9	100.0	-1.87	2.10	0.36	1376		-0.9848	queue=0.0106;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.9743		0.0000	365.4254	118.4665	19.0000	159.0000	0.0000	queue=0.2111;delay=0.364;waiting=2.7738;pressure=26.2444;switches=0.9028;emission=4.8714
bullhead_1_emission_heavy_dqn_reward_oracle	REAL_TRAIN	37	124.1	0.0	-2.48	2.52	0.41	1375	-1.00	0.0000			0.0000	368.4991	119.4630	11.0000	187.0000	0.0000	
