exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	0	269.0	0.0	-66.11	62.30	0.67	1276	-0.70	0.0000			0.0000	682.8748	221.3815	5.0000	754.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	1	272.6	0.0	-67.62	65.06	0.62	1217	-0.72	0.0000			0.0000	686.2475	222.4750	2.0000	793.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	2	264.6	0.0	-64.88	62.04	0.65	1209	-0.75	0.0000			216.0000	668.9385	216.8635	13.0000	865.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TEST	2	2492.7	100.0	-481.70	470.57	0.77	55		-2.3611	queue=2.0105;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.3506;collisions=0.0		2.0000	2634.0042	853.9295	0.0000	631.0000	0.0000	queue=40.2106;delay=0.773;waiting=56225.6949;pressure=477.3222;switches=0.0083;ssm_conflicts=1.7528;collisions=0.0
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	3	157.3	0.0	-31.66	15.71	0.78	1357	-0.33	0.0000			517.0000	439.1593	142.3706	6.0000	354.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	4	142.4	0.0	-21.45	9.57	0.67	1353	-0.20	0.0000			547.0000	403.3007	130.7455	5.0000	188.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TEST	4	141.3	100.0	-22.99	8.64	0.70	1330		-0.1494	queue=0.0978;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.0517;collisions=0.0		572.0000	393.9141	127.7024	9.0000	93.0000	0.0000	queue=1.9551;delay=0.7048;waiting=2555.5884;pressure=32.5583;switches=0.8194;ssm_conflicts=0.2583;collisions=0.0
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	5	140.4	0.0	-21.52	8.68	0.70	1348	-0.20	0.0000			552.0000	397.8845	128.9896	14.0000	188.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	6	137.7	0.0	-20.38	8.07	0.68	1368	-0.17	0.0000			534.0000	395.8122	128.3178	12.0000	152.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TEST	6	136.7	100.0	-18.44	7.75	0.67	1369		-0.1542	queue=0.0786;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.0756;collisions=0.0		533.0000	394.3000	127.8275	8.0000	136.0000	0.0000	queue=1.572;delay=0.6695;waiting=346.3461;pressure=31.775;switches=0.7222;ssm_conflicts=0.3778;collisions=0.0
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	7	132.6	0.0	-13.74	6.13	0.69	1369	-0.15	0.0000			532.0000	384.8909	124.7771	10.0000	164.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	8	133.6	0.0	-15.07	6.47	0.66	1370	-0.14	0.0000			674.0000	387.3184	125.5641	8.0000	140.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TEST	8	141.4	100.0	-21.12	9.39	0.67	1356		-0.1567	queue=0.0894;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.0672;collisions=0.0		542.0000	400.5301	129.8473	5.0000	121.0000	0.0000	queue=1.7887;delay=0.6679;waiting=617.262;pressure=33.2611;switches=0.4417;ssm_conflicts=0.3361;collisions=0.0
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	9	132.4	0.0	-13.74	6.06	0.63	1371	-0.14	0.0000			530.0000	384.9329	124.7908	7.0000	148.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	10	131.3	0.0	-12.26	5.50	0.65	1373	-0.14	0.0000			674.0000	382.8032	124.1003	11.0000	158.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TEST	10	155.7	100.0	-33.95	13.62	0.80	1298		-0.1856	queue=0.1422;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.0433;collisions=0.0		724.0000	416.5456	135.0395	2.0000	78.0000	0.0000	queue=2.8449;delay=0.8001;waiting=2952.3183;pressure=37.3389;switches=0.375;ssm_conflicts=0.2167;collisions=0.0
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	11	130.6	0.0	-11.65	5.25	0.63	1375	-0.14	0.0000			0.0000	381.5955	123.7088	9.0000	153.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	12	129.2	0.0	-10.23	4.76	0.59	1372	-0.11	0.0000			531.0000	377.9764	122.5355	6.0000	122.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TEST	12	133.1	100.0	-14.84	6.28	0.66	1373		-0.1257	queue=0.0635;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.0622;collisions=0.0		528.0000	385.8290	125.0813	3.0000	112.0000	0.0000	queue=1.2694;delay=0.6568;waiting=214.9826;pressure=30.2722;switches=0.6417;ssm_conflicts=0.3111;collisions=0.0
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	13	127.5	0.0	-7.32	3.99	0.56	1374	-0.11	0.0000			0.0000	374.7121	121.4772	10.0000	145.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	14	125.8	0.0	-4.69	3.28	0.50	1373	-0.12	0.0000			0.0000	371.6981	120.5001	10.0000	168.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TEST	14	126.4	100.0	-4.67	3.48	0.52	1374		-0.0998	queue=0.0226;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.0772;collisions=0.0		154.0000	373.3709	121.0424	24.0000	139.0000	0.0000	queue=0.4523;delay=0.5168;waiting=16.9444;pressure=27.6889;switches=1.0;ssm_conflicts=0.3861;collisions=0.0
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	15	125.2	0.0	-4.37	3.07	0.51	1376	-0.11	0.0000			155.0000	369.9835	119.9442	8.0000	156.0000	0.0000	
bullhead_1_physical_safety_heavy_dqn_reward_oracle	REAL_TRAIN	16	125.1	0.0	-4.63	3.05	0.53	1375	-0.11	0.0000			154.0000	369.8817	119.9112	7.0000	155.0000	0.0000	
