MORLGrid: 16 grid policies
SIM_TRAIN step:0, travel time:162.56109839816935, q_loss:0, rewards:-33.121204, queue:7.7444444, delay:0.53099185, throughput:4252, raw_metrics:{'fairness': 190.667}
SIM_TRAIN step:1, travel time:179.45718864468864, q_loss:0, rewards:-34.311066, queue:8.025, delay:0.5307252, throughput:4157, raw_metrics:{'fairness': 1304.0}
SIM_TRAIN step:2, travel time:178.81387362637363, q_loss:5.8490963, rewards:-33.967957, queue:8.096296, delay:0.5350305, throughput:4208, raw_metrics:{'fairness': 177.333}
SIM_TRAIN step:3, travel time:272.0395971618219, q_loss:0.85950387, rewards:-114.001625, queue:33.121296, delay:0.5624159, throughput:3985, raw_metrics:{'fairness': 604.333}
SIM_TRAIN step:4, travel time:336.1515220874342, q_loss:0.30561346, rewards:-63.243923, queue:16.016666, delay:0.57471687, throughput:3749, raw_metrics:{'fairness': 749.667}
SIM_TRAIN step:5, travel time:245.32852894074583, q_loss:0.25335285, rewards:-62.86856, queue:15.706482, delay:0.6039974, throughput:4187, raw_metrics:{'fairness': 1291.333}
SIM_TRAIN step:6, travel time:136.8731684981685, q_loss:0.17402013, rewards:-25.939396, queue:6.086111, delay:0.57133704, throughput:4264, raw_metrics:{'fairness': 1352.0}
SIM_TRAIN step:7, travel time:149.65247252747253, q_loss:0.13420065, rewards:-36.07824, queue:8.687037, delay:0.5919689, throughput:4289, raw_metrics:{'fairness': 547.667}
SIM_TRAIN step:8, travel time:135.39002059967956, q_loss:0.11175598, rewards:-23.048328, queue:5.4722223, delay:0.56317997, throughput:4297, raw_metrics:{'fairness': 1058.667}
REAL_TRAIN step:1, travel time:753.3194119612428, q_loss:100, rewards:-375.61154, queue:104.5, delay:0.7495437, throughput:2156, R_real:-19.6336, components:{'queue': 1.569, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'emission': 18.065}, raw_metrics:{'fairness': 506.0, 'emission': 3612.914, 'fuel': 1171.282, 'emergency_stops': 3.0, 'collisions': 0.0, 'ssm_conflicts': 839.0}, grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2
SIM_TRAIN step:9, travel time:189.37900274473924, q_loss:0, rewards:-35.07807, queue:8.314815, delay:0.5226583, throughput:4154, raw_metrics:{'fairness': 1395.0}
SIM_TRAIN step:10, travel time:166.60096153846155, q_loss:0, rewards:-35.370556, queue:8.383333, delay:0.53859514, throughput:4204, raw_metrics:{'fairness': 177.0}
SIM_TRAIN step:11, travel time:202.8274994280485, q_loss:5.910028, rewards:-36.33149, queue:8.712037, delay:0.52033037, throughput:4166, raw_metrics:{'fairness': 173.0}
SIM_TRAIN step:12, travel time:333.4470130464637, q_loss:0.8558923, rewards:-252.64883, queue:76.80741, delay:0.66292, throughput:3917, raw_metrics:{'fairness': 2009.667}
SIM_TRAIN step:13, travel time:457.6258581235698, q_loss:0.18431851, rewards:-103.16884, queue:26.716667, delay:0.6677505, throughput:3480, raw_metrics:{'fairness': 1464.333}
SIM_TRAIN step:14, travel time:527.7825091575091, q_loss:0.17899145, rewards:-195.68546, queue:59.046295, delay:0.58288133, throughput:3274, raw_metrics:{'fairness': 1986.0}
SIM_TRAIN step:15, travel time:581.1959258411536, q_loss:0.2370935, rewards:-268.7977, queue:80.40833, delay:0.62675387, throughput:3383, raw_metrics:{'fairness': 481.0}
SIM_TRAIN step:16, travel time:513.6923076923077, q_loss:0.29040283, rewards:-195.29327, queue:58.610184, delay:0.56208843, throughput:3511, raw_metrics:{'fairness': 554.0}
SIM_TRAIN step:17, travel time:415.39505607690546, q_loss:0.22535501, rewards:-56.260147, queue:12.884259, delay:0.5927049, throughput:3572, raw_metrics:{'fairness': 31.333}
REAL_TRAIN step:2, travel time:322.9845981517782, q_loss:100, rewards:-199.11667, queue:48.95, delay:0.6582078, throughput:3219, R_real:-10.8025, components:{'queue': 0.833, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'emission': 9.97}, raw_metrics:{'fairness': 402.333, 'emission': 1935.603, 'fuel': 627.504, 'emergency_stops': 9.0, 'collisions': 1.0, 'ssm_conflicts': 1215.0}, grid;w=queue=1.0
SIM_TRAIN step:18, travel time:171.68360805860806, q_loss:0, rewards:-34.72, queue:8.17037, delay:0.5510848, throughput:4218, raw_metrics:{'fairness': 1117.333}
SIM_TRAIN step:19, travel time:156.81780727855343, q_loss:0, rewards:-31.79787, queue:7.4416666, delay:0.5420053, throughput:4217, raw_metrics:{'fairness': 210.667}
SIM_TRAIN step:20, travel time:176.22527472527472, q_loss:5.698889, rewards:-37.953796, queue:9.367593, delay:0.53828937, throughput:4153, raw_metrics:{'fairness': 481.667}
SIM_TRAIN step:21, travel time:291.5358205539025, q_loss:0.85751176, rewards:-194.42384, queue:59.800926, delay:0.5760101, throughput:3869, raw_metrics:{'fairness': 2306.667}
SIM_TRAIN step:22, travel time:550.7069597069597, q_loss:0.089308634, rewards:-219.76912, queue:67.26111, delay:0.58352834, throughput:3255, raw_metrics:{'fairness': 1138.667}
SIM_TRAIN step:23, travel time:545.3241821093571, q_loss:0.16355757, rewards:-203.1689, queue:61.41111, delay:0.5611752, throughput:3465, raw_metrics:{'fairness': 831.333}
SIM_TRAIN step:24, travel time:456.18938700823423, q_loss:0.2755124, rewards:-149.4099, queue:44.52222, delay:0.5304248, throughput:3463, raw_metrics:{'fairness': 1573.333}
SIM_TRAIN step:25, travel time:414.37591575091574, q_loss:0.30807397, rewards:-90.938576, queue:24.930555, delay:0.53260374, throughput:3653, raw_metrics:{'fairness': 27.667}
SIM_TRAIN step:26, travel time:405.11970702677957, q_loss:0.16153267, rewards:-62.665577, queue:15.212963, delay:0.5500448, throughput:3703, raw_metrics:{'fairness': 192.0}
REAL_TRAIN step:3, travel time:149.8069170865781, q_loss:100, rewards:-33.484673, queue:6.6833334, delay:0.5506523, throughput:4160, R_real:-6.4486, components:{'queue': 0.143, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'emission': 6.305}, raw_metrics:{'fairness': 500.333, 'emission': 1283.998, 'fuel': 416.257, 'emergency_stops': 13.0, 'collisions': 0.0, 'ssm_conflicts': 1364.0}, grid;w=delay=1.0
SIM_TRAIN step:27, travel time:185.46018306636157, q_loss:0, rewards:-35.909676, queue:8.581482, delay:0.5350838, throughput:4190, raw_metrics:{'fairness': 496.0}
SIM_TRAIN step:28, travel time:169.49393731411575, q_loss:0, rewards:-34.086018, queue:7.9583335, delay:0.53826547, throughput:4217, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:29, travel time:187.27786678873883, q_loss:5.782661, rewards:-34.718975, queue:8.257407, delay:0.5270054, throughput:4189, raw_metrics:{'fairness': 905.333}
SIM_TRAIN step:30, travel time:279.29450800915333, q_loss:1.1208869, rewards:-121.243004, queue:34.575, delay:0.5844433, throughput:3910, raw_metrics:{'fairness': 1318.333}
SIM_TRAIN step:31, travel time:222.0789835164835, q_loss:0.90735555, rewards:-70.5062, queue:18.000925, delay:0.5795921, throughput:4019, raw_metrics:{'fairness': 969.667}
SIM_TRAIN step:32, travel time:377.2604118993135, q_loss:0.84931695, rewards:-57.128185, queue:14.114815, delay:0.542612, throughput:3701, raw_metrics:{'fairness': 493.667}
SIM_TRAIN step:33, travel time:287.742673992674, q_loss:0.5988493, rewards:-48.97681, queue:11.276852, delay:0.59033, throughput:3994, raw_metrics:{'fairness': 550.0}
SIM_TRAIN step:34, travel time:210.15888278388277, q_loss:0.38602057, rewards:-39.560738, queue:9.594444, delay:0.55951416, throughput:4233, raw_metrics:{'fairness': 765.667}
SIM_TRAIN step:35, travel time:153.64133669031816, q_loss:0.3175473, rewards:-31.674446, queue:7.6, delay:0.53660864, throughput:4250, raw_metrics:{'fairness': 559.333}
REAL_TRAIN step:4, travel time:276.69188625097837, q_loss:100, rewards:-149.5202, queue:39.712036, delay:0.6307127, throughput:3502, R_real:-10.0527, components:{'queue': 0.627, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'emission': 9.426}, raw_metrics:{'fairness': 476.667, 'emission': 1859.991, 'fuel': 602.992, 'emergency_stops': 6.0, 'collisions': 0.0, 'ssm_conflicts': 965.0}, grid;w=waiting=1.0
SIM_TRAIN step:36, travel time:183.3003663003663, q_loss:0, rewards:-35.54755, queue:8.433333, delay:0.5385035, throughput:4185, raw_metrics:{'fairness': 503.333}
SIM_TRAIN step:37, travel time:178.62151029748284, q_loss:0, rewards:-32.122776, queue:7.450926, delay:0.5400197, throughput:4176, raw_metrics:{'fairness': 195.333}
SIM_TRAIN step:38, travel time:170.85514874141876, q_loss:5.8859353, rewards:-31.963385, queue:7.634259, delay:0.5265432, throughput:4226, raw_metrics:{'fairness': 316.0}
SIM_TRAIN step:39, travel time:298.78416113527123, q_loss:1.248039, rewards:-64.29849, queue:17.05926, delay:0.5237352, throughput:3894, raw_metrics:{'fairness': 1409.0}
SIM_TRAIN step:40, travel time:208.5567505720824, q_loss:0.5248892, rewards:-49.372536, queue:12.005555, delay:0.5693909, throughput:4259, raw_metrics:{'fairness': 381.333}
SIM_TRAIN step:41, travel time:144.75206043956044, q_loss:0.4172862, rewards:-34.681664, queue:8.01574, delay:0.5486719, throughput:4283, raw_metrics:{'fairness': 203.0}
SIM_TRAIN step:42, travel time:208.92744335088122, q_loss:0.35678083, rewards:-43.175232, queue:10.030556, delay:0.5613648, throughput:4172, raw_metrics:{'fairness': 545.0}
SIM_TRAIN step:43, travel time:152.91714351110093, q_loss:0.37306514, rewards:-51.299294, queue:11.519444, delay:0.5894604, throughput:4261, raw_metrics:{'fairness': 572.0}
SIM_TRAIN step:44, travel time:165.85704483074107, q_loss:0.33921695, rewards:-34.559444, queue:7.9814816, delay:0.5451885, throughput:4131, raw_metrics:{'fairness': 310.667}
REAL_TRAIN step:5, travel time:563.1700888752681, q_loss:100, rewards:-298.44647, queue:80.73796, delay:0.6601295, throughput:2450, R_real:-16.2912, components:{'queue': 1.248, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'emission': 15.043}, raw_metrics:{'fairness': 395.667, 'emission': 2994.049, 'fuel': 970.649, 'emergency_stops': 11.0, 'collisions': 0.0, 'ssm_conflicts': 1174.0}, grid;w=pressure=1.0
SIM_TRAIN step:45, travel time:150.31906614785993, q_loss:0, rewards:-33.131252, queue:7.8324075, delay:0.5478242, throughput:4264, raw_metrics:{'fairness': 661.667}
SIM_TRAIN step:46, travel time:166.55001144426643, q_loss:0, rewards:-31.967503, queue:7.4574075, delay:0.53702325, throughput:4233, raw_metrics:{'fairness': 1428.0}
SIM_TRAIN step:47, travel time:149.4787087912088, q_loss:5.218228, rewards:-30.730135, queue:7.189815, delay:0.5310728, throughput:4271, raw_metrics:{'fairness': 1396.0}
SIM_TRAIN step:48, travel time:317.7068649885584, q_loss:0.80410635, rewards:-237.33295, queue:73.687035, delay:0.6306779, throughput:3899, raw_metrics:{'fairness': 2238.333}
SIM_TRAIN step:49, travel time:549.1114416475973, q_loss:0.082804866, rewards:-471.83215, queue:129.28426, delay:0.7572868, throughput:3512, raw_metrics:{'fairness': 1850.333}
SIM_TRAIN step:50, travel time:344.746336996337, q_loss:0.04499759, rewards:-276.32626, queue:76.973145, delay:0.7905079, throughput:3656, raw_metrics:{'fairness': 1891.0}
SIM_TRAIN step:51, travel time:298.58270418668496, q_loss:0.08530011, rewards:-255.70117, queue:65.219444, delay:0.7617171, throughput:4098, raw_metrics:{'fairness': 2566.0}
SIM_TRAIN step:52, travel time:435.6227106227106, q_loss:0.056459386, rewards:-386.2348, queue:103.99259, delay:0.7366992, throughput:3743, raw_metrics:{'fairness': 1215.667}
SIM_TRAIN step:53, travel time:341.16937514305334, q_loss:0.03969142, rewards:-301.5484, queue:78.332405, delay:0.719605, throughput:3943, raw_metrics:{'fairness': 1461.333}
