exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
bullhead_3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	0	402.6	0.0	-188.05	56.55	0.57	3455	-9.28	0.0000			251.6667	2674.1867	866.9469	16.0000	1864.0000	0.0000	
bullhead_3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	1	422.0	0.0	-175.78	54.28	0.60	3451	-13.72	0.0000			285.3333	2761.8269	895.3598	14.0000	1943.0000	0.0000	
bullhead_3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	2	451.6	53.4	-221.41	66.25	0.60	3359	-13.04	0.0000			438.3333	2891.0232	937.2443	11.0000	1871.0000	0.0000	
bullhead_3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	2	940.9	100.0	-599.96	161.40	0.81	1549		-295.6950	queue=5.0146;delay=2.4159;waiting=288.2646;pressure=0.0;switches=0.0		389.6667	4466.9281	1448.1496	1.0000	1210.0000	0.0000	queue=50.1457;delay=2.4159;waiting=57652.9124;pressure=301.0139;switches=0.0278
bullhead_3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	3	227.5	18.7	-132.65	32.29	0.70	3702	-11.63	0.0000			308.6667	1612.0188	522.6006	10.0000	817.0000	0.0000	
bullhead_3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	4	198.1	9.9	-66.52	17.59	0.60	3980	-5.63	0.0000			446.6667	1531.5657	496.5173	14.0000	977.0000	0.0000	
bullhead_3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	4	210.1	100.0	-100.54	26.06	0.61	3921		-55.1165	queue=0.8443;delay=1.8423;waiting=52.4299;pressure=0.0;switches=0.0		382.0000	1606.8574	520.9266	14.0000	702.0000	0.0000	queue=8.4432;delay=1.8423;waiting=10485.9865;pressure=118.2639;switches=1.6333
bullhead_3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	5	162.4	9.0	-49.38	11.86	0.53	4123	-3.10	0.0000			385.6667	1351.0053	437.9808	18.0000	988.0000	0.0000	
bullhead_3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	6	159.0	8.4	-43.83	10.57	0.52	4128	-2.67	0.0000			305.3333	1324.9133	429.5219	12.0000	991.0000	1.0000	
bullhead_3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	6	183.4	100.0	-82.47	19.94	0.57	3973		-47.3242	queue=0.6925;delay=1.7232;waiting=44.9084;pressure=0.0;switches=0.0		406.3333	1449.3452	469.8624	9.0000	619.0000	1.0000	queue=6.9255;delay=1.7232;waiting=8981.6888;pressure=83.4722;switches=1.6167
