exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	0	54.8	0.0	-12.73	8.12	0.36	1994	-0.52	0.0000			383.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	1	64.0	0.0	-17.57	11.34	0.37	1994	-0.62	0.0000			549.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	2	60.8	146.3	-14.70	9.41	0.35	2000	-0.56	0.0000			362.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	3	46.7	10.8	-7.56	4.64	0.31	1999	-0.40	0.0000			353.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	4	51.8	0.1	-9.46	6.09	0.33	2001	-0.40	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	5	49.5	0.1	-8.54	5.37	0.31	1996	-0.39	0.0000			349.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	6	46.8	0.1	-8.16	5.08	0.32	1999	-0.38	0.0000			359.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	7	48.0	0.1	-8.45	5.30	0.31	2001	-0.39	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	8	48.3	0.1	-8.69	5.47	0.32	2001	-0.39	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	REAL_TRAIN	1	51.3	100.0	-13.42	8.76	0.39	1992		-0.6315	queue=0.1095;delay=0.3893;waiting=0.1327;pressure=0.0;switches=0.0	grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2	260.0000	208.6687	67.6476	7.0000	1167.0000	36.0000	queue=1.0955;delay=0.3893;waiting=26.5368;pressure=17.925;switches=0.5167
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	9	58.3	0.0	-14.71	9.38	0.36	2001	-0.12	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	10	61.4	0.0	-16.17	10.39	0.38	1995	-0.13	0.0000			336.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	11	56.6	154.2	-14.19	9.11	0.35	1997	-0.11	0.0000			392.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	12	66.7	11.2	-14.52	9.34	0.35	1892	-0.12	0.0000			401.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	13	140.2	0.0	-51.08	33.82	0.49	1998	-0.42	0.0000			356.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	14	46.7	0.0	-9.04	5.70	0.32	2001	-0.07	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	15	45.1	0.0	-7.16	4.40	0.31	2001	-0.05	0.0000			353.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	16	49.8	0.0	-8.46	5.27	0.32	1999	-0.07	0.0000			361.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	17	44.4	0.0	-6.48	3.92	0.30	2002	-0.05	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	REAL_TRAIN	2	60.0	100.0	-19.25	12.49	0.44	1998		-0.9260	queue=0.1561;delay=0.4387;waiting=0.3312;pressure=0.0;switches=0.0	grid;w=queue=1.0	255.0000	230.1151	74.6004	6.0000	1317.0000	40.0000	queue=1.5608;delay=0.4387;waiting=66.2444;pressure=21.6583;switches=0.6361
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	18	70.2	0.0	-18.82	12.13	0.38	1996	-0.38	0.0000			386.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	19	57.0	0.0	-15.06	9.64	0.36	2000	-0.36	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	20	54.7	156.5	-12.84	8.16	0.35	1999	-0.35	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	21	48.9	11.5	-9.01	5.70	0.33	2001	-0.33	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	22	127.1	0.0	-32.47	21.36	0.43	2001	-0.43	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	23	52.6	0.0	-11.27	7.12	0.31	1999	-0.31	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	24	51.3	0.0	-10.25	6.46	0.32	1999	-0.32	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	25	54.7	0.0	-10.67	6.73	0.33	2001	-0.33	0.0000			371.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	26	46.9	0.0	-8.52	5.35	0.29	2001	-0.29	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	REAL_TRAIN	3	360.4	100.0	-78.80	52.56	0.61	1038		-54.7618	queue=0.657;delay=0.6056;waiting=53.4992;pressure=0.0;switches=0.0	grid;w=delay=1.0	424.0000	377.3647	122.3388	2.0000	315.0000	3.0000	queue=6.5701;delay=0.6056;waiting=10699.8326;pressure=58.7472;switches=0.225
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	27	53.6	0.0	-12.19	7.66	0.35	1999	-0.12	0.0000			319.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	28	59.7	0.0	-16.96	10.99	0.36	1999	-0.22	0.0000			378.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	29	57.0	142.8	-14.30	9.12	0.36	2000	-0.14	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	30	45.2	10.8	-6.88	4.22	0.29	1994	-0.05	0.0000			408.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	31	78.8	0.0	-21.05	13.76	0.39	1989	-0.64	0.0000			358.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	32	44.6	0.0	-7.01	4.29	0.30	2001	-0.05	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	33	45.0	0.0	-6.88	4.16	0.30	2001	-0.04	0.0000			350.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	34	45.5	0.0	-7.04	4.29	0.31	1999	-0.05	0.0000			345.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	35	47.3	0.0	-7.93	4.89	0.30	2001	-0.05	0.0000			343.0000						
cologne1_efficiency_aligned_dqn_morl_grid	REAL_TRAIN	4	63.7	100.0	-21.31	13.73	0.46	1995		-0.8765	queue=0.1716;delay=0.4632;waiting=0.2418;pressure=0.0;switches=0.0	grid;w=waiting=1.0	256.0000	239.5029	77.6438	10.0000	1487.0000	48.0000	queue=1.7156;delay=0.4632;waiting=48.3538;pressure=23.1611;switches=0.75
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	36	63.5	0.0	-16.96	10.92	0.38	1997	-1.65	0.0000			305.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	37	58.9	0.0	-14.16	9.06	0.36	1999	-1.45	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	38	58.7	154.9	-14.60	9.36	0.36	2000	-1.47	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	39	46.1	11.7	-7.06	4.41	0.30	1998	-0.91	0.0000			416.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	40	44.8	1.1	-7.17	4.39	0.30	1997	-0.89	0.0000			359.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	41	46.3	1.1	-7.65	4.75	0.31	2001	-0.92	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	42	45.7	1.0	-7.40	4.63	0.30	2000	-0.90	0.0000			339.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	43	46.6	1.0	-7.46	4.56	0.31	2002	-0.93	0.0000			0.0000						
cologne1_efficiency_aligned_dqn_morl_grid	SIM_TRAIN	44	51.0	0.9	-9.18	5.69	0.31	2001	-1.04	0.0000			0.0000						
