exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	0	70.8	0.0	-26.67	4.53	0.22	2782	-0.85	0.0000			35.6667						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	1	74.6	0.0	-22.05	3.85	0.20	2783	-0.76	0.0000			38.3333						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	2	73.0	578.6	-32.50	5.90	0.23	2783	-1.02	0.0000			65.3333						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	3	485.9	73.1	-144.30	25.24	0.38	2052	-5.31	0.0000			199.0000						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	4	75.1	11.6	-22.36	4.24	0.21	2759	-0.67	0.0000			44.0000						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	5	72.7	7.5	-24.49	4.32	0.20	2784	-0.90	0.0000			35.6667						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	6	72.3	4.3	-24.60	4.35	0.22	2780	-0.85	0.0000			46.6667						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	7	81.5	3.3	-28.77	5.06	0.21	2760	-1.09	0.0000			36.6667						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	8	66.7	2.7	-23.06	4.00	0.19	2791	-0.86	0.0000			0.0000						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	9	69.5	2.1	-25.83	4.50	0.21	2783	-0.98	0.0000			41.3333						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	10	73.7	1.6	-27.49	4.72	0.22	2784	-0.95	0.0000			33.6667						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	11	71.9	1.4	-25.15	4.38	0.25	2782	-0.83	0.0000			50.6667						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	12	73.2	1.4	-28.69	4.69	0.25	2784	-0.89	0.0000			37.6667						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	13	83.7	1.2	-53.62	7.20	0.28	2780	-1.13	0.0000			58.0000						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	14	68.8	1.3	-13.02	2.43	0.21	2782	-0.26	0.0000			8.3333						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	15	70.7	1.0	-25.82	4.50	0.24	2783	-0.81	0.0000			31.6667						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	16	79.6	1.0	-28.70	5.00	0.23	2766	-1.03	0.0000			55.3333						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	17	69.3	1.0	-28.23	4.90	0.23	2783	-0.99	0.0000			41.3333						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	18	67.9	0.7	-28.00	4.73	0.22	2778	-0.94	0.0000			58.3333						
cologne3_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	19	66.2	0.7	-21.43	3.76	0.21	2787	-0.70	0.0000			64.6667						
