exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	0	80.3	0.0	-29.11	4.94	0.21	2766	-1.04	0.0000			46.3333						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	1	77.1	0.0	-27.22	4.70	0.20	2782	-0.93	0.0000			52.0000						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	2	70.8	565.6	-29.79	5.46	0.23	2784	-0.88	0.0000			58.3333						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	3	468.6	72.2	-123.32	22.93	0.39	2110	-4.03	0.0000			214.3333						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	4	72.7	7.5	-26.83	5.02	0.23	2747	-0.80	0.0000			241.6667						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	5	69.6	4.3	-20.49	3.62	0.20	2790	-0.72	0.0000			0.0000						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	6	68.8	2.3	-23.65	4.08	0.21	2781	-0.88	0.0000			45.0000						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	7	75.2	1.5	-26.17	4.64	0.21	2783	-0.94	0.0000			53.3333						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	8	71.1	1.4	-24.22	4.32	0.21	2782	-0.85	0.0000			35.6667						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	9	89.1	1.1	-29.24	5.09	0.23	2761	-0.97	0.0000			45.3333						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	10	95.3	1.0	-31.68	5.43	0.23	2749	-1.11	0.0000			60.3333						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	11	90.0	1.0	-30.81	5.39	0.22	2759	-1.14	0.0000			30.6667						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	12	79.6	1.1	-29.41	5.12	0.23	2782	-1.00	0.0000			59.0000						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	13	83.6	1.0	-27.74	4.83	0.24	2760	-0.95	0.0000			41.6667						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	14	70.0	1.1	-27.75	4.69	0.24	2781	-0.91	0.0000			67.0000						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	15	75.2	1.0	-27.49	4.81	0.23	2766	-0.95	0.0000			51.6667						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	16	67.1	0.9	-20.27	3.58	0.21	2789	-0.75	0.0000			5.0000						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	17	68.0	1.0	-23.63	4.11	0.21	2792	-0.83	0.0000			6.3333						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	18	68.1	0.8	-23.91	4.18	0.21	2786	-0.84	0.0000			0.0000						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	19	61.9	0.8	-10.84	2.02	0.20	2782	-0.23	0.0000			9.0000						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	20	63.4	0.9	-20.16	3.59	0.22	2791	-2.68	0.0000			14.6667						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	21	66.1	1.4	-21.20	3.71	0.21	2792	-3.14	0.0000			0.0000						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	22	67.9	2.3	-25.62	4.50	0.21	2781	-3.76	0.0000			40.3333						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	23	69.5	3.7	-23.76	4.11	0.22	2783	-3.39	0.0000			33.0000						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	24	76.4	5.0	-25.32	4.51	0.22	2791	-3.36	0.0000			0.0000						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	25	65.4	6.0	-20.63	3.55	0.19	2785	-2.98	0.0000			22.3333						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	REAL_TRAIN	1	441.7	100.0	-304.03	42.11	0.64	1670		-1.5278	queue=1.2689;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.2589;collisions=0.0	init;w=queue=0.593;delay=0.844;waiting=0.858;pressure=0.847;switches=0.624	133.3333	924.2757	299.6445	3.0000	466.0000	0.0000	queue=25.3784;delay=1.9112;waiting=33270.3957;pressure=122.2444;switches=0.5583;ssm_conflicts=1.2944;collisions=0.0
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	26	58.7	5.6	-8.26	1.44	0.18	2788	-0.35	0.0000			9.0000						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	27	68.4	6.9	-20.38	3.56	0.21	2780	-0.54	0.0000			34.0000						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	28	62.3	6.8	-21.25	3.70	0.21	2782	-0.58	0.0000			171.6667						
cologne3_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	29	67.9	6.5	-22.99	3.99	0.21	2780	-0.58	0.0000			183.3333						
