MORLGrid: 16 grid policies
SIM_TRAIN step:0, travel time:65.37642857142858, q_loss:0, rewards:-25.62764, queue:4.3703704, delay:0.20545055, throughput:2784, raw_metrics:{'fairness': 45.333}
SIM_TRAIN step:1, travel time:68.96108532666905, q_loss:0, rewards:-27.25681, queue:4.7675924, delay:0.20446625, throughput:2784, raw_metrics:{'fairness': 33.667}
SIM_TRAIN step:2, travel time:72.435, q_loss:576.6275, rewards:-30.968199, queue:5.5907407, delay:0.22047108, throughput:2782, raw_metrics:{'fairness': 55.667}
SIM_TRAIN step:3, travel time:464.76142857142855, q_loss:70.886894, rewards:-120.282486, queue:20.54537, delay:0.3884573, throughput:2066, raw_metrics:{'fairness': 227.0}
SIM_TRAIN step:4, travel time:65.00107142857142, q_loss:4.045332, rewards:-11.935139, queue:2.2805555, delay:0.1943873, throughput:2784, raw_metrics:{'fairness': 74.333}
SIM_TRAIN step:5, travel time:97.44428571428571, q_loss:1.3041891, rewards:-32.65834, queue:6.289815, delay:0.24593748, throughput:2786, raw_metrics:{'fairness': 35.0}
SIM_TRAIN step:6, travel time:108.02285714285715, q_loss:1.1124833, rewards:-37.095978, queue:6.9185185, delay:0.2610286, throughput:2760, raw_metrics:{'fairness': 61.667}
SIM_TRAIN step:7, travel time:92.43270260621206, q_loss:0.99719274, rewards:-32.31945, queue:5.650926, delay:0.23446609, throughput:2760, raw_metrics:{'fairness': 42.667}
SIM_TRAIN step:8, travel time:103.63655837201, q_loss:0.91682196, rewards:-30.554996, queue:5.5833335, delay:0.25197467, throughput:2778, raw_metrics:{'fairness': 51.667}
REAL_TRAIN step:1, travel time:728.8744444444444, q_loss:100, rewards:-285.3021, queue:43.769444, delay:0.7286543, throughput:1142, R_real:-143.1816, components:{'queue': 2.382, 'delay': 2.186, 'waiting': 138.614, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 98.333, 'emission': 996.075, 'fuel': 322.922, 'emergency_stops': 1.0, 'collisions': 0.0, 'ssm_conflicts': 498.0}, grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2
SIM_TRAIN step:9, travel time:57.88607142857143, q_loss:0, rewards:-11.782497, queue:2.0712962, delay:0.18403512, throughput:2783, raw_metrics:{'fairness': 69.0}
SIM_TRAIN step:10, travel time:76.84071428571428, q_loss:0, rewards:-28.609865, queue:4.887037, delay:0.21576975, throughput:2783, raw_metrics:{'fairness': 49.0}
SIM_TRAIN step:11, travel time:67.99357142857143, q_loss:545.7939, rewards:-26.60597, queue:4.5972223, delay:0.20667358, throughput:2782, raw_metrics:{'fairness': 53.667}
SIM_TRAIN step:12, travel time:57.822857142857146, q_loss:60.18581, rewards:-9.614447, queue:1.8787037, delay:0.1767825, throughput:2787, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:13, travel time:206.9867857142857, q_loss:0.481958, rewards:-65.22209, queue:12.971296, delay:0.30655646, throughput:2545, raw_metrics:{'fairness': 228.667}
SIM_TRAIN step:14, travel time:110.88285714285715, q_loss:0.0075088907, rewards:-65.59223, queue:11.551852, delay:0.2855845, throughput:2676, raw_metrics:{'fairness': 185.333}
SIM_TRAIN step:15, travel time:88.88397001071046, q_loss:0.0056308657, rewards:-27.43737, queue:4.835185, delay:0.1932465, throughput:2768, raw_metrics:{'fairness': 58.667}
SIM_TRAIN step:16, travel time:91.81363798643342, q_loss:0.005187751, rewards:-33.01445, queue:5.641667, delay:0.21295042, throughput:2761, raw_metrics:{'fairness': 54.667}
SIM_TRAIN step:17, travel time:66.70607142857143, q_loss:0.0049405997, rewards:-23.799585, queue:4.1138887, delay:0.19031279, throughput:2785, raw_metrics:{'fairness': 41.333}
REAL_TRAIN step:2, travel time:606.8469226722777, q_loss:100, rewards:-118.46237, queue:23.029629, delay:0.49819764, throughput:1298, R_real:-42.9584, components:{'queue': 0.989, 'delay': 1.495, 'waiting': 40.475, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 40.333, 'emission': 549.391, 'fuel': 178.109, 'emergency_stops': 1.0, 'collisions': 0.0, 'ssm_conflicts': 528.0}, grid;w=queue=1.0
SIM_TRAIN step:18, travel time:65.73107142857143, q_loss:0, rewards:-23.275276, queue:4.0694447, delay:0.19941299, throughput:2786, raw_metrics:{'fairness': 47.0}
SIM_TRAIN step:19, travel time:71.02892857142857, q_loss:0, rewards:-27.64403, queue:4.80463, delay:0.20417333, throughput:2784, raw_metrics:{'fairness': 61.0}
SIM_TRAIN step:20, travel time:65.67344753747324, q_loss:549.0847, rewards:-24.1325, queue:4.225, delay:0.20584056, throughput:2783, raw_metrics:{'fairness': 40.667}
SIM_TRAIN step:21, travel time:111.3123884327026, q_loss:64.43497, rewards:-51.604866, queue:9.849074, delay:0.25795168, throughput:2763, raw_metrics:{'fairness': 51.333}
SIM_TRAIN step:22, travel time:364.06747590146375, q_loss:0.45683926, rewards:-87.699455, queue:17.764814, delay:0.3374801, throughput:2420, raw_metrics:{'fairness': 189.333}
SIM_TRAIN step:23, travel time:79.23214285714286, q_loss:0.025404574, rewards:-27.930836, queue:4.939815, delay:0.22394824, throughput:2784, raw_metrics:{'fairness': 40.333}
SIM_TRAIN step:24, travel time:64.83285714285714, q_loss:0.019279439, rewards:-22.805973, queue:3.9657407, delay:0.18912023, throughput:2790, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:25, travel time:53.44571428571429, q_loss:0.01685911, rewards:-7.9697213, queue:1.4277778, delay:0.15928364, throughput:2782, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:26, travel time:55.957857142857144, q_loss:0.016372696, rewards:-6.9097223, queue:1.2611111, delay:0.15653327, throughput:2785, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:3, travel time:696.0016242555496, q_loss:100, rewards:-263.8425, queue:37.999073, delay:0.61510354, throughput:1235, R_real:-150.9995, components:{'queue': 2.203, 'delay': 1.845, 'waiting': 146.952, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 128.0, 'emission': 944.022, 'fuel': 306.046, 'emergency_stops': 3.0, 'collisions': 0.0, 'ssm_conflicts': 424.0}, grid;w=delay=1.0
SIM_TRAIN step:27, travel time:69.32690935046395, q_loss:0, rewards:-22.665, queue:3.9305556, delay:0.20787339, throughput:2785, raw_metrics:{'fairness': 195.667}
SIM_TRAIN step:28, travel time:70.10139235987147, q_loss:0, rewards:-20.746946, queue:3.5398147, delay:0.21321428, throughput:2784, raw_metrics:{'fairness': 49.0}
SIM_TRAIN step:29, travel time:72.76642857142858, q_loss:552.31616, rewards:-25.587915, queue:4.5314813, delay:0.2226612, throughput:2780, raw_metrics:{'fairness': 55.0}
SIM_TRAIN step:30, travel time:332.9635714285714, q_loss:74.22881, rewards:-70.22973, queue:13.281482, delay:0.30518004, throughput:2254, raw_metrics:{'fairness': 183.0}
SIM_TRAIN step:31, travel time:84.96608354159228, q_loss:14.424071, rewards:-23.906668, queue:4.4490743, delay:0.21630904, throughput:2759, raw_metrics:{'fairness': 247.0}
SIM_TRAIN step:32, travel time:67.88428571428571, q_loss:11.3362, rewards:-28.311949, queue:5.015741, delay:0.21721275, throughput:2782, raw_metrics:{'fairness': 56.667}
