exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	0	55.7	0.0	-8.95	1.54	0.17	2790	-0.25	0.0000			0.0000						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	1	76.4	0.0	-27.04	4.73	0.20	2770	-1.02	0.0000			50.3333						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	2	70.7	555.9	-28.84	5.15	0.22	2785	-1.02	0.0000			62.6667						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	3	392.3	64.8	-103.21	19.22	0.39	2215	-3.15	0.0000			140.0000						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	4	77.7	2.4	-26.39	4.95	0.23	2783	-0.79	0.0000			49.0000						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	5	74.9	0.8	-23.95	4.33	0.21	2781	-0.81	0.0000			72.0000						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	6	75.5	0.8	-29.16	5.28	0.24	2781	-0.99	0.0000			42.6667						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	7	82.4	0.8	-28.33	4.97	0.23	2770	-0.99	0.0000			57.3333						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	8	72.4	0.8	-27.68	4.84	0.23	2783	-0.98	0.0000			56.0000						
cologne3_physical_safety_heavy_dqn_morl_grid	REAL_TRAIN	1	682.2	100.0	-279.55	40.42	0.71	1255		-1.4024	queue=1.1668;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.2356;collisions=0.0	grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2	124.3333	960.8073	311.4879	1.0000	424.0000	0.0000	queue=23.336;delay=2.1381;waiting=29584.5624;pressure=106.3361;switches=0.4389;ssm_conflicts=1.1778;collisions=0.0
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	9	57.1	0.0	-9.39	1.71	0.18	2792	-0.03	0.0000			0.0000						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	10	71.7	0.0	-27.99	4.76	0.22	2785	-0.08	0.0000			51.3333						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	11	67.8	527.1	-26.88	4.67	0.21	2782	-0.08	0.0000			46.3333						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	12	60.7	57.9	-14.58	2.97	0.19	2784	-0.04	0.0000			8.6667						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	13	172.0	0.4	-58.34	12.14	0.30	2475	-0.16	0.0000			147.3333						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	14	547.5	0.0	-94.68	19.42	0.35	2050	-0.26	0.0000			210.3333						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	15	71.8	0.0	-20.01	3.53	0.19	2791	-0.06	0.0000			0.0000						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	16	67.5	0.0	-23.21	3.99	0.19	2785	-0.07	0.0000			39.3333						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	17	60.6	0.0	-11.78	2.12	0.19	2779	-0.03	0.0000			52.3333						
cologne3_physical_safety_heavy_dqn_morl_grid	REAL_TRAIN	2	117.0	100.0	-52.39	9.47	0.43	2754		-0.6677	queue=0.2188;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.4489;collisions=0.0	grid;w=queue=1.0	10.6667	313.3261	101.5773	1.0000	808.0000	3.0000	queue=4.3769;delay=1.2843;waiting=876.7146;pressure=35.9306;switches=1.7611;ssm_conflicts=2.2444;collisions=0.0083
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	18	66.8	0.0	-24.39	4.26	0.20	2783	-0.20	0.0000			50.3333						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	19	68.9	0.0	-26.93	4.71	0.21	2784	-0.21	0.0000			53.0000						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	20	66.1	547.9	-24.36	4.27	0.20	2782	-0.20	0.0000			50.6667						
cologne3_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	21	93.5	62.2	-42.76	8.38	0.25	2783	-0.25	0.0000			27.3333						
