exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	0	206.9	0.0	-90.57	12.40	0.35	2781	-0.25	0.0000			53.3333						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	1	66.8	0.0	-19.60	3.46	0.18	2791	-0.06	0.0000			0.0000						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	2	53.3	0.0	-7.34	1.36	0.16	2783	-0.02	0.0000			0.0000						
cologne3_emission_heavy_dqn_reward_inference	REAL_TRAIN	1	761.6	100.0	-371.91	52.65	0.76	1072		-11.1759	queue=1.5521;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=9.6238	probe[queue]	99.6667	1063.5865	344.8086	0.0000	311.0000	0.0000	queue=31.0417;delay=2.2735;waiting=46580.1556;pressure=149.0861;switches=0.6639;emission=48.1188
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	3	129.6	0.0	-94.14	11.09	0.32	2783	-0.32	0.0000			41.6667						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	4	64.7	0.0	-18.66	3.19	0.19	2783	-0.19	0.0000			32.3333						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	5	66.0	0.0	-24.50	4.17	0.18	2783	-0.18	0.0000			40.6667						
cologne3_emission_heavy_dqn_reward_inference	REAL_TRAIN	2	1050.6	100.0	-411.63	62.56	0.85	765		-12.3202	queue=1.7178;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=10.6024	probe[delay]	55.3333	1124.9494	364.7022	0.0000	370.0000	0.0000	queue=34.3554;delay=2.547;waiting=46459.352;pressure=179.4333;switches=0.375;emission=53.0119
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	6	682.9	358.3	-188.26	30.33	0.45	1714	-27.98	0.0000			118.6667						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	7	214.0	368.6	-128.29	19.94	0.35	2611	-6.24	0.0000			60.6667						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	8	871.3	128.9	-152.69	28.78	0.42	1567	-29.64	0.0000			222.3333						
cologne3_emission_heavy_dqn_reward_inference	REAL_TRAIN	3	149.3	100.0	-84.35	13.68	0.42	2520		-3.1172	queue=0.352;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=2.7652	probe[waiting]	16.6667	384.9727	124.8049	5.0000	597.0000	0.0000	queue=7.0391;delay=1.2581;waiting=3152.9995;pressure=48.525;switches=1.4833;emission=13.826
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	9	574.9	0.8	-108.02	22.43	0.38	1869	-2.18	0.0000			166.6667						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	10	135.3	0.9	-33.01	6.34	0.25	2782	-0.66	0.0000			42.3333						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	11	65.9	1.0	-18.55	3.13	0.18	2783	-0.45	0.0000			54.0000						
cologne3_emission_heavy_dqn_reward_inference	REAL_TRAIN	4	632.0	100.0	-235.30	35.29	0.63	1413		-7.3518	queue=0.9811;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=6.3706	probe[pressure]	161.6667	938.4899	304.2525	3.0000	614.0000	0.0000	queue=19.6228;delay=1.876;waiting=16420.1514;pressure=89.6333;switches=1.0611;emission=31.8532
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	12	276.1	0.1	-110.54	21.85	0.40	2354	-0.50	0.0000			140.3333						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	13	314.7	0.0	-127.27	24.99	0.48	2618	-0.20	0.0000			71.6667						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	14	165.8	0.0	-99.03	18.10	0.43	2740	-0.13	0.0000			199.3333						
cologne3_emission_heavy_dqn_reward_inference	REAL_TRAIN	5	1287.9	100.0	-337.80	54.04	0.77	605		-10.1774	queue=1.41;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=8.7674	probe[switches]	116.0000	1073.4332	348.0010	0.0000	249.0000	0.0000	queue=28.1995;delay=2.2976;waiting=42684.2384;pressure=149.0972;switches=0.0083;emission=43.8371
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	15	173.0	0.0	-64.35	12.20	0.35	2776	-0.18	0.0000			135.0000						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	16	62.2	0.0	-8.52	1.65	0.16	2782	-0.02	0.0000			0.0000						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	17	68.3	0.0	-19.87	3.46	0.19	2786	-0.06	0.0000			46.6667						
cologne3_emission_heavy_dqn_reward_inference	REAL_TRAIN	6	674.4	100.0	-271.69	39.21	0.67	1268		-8.3462	queue=1.1341;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=7.2121	probe[queue]	128.0000	956.4668	310.0807	1.0000	531.0000	0.0000	queue=22.6816;delay=2.0224;waiting=28434.4214;pressure=102.0056;switches=1.2222;emission=36.0604
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	18	572.5	0.0	-175.20	28.64	0.46	1866	-0.46	0.0000			71.6667						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	19	78.9	0.0	-27.30	4.99	0.23	2782	-0.23	0.0000			50.3333						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	20	59.0	0.0	-10.41	1.90	0.16	2783	-0.16	0.0000			0.0000						
cologne3_emission_heavy_dqn_reward_inference	REAL_TRAIN	7	288.0	100.0	-251.20	34.17	0.71	2251		-7.9820	queue=1.048;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=6.934	probe[delay]	36.6667	708.3779	229.6510	2.0000	792.0000	0.0000	queue=20.9591;delay=2.1387;waiting=11228.7409;pressure=105.9472;switches=1.0444;emission=34.6702
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	21	426.7	26.1	-80.35	16.83	0.34	2166	-6.40	0.0000			154.0000						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	22	512.9	40.2	-93.37	19.55	0.32	2048	-12.62	0.0000			194.3333						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	23	378.0	73.1	-80.82	14.93	0.33	2398	-5.13	0.0000			232.3333						
cologne3_emission_heavy_dqn_reward_inference	REAL_TRAIN	8	1527.4	100.0	-402.96	64.65	0.86	421		-12.1050	queue=1.6808;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=10.4242	probe[waiting]	88.6667	1117.5332	362.2979	0.0000	400.0000	0.0000	queue=33.6161;delay=2.5697;waiting=46004.3612;pressure=190.9583;switches=0.4417;emission=52.1208
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	24	321.1	0.5	-132.47	20.06	0.40	2590	-1.85	0.0000			198.0000						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	25	125.7	0.7	-31.40	5.86	0.23	2778	-0.51	0.0000			70.6667						
cologne3_emission_heavy_dqn_reward_inference	SIM_TRAIN	26	69.0	0.8	-20.53	3.59	0.19	2784	-0.41	0.0000			56.0000						
