exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	0	318.8	0.0	-182.70	27.33	0.62	2272	-8.31	0.0000			56.3333	605.1930	196.1990	3.0000	1053.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	1	288.0	0.0	-236.22	33.86	0.71	2564	-7.49	0.0000			51.6667	693.4839	224.8221	2.0000	1288.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	2	466.9	38.3	-195.70	32.29	0.65	1617	-11.38	0.0000			76.6667	724.6123	234.9144	1.0000	906.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	2	1648.4	100.0	-361.03	56.64	0.80	360		-229.5900	queue=3.0119;delay=2.3993;waiting=224.1788;pressure=0.0;switches=0.0		74.3333	1000.4983	324.3559	0.0000	318.0000	0.0000	queue=30.1188;delay=2.3993;waiting=44835.7686;pressure=165.6056;switches=0.2333
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	3	686.2	30.9	-177.68	31.49	0.56	1271	-18.31	0.0000			47.0000	675.3798	218.9537	0.0000	509.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	4	197.8	81.1	-83.16	13.60	0.43	2359	-3.39	0.0000			36.6667	405.3707	131.4178	2.0000	834.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	4	317.1	100.0	-56.68	12.41	0.33	1873		-36.9410	queue=0.4735;delay=0.9771;waiting=35.4905;pressure=0.0;switches=0.0		0.0000	298.6674	96.8256	0.0000	276.0000	0.0000	queue=4.7346;delay=0.9771;waiting=7098.1025;pressure=42.2167;switches=0.9
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	5	286.3	92.3	-76.96	14.27	0.38	2244	-3.94	0.0000			8.0000	411.0761	133.2676	4.0000	690.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	6	107.6	93.1	-19.33	3.80	0.33	2778	-0.47	0.0000			27.6667	218.4147	70.8076	3.0000	714.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	6	743.5	100.0	-146.15	27.14	0.55	1108		-64.7442	queue=1.2208;delay=1.6647;waiting=61.8588;pressure=0.0;switches=0.0		41.0000	595.3945	193.0231	1.0000	351.0000	0.0000	queue=12.208;delay=1.6647;waiting=12371.7544;pressure=78.8;switches=0.5167
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	7	129.3	80.2	-30.96	5.42	0.36	2716	-0.82	0.0000			32.0000	241.6160	78.3293	3.0000	674.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	8	114.5	64.3	-26.54	4.47	0.34	2763	-0.70	0.0000			39.3333	228.0552	73.9330	4.0000	618.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	8	181.0	100.0	-109.39	16.40	0.44	2517		-36.0889	queue=0.9128;delay=1.3154;waiting=33.8607;pressure=0.0;switches=0.0		62.3333	419.0112	135.8400	0.0000	531.0000	0.0000	queue=9.1281;delay=1.3154;waiting=6772.1493;pressure=55.3778;switches=1.1
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	9	470.6	55.6	-88.41	18.53	0.43	1568	-10.26	0.0000			40.0000	437.0636	141.6928	0.0000	491.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	10	651.2	52.5	-109.65	21.14	0.43	1214	-15.14	0.0000			29.6667	519.0203	168.2629	3.0000	427.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	10	128.3	100.0	-58.76	8.60	0.39	2754		-7.2860	queue=0.4908;delay=1.1672;waiting=5.6281;pressure=0.0;switches=0.0		37.0000	293.7610	95.2345	6.0000	620.0000	1.0000	queue=4.9075;delay=1.1672;waiting=1125.62;pressure=32.7972;switches=1.3556
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	11	90.4	61.6	-25.86	3.73	0.33	2786	-0.58	0.0000			8.3333	216.4790	70.1801	4.0000	719.0000	1.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	12	471.0	58.2	-141.44	25.22	0.55	1536	-15.61	0.0000			34.6667	511.5016	165.8253	3.0000	499.0000	1.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	12	209.2	100.0	-38.21	5.46	0.37	2164		-5.3097	queue=0.322;delay=1.1025;waiting=3.8852;pressure=0.0;switches=0.0		102.6667	217.8014	70.6089	5.0000	584.0000	0.0000	queue=3.22;delay=1.1025;waiting=777.0424;pressure=22.9889;switches=1.6167
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	13	92.7	56.6	-36.23	5.33	0.35	2767	-0.83	0.0000			43.6667	241.3900	78.2560	6.0000	776.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	14	158.4	51.6	-66.94	10.03	0.38	2470	-3.70	0.0000			50.0000	356.6650	115.6277	3.0000	710.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	14	486.4	100.0	-126.29	21.37	0.46	1590		-47.1387	queue=1.0556;delay=1.3669;waiting=44.7162;pressure=0.0;switches=0.0		108.3333	661.8142	214.5558	1.0000	430.0000	0.0000	queue=10.556;delay=1.3669;waiting=8943.2378;pressure=55.8528;switches=0.8333
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	15	238.4	51.2	-60.37	11.39	0.38	2236	-3.17	0.0000			27.3333	339.0262	109.9093	1.0000	575.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	16	184.9	44.9	-61.29	11.33	0.40	2383	-3.13	0.0000			85.3333	353.5321	114.6120	3.0000	630.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	16	514.3	100.0	-104.79	20.29	0.51	1455		-39.2402	queue=0.8753;delay=1.5167;waiting=36.8482;pressure=0.0;switches=0.0		41.3333	455.8673	147.7890	1.0000	532.0000	0.0000	queue=8.7535;delay=1.5167;waiting=7369.6343;pressure=62.5444;switches=1.1111
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	17	465.6	40.8	-80.63	14.73	0.40	1737	-5.01	0.0000			6.3333	454.0501	147.1995	1.0000	561.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	18	585.8	39.6	-141.41	24.14	0.48	1692	-13.66	0.0000			149.0000	683.6875	221.6468	2.0000	527.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	18	480.1	100.0	-104.71	17.61	0.43	1669		-40.4898	queue=0.8745;delay=1.2874;waiting=38.3279;pressure=0.0;switches=0.0		18.6667	503.7254	163.3042	1.0000	439.0000	0.0000	queue=8.7455;delay=1.2874;waiting=7665.5804;pressure=50.1278;switches=0.7694
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	19	115.8	39.7	-27.00	4.63	0.35	2794	-0.62	0.0000			8.3333	233.3414	75.6467	1.0000	880.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	20	97.5	40.7	-24.19	3.88	0.34	2791	-0.50	0.0000			8.3333	221.9797	71.9633	2.0000	864.0000	1.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	20	119.1	100.0	-28.19	4.70	0.38	2768		-1.8964	queue=0.234;delay=1.1318;waiting=0.5305;pressure=0.0;switches=0.0		35.3333	234.2331	75.9358	3.0000	836.0000	0.0000	queue=2.3404;delay=1.1318;waiting=106.1064;pressure=21.6222;switches=1.7028
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	21	107.4	38.1	-24.75	3.89	0.35	2804	-0.53	0.0000			8.3333	223.2805	72.3850	2.0000	873.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	22	395.6	38.3	-75.56	14.59	0.44	1876	-7.76	0.0000			156.3333	415.2381	134.6169	2.0000	749.0000	1.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	22	95.9	100.0	-21.15	3.55	0.34	2798		-1.4600	queue=0.1759;delay=1.0147;waiting=0.2695;pressure=0.0;switches=0.0		8.3333	216.3937	70.1524	5.0000	754.0000	0.0000	queue=1.7588;delay=1.0147;waiting=53.8909;pressure=18.1417;switches=1.7083
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	23	112.3	36.8	-31.74	5.65	0.37	2747	-0.83	0.0000			83.6667	248.3178	80.5020	4.0000	771.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	24	195.9	35.3	-86.93	15.49	0.46	2792	-4.19	0.0000			8.3333	443.5611	143.7986	3.0000	947.0000	2.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	24	80.1	100.0	-20.15	3.54	0.31	2803		-1.4524	queue=0.1668;delay=0.941;waiting=0.3447;pressure=0.0;switches=0.0		0.0000	216.7343	70.2628	3.0000	807.0000	0.0000	queue=1.6677;delay=0.941;waiting=68.9369;pressure=18.1056;switches=1.6889
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	25	81.0	28.3	-22.03	3.57	0.33	2803	-0.50	0.0000			8.3333	216.2822	70.1162	3.0000	779.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	26	81.2	25.0	-20.58	3.57	0.32	2805	-0.47	0.0000			1.0000	216.1629	70.0775	8.0000	791.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	26	82.0	100.0	-19.64	4.05	0.32	2800		-1.5962	queue=0.1625;delay=0.957;waiting=0.4768;pressure=0.0;switches=0.0		1.3333	224.7436	72.8594	7.0000	753.0000	0.0000	queue=1.6245;delay=0.957;waiting=95.3534;pressure=19.6306;switches=1.4583
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	27	143.5	21.6	-41.64	7.40	0.33	2536	-1.76	0.0000			52.0000	325.2937	105.4573	5.0000	650.0000	1.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	28	88.8	21.9	-21.46	4.44	0.33	2803	-0.56	0.0000			0.3333	229.8393	74.5114	3.0000	719.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	28	87.3	100.0	-21.90	4.40	0.31	2799		-1.7775	queue=0.1822;delay=0.9324;waiting=0.6629;pressure=0.0;switches=0.0		34.0000	228.2297	73.9895	6.0000	630.0000	0.0000	queue=1.822;delay=0.9324;waiting=132.5733;pressure=20.425;switches=1.3722
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	29	86.0	19.6	-22.01	4.38	0.32	2792	-0.56	0.0000			34.3333	229.0513	74.2559	1.0000	721.0000	1.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	30	93.2	15.8	-22.56	4.38	0.34	2803	-0.60	0.0000			0.3333	228.8247	74.1824	3.0000	666.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	30	88.4	100.0	-22.75	4.70	0.32	2799		-1.8856	queue=0.1891;delay=0.9682;waiting=0.7283;pressure=0.0;switches=0.0		34.3333	233.8166	75.8008	4.0000	603.0000	0.0000	queue=1.8905;delay=0.9682;waiting=145.6559;pressure=21.4;switches=1.3111
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	31	86.2	12.9	-22.54	4.26	0.33	2805	-0.57	0.0000			0.0000	228.3129	74.0165	4.0000	717.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	32	89.3	7.2	-23.39	4.55	0.32	2804	-0.58	0.0000			0.3333	232.2309	75.2867	2.0000	723.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TEST	32	86.4	100.0	-24.27	4.82	0.33	2803		-2.0398	queue=0.2023;delay=0.9937;waiting=0.8438;pressure=0.0;switches=0.0		0.6667	236.0401	76.5217	4.0000	643.0000	2.0000	queue=2.0228;delay=0.9937;waiting=168.7635;pressure=21.8444;switches=1.3417
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	33	460.1	6.0	-115.70	21.86	0.52	1537	-12.92	0.0000			44.3333	477.9014	154.9322	2.0000	598.0000	0.0000	
cologne3_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	34	86.2	10.6	-26.24	4.80	0.35	2798	-0.63	0.0000			7.3333	235.8681	76.4658	4.0000	747.0000	0.0000	
