exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	0	381.0	0.0	-111.36	73.51	0.71	1675	-2.88	0.0000			147.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	1	389.6	0.0	-115.67	76.32	0.71	1656	-2.95	0.0000			135.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	2	404.6	445.1	-113.14	74.82	0.70	1683	-2.89	0.0000			112.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	3	405.6	69.7	-109.69	72.69	0.63	1560	-3.33	0.0000			302.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	4	491.7	1.8	-123.09	81.68	0.71	1704	-3.55	0.0000			75.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	5	313.5	0.7	-108.25	71.71	0.73	1820	-3.10	0.0000			151.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	6	305.9	0.6	-113.82	75.57	0.71	1744	-3.25	0.0000			170.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	7	192.8	0.5	-80.86	53.62	0.69	1883	-2.36	0.0000			120.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	8	226.0	0.4	-93.08	61.66	0.71	1892	-2.64	0.0000			149.0000						
hz1x1_emission_heavy_dqn_morl_grid	REAL_TRAIN	1	124.3	100.0	-52.95	35.16	0.65	1947		-2.5474	queue=0.2197;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=2.3276	grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2	162.0000	437.4702	141.8233	4.0000	1531.0000	24.0000	queue=4.3944;delay=0.654;waiting=302.7927;pressure=52.2611;switches=0.5444;emission=11.6382
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	9	413.9	0.0	-112.07	73.89	0.68	1618	-0.92	0.0000			166.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	10	420.6	0.0	-112.75	74.45	0.68	1607	-0.93	0.0000			144.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	11	411.6	411.1	-111.41	73.69	0.72	1714	-0.92	0.0000			51.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	12	425.9	63.3	-113.53	75.28	0.65	1568	-0.94	0.0000			303.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	13	454.6	1.4	-112.10	74.54	0.64	1529	-0.93	0.0000			271.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	14	443.5	0.4	-124.90	83.11	0.71	1574	-1.04	0.0000			104.0000						
hz1x1_emission_heavy_dqn_morl_grid	SIM_TRAIN	15	369.5	0.1	-114.29	75.85	0.74	1761	-0.95	0.0000			105.0000						
