exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	0	381.0	0.0	-111.36	73.51	0.71	1675	-2.88	0.0000			147.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	1	389.6	0.0	-115.63	76.29	0.71	1656	-2.95	0.0000			135.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	2	404.6	445.1	-113.14	74.82	0.70	1683	-2.89	0.0000			112.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	3	405.4	69.6	-109.69	72.69	0.63	1560	-3.33	0.0000			302.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	4	478.4	1.8	-118.93	78.87	0.71	1693	-3.26	0.0000			108.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	5	286.8	0.7	-107.09	71.05	0.72	1812	-3.07	0.0000			142.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	6	203.3	0.5	-86.84	57.49	0.73	1889	-2.47	0.0000			158.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	7	381.3	0.5	-122.87	81.66	0.69	1637	-4.84	0.0000			177.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	8	294.9	0.6	-85.61	56.69	0.69	1815	-2.38	0.0000			131.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	REAL_TRAIN	1	545.2	100.0	-260.07	173.59	0.67	1003		-1.6944	queue=1.0849;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.6094;collisions=0.0	grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2	314.0000	1077.9319	349.4581	2.0000	1097.0000	3.0000	queue=21.6986;delay=0.6711;waiting=17980.6201;pressure=181.9833;switches=0.2917;ssm_conflicts=3.0472;collisions=0.0083
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	9	413.9	0.0	-112.07	73.89	0.68	1618	-0.92	0.0000			166.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	10	420.6	0.0	-112.75	74.45	0.68	1607	-0.93	0.0000			144.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	11	411.6	411.1	-111.41	73.69	0.72	1714	-0.92	0.0000			51.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	12	425.9	63.3	-113.53	75.28	0.65	1568	-0.94	0.0000			303.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	13	454.6	1.4	-112.10	74.54	0.64	1529	-0.93	0.0000			271.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	14	443.5	0.4	-124.90	83.11	0.71	1574	-1.04	0.0000			104.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	15	369.5	0.1	-114.29	75.85	0.74	1761	-0.95	0.0000			105.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	16	220.8	0.1	-85.37	56.54	0.73	1873	-0.71	0.0000			109.0000						
hz1x1_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	17	226.8	0.1	-99.62	66.12	0.71	1738	-0.83	0.0000			114.0000						
