exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	0	679.6	0.0	-134.07	88.81	0.69	1271	-1.11	0.0000			215.0000						
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	1	437.9	0.0	-149.52	98.94	0.78	1669	-1.24	0.0000			149.0000						
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	2	313.9	0.0	-128.27	84.96	0.75	1673	-1.06	0.0000			241.0000						
hz1x1_efficiency_aligned_dqn_reward_inference	REAL_TRAIN	1	334.3	100.0	-230.50	153.85	0.75	1681		-56.1948	queue=1.9232;delay=0.7468;waiting=53.5249;pressure=0.0;switches=0.0	probe[queue]	219.0000	1048.3042	339.8521	1.0000	1447.0000	0.0000	queue=19.2316;delay=0.7468;waiting=10704.9726;pressure=167.775;switches=0.4083
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	3	980.8	0.0	-156.82	104.16	0.69	1029	-0.69	0.0000			124.0000						
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	4	840.3	0.0	-182.93	121.32	0.71	1138	-0.71	0.0000			400.0000						
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	5	718.1	0.0	-159.91	106.27	0.67	1211	-0.67	0.0000			454.0000						
hz1x1_efficiency_aligned_dqn_reward_inference	REAL_TRAIN	2	457.6	100.0	-231.57	154.49	0.73	1151		-56.7422	queue=1.9311;delay=0.7304;waiting=54.0807;pressure=0.0;switches=0.0	probe[delay]	440.0000	988.1375	320.3470	2.0000	1190.0000	2.0000	queue=19.3108;delay=0.7304;waiting=10816.1486;pressure=165.0556;switches=0.4667
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	6	1083.5	7.8	-187.65	124.73	0.73	1042	-11.19	0.0000			74.0000						
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	7	363.9	4.3	-151.58	100.64	0.76	1661	-10.53	0.0000			246.0000						
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	8	333.5	4.8	-134.31	89.15	0.75	1692	-7.25	0.0000			151.0000						
hz1x1_efficiency_aligned_dqn_reward_inference	REAL_TRAIN	3	319.9	100.0	-189.47	126.43	0.71	1494		-67.9458	queue=1.5803;delay=0.7054;waiting=65.6601;pressure=0.0;switches=0.0	probe[waiting]	319.0000	882.3997	286.0673	1.0000	1261.0000	0.0000	queue=15.8035;delay=0.7054;waiting=13132.0153;pressure=140.1528;switches=0.5083
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	9	958.5	6.6	-152.34	101.20	0.69	1101	-10.99	0.0000			302.0000						
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	10	400.4	1.8	-153.54	102.03	0.78	1665	-11.79	0.0000			301.0000						
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	11	262.2	3.1	-142.74	94.88	0.79	1789	-11.07	0.0000			178.0000						
hz1x1_efficiency_aligned_dqn_reward_inference	REAL_TRAIN	4	841.8	100.0	-263.76	176.08	0.76	599		-179.3632	queue=2.201;delay=0.7551;waiting=176.4071;pressure=0.0;switches=0.0	probe[pressure]	26.0000	1042.6681	338.0268	0.0000	238.0000	0.0000	queue=22.0104;delay=0.7551;waiting=35281.424;pressure=182.4083;switches=0.0139
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	12	802.1	0.0	-164.46	109.34	0.70	1206	-0.54	0.0000			274.0000						
hz1x1_efficiency_aligned_dqn_reward_inference	SIM_TRAIN	13	1008.5	0.0	-216.64	144.57	0.72	1001	-0.20	0.0000			370.0000						
