exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	0	469.5	0.0	-51.28	3.03	0.11	2808	-0.40	0.0000			101.3125						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	1	484.3	0.0	-58.05	3.46	0.11	2790	-0.42	0.0000			119.1875						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	2	476.5	0.9	-52.76	3.12	0.11	2792	-0.41	0.0000			83.4375						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	3	575.6	0.2	-151.45	9.30	0.17	2757	-0.59	0.0000			123.7500						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	4	560.2	0.1	-143.17	8.78	0.17	2818	-0.62	0.0000			97.9375						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	5	503.6	0.0	-139.79	8.62	0.16	2907	-0.69	0.0000			111.3125						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	6	440.9	0.0	-87.30	5.33	0.15	2919	-0.41	0.0000			128.8750						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	7	426.4	0.0	-79.76	4.86	0.14	2919	-0.39	0.0000			61.8750						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	8	412.4	0.0	-68.20	4.14	0.14	2921	-0.35	0.0000			122.4375						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	9	421.0	0.0	-63.78	3.86	0.14	2904	-0.32	0.0000			97.8750						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	10	398.3	0.0	-60.06	3.63	0.14	2922	-0.30	0.0000			65.6250						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	11	379.2	0.0	-51.10	3.07	0.13	2914	-0.27	0.0000			98.6875						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	12	416.7	0.0	-63.83	3.87	0.14	2918	-0.31	0.0000			72.8750						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	13	412.0	0.0	-66.38	4.03	0.14	2924	-0.32	0.0000			71.2500						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	14	395.3	0.0	-61.30	3.72	0.14	2921	-0.30	0.0000			65.9375						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	15	387.5	0.0	-59.89	3.64	0.14	2917	-0.28	0.0000			82.0625						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	16	392.8	0.0	-62.03	3.75	0.14	2924	-0.27	0.0000			60.0000						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	17	389.1	0.0	-60.35	3.66	0.14	2925	-0.27	0.0000			136.6875						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	18	393.0	0.0	-63.07	3.83	0.15	2923	-0.27	0.0000			64.3125						
hz4x4_physical_safety_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	19	384.9	0.0	-59.44	3.60	0.14	2920	-0.26	0.0000			80.9375						
