MORLGrid: 16 grid policies
SIM_TRAIN step:0, travel time:470.7530160857909, q_loss:0, rewards:-52.007225, queue:3.078993, delay:0.10654367, throughput:2784, raw_metrics:{'fairness': 71.625}
SIM_TRAIN step:1, travel time:471.7039892725444, q_loss:0, rewards:-51.1925, queue:3.0350695, delay:0.10640583, throughput:2794, raw_metrics:{'fairness': 96.188}
SIM_TRAIN step:2, travel time:470.7173985920215, q_loss:0.837957, rewards:-56.053047, queue:3.3348958, delay:0.10994181, throughput:2786, raw_metrics:{'fairness': 96.25}
SIM_TRAIN step:3, travel time:554.1089142091153, q_loss:0.2078607, rewards:-146.0325, queue:8.964063, delay:0.16885652, throughput:2776, raw_metrics:{'fairness': 72.75}
SIM_TRAIN step:4, travel time:595.3449547435467, q_loss:0.07492279, rewards:-191.3947, queue:11.813021, delay:0.17363954, throughput:2808, raw_metrics:{'fairness': 92.125}
SIM_TRAIN step:5, travel time:524.1936997319035, q_loss:0.06265822, rewards:-153.1028, queue:9.443577, delay:0.16420478, throughput:2890, raw_metrics:{'fairness': 100.625}
SIM_TRAIN step:6, travel time:461.28729466979553, q_loss:0.050296962, rewards:-101.53361, queue:6.201736, delay:0.15605685, throughput:2911, raw_metrics:{'fairness': 109.188}
SIM_TRAIN step:7, travel time:514.836126005362, q_loss:0.039692104, rewards:-120.5389, queue:7.405382, delay:0.1490383, throughput:2804, raw_metrics:{'fairness': 116.562}
SIM_TRAIN step:8, travel time:401.0821045576408, q_loss:0.03678323, rewards:-63.17973, queue:3.8190973, delay:0.14150189, throughput:2923, raw_metrics:{'fairness': 65.312}
REAL_TRAIN step:1, travel time:505.2631578947368, q_loss:100, rewards:-203.05417, queue:12.557986, delay:0.18456048, throughput:2436, R_real:-47.5070, components:{'queue': 1.674, 'delay': 2.953, 'waiting': 42.88, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 32.188, 'emission': 2419.516, 'fuel': 784.386, 'emergency_stops': 42.0, 'collisions': 6.0, 'ssm_conflicts': 1834.0}, grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2
SIM_TRAIN step:9, travel time:484.96648793565686, q_loss:0, rewards:-55.419174, queue:3.2982638, delay:0.10522055, throughput:2779, raw_metrics:{'fairness': 56.188}
SIM_TRAIN step:10, travel time:479.3456252095206, q_loss:0, rewards:-59.109722, queue:3.527604, delay:0.11021453, throughput:2779, raw_metrics:{'fairness': 68.5}
SIM_TRAIN step:11, travel time:474.25578276902445, q_loss:0.9528583, rewards:-57.495846, queue:3.421875, delay:0.10923946, throughput:2798, raw_metrics:{'fairness': 54.938}
SIM_TRAIN step:12, travel time:688.0764331210191, q_loss:0.32485604, rewards:-265.6992, queue:16.501562, delay:0.18466896, throughput:2710, raw_metrics:{'fairness': 133.0}
SIM_TRAIN step:13, travel time:893.8971524288107, q_loss:0.22992224, rewards:-384.91528, queue:23.971354, delay:0.20136274, throughput:2395, raw_metrics:{'fairness': 130.562}
SIM_TRAIN step:14, travel time:885.8378559463987, q_loss:0.109131746, rewards:-376.85248, queue:23.45486, delay:0.19902946, throughput:2444, raw_metrics:{'fairness': 111.125}
SIM_TRAIN step:15, travel time:645.339255782769, q_loss:0.0559339, rewards:-256.46057, queue:15.906424, delay:0.18692635, throughput:2772, raw_metrics:{'fairness': 168.188}
SIM_TRAIN step:16, travel time:638.6471179624665, q_loss:0.03327045, rewards:-220.13889, queue:13.608507, delay:0.18900028, throughput:2799, raw_metrics:{'fairness': 184.438}
SIM_TRAIN step:17, travel time:649.2232651692926, q_loss:0.020957556, rewards:-200.4839, queue:12.399305, delay:0.15648931, throughput:2493, raw_metrics:{'fairness': 120.688}
REAL_TRAIN step:2, travel time:859.0533195734434, q_loss:100, rewards:-541.3844, queue:33.78229, delay:0.21132495, throughput:1688, R_real:-181.3950, components:{'queue': 4.504, 'delay': 3.381, 'waiting': 173.51, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 76.25, 'emission': 3907.676, 'fuel': 1266.841, 'emergency_stops': 48.0, 'collisions': 14.0, 'ssm_conflicts': 2163.0}, grid;w=queue=1.0
SIM_TRAIN step:18, travel time:482.1827019778746, q_loss:0, rewards:-55.6639, queue:3.3175347, delay:0.10867806, throughput:2789, raw_metrics:{'fairness': 76.0}
SIM_TRAIN step:19, travel time:464.88467985249747, q_loss:0, rewards:-52.316944, queue:3.1003473, delay:0.107349, throughput:2798, raw_metrics:{'fairness': 76.625}
SIM_TRAIN step:20, travel time:469.31780087160575, q_loss:0.8873316, rewards:-54.68945, queue:3.2486112, delay:0.10820366, throughput:2810, raw_metrics:{'fairness': 73.625}
SIM_TRAIN step:21, travel time:726.0599865951742, q_loss:0.22780529, rewards:-264.82224, queue:16.438368, delay:0.17138493, throughput:2527, raw_metrics:{'fairness': 122.562}
