exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
hz4x4_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	0	859.4	0.0	-267.01	16.54	0.18	2528	-0.14	0.0000			139.1875						
hz4x4_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	1	588.3	0.0	-156.11	9.60	0.19	2833	-0.08	0.0000			176.1875						
hz4x4_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	2	437.6	0.0	-73.98	4.48	0.14	2910	-0.04	0.0000			104.2500						
hz4x4_physical_safety_heavy_dqn_reward_inference	REAL_TRAIN	1	527.5	100.0	-226.25	14.00	0.19	2340		-1.9976	queue=0.9331;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=1.0644;collisions=0.0	probe[queue]	125.6875	2521.5946	817.4792	64.0000	1916.0000	10.0000	queue=18.6623;delay=3.1159;waiting=8216.697;pressure=326.5694;switches=10.5639;ssm_conflicts=5.3222;collisions=0.0278
hz4x4_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	3	962.7	0.0	-375.54	23.38	0.17	2184	-0.17	0.0000			103.4375						
hz4x4_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	4	778.2	0.0	-237.93	14.76	0.16	2406	-0.16	0.0000			94.5000						
hz4x4_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	5	729.2	0.0	-197.73	12.24	0.13	2424	-0.13	0.0000			85.9375						
hz4x4_physical_safety_heavy_dqn_reward_inference	REAL_TRAIN	2	1089.9	100.0	-682.59	42.70	0.19	1198		-3.9586	queue=2.8469;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=1.1117;collisions=0.0	probe[delay]	58.0625	4535.3693	1470.3373	35.0000	2001.0000	9.0000	queue=56.9387;delay=3.031;waiting=53431.1086;pressure=758.6944;switches=8.6278;ssm_conflicts=5.5583;collisions=0.025
hz4x4_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	6	885.7	0.8	-278.81	17.32	0.15	2166	-1.43	0.0000			73.5000						
hz4x4_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	7	685.5	0.9	-173.98	10.77	0.15	2530	-1.34	0.0000			125.0625						
hz4x4_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	8	452.5	0.8	-102.97	6.30	0.14	2810	-0.75	0.0000			91.6250						
