exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
hz4x4_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	0	1027.9	0.0	-579.38	36.12	0.19	1595	-12.71	0.0000			69.7500	3984.4352	1291.7259	35.0000	1888.0000	8.0000	
hz4x4_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	1	1002.0	0.0	-588.57	36.69	0.19	1622	-12.06	0.0000			70.4375	4055.0391	1314.6148	30.0000	2065.0000	6.0000	
hz4x4_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	2	908.8	121.5	-545.98	34.02	0.20	1818	-9.89	0.0000			137.0625	3934.0000	1275.3734	33.0000	2188.0000	5.0000	
hz4x4_efficiency_aligned_dqn_reward_oracle	REAL_TEST	2	1570.5	100.0	-1016.02	63.63	0.25	620		-522.7615	queue=8.4842;delay=4.0644;waiting=510.2129;pressure=0.0;switches=0.0		61.8750	6082.5151	1971.9155	5.0000	1941.0000	1.0000	queue=84.8419;delay=4.0644;waiting=102042.5838;pressure=946.2389;switches=1.825
hz4x4_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	3	831.9	40.8	-485.37	30.25	0.23	2076	-7.51	0.0000			89.5625	3804.9148	1233.5243	42.0000	2023.0000	15.0000	
hz4x4_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	4	649.9	15.7	-316.92	19.67	0.21	2337	-4.99	0.0000			103.8125	3074.3713	996.6861	67.0000	1772.0000	19.0000	
hz4x4_efficiency_aligned_dqn_reward_oracle	REAL_TEST	4	804.3	100.0	-471.21	29.42	0.24	1876		-181.0255	queue=3.9228;delay=3.8607;waiting=173.242;pressure=0.0;switches=0.0		130.4375	3763.3639	1220.0553	28.0000	1651.0000	7.0000	queue=39.2275;delay=3.8607;waiting=34648.3988;pressure=607.8111;switches=6.8556
hz4x4_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	5	510.2	15.3	-190.79	11.76	0.19	2567	-1.90	0.0000			134.5625	2444.8577	792.6011	62.0000	1703.0000	6.0000	
hz4x4_efficiency_aligned_dqn_reward_oracle	REAL_TRAIN	6	504.3	14.1	-188.61	11.64	0.19	2530	-2.23	0.0000			129.3125	2416.9992	783.5697	53.0000	1676.0000	9.0000	
hz4x4_efficiency_aligned_dqn_reward_oracle	REAL_TEST	6	621.0	100.0	-296.94	18.47	0.19	2259		-102.3620	queue=2.4626;delay=2.9805;waiting=96.9189;pressure=0.0;switches=0.0		118.6250	2937.6871	952.3746	57.0000	1526.0000	7.0000	queue=24.6259;delay=2.9805;waiting=19383.7896;pressure=401.3861;switches=9.6028
