exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
ingolstadt1_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	0	34.2	0.0	-1.40	1.31	0.11	1707	-0.23	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	1	35.3	0.0	-1.40	1.28	0.11	1706	-0.22	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	2	38.2	1.8	-1.26	1.12	0.12	1705	-0.23	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	3	35.2	0.1	-1.34	1.29	0.11	1707	-0.19	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	4	33.6	0.0	-0.78	0.78	0.08	1707	-0.14	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	5	37.5	0.0	-0.78	0.74	0.10	1706	-0.13	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	6	52.7	0.0	-1.01	0.89	0.11	1707	-0.14	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	7	142.3	0.0	-1.03	0.89	0.13	1589	-0.15	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	8	36.9	0.0	-0.70	0.66	0.09	1707	-0.13	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	9	35.8	0.0	-0.57	0.55	0.09	1707	-0.12	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	10	41.1	0.0	-0.69	0.64	0.10	1707	-0.13	0.0000			0.0000						
