exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	0	36.6	0.0	-1.45	1.36	0.11	1707	-0.23	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	1	35.1	0.0	-1.42	1.31	0.11	1706	-0.24	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	2	33.4	1.8	-1.09	0.98	0.11	1702	-0.20	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	3	33.9	0.1	-1.30	1.23	0.10	1707	-0.19	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	4	33.1	0.0	-1.35	1.33	0.10	1707	-0.14	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	5	31.6	0.0	-0.65	0.62	0.08	1706	-0.12	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	6	31.8	0.0	-0.94	0.91	0.08	1707	-0.11	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	7	39.6	0.0	-3.44	3.38	0.10	1707	-0.18	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	8	34.5	0.0	-0.73	0.69	0.09	1707	-0.11	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	9	53.3	0.0	-0.72	0.67	0.10	1707	-0.12	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	10	32.8	0.0	-0.53	0.53	0.08	1707	-0.11	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	11	35.7	0.0	-0.57	0.54	0.09	1707	-0.12	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	12	31.1	0.0	-0.51	0.51	0.08	1707	-0.11	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	13	33.9	0.0	-0.59	0.56	0.08	1706	-0.10	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	14	35.2	0.0	-0.60	0.59	0.08	1707	-0.11	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	15	31.3	0.0	-0.73	0.70	0.08	1707	-0.11	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	16	31.2	0.0	-0.68	0.67	0.08	1705	-0.11	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	17	45.2	0.0	-0.69	0.64	0.09	1707	-0.12	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	18	46.0	0.0	-0.80	0.75	0.09	1700	-0.12	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	19	32.0	0.0	-0.68	0.62	0.09	1707	-0.12	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	20	33.9	0.0	-0.71	0.67	0.09	1704	-0.57	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	21	39.6	0.0	-0.69	0.67	0.09	1707	-0.57	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	22	41.3	0.1	-0.81	0.76	0.09	1707	-0.59	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	23	30.9	0.1	-0.52	0.51	0.07	1707	-0.46	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	24	33.1	0.1	-0.81	0.80	0.09	1707	-0.55	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	25	31.9	0.1	-0.53	0.50	0.08	1703	-0.48	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	REAL_TRAIN	1	136.5	100.0	-3.73	3.12	0.28	1282		-3.1479	queue=0.0155;delay=0.0;waiting=1.571;pressure=0.0;switches=0.0;fairness=1.5615	init;w=queue=0.593;delay=0.844;waiting=0.858;pressure=0.847;switches=0.624;fairness=0.384	0.0000	81.3203	26.3629	0.0000	216.0000	0.0000	queue=0.3096;delay=0.2824;waiting=157.0973;pressure=6.7944;switches=0.05;fairness=39.0364
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	26	33.6	0.1	-0.38	0.35	0.08	1707	-0.30	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	27	49.7	0.1	-0.67	0.62	0.10	1705	-0.34	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	28	59.7	0.1	-0.96	0.86	0.11	1706	-0.42	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	29	32.5	0.2	-0.77	0.73	0.08	1707	-0.38	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	30	69.1	0.2	-0.78	0.68	0.11	1704	-0.42	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	31	58.0	0.2	-0.74	0.67	0.10	1707	-0.42	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	REAL_TRAIN	2	132.9	100.0	-4.24	3.64	0.28	1332		-2.9191	queue=0.0176;delay=0.0;waiting=1.4149;pressure=0.0;switches=0.0;fairness=1.4867	init;w=queue=0.298;delay=0.057;waiting=0.273;pressure=0.478;switches=0.812;fairness=0.48	0.0000	85.1651	27.6094	1.0000	216.0000	0.0000	queue=0.351;delay=0.279;waiting=141.4913;pressure=7.3389;switches=0.0722;fairness=37.1664
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	32	326.1	0.2	-1.40	1.23	0.15	1589	-1.07	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	33	35.0	0.4	-0.65	0.62	0.09	1706	-0.45	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	34	31.4	0.4	-0.48	0.44	0.08	1707	-0.37	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	35	31.1	0.3	-0.55	0.53	0.08	1706	-0.44	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	36	31.0	0.3	-0.66	0.64	0.08	1707	-0.37	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	37	31.5	0.3	-0.66	0.65	0.08	1707	-0.37	0.0000			0.0000						
