exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	0	36.5	0.0	-1.46	1.38	0.11	1707	-0.22	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	1	35.2	0.0	-1.26	1.18	0.11	1707	-0.22	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	2	35.1	1.8	-1.23	1.15	0.10	1707	-0.22	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	3	40.1	0.1	-2.72	2.62	0.12	1707	-0.24	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	4	34.6	0.0	-1.20	1.16	0.10	1688	-0.16	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	5	91.7	0.0	-1.17	1.03	0.12	1707	-0.15	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	6	48.5	0.0	-0.87	0.77	0.10	1641	-0.13	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	7	46.5	0.0	-0.69	0.63	0.10	1707	-0.12	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	8	66.3	0.0	-1.03	0.87	0.12	1707	-0.14	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	REAL_TRAIN	1	122.8	100.0	-8.79	7.96	0.24	1439		-0.4922	queue=0.0365;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=0.4557	grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2	0.0000	111.3456	36.0969	0.0000	288.0000	0.0000	queue=0.7305;delay=0.2413;waiting=158.1182;pressure=11.6139;switches=0.1083;emission=2.2784
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	9	33.6	0.0	-1.24	1.19	0.10	1705	-0.01	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	10	34.8	0.0	-1.24	1.13	0.11	1707	-0.01	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	11	33.3	1.7	-1.13	1.09	0.10	1707	-0.01	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	12	75.7	0.1	-15.67	15.59	0.17	1669	-0.13	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	13	47.7	0.0	-5.71	5.59	0.15	1705	-0.05	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	14	43.7	0.0	-4.75	4.71	0.15	1707	-0.04	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	15	37.4	0.0	-2.59	2.56	0.12	1707	-0.02	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	16	41.2	0.0	-2.03	1.95	0.13	1707	-0.02	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	17	37.0	0.0	-2.19	2.14	0.11	1707	-0.02	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	REAL_TRAIN	2	294.6	100.0	-69.26	65.56	0.42	807		-2.0989	queue=0.2891;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=1.8098	grid;w=queue=1.0	25.0000	385.0415	124.8281	1.0000	148.0000	0.0000	queue=5.782;delay=0.4224;waiting=8101.9667;pressure=66.7194;switches=0.1472;emission=9.0491
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	18	39.4	0.0	-1.56	1.46	0.12	1707	-0.12	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	19	33.0	0.0	-1.10	1.05	0.10	1707	-0.10	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	20	33.3	1.5	-1.33	1.26	0.10	1707	-0.10	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	21	74.6	0.1	-14.60	14.54	0.17	1680	-0.17	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	22	50.4	0.0	-7.22	7.15	0.15	1707	-0.15	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	23	41.5	0.0	-3.91	3.88	0.12	1707	-0.12	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	24	38.3	0.0	-2.87	2.84	0.11	1705	-0.11	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	25	35.0	0.0	-1.39	1.35	0.10	1707	-0.10	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	26	35.9	0.0	-1.41	1.40	0.10	1704	-0.10	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	REAL_TRAIN	3	412.3	100.0	-84.15	78.85	0.47	654		-2.5046	queue=0.3511;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=2.1535	grid;w=delay=1.0	8.0000	448.7009	145.4663	0.0000	84.0000	0.0000	queue=7.022;delay=0.4698;waiting=11903.6157;pressure=79.3639;switches=0.0194;emission=10.7675
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	27	36.4	0.0	-1.15	1.07	0.10	1705	-0.01	0.0000			0.0000						
ingolstadt1_emission_heavy_dqn_morl_grid	SIM_TRAIN	28	38.9	0.0	-1.34	1.27	0.12	1704	-0.01	0.0000			0.0000						
