exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	0	33.3	0.0	-1.36	1.29	0.10	1707	-0.19	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	1	33.0	0.0	-1.14	1.05	0.10	1707	-0.19	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	2	39.9	1.8	-1.29	1.19	0.11	1707	-0.23	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	3	42.3	0.1	-4.04	4.03	0.12	1707	-0.28	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	4	33.3	0.0	-1.52	1.51	0.10	1707	-0.14	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	5	32.5	0.0	-1.02	0.99	0.09	1707	-0.13	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	6	31.1	0.0	-0.62	0.61	0.08	1707	-0.11	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	7	30.3	0.0	-0.41	0.43	0.07	1707	-0.10	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	8	30.7	0.0	-0.55	0.51	0.08	1707	-0.11	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	REAL_TRAIN	1	55.6	100.0	-11.64	10.45	0.24	1664		-3.2609	queue=0.0483;delay=0.0;waiting=1.3522;pressure=0.0;switches=0.0;fairness=1.8604	grid;w=queue=0.167;delay=0.167;waiting=0.167;pressure=0.167;switches=0.167;fairness=0.167	165.0000	130.2555	42.2273	2.0000	405.0000	0.0000	queue=0.9669;delay=0.2388;waiting=135.2207;pressure=14.2694;switches=0.3333;fairness=46.5092
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	9	39.0	0.0	-1.30	1.19	0.12	1704	-0.01	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	10	34.5	0.0	-1.16	1.07	0.11	1707	-0.01	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	11	33.8	1.6	-1.27	1.21	0.10	1707	-0.01	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	12	45.5	0.1	-5.33	5.24	0.12	1707	-0.04	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	13	54.9	0.0	-4.22	4.06	0.14	1705	-0.04	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	14	50.0	0.0	-5.94	5.87	0.16	1707	-0.05	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	15	37.6	0.0	-1.57	1.55	0.11	1705	-0.01	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	16	33.6	0.0	-1.16	1.13	0.10	1707	-0.01	0.0000			0.0000						
ingolstadt1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	17	39.5	0.0	-1.12	1.09	0.11	1707	-0.01	0.0000			0.0000						
