exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	0	94.5	0.0	-19.49	14.70	0.40	1606	-2.66	0.0000			20.0000	152.0297	49.2864	5.0000	543.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	1	102.9	0.0	-15.47	11.77	0.39	1663	-1.97	0.0000			0.0000	138.8225	45.0047	4.0000	510.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	2	86.8	2.1	-14.59	11.11	0.36	1694	-1.84	0.0000			0.0000	135.8529	44.0419	9.0000	544.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	2	158.0	100.0	-4.15	3.26	0.28	1146		-6.0137	queue=0.0173;delay=0.0;waiting=4.4226;pressure=0.0;switches=0.0;fairness=1.5738		0.0000	76.5008	24.8005	0.0000	121.0000	0.0000	queue=0.3468;delay=0.2825;waiting=442.2616;pressure=6.7694;switches=0.0111;fairness=39.3442
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	3	124.8	1.1	-3.88	3.15	0.26	1387	-1.70	0.0000			0.0000	83.0415	26.9209	1.0000	180.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	4	121.3	2.4	-3.32	2.66	0.24	1467	-1.14	0.0000			0.0000	84.0953	27.2625	4.0000	181.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	4	153.6	100.0	-3.35	2.60	0.25	1151		-4.2455	queue=0.0141;delay=0.0;waiting=2.492;pressure=0.0;switches=0.0;fairness=1.7394		0.0000	73.3732	23.7866	0.0000	121.0000	0.0000	queue=0.2823;delay=0.2466;waiting=249.2012;pressure=6.1028;switches=0.0444;fairness=43.4842
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	5	114.1	2.4	-3.18	2.55	0.24	1527	-1.24	0.0000			0.0000	85.5514	27.7346	4.0000	174.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	6	47.9	2.2	-2.11	1.69	0.19	1705	-0.50	0.0000			0.0000	82.9709	26.8980	4.0000	185.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	6	53.9	100.0	-2.17	1.69	0.20	1698		-0.6193	queue=0.0091;delay=0.0;waiting=0.0751;pressure=0.0;switches=0.0;fairness=0.5351		0.0000	81.9388	26.5634	0.0000	116.0000	0.0000	queue=0.1823;delay=0.2047;waiting=7.514;pressure=5.4472;switches=0.3722;fairness=13.3772
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	7	55.2	1.8	-2.17	1.70	0.21	1685	-0.66	0.0000			0.0000	83.1078	26.9423	2.0000	162.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	8	53.5	1.6	-2.21	1.77	0.20	1685	-0.58	0.0000			0.0000	83.0498	26.9235	3.0000	193.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	8	63.2	100.0	-2.21	1.72	0.21	1657		-0.5054	queue=0.0091;delay=0.0;waiting=0.0824;pressure=0.0;switches=0.0;fairness=0.4139		0.0000	81.9257	26.5591	0.0000	132.0000	0.0000	queue=0.1826;delay=0.2092;waiting=8.2367;pressure=5.4639;switches=0.2722;fairness=10.3472
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	9	61.1	1.4	-2.35	1.85	0.21	1644	-0.65	0.0000			0.0000	83.1209	26.9466	1.0000	157.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	10	52.0	1.3	-2.00	1.61	0.20	1665	-0.58	0.0000			0.0000	81.8199	26.5248	1.0000	175.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	10	57.5	100.0	-2.01	1.57	0.20	1676		-0.5008	queue=0.0084;delay=0.0;waiting=0.0919;pressure=0.0;switches=0.0;fairness=0.4005		0.0000	81.4598	26.4081	0.0000	142.0000	0.0000	queue=0.1681;delay=0.1988;waiting=9.1863;pressure=5.3361;switches=0.3;fairness=10.0136
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	11	49.8	1.3	-2.02	1.58	0.20	1689	-0.58	0.0000			0.0000	82.2744	26.6722	3.0000	194.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	12	52.3	1.3	-2.07	1.62	0.21	1674	-0.66	0.0000			0.0000	82.4821	26.7395	4.0000	181.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	12	58.2	100.0	-2.26	1.75	0.20	1671		-0.7111	queue=0.0094;delay=0.0;waiting=0.0754;pressure=0.0;switches=0.0;fairness=0.6263		0.0000	82.1980	26.6474	0.0000	129.0000	0.0000	queue=0.1873;delay=0.2033;waiting=7.5372;pressure=5.4944;switches=0.3056;fairness=15.6583
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	13	65.1	1.3	-2.55	2.00	0.23	1656	-0.63	0.0000			0.0000	83.9805	27.2253	2.0000	159.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	14	51.8	1.2	-2.29	1.81	0.21	1682	-0.69	0.0000			0.0000	83.4611	27.0569	3.0000	193.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	14	108.6	100.0	-2.76	2.14	0.26	1452		-1.5940	queue=0.0114;delay=0.0;waiting=0.7296;pressure=0.0;switches=0.0;fairness=0.853		0.0000	79.6629	25.8256	0.0000	139.0000	0.0000	queue=0.2288;delay=0.2588;waiting=72.9552;pressure=5.825;switches=0.1667;fairness=21.3247
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	15	55.1	1.2	-2.21	1.76	0.21	1671	-0.65	0.0000			0.0000	82.4853	26.7405	4.0000	148.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	16	93.0	1.2	-2.75	2.16	0.24	1636	-0.89	0.0000			0.0000	85.5316	27.7281	2.0000	174.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	16	137.6	100.0	-3.00	2.29	0.27	1299		-3.5080	queue=0.0125;delay=0.0;waiting=1.9379;pressure=0.0;switches=0.0;fairness=1.5577		0.0000	77.0442	24.9767	0.0000	116.0000	0.0000	queue=0.2491;delay=0.273;waiting=193.7883;pressure=5.9028;switches=0.0778;fairness=38.9422
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	17	51.3	1.3	-2.22	1.81	0.20	1701	-0.70	0.0000			0.0000	83.2366	26.9841	0.0000	168.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	18	65.6	1.1	-2.75	2.11	0.24	1679	-0.53	0.0000			0.0000	85.2639	27.6413	2.0000	165.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	18	108.4	100.0	-3.13	2.38	0.25	1563		-0.9056	queue=0.013;delay=0.0;waiting=0.3292;pressure=0.0;switches=0.0;fairness=0.5634		0.0000	84.4983	27.3931	0.0000	108.0000	0.0000	queue=0.2609;delay=0.246;waiting=32.9164;pressure=6.1083;switches=0.2167;fairness=14.0839
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	19	88.2	1.0	-2.92	2.32	0.24	1629	-0.99	0.0000			0.0000	85.7764	27.8075	6.0000	170.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	20	99.4	1.1	-3.90	2.98	0.25	1637	-0.86	0.0000			0.0000	89.7559	29.0976	1.0000	165.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	20	94.5	100.0	-2.81	2.21	0.24	1633		-0.9924	queue=0.0119;delay=0.0;waiting=0.2165;pressure=0.0;switches=0.0;fairness=0.764		0.0000	84.8258	27.4993	1.0000	141.0000	0.0000	queue=0.2376;delay=0.245;waiting=21.6451;pressure=5.9583;switches=0.3083;fairness=19.1008
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	21	95.5	1.0	-3.28	2.57	0.25	1660	-0.97	0.0000			0.0000	87.5655	28.3875	0.0000	177.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	22	111.4	1.1	-3.33	2.63	0.26	1572	-0.91	0.0000			0.0000	86.4782	28.0350	2.0000	131.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	22	94.0	100.0	-2.85	2.20	0.24	1629		-0.6468	queue=0.012;delay=0.0;waiting=0.1567;pressure=0.0;switches=0.0;fairness=0.478		0.0000	84.6537	27.4435	1.0000	108.0000	0.0000	queue=0.2399;delay=0.2414;waiting=15.6725;pressure=5.9194;switches=0.3528;fairness=11.9511
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	23	69.2	1.1	-2.59	2.05	0.23	1690	-0.65	0.0000			0.0000	84.8291	27.5004	3.0000	148.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	24	60.8	1.2	-2.58	2.07	0.22	1671	-0.49	0.0000			0.0000	84.9315	27.5336	6.0000	172.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	24	54.0	100.0	-2.35	1.84	0.22	1673		-0.3562	queue=0.0101;delay=0.0;waiting=0.0635;pressure=0.0;switches=0.0;fairness=0.2827		0.0000	83.2208	26.9790	6.0000	122.0000	0.0000	queue=0.2016;delay=0.2192;waiting=6.3491;pressure=5.6667;switches=0.5111;fairness=7.0664
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	25	95.1	1.2	-3.00	2.37	0.24	1625	-0.85	0.0000			0.0000	86.2855	27.9726	3.0000	141.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	26	78.6	1.2	-3.17	2.55	0.24	1654	-0.93	0.0000			0.0000	87.2992	28.3012	3.0000	168.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	26	118.5	100.0	-2.79	2.17	0.22	1443		-0.9394	queue=0.0117;delay=0.0;waiting=0.2488;pressure=0.0;switches=0.0;fairness=0.6789		0.0000	80.1020	25.9679	0.0000	112.0000	0.0000	queue=0.2346;delay=0.2209;waiting=24.8772;pressure=5.8583;switches=0.2;fairness=16.9736
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	27	64.3	1.3	-2.71	2.15	0.23	1672	-0.70	0.0000			0.0000	85.0949	27.5865	2.0000	165.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	28	102.2	1.2	-3.32	2.59	0.25	1608	-0.74	0.0000			0.0000	87.7596	28.4504	3.0000	148.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	28	57.4	100.0	-2.09	1.64	0.21	1677		-0.4168	queue=0.0089;delay=0.0;waiting=0.0744;pressure=0.0;switches=0.0;fairness=0.3335		0.0000	81.5895	26.4501	1.0000	140.0000	0.0000	queue=0.1775;delay=0.213;waiting=7.4414;pressure=5.4278;switches=0.3222;fairness=8.3378
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	29	67.1	1.2	-2.60	2.10	0.23	1675	-0.60	0.0000			0.0000	85.4964	27.7167	3.0000	183.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	30	61.2	1.2	-2.26	1.83	0.21	1678	-0.46	0.0000			0.0000	83.1457	26.9546	3.0000	157.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	30	51.2	100.0	-1.86	1.46	0.20	1705		-0.4368	queue=0.0079;delay=0.0;waiting=0.0581;pressure=0.0;switches=0.0;fairness=0.3708		0.0000	80.9957	26.2576	6.0000	124.0000	0.0000	queue=0.1588;delay=0.2021;waiting=5.8059;pressure=5.2583;switches=0.3583;fairness=9.2694
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	31	54.6	1.2	-2.17	1.71	0.21	1678	-0.39	0.0000			0.0000	83.4299	27.0468	6.0000	172.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	32	57.0	1.1	-2.38	1.88	0.22	1689	-0.45	0.0000			0.0000	84.3811	27.3551	6.0000	199.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	32	63.4	100.0	-2.63	2.08	0.24	1680		-0.4794	queue=0.0114;delay=0.0;waiting=0.0926;pressure=0.0;switches=0.0;fairness=0.3753		0.0000	84.5094	27.3967	4.0000	120.0000	0.0000	queue=0.2284;delay=0.2397;waiting=9.2636;pressure=5.8583;switches=0.4778;fairness=9.3825
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	33	50.5	1.1	-2.17	1.73	0.21	1702	-0.56	0.0000			0.0000	83.2141	26.9768	5.0000	185.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	34	50.3	1.1	-2.18	1.73	0.21	1697	-0.45	0.0000			0.0000	83.1893	26.9688	4.0000	175.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	34	53.7	100.0	-1.66	1.29	0.19	1699		-0.2496	queue=0.007;delay=0.0;waiting=0.0525;pressure=0.0;switches=0.0;fairness=0.1901		0.0000	80.2825	26.0264	2.0000	133.0000	0.0000	queue=0.1398;delay=0.1909;waiting=5.2461;pressure=5.1417;switches=0.3056;fairness=4.7531
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	35	48.5	1.1	-1.71	1.36	0.19	1700	-0.36	0.0000			0.0000	81.1133	26.2957	6.0000	156.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	36	41.8	0.9	-1.75	1.46	0.19	1704	-0.40	0.0000			0.0000	81.9925	26.5808	3.0000	226.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	36	47.0	100.0	-1.54	1.23	0.18	1704		-0.3620	queue=0.0066;delay=0.0;waiting=0.0348;pressure=0.0;switches=0.0;fairness=0.3206		0.0000	80.2590	26.0188	3.0000	160.0000	0.0000	queue=0.1314;delay=0.1774;waiting=3.4771;pressure=5.0472;switches=0.4444;fairness=8.0161
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	37	45.1	0.8	-1.98	1.62	0.19	1705	-0.30	0.0000			0.0000	82.6747	26.8019	2.0000	195.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	38	48.6	0.8	-3.48	2.94	0.23	1698	-0.74	0.0000			0.0000	90.3737	29.2979	3.0000	252.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	38	48.8	100.0	-1.92	1.52	0.20	1702		-0.3494	queue=0.0083;delay=0.0;waiting=0.039;pressure=0.0;switches=0.0;fairness=0.3022		0.0000	81.7766	26.5108	1.0000	146.0000	0.0000	queue=0.1664;delay=0.2002;waiting=3.8955;pressure=5.3583;switches=0.5056;fairness=7.5539
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	39	48.7	0.9	-1.93	1.54	0.19	1705	-0.34	0.0000			0.0000	82.5791	26.7709	3.0000	183.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	40	44.0	0.8	-2.04	1.68	0.21	1705	-0.36	0.0000			0.0000	82.9981	26.9068	8.0000	179.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	40	50.4	100.0	-1.71	1.36	0.19	1705		-0.4632	queue=0.0074;delay=0.0;waiting=0.0479;pressure=0.0;switches=0.0;fairness=0.4079		0.0000	81.0479	26.2745	8.0000	146.0000	0.0000	queue=0.1481;delay=0.1859;waiting=4.7904;pressure=5.1389;switches=0.4917;fairness=10.1969
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	41	48.3	0.7	-2.20	1.78	0.21	1705	-0.38	0.0000			0.0000	84.4153	27.3662	5.0000	208.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	42	46.9	0.6	-1.88	1.58	0.19	1701	-0.37	0.0000			0.0000	82.5139	26.7498	4.0000	195.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	42	48.0	100.0	-1.73	1.39	0.19	1705		-0.4522	queue=0.0075;delay=0.0;waiting=0.0319;pressure=0.0;switches=0.0;fairness=0.4129		0.0000	81.6032	26.4545	8.0000	168.0000	0.0000	queue=0.1505;delay=0.1929;waiting=3.1851;pressure=5.2889;switches=0.5889;fairness=10.3214
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	43	48.8	0.6	-2.25	1.82	0.21	1702	-0.42	0.0000			0.0000	84.2327	27.3070	7.0000	202.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	44	46.3	0.5	-1.98	1.64	0.20	1704	-0.46	0.0000			0.0000	83.0897	26.9365	7.0000	193.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	44	49.4	100.0	-2.08	1.69	0.20	1702		-0.4635	queue=0.0092;delay=0.0;waiting=0.0487;pressure=0.0;switches=0.0;fairness=0.4056		0.0000	82.6953	26.8086	7.0000	151.0000	0.0000	queue=0.1836;delay=0.203;waiting=4.8715;pressure=5.5056;switches=0.5361;fairness=10.1411
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	45	42.8	0.6	-2.00	1.62	0.20	1700	-0.37	0.0000			0.0000	82.7615	26.8301	7.0000	172.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	46	45.3	0.6	-1.91	1.59	0.21	1705	-0.45	0.0000			0.0000	83.1290	26.9492	10.0000	217.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	46	47.9	100.0	-1.74	1.43	0.19	1704		-0.3202	queue=0.0078;delay=0.0;waiting=0.0361;pressure=0.0;switches=0.0;fairness=0.2763		0.0000	81.6713	26.4766	7.0000	155.0000	0.0000	queue=0.1565;delay=0.191;waiting=3.6123;pressure=5.3028;switches=0.675;fairness=6.9067
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	47	42.1	0.7	-1.80	1.58	0.20	1700	-0.43	0.0000			0.0000	82.7795	26.8359	6.0000	226.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TRAIN	48	46.2	0.6	-2.17	1.85	0.21	1704	-0.36	0.0000			0.0000	84.4618	27.3813	12.0000	229.0000	0.0000	
ingolstadt1_fairness_heavy_dqn_reward_oracle	REAL_TEST	48	48.9	100.0	-2.06	1.75	0.21	1703		-0.4019	queue=0.0093;delay=0.0;waiting=0.0385;pressure=0.0;switches=0.0;fairness=0.3541		0.0000	83.2952	27.0031	4.0000	171.0000	0.0000	queue=0.1869;delay=0.2064;waiting=3.8455;pressure=5.5778;switches=0.6889;fairness=8.8522
