MORLGrid: 16 grid policies
SIM_TRAIN step:0, travel time:70.32384105960264, q_loss:0, rewards:-6.2791653, queue:0.9003968, delay:0.06637936, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:1, travel time:74.63245033112582, q_loss:0, rewards:-6.7085004, queue:0.9718254, delay:0.07136952, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:2, travel time:72.56059602649006, q_loss:1.2123361, rewards:-7.0276475, queue:1.006746, delay:0.067269966, throughput:3011, raw_metrics:{'fairness': 14.714}
SIM_TRAIN step:3, travel time:77.90860927152318, q_loss:0.0829649, rewards:-7.875887, queue:1.1380953, delay:0.07777136, throughput:3010, raw_metrics:{'fairness': 21.571}
SIM_TRAIN step:4, travel time:160.5379013571665, q_loss:0.0066225315, rewards:-7.837388, queue:1.115873, delay:0.07940347, throughput:2873, raw_metrics:{'fairness': 67.571}
SIM_TRAIN step:5, travel time:181.2151605428666, q_loss:0.0041106087, rewards:-6.6270185, queue:0.95714283, delay:0.07166898, throughput:2831, raw_metrics:{'fairness': 58.857}
SIM_TRAIN step:6, travel time:169.52300562727572, q_loss:0.003482017, rewards:-6.551204, queue:0.9718254, delay:0.06749811, throughput:2858, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:7, travel time:138.00463116109825, q_loss:0.0032437101, rewards:-7.639167, queue:1.1186508, delay:0.07278835, throughput:2945, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:8, travel time:121.55129053606883, q_loss:0.0061365217, rewards:-6.5789266, queue:0.95992064, delay:0.067534916, throughput:2947, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:1, travel time:933.1789808917198, q_loss:100, rewards:-130.86276, queue:17.873016, delay:0.31865054, throughput:969, R_real:-67.0705, components:{'queue': 1.091, 'delay': 2.231, 'waiting': 63.749, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 67.714, 'emission': 980.463, 'fuel': 317.86, 'emergency_stops': 2.0, 'collisions': 2.0, 'ssm_conflicts': 480.0}, grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2
SIM_TRAIN step:9, travel time:70.31434249751574, q_loss:0, rewards:-6.7049255, queue:0.95873016, delay:0.06339383, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:10, travel time:71.75629139072848, q_loss:0, rewards:-6.2185187, queue:0.89761907, delay:0.0683724, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:11, travel time:72.1956953642384, q_loss:1.3444782, rewards:-6.417686, queue:0.92142856, delay:0.06807831, throughput:3012, raw_metrics:{'fairness': 65.286}
SIM_TRAIN step:12, travel time:389.6323285856244, q_loss:0.09767605, rewards:-70.38224, queue:9.434524, delay:0.17141274, throughput:2318, raw_metrics:{'fairness': 170.429}
SIM_TRAIN step:13, travel time:277.1574594773404, q_loss:0.0886097, rewards:-56.08956, queue:7.802778, delay:0.19695847, throughput:2848, raw_metrics:{'fairness': 199.286}
SIM_TRAIN step:14, travel time:191.78476821192052, q_loss:0.05178744, rewards:-34.8889, queue:4.6646824, delay:0.13345191, throughput:2936, raw_metrics:{'fairness': 134.0}
SIM_TRAIN step:15, travel time:81.97847682119205, q_loss:0.01272584, rewards:-9.963739, queue:1.4019841, delay:0.08892011, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:16, travel time:74.49817820470355, q_loss:0.0027401405, rewards:-9.834093, queue:1.281746, delay:0.082126774, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:17, travel time:70.55426869622767, q_loss:0.0016646703, rewards:-6.1480002, queue:0.89444447, delay:0.07069425, throughput:3011, raw_metrics:{'fairness': 11.286}
REAL_TRAIN step:2, travel time:403.9022026431718, q_loss:100, rewards:-91.066376, queue:12.421429, delay:0.23695049, throughput:1825, R_real:-35.5609, components:{'queue': 0.76, 'delay': 1.659, 'waiting': 33.142, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 110.0, 'emission': 731.123, 'fuel': 237.025, 'emergency_stops': 23.0, 'collisions': 2.0, 'ssm_conflicts': 879.0}, grid;w=queue=1.0
SIM_TRAIN step:18, travel time:75.18681682676383, q_loss:0, rewards:-7.0507216, queue:1.006746, delay:0.07055122, throughput:3011, raw_metrics:{'fairness': 96.714}
SIM_TRAIN step:19, travel time:71.20231788079471, q_loss:0, rewards:-6.9535565, queue:0.98253965, delay:0.06718586, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:20, travel time:71.85643400595436, q_loss:2.1521113, rewards:-7.0527396, queue:0.99206346, delay:0.07083468, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:21, travel time:137.96886386220604, q_loss:0.18886402, rewards:-34.773026, queue:4.8242064, delay:0.115595534, throughput:2757, raw_metrics:{'fairness': 245.0}
SIM_TRAIN step:22, travel time:69.53769841269842, q_loss:0.012250709, rewards:-4.4854627, queue:0.6626984, delay:0.053838268, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:23, travel time:66.62177365982792, q_loss:0.0055404524, rewards:-4.0151114, queue:0.6003968, delay:0.04967371, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:24, travel time:66.86229725256537, q_loss:0.0041945656, rewards:-4.0788336, queue:0.609127, delay:0.04914613, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:25, travel time:65.66456953642384, q_loss:0.0032886188, rewards:-3.5623336, queue:0.5234127, delay:0.04509556, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:26, travel time:68.21780867262495, q_loss:0.0030574738, rewards:-3.6326485, queue:0.53015876, delay:0.046519466, throughput:3012, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:3, travel time:147.0204005934718, q_loss:100, rewards:-18.779795, queue:2.7519841, delay:0.12665357, throughput:2579, R_real:-3.2970, components:{'queue': 0.158, 'delay': 0.887, 'waiting': 2.253, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 11.429, 'emission': 259.042, 'fuel': 83.979, 'emergency_stops': 17.0, 'collisions': 2.0, 'ssm_conflicts': 752.0}, grid;w=delay=1.0
SIM_TRAIN step:27, travel time:74.10264900662251, q_loss:0, rewards:-7.3878155, queue:1.0325397, delay:0.06842603, throughput:3008, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:28, travel time:71.95430463576159, q_loss:0, rewards:-6.7826843, queue:0.97698414, delay:0.06809876, throughput:3012, raw_metrics:{'fairness': 37.714}
SIM_TRAIN step:29, travel time:76.33112582781457, q_loss:1.3915054, rewards:-7.1422763, queue:0.98452383, delay:0.07055734, throughput:3012, raw_metrics:{'fairness': 80.0}
SIM_TRAIN step:30, travel time:151.0092715231788, q_loss:0.1284534, rewards:-39.133743, queue:5.371825, delay:0.13641849, throughput:2748, raw_metrics:{'fairness': 238.714}
SIM_TRAIN step:31, travel time:176.58046357615893, q_loss:0.80456036, rewards:-24.64994, queue:3.559127, delay:0.10308681, throughput:2910, raw_metrics:{'fairness': 136.429}
SIM_TRAIN step:32, travel time:104.20934084133819, q_loss:1.1482884, rewards:-10.489799, queue:1.5190476, delay:0.086595684, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:33, travel time:77.37682119205299, q_loss:1.131176, rewards:-10.314721, queue:1.4964286, delay:0.08107138, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:34, travel time:77.59940456500165, q_loss:0.90427566, rewards:-10.877461, queue:1.5829365, delay:0.08422908, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:35, travel time:74.84376034425686, q_loss:0.68156457, rewards:-8.926943, queue:1.2722223, delay:0.0781877, throughput:3011, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:4, travel time:950.2866492146596, q_loss:100, rewards:-180.5367, queue:23.824604, delay:0.33362642, throughput:802, R_real:-97.3442, components:{'queue': 1.508, 'delay': 2.335, 'waiting': 93.501, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 78.571, 'emission': 1221.427, 'fuel': 395.98, 'emergency_stops': 2.0, 'collisions': 2.0, 'ssm_conflicts': 383.0}, grid;w=waiting=1.0
SIM_TRAIN step:36, travel time:77.3416087388282, q_loss:0, rewards:-7.4104233, queue:1.0670635, delay:0.07369926, throughput:3011, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:37, travel time:75.77310367671414, q_loss:0, rewards:-6.768184, queue:0.9710317, delay:0.06918277, throughput:3011, raw_metrics:{'fairness': 62.429}
SIM_TRAIN step:38, travel time:71.90629139072848, q_loss:1.5283211, rewards:-6.8687773, queue:0.97698414, delay:0.068697914, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:39, travel time:73.03310162197948, q_loss:0.14732613, rewards:-6.0249085, queue:0.88095236, delay:0.07060506, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:40, travel time:69.80722093408413, q_loss:0.027587382, rewards:-5.994834, queue:0.87420636, delay:0.066483684, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:41, travel time:69.54701986754966, q_loss:0.021277776, rewards:-5.2203336, queue:0.7821429, delay:0.06345726, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:42, travel time:71.27227558794303, q_loss:0.019361543, rewards:-4.983666, queue:0.73531747, delay:0.062544316, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:43, travel time:71.41046011254551, q_loss:0.018571584, rewards:-4.9709616, queue:0.7416667, delay:0.060585972, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:44, travel time:67.85066225165563, q_loss:0.017619496, rewards:-4.7211666, queue:0.7015873, delay:0.060430825, throughput:3011, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:5, travel time:159.8134732566012, q_loss:100, rewards:-59.641422, queue:8.313492, delay:0.17260359, throughput:2800, R_real:-4.4404, components:{'queue': 0.498, 'delay': 1.208, 'waiting': 2.734, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 89.571, 'emission': 555.225, 'fuel': 179.999, 'emergency_stops': 28.0, 'collisions': 4.0, 'ssm_conflicts': 1207.0}, grid;w=pressure=1.0
SIM_TRAIN step:45, travel time:73.39067151835924, q_loss:0, rewards:-6.6433525, queue:0.95357144, delay:0.06711242, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:46, travel time:73.03905991393579, q_loss:0, rewards:-6.9203696, queue:0.9884921, delay:0.06864451, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:47, travel time:73.27706057596822, q_loss:1.835886, rewards:-6.972239, queue:0.98888886, delay:0.06798542, throughput:3012, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:48, travel time:171.59582919563059, q_loss:0.288251, rewards:-19.482777, queue:3.0119047, delay:0.09140772, throughput:2880, raw_metrics:{'fairness': 49.714}
SIM_TRAIN step:49, travel time:453.21151936444886, q_loss:0.044945844, rewards:-75.49811, queue:10.3067465, delay:0.16316591, throughput:2280, raw_metrics:{'fairness': 195.857}
SIM_TRAIN step:50, travel time:406.4228476821192, q_loss:0.01780378, rewards:-70.2147, queue:9.2277775, delay:0.19179605, throughput:2613, raw_metrics:{'fairness': 99.857}
SIM_TRAIN step:51, travel time:795.1391189135476, q_loss:0.0070590624, rewards:-136.19525, queue:18.277382, delay:0.26190168, throughput:1952, raw_metrics:{'fairness': 144.429}
SIM_TRAIN step:52, travel time:928.2400662251656, q_loss:0.005204677, rewards:-160.23007, queue:20.946428, delay:0.28187245, throughput:1789, raw_metrics:{'fairness': 124.429}
SIM_TRAIN step:53, travel time:1313.163961576681, q_loss:0.005170482, rewards:-133.41728, queue:17.787302, delay:0.27917764, throughput:1111, raw_metrics:{'fairness': 62.714}
REAL_TRAIN step:6, travel time:1233.250240615977, q_loss:100, rewards:-204.54317, queue:25.773413, delay:0.3486194, throughput:509, R_real:-128.7679, components:{'queue': 1.707, 'delay': 2.44, 'waiting': 124.62, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 115.714, 'emission': 1153.79, 'fuel': 374.052, 'emergency_stops': 0.0, 'collisions': 0.0, 'ssm_conflicts': 307.0}, grid;w=switches=1.0
