exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
ingolstadt7_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	0	72.0	0.0	-6.76	0.96	0.07	3011	-0.20	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	1	75.1	0.0	-6.51	0.94	0.07	3012	-0.20	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	2	74.0	1.3	-7.36	1.05	0.07	3011	-0.20	0.0000			15.2857						
ingolstadt7_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	3	150.2	0.1	-31.73	4.38	0.11	2837	-0.28	0.0000			258.5714						
ingolstadt7_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	4	173.2	0.2	-35.73	4.95	0.12	2957	-0.29	0.0000			112.1429						
ingolstadt7_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	5	221.1	0.2	-7.81	1.15	0.08	2797	-0.12	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	6	188.6	0.1	-8.57	1.25	0.08	2813	-0.12	0.0000			0.0000						
ingolstadt7_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	7	1140.2	0.2	-118.34	15.36	0.23	1282	-3.54	0.0000			66.2857						
ingolstadt7_physical_safety_heavy_dqn_morl_grid	SIM_TRAIN	8	312.5	1.2	-50.36	6.78	0.14	2559	-0.44	0.0000			232.5714						
ingolstadt7_physical_safety_heavy_dqn_morl_grid	REAL_TRAIN	1	669.0	100.0	-131.73	17.09	0.25	964		-0.7889	queue=0.55;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.2389;collisions=0.0	grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2	49.4286	820.2081	265.9065	3.0000	430.0000	13.0000	queue=11.0008;delay=1.7156;waiting=12877.1023;pressure=119.7833;switches=0.8111;ssm_conflicts=1.1944;collisions=0.0361
