exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	0	85.1	0.0	-62.41	4.62	0.24	21291	-1.61	0.0000			431.4375						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	1	85.6	0.0	-67.31	4.84	0.25	21239	-1.65	0.0000			427.3125						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	2	84.7	0.8	-60.90	4.47	0.24	21307	-1.52	0.0000			355.0000						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	3	114.3	0.6	-167.73	14.26	0.26	21113	-1.49	0.0000			361.3125						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	4	119.3	0.5	-138.95	13.10	0.27	20994	-1.27	0.0000			365.3750						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	5	117.1	0.4	-173.84	15.02	0.28	21279	-1.44	0.0000			366.1250						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	6	92.9	0.4	-84.40	6.92	0.27	21206	-1.03	0.0000			387.5000						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	7	113.7	0.3	-94.80	7.97	0.28	20916	-1.03	0.0000			472.3125						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	8	106.3	0.3	-96.93	8.02	0.28	21007	-1.01	0.0000			649.1250						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	9	92.6	0.3	-95.70	8.08	0.28	21137	-1.04	0.0000			216.6875						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	10	105.3	0.3	-89.74	7.47	0.28	20974	-1.00	0.0000			247.0000						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	11	111.6	0.3	-96.84	8.19	0.28	20954	-1.02	0.0000			461.6250						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	12	107.8	0.3	-98.33	8.27	0.28	20948	-1.05	0.0000			438.5625						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	13	107.3	0.3	-96.64	8.18	0.28	20967	-1.02	0.0000			256.8125						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	14	105.8	0.3	-100.36	8.47	0.28	21018	-1.01	0.0000			220.1250						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	15	102.6	0.3	-95.74	8.12	0.27	21077	-1.01	0.0000			169.9375						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	16	103.3	0.3	-88.57	7.26	0.28	21103	-0.98	0.0000			480.1250						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	17	101.2	0.2	-83.95	6.86	0.27	21024	-1.00	0.0000			325.9375						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	18	90.8	0.2	-80.57	6.44	0.27	21191	-0.99	0.0000			139.1250						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	19	99.4	0.2	-83.66	6.76	0.28	21088	-0.98	0.0000			232.0000						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	20	94.7	0.3	-81.64	6.63	0.27	21073	-2.99	0.0000			139.3125						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	21	105.5	0.4	-93.30	7.80	0.28	21063	-3.26	0.0000			245.0625						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	22	95.7	0.6	-82.87	6.75	0.27	21173	-3.05	0.0000			331.1250						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	23	100.7	0.7	-90.47	7.47	0.27	21101	-3.17	0.0000			145.4375						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	24	103.6	0.9	-84.38	6.72	0.27	21038	-3.10	0.0000			112.9375						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	25	91.6	1.1	-84.59	6.83	0.28	21216	-3.19	0.0000			267.1875						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	REAL_TRAIN	1	93.4	100.0	-81.18	7.35	0.22	20573		-41.8913	queue=0.3492;delay=0.0;waiting=9.0473;pressure=0.0;switches=0.0;fairness=32.4949	init;w=queue=0.593;delay=0.844;waiting=0.858;pressure=0.847;switches=0.624;fairness=0.384	135.1875	4051.6795	1313.5064	99.0000	5673.0000	4.0000	queue=6.984;delay=3.5226;waiting=904.727;pressure=213.8972;switches=6.4861;fairness=812.3717
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	26	107.5	1.1	-93.65	7.47	0.28	21013	-2.90	0.0000			368.6250						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	27	110.5	1.3	-86.38	6.99	0.27	20959	-2.79	0.0000			387.5625						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	28	107.5	1.4	-89.69	7.22	0.28	21030	-2.77	0.0000			322.6250						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	29	91.4	1.4	-80.51	6.23	0.28	21187	-2.85	0.0000			572.3750						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	30	94.1	1.5	-83.01	6.27	0.28	21157	-2.86	0.0000			431.9375						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	31	97.4	1.6	-87.92	6.89	0.28	21110	-2.95	0.0000			292.5625						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	REAL_TRAIN	2	92.2	100.0	-86.85	6.85	0.24	20695		-43.7103	queue=0.3725;delay=0.0;waiting=7.4394;pressure=0.0;switches=0.0;fairness=35.8984	init;w=queue=0.298;delay=0.057;waiting=0.273;pressure=0.478;switches=0.812;fairness=0.48	108.7500	4023.8556	1304.4855	90.0000	5360.0000	3.0000	queue=7.4499;delay=3.8328;waiting=743.9404;pressure=189.8667;switches=6.4944;fairness=897.4606
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	32	127.6	1.6	-148.63	11.19	0.31	20887	-5.94	0.0000			359.3750						
tempe_16_fairness_heavy_dqn_dynamic_reward_shaping	SIM_TRAIN	33	102.8	2.5	-91.36	7.23	0.29	21059	-4.99	0.0000			131.5625						
