exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	0	84.8	0.0	-61.67	4.52	0.24	21291	-0.38	0.0000			457.1875						
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	1	84.6	0.0	-62.26	4.46	0.24	21290	-0.37	0.0000			569.9375						
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	2	88.5	0.6	-77.62	5.98	0.25	21040	-0.43	0.0000			797.2500						
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	3	139.2	0.4	-308.80	21.90	0.29	20867	-1.20	0.0000			914.8750						
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	4	141.3	0.2	-290.48	24.28	0.29	21001	-1.30	0.0000			501.6250						
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	5	100.9	0.2	-126.83	10.68	0.27	21218	-0.65	0.0000			695.5625						
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	6	96.2	0.2	-106.37	8.25	0.27	21224	-0.48	0.0000			385.5000						
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	7	99.9	0.2	-144.25	9.78	0.26	21208	-0.60	0.0000			518.5000						
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	8	92.9	0.1	-106.43	7.57	0.26	21268	-0.44	0.0000			548.9375						
tempe_16_emission_heavy_dqn_morl_grid	REAL_TRAIN	1	113.4	100.0	-127.69	10.41	0.25	20594		-17.0192	queue=0.5422;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;emission=16.477	grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2	111.8750	4762.0042	1543.7865	94.0000	8643.0000	6.0000	queue=10.8436;delay=4.0664;waiting=1343.5556;pressure=267.3889;switches=6.4278;emission=82.3849
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	9	85.4	0.0	-64.43	4.75	0.24	21294	-0.03	0.0000			465.5000						
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	10	86.2	0.0	-68.23	4.98	0.25	21278	-0.03	0.0000			596.1250						
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	11	86.8	0.8	-71.95	5.24	0.24	21086	-0.04	0.0000			1065.7500						
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	12	751.4	0.8	-1984.39	149.58	0.49	13509	-1.03	0.0000			740.0625						
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	13	595.1	0.6	-1564.51	117.31	0.44	15472	-0.82	0.0000			1008.1250						
tempe_16_emission_heavy_dqn_morl_grid	SIM_TRAIN	14	319.3	0.3	-702.77	55.96	0.37	19072	-0.36	0.0000			718.5000						
