exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	0	399.0	0.0	-904.07	68.57	0.39	19792	-0.47	0.0000			694.3125						
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	1	148.0	0.0	-276.24	23.41	0.33	20936	-0.14	0.0000			462.2500						
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	2	91.6	0.0	-97.42	7.60	0.29	21243	-0.05	0.0000			441.4375						
tempe_16_physical_safety_heavy_dqn_reward_inference	REAL_TRAIN	1	268.0	100.0	-630.84	52.78	0.40	16899		-7.6963	queue=2.6413;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=5.055;collisions=0.0	probe[queue]	234.3750	8744.2734	2834.8216	72.0000	9099.0000	2.0000	queue=52.826;delay=6.3945;waiting=48795.3865;pressure=830.2417;switches=6.3167;ssm_conflicts=25.275;collisions=0.0056
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	3	528.1	0.0	-1241.60	94.60	0.40	16663	-0.40	0.0000			602.5625						
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	4	427.3	0.0	-986.80	74.99	0.35	17231	-0.35	0.0000			644.5000						
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	5	275.1	0.0	-657.67	50.04	0.30	19511	-0.30	0.0000			637.2500						
tempe_16_physical_safety_heavy_dqn_reward_inference	REAL_TRAIN	2	369.7	100.0	-907.72	76.21	0.34	15209		-9.6855	queue=3.7994;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=5.8861;collisions=0.0	probe[delay]	204.4375	11042.7337	3579.9699	79.0000	10595.0000	2.0000	queue=75.9878;delay=5.4605;waiting=67558.8612;pressure=1246.3222;switches=7.8417;ssm_conflicts=29.4306;collisions=0.0056
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	6	421.3	24.7	-1190.66	79.19	0.42	17401	-8.39	0.0000			1190.4375						
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	7	236.1	25.9	-558.62	38.77	0.39	20479	-4.13	0.0000			800.8750						
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	8	173.4	20.8	-304.83	23.86	0.36	20487	-2.67	0.0000			767.3750						
tempe_16_physical_safety_heavy_dqn_reward_inference	REAL_TRAIN	3	331.3	100.0	-931.77	67.88	0.48	16253		-9.7736	queue=3.8941;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=5.8794;collisions=0.0	probe[waiting]	235.3125	10253.1770	3323.9975	49.0000	10583.0000	1.0000	queue=77.8826;delay=7.7127;waiting=74586.4146;pressure=1048.0306;switches=4.2611;ssm_conflicts=29.3972;collisions=0.0028
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	9	511.4	5.7	-1311.85	94.05	0.41	16231	-6.19	0.0000			625.8125						
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	10	151.7	6.7	-305.09	24.12	0.34	20839	-3.57	0.0000			773.3125						
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	11	110.4	8.8	-197.86	13.69	0.33	21138	-1.94	0.0000			675.0000						
tempe_16_physical_safety_heavy_dqn_reward_inference	REAL_TRAIN	4	256.2	100.0	-667.85	56.46	0.41	17774		-8.3091	queue=2.7958;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=5.5133;collisions=0.0	probe[pressure]	252.2500	8738.7348	2833.0213	70.0000	9924.0000	0.0000	queue=55.9154;delay=6.6005;waiting=46021.8626;pressure=1037.2306;switches=6.825;ssm_conflicts=27.5667;collisions=0.0
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	12	539.3	0.1	-1343.02	98.52	0.42	14521	-0.45	0.0000			758.2500						
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	13	1095.1	0.0	-2713.96	199.06	0.59	9173	-0.15	0.0000			580.5000						
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	14	1063.6	0.0	-2689.41	197.92	0.58	8695	-0.14	0.0000			585.5625						
tempe_16_physical_safety_heavy_dqn_reward_inference	REAL_TRAIN	5	993.8	100.0	-2113.43	162.61	0.61	7531		-11.9485	queue=8.8224;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=3.1261;collisions=0.0	probe[switches]	160.2500	18967.8447	6149.2597	2.0000	5627.0000	0.0000	queue=176.4483;delay=9.8318;waiting=231261.1422;pressure=2125.8444;switches=0.1306;ssm_conflicts=15.6306;collisions=0.0
tempe_16_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	15	601.7	0.1	-1398.13	102.28	0.43	17562	-0.73	0.0000			840.4375						
