exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	0	149.3	0.0	-5.99	8.67	0.40	1866	-1.45	0.0000			587.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	1	149.7	0.0	-5.97	8.64	0.39	1873	-1.39	0.0000			472.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	2	149.2	0.4	-5.87	8.47	0.39	1874	-1.34	0.0000			568.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	3	150.6	0.2	-6.22	9.01	0.38	1874	-1.44	0.0000			543.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	4	149.2	0.1	-5.74	8.36	0.39	1874	-1.30	0.0000			559.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	5	149.3	0.1	-5.86	8.52	0.39	1876	-1.42	0.0000			623.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	6	148.8	0.1	-5.65	8.12	0.39	1876	-1.47	0.0000			511.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	7	147.8	0.1	-5.32	7.85	0.39	1870	-1.32	0.0000			481.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	8	147.7	0.1	-5.24	7.69	0.38	1874	-1.24	0.0000			529.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	REAL_TRAIN	1	160.8	100.0	-7.53	11.61	0.43	1831		-4.9527	queue=0.0327;delay=0.0;waiting=0.1854;pressure=0.0;switches=0.0;fairness=4.7346	grid;w=queue=0.167;delay=0.167;waiting=0.167;pressure=0.167;switches=0.167;fairness=0.167	21.0000	608.7633	197.3541	10.0000	817.0000	0.0000	queue=0.655;delay=0.4275;waiting=18.5425;pressure=50.3028;switches=0.8778;fairness=118.3642
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	9	149.1	0.0	-5.85	8.51	0.38	1866	-0.05	0.0000			512.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	10	151.1	0.0	-6.48	9.33	0.40	1873	-0.05	0.0000			511.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	11	150.1	0.6	-6.20	8.83	0.39	1872	-0.05	0.0000			473.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	12	172.0	0.2	-14.12	20.48	0.45	1826	-0.11	0.0000			606.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	13	309.1	0.0	-61.37	96.02	0.61	1632	-0.51	0.0000			579.0000						
tempe_1x1_fairness_heavy_dqn_morl_grid	SIM_TRAIN	14	171.4	0.0	-12.79	19.99	0.47	1871	-0.10	0.0000			559.0000						
