MORLGrid: 16 grid policies
SIM_TRAIN step:0, travel time:149.6873048907388, q_loss:0, rewards:-6.067332, queue:8.766666, delay:0.40056556, throughput:1866, raw_metrics:{'fairness': 574.0}
SIM_TRAIN step:1, travel time:149.53045288912026, q_loss:0, rewards:-5.911958, queue:8.569445, delay:0.3882605, throughput:1873, raw_metrics:{'fairness': 445.0}
SIM_TRAIN step:2, travel time:148.88241415192508, q_loss:0.4523042, rewards:-5.767459, queue:8.347222, delay:0.39472708, throughput:1870, raw_metrics:{'fairness': 546.0}
SIM_TRAIN step:3, travel time:148.0635085892764, q_loss:0.162093, rewards:-5.4002914, queue:7.947222, delay:0.3758038, throughput:1860, raw_metrics:{'fairness': 560.0}
SIM_TRAIN step:4, travel time:168.58887733887735, q_loss:0.027305968, rewards:-12.289376, queue:18.51111, delay:0.4635932, throughput:1873, raw_metrics:{'fairness': 577.0}
SIM_TRAIN step:5, travel time:147.3722019781364, q_loss:0.01317279, rewards:-5.2109575, queue:7.713889, delay:0.39976373, throughput:1872, raw_metrics:{'fairness': 589.0}
SIM_TRAIN step:6, travel time:145.48204060385217, q_loss:0.009830573, rewards:-4.5479565, queue:6.75, delay:0.38222432, throughput:1874, raw_metrics:{'fairness': 529.0}
SIM_TRAIN step:7, travel time:144.7273673257024, q_loss:0.008317917, rewards:-4.2874584, queue:6.4444447, delay:0.38806182, throughput:1873, raw_metrics:{'fairness': 459.0}
SIM_TRAIN step:8, travel time:145.07856399583767, q_loss:0.0071300594, rewards:-4.3892093, queue:6.5194445, delay:0.3796729, throughput:1871, raw_metrics:{'fairness': 524.0}
REAL_TRAIN step:1, travel time:160.99790904338735, q_loss:100, rewards:-7.3033767, queue:12.025, delay:0.47020108, throughput:1828, R_real:-0.4002, components:{'queue': 0.032, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'ssm_conflicts': 0.368, 'collisions': 0.0}, raw_metrics:{'fairness': 300.0, 'emission': 608.778, 'fuel': 197.359, 'emergency_stops': 11.0, 'collisions': 0.0, 'ssm_conflicts': 662.0}, grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2
SIM_TRAIN step:9, travel time:148.81207704320667, q_loss:0, rewards:-5.7697525, queue:8.311111, delay:0.38869527, throughput:1866, raw_metrics:{'fairness': 514.0}
SIM_TRAIN step:10, travel time:150.764553014553, q_loss:0, rewards:-6.4796257, queue:9.280556, delay:0.39791045, throughput:1873, raw_metrics:{'fairness': 472.0}
SIM_TRAIN step:11, travel time:150.23789692868297, q_loss:0.573794, rewards:-6.200708, queue:8.825, delay:0.3916723, throughput:1871, raw_metrics:{'fairness': 496.0}
SIM_TRAIN step:12, travel time:189.4140625, q_loss:0.23979814, rewards:-21.755714, queue:31.022223, delay:0.45855582, throughput:1776, raw_metrics:{'fairness': 576.0}
SIM_TRAIN step:13, travel time:306.7135416666667, q_loss:0.052548144, rewards:-58.229237, queue:92.44722, delay:0.598608, throughput:1716, raw_metrics:{'fairness': 593.0}
SIM_TRAIN step:14, travel time:227.51378055122206, q_loss:0.013305701, rewards:-32.043285, queue:48.291668, delay:0.539833, throughput:1870, raw_metrics:{'fairness': 530.0}
SIM_TRAIN step:15, travel time:153.1509630400833, q_loss:0.0027049999, rewards:-7.29304, queue:10.655556, delay:0.4358796, throughput:1871, raw_metrics:{'fairness': 577.0}
SIM_TRAIN step:16, travel time:162.46670135275755, q_loss:0.001587867, rewards:-10.357832, queue:15.758333, delay:0.4581594, throughput:1857, raw_metrics:{'fairness': 626.0}
SIM_TRAIN step:17, travel time:149.6756897449245, q_loss:0.0016423468, rewards:-6.1967087, queue:8.894444, delay:0.4225748, throughput:1876, raw_metrics:{'fairness': 523.0}
REAL_TRAIN step:2, travel time:221.22791427077888, q_loss:100, rewards:-29.55392, queue:45.413887, delay:0.58780193, throughput:1780, R_real:-0.4338, components:{'queue': 0.125, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'ssm_conflicts': 0.309, 'collisions': 0.0}, raw_metrics:{'fairness': 322.0, 'emission': 784.359, 'fuel': 254.281, 'emergency_stops': 12.0, 'collisions': 0.0, 'ssm_conflicts': 556.0}, grid;w=queue=1.0
SIM_TRAIN step:18, travel time:149.6985944820406, q_loss:0, rewards:-6.0597534, queue:8.705556, delay:0.4021735, throughput:1873, raw_metrics:{'fairness': 543.0}
SIM_TRAIN step:19, travel time:149.6290322580645, q_loss:0, rewards:-6.0120845, queue:8.619445, delay:0.38769007, throughput:1875, raw_metrics:{'fairness': 612.0}
SIM_TRAIN step:20, travel time:148.55642225689027, q_loss:0.48173267, rewards:-5.6755824, queue:8.077778, delay:0.38907292, throughput:1876, raw_metrics:{'fairness': 524.0}
SIM_TRAIN step:21, travel time:156.34096824570537, q_loss:0.18154967, rewards:-8.638124, queue:12.527778, delay:0.41558507, throughput:1834, raw_metrics:{'fairness': 499.0}
SIM_TRAIN step:22, travel time:358.5601249349297, q_loss:0.04465563, rewards:-75.87161, queue:113.41111, delay:0.5928121, throughput:1869, raw_metrics:{'fairness': 609.0}
SIM_TRAIN step:23, travel time:171.02758979698075, q_loss:0.01734435, rewards:-13.252955, queue:19.658333, delay:0.46059257, throughput:1847, raw_metrics:{'fairness': 550.0}
