exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	0	364.5	0.0	-80.72	115.91	0.57	1824	-0.67	0.0000			611.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	1	169.1	0.0	-12.44	19.27	0.50	1859	-0.10	0.0000			562.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	2	159.9	0.0	-9.27	14.31	0.46	1862	-0.08	0.0000			624.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	REAL_TRAIN	1	360.9	100.0	-82.43	121.82	0.66	1700		-1.2217	queue=0.3434;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.8783;collisions=0.0	probe[queue]	300.0000	1201.6739	389.5718	5.0000	1581.0000	0.0000	queue=6.868;delay=0.6566;waiting=2166.6211;pressure=158.6278;switches=0.4972;ssm_conflicts=4.3917;collisions=0.0
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	3	318.0	0.0	-62.98	91.76	0.56	1840	-0.56	0.0000			540.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	4	219.5	0.0	-30.73	43.38	0.50	1868	-0.50	0.0000			439.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	5	186.5	0.0	-19.04	27.37	0.45	1840	-0.45	0.0000			549.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	REAL_TRAIN	2	275.3	100.0	-54.58	75.63	0.52	1774		-0.8702	queue=0.2285;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.6417;collisions=0.0	probe[delay]	277.0000	939.3947	304.5423	5.0000	1155.0000	0.0000	queue=4.5703;delay=0.518;waiting=892.6828;pressure=112.1444;switches=0.8111;ssm_conflicts=3.2083;collisions=0.0
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	6	432.7	4.3	-106.62	151.12	0.56	1679	-6.93	0.0000			458.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	7	230.7	2.4	-34.49	51.10	0.56	1849	-3.43	0.0000			520.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	8	174.6	1.6	-15.04	21.83	0.49	1857	-0.74	0.0000			522.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	REAL_TRAIN	3	480.1	100.0	-128.19	192.52	0.60	1466		-1.2613	queue=0.5357;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.7256;collisions=0.0	probe[waiting]	222.0000	1528.0889	495.3940	1.0000	1306.0000	0.0000	queue=10.7145;delay=0.6042;waiting=6628.7288;pressure=227.4389;switches=0.4556;ssm_conflicts=3.6278;collisions=0.0
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	9	471.3	21.4	-117.65	183.36	0.59	1470	-19.92	0.0000			410.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	10	203.2	2.8	-25.29	37.49	0.55	1849	-4.30	0.0000			578.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	11	184.5	1.8	-17.67	28.25	0.52	1840	-3.35	0.0000			644.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	REAL_TRAIN	4	276.7	100.0	-48.13	75.13	0.56	1769		-0.5435	queue=0.2024;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.3411;collisions=0.0	probe[pressure]	362.0000	944.9920	306.3576	11.0000	614.0000	0.0000	queue=4.0482;delay=0.5556;waiting=3003.7024;pressure=113.1972;switches=0.6694;ssm_conflicts=1.7056;collisions=0.0
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	12	418.5	0.0	-106.20	145.07	0.55	1466	-0.59	0.0000			626.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	13	765.6	0.0	-200.43	287.63	0.72	1145	-0.20	0.0000			636.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	14	817.2	0.0	-211.10	302.34	0.72	1169	-0.18	0.0000			615.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	REAL_TRAIN	5	1033.4	100.0	-264.68	392.93	0.73	892		-1.4754	queue=1.1049;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.3706;collisions=0.0	probe[switches]	529.0000	2487.4904	806.4286	0.0000	667.0000	0.0000	queue=22.0979;delay=0.7323;waiting=28164.7358;pressure=420.2972;switches=0.0278;ssm_conflicts=1.8528;collisions=0.0
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	15	380.0	0.0	-84.27	124.66	0.56	1793	-0.70	0.0000			528.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	16	186.1	0.0	-17.43	27.86	0.50	1866	-0.14	0.0000			505.0000						
tempe_1x1_physical_safety_heavy_dqn_reward_inference	SIM_TRAIN	17	160.8	0.0	-9.75	14.86	0.46	1852	-0.08	0.0000			532.0000						
