exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
bullhead_1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	0	121.3	0.0	-5.75	3.14	0.60	1399	-0.39	0.0000			0.0000						
bullhead_1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	1	121.2	0.0	-5.71	3.10	0.60	1398	-0.40	0.0000			201.0000						
bullhead_1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	2	120.9	2.4	-5.59	2.92	0.58	1399	-0.39	0.0000			0.0000						
bullhead_1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	3	219.3	1.0	-44.53	38.83	0.73	1389	-1.86	0.0000			1076.0000						
bullhead_1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	4	147.1	0.1	-16.00	12.75	0.80	1389	-0.94	0.0000			258.0000						
bullhead_1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	5	136.9	0.1	-11.89	9.09	0.71	1394	-0.71	0.0000			218.0000						
bullhead_1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	6	125.8	0.1	-7.53	4.46	0.52	1399	-0.44	0.0000			0.0000						
bullhead_1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	7	124.7	0.0	-7.19	4.04	0.56	1396	-0.44	0.0000			0.0000						
bullhead_1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	8	123.7	0.0	-6.68	3.77	0.56	1398	-0.43	0.0000			0.0000						
bullhead_1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	9	123.9	0.0	-6.77	3.78	0.54	1396	-0.43	0.0000			228.0000						
bullhead_1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	10	123.5	0.0	-6.63	3.67	0.53	1399	-0.42	0.0000			0.0000						
bullhead_1_efficiency_aligned_presslight_dynamic_reward_shaping	SIM_TRAIN	11	120.8	0.0	-5.53	2.75	0.51	1397	-0.38	0.0000			203.0000						
