MORLGrid: 16 grid policies
SIM_TRAIN step:0, travel time:120.89014084507042, q_loss:0, rewards:-5.54111, queue:2.9805555, delay:0.59623253, throughput:1399, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:1, travel time:121.30915492957746, q_loss:0, rewards:-5.7491674, queue:3.15, delay:0.6018061, throughput:1398, raw_metrics:{'fairness': 802.0}
SIM_TRAIN step:2, travel time:121.30140845070423, q_loss:2.4656868, rewards:-5.729446, queue:3.1166666, delay:0.6080543, throughput:1399, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:3, travel time:217.3330985915493, q_loss:1.001676, rewards:-44.359737, queue:37.330555, delay:0.7228882, throughput:1347, raw_metrics:{'fairness': 1062.0}
SIM_TRAIN step:4, travel time:200.5119718309859, q_loss:0.2584178, rewards:-34.805286, queue:30.027779, delay:0.8588227, throughput:1341, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:5, travel time:163.24647887323943, q_loss:0.27447826, rewards:-22.451939, queue:19.205555, delay:0.70687187, throughput:1396, raw_metrics:{'fairness': 795.0}
SIM_TRAIN step:6, travel time:123.25352112676056, q_loss:0.19646649, rewards:-6.5741644, queue:3.7361112, delay:0.616533, throughput:1398, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:7, travel time:124.3781690140845, q_loss:0.13940714, rewards:-7.022225, queue:4.0944443, delay:0.54137146, throughput:1390, raw_metrics:{'fairness': 260.0}
SIM_TRAIN step:8, travel time:123.81478873239436, q_loss:0.115295455, rewards:-6.72389, queue:3.9444444, delay:0.5285843, throughput:1399, raw_metrics:{'fairness': 0.0}
REAL_TRAIN step:1, travel time:176.2550432276657, q_loss:100, rewards:-45.852497, queue:21.919445, delay:0.65257317, throughput:1318, R_real:-9.9123, components:{'queue': 0.275, 'delay': 0.653, 'waiting': 8.985, 'pressure': 0.0, 'switches': 0.0}, raw_metrics:{'fairness': 700.0, 'emission': 473.25, 'fuel': 153.423, 'emergency_stops': 9.0, 'collisions': 0.0, 'ssm_conflicts': 614.0}, grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2
SIM_TRAIN step:9, travel time:121.93802816901409, q_loss:0, rewards:-5.979446, queue:3.3472223, delay:0.59266514, throughput:1398, raw_metrics:{'fairness': 213.0}
SIM_TRAIN step:10, travel time:121.41901408450704, q_loss:0, rewards:-5.774445, queue:3.1972222, delay:0.60716474, throughput:1399, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:11, travel time:121.52042253521127, q_loss:3.1053405, rewards:-5.85583, queue:3.1388888, delay:0.5923794, throughput:1398, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:12, travel time:217.44014084507043, q_loss:1.7230052, rewards:-40.2864, queue:35.091667, delay:0.7665054, throughput:1373, raw_metrics:{'fairness': 1063.0}
SIM_TRAIN step:13, travel time:548.1176056338028, q_loss:0.61463654, rewards:-176.0183, queue:163.35, delay:0.83686626, throughput:952, raw_metrics:{'fairness': 784.0}
SIM_TRAIN step:14, travel time:621.2260563380281, q_loss:0.18055739, rewards:-164.7016, queue:148.33333, delay:0.9083062, throughput:1330, raw_metrics:{'fairness': 966.0}
SIM_TRAIN step:15, travel time:172.12535211267607, q_loss:0.050877474, rewards:-20.897223, queue:17.458334, delay:0.88463074, throughput:1371, raw_metrics:{'fairness': 808.0}
SIM_TRAIN step:16, travel time:174.72957746478872, q_loss:0.018802648, rewards:-18.200275, queue:14.755555, delay:0.81116486, throughput:1378, raw_metrics:{'fairness': 819.0}
SIM_TRAIN step:17, travel time:148.78450704225352, q_loss:0.015107129, rewards:-16.145271, queue:12.791667, delay:0.7323155, throughput:1394, raw_metrics:{'fairness': 1031.0}
