MORLGrid: 16 grid policies
SIM_TRAIN step:0, travel time:120.80633802816901, q_loss:0, rewards:-5.5180545, queue:2.9416666, delay:0.5986696, throughput:1399, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:1, travel time:121.55, q_loss:0, rewards:-5.827224, queue:3.213889, delay:0.62034017, throughput:1397, raw_metrics:{'fairness': 1010.0}
SIM_TRAIN step:2, travel time:120.74154929577465, q_loss:2.4337487, rewards:-5.5241656, queue:2.9055555, delay:0.61298245, throughput:1399, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:3, travel time:134.94295774647887, q_loss:1.0407315, rewards:-13.460003, queue:9.341666, delay:0.6930846, throughput:1316, raw_metrics:{'fairness': 998.0}
SIM_TRAIN step:4, travel time:214.31197183098593, q_loss:0.10710375, rewards:-41.863342, queue:36.880554, delay:0.84589785, throughput:1367, raw_metrics:{'fairness': 1009.0}
SIM_TRAIN step:5, travel time:144.4950704225352, q_loss:0.13308218, rewards:-14.496945, queue:11.358334, delay:0.7430629, throughput:1393, raw_metrics:{'fairness': 221.0}
SIM_TRAIN step:6, travel time:129.2443661971831, q_loss:0.0958465, rewards:-8.8933325, queue:5.8777776, delay:0.5878779, throughput:1393, raw_metrics:{'fairness': 229.0}
SIM_TRAIN step:7, travel time:126.7450704225352, q_loss:0.06516466, rewards:-7.906945, queue:4.927778, delay:0.55351347, throughput:1392, raw_metrics:{'fairness': 235.0}
SIM_TRAIN step:8, travel time:124.68521126760564, q_loss:0.053446464, rewards:-7.0786104, queue:4.1527777, delay:0.5338881, throughput:1392, raw_metrics:{'fairness': 229.0}
REAL_TRAIN step:1, travel time:143.4169014084507, q_loss:100, rewards:-34.163895, queue:10.416667, delay:0.59732586, throughput:1365, R_real:-0.1653, components:{'queue': 0.056, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'ssm_conflicts': 0.109, 'collisions': 0.0}, raw_metrics:{'fairness': 677.0, 'emission': 408.647, 'fuel': 132.479, 'emergency_stops': 4.0, 'collisions': 0.0, 'ssm_conflicts': 197.0}, grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2
SIM_TRAIN step:9, travel time:121.56408450704225, q_loss:0, rewards:-5.848334, queue:3.261111, delay:0.5984056, throughput:1397, raw_metrics:{'fairness': 210.0}
SIM_TRAIN step:10, travel time:121.35422535211268, q_loss:0, rewards:-5.7508326, queue:3.1666667, delay:0.60279423, throughput:1398, raw_metrics:{'fairness': 234.0}
SIM_TRAIN step:11, travel time:120.73802816901409, q_loss:2.8686671, rewards:-5.564998, queue:2.9277778, delay:0.57968396, throughput:1399, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:12, travel time:237.90218156228008, q_loss:1.6106448, rewards:-46.600277, queue:40.930557, delay:0.79973, throughput:1369, raw_metrics:{'fairness': 1096.0}
SIM_TRAIN step:13, travel time:491.0485915492958, q_loss:0.5688778, rewards:-156.36307, queue:143.67223, delay:0.8198212, throughput:1038, raw_metrics:{'fairness': 851.0}
SIM_TRAIN step:14, travel time:1065.2718309859156, q_loss:0.23273143, rewards:-253.7244, queue:234.77222, delay:0.9075309, throughput:1336, raw_metrics:{'fairness': 904.0}
SIM_TRAIN step:15, travel time:377.93591549295775, q_loss:0.1729083, rewards:-95.29056, queue:88.45556, delay:0.9280821, throughput:988, raw_metrics:{'fairness': 900.0}
SIM_TRAIN step:16, travel time:344.2056338028169, q_loss:0.07400138, rewards:-78.29414, queue:71.05, delay:0.8868954, throughput:1264, raw_metrics:{'fairness': 970.0}
SIM_TRAIN step:17, travel time:399.5260563380282, q_loss:0.028634585, rewards:-124.37968, queue:117.077774, delay:0.7678458, throughput:919, raw_metrics:{'fairness': 768.0}
REAL_TRAIN step:2, travel time:1138.311320754717, q_loss:100, rewards:-328.0267, queue:315.74722, delay:0.83684975, throughput:468, R_real:-1.9347, components:{'queue': 1.377, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'ssm_conflicts': 0.558, 'collisions': 0.0}, raw_metrics:{'fairness': 274.0, 'emission': 1883.497, 'fuel': 610.617, 'emergency_stops': 0.0, 'collisions': 0.0, 'ssm_conflicts': 1004.0}, grid;w=queue=1.0
SIM_TRAIN step:18, travel time:121.37464788732395, q_loss:0, rewards:-5.789723, queue:3.15, delay:0.6288711, throughput:1398, raw_metrics:{'fairness': 810.0}
SIM_TRAIN step:19, travel time:120.85492957746479, q_loss:0, rewards:-5.563334, queue:2.9833333, delay:0.5759522, throughput:1398, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:20, travel time:121.32323943661972, q_loss:2.6188815, rewards:-5.7783337, queue:3.0972223, delay:0.59481597, throughput:1399, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:21, travel time:394.9788732394366, q_loss:1.0983461, rewards:-115.00277, queue:105.21111, delay:0.75242066, throughput:1162, raw_metrics:{'fairness': 849.0}
SIM_TRAIN step:22, travel time:386.30422535211267, q_loss:0.32823914, rewards:-110.83861, queue:101.827774, delay:0.84750944, throughput:1194, raw_metrics:{'fairness': 1017.0}
SIM_TRAIN step:23, travel time:579.424647887324, q_loss:0.07204807, rewards:-179.26672, queue:160.34166, delay:0.8228412, throughput:1318, raw_metrics:{'fairness': 942.0}
SIM_TRAIN step:24, travel time:330.02183098591547, q_loss:0.028397497, rewards:-89.62525, queue:79.166664, delay:0.6773332, throughput:1335, raw_metrics:{'fairness': 307.0}
SIM_TRAIN step:25, travel time:239.68873239436618, q_loss:0.023118503, rewards:-54.317215, queue:46.802776, delay:0.6295093, throughput:1345, raw_metrics:{'fairness': 323.0}
SIM_TRAIN step:26, travel time:286.9401408450704, q_loss:0.017832598, rewards:-73.08586, queue:63.752777, delay:0.59173447, throughput:1363, raw_metrics:{'fairness': 1029.0}
REAL_TRAIN step:3, travel time:362.2087667161961, q_loss:100, rewards:-115.38947, queue:93.611115, delay:0.92189425, throughput:1205, R_real:-1.1602, components:{'queue': 0.468, 'delay': 0.0, 'waiting': 0.0, 'pressure': 0.0, 'switches': 0.0, 'ssm_conflicts': 0.692, 'collisions': 0.0}, raw_metrics:{'fairness': 649.0, 'emission': 849.481, 'fuel': 275.394, 'emergency_stops': 2.0, 'collisions': 0.0, 'ssm_conflicts': 1246.0}, grid;w=delay=1.0
SIM_TRAIN step:27, travel time:121.21760563380282, q_loss:0, rewards:-5.7075005, queue:3.163889, delay:0.6083002, throughput:1399, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:28, travel time:121.24788732394366, q_loss:0, rewards:-5.7594457, queue:3.161111, delay:0.62542945, throughput:1398, raw_metrics:{'fairness': 796.0}
SIM_TRAIN step:29, travel time:121.90985915492958, q_loss:2.573862, rewards:-5.986943, queue:3.2944446, delay:0.595484, throughput:1399, raw_metrics:{'fairness': 0.0}
SIM_TRAIN step:30, travel time:167.70211267605634, q_loss:1.1445059, rewards:-23.98611, queue:19.819445, delay:0.6673207, throughput:1388, raw_metrics:{'fairness': 1086.0}
SIM_TRAIN step:31, travel time:547.0711267605634, q_loss:18.470299, rewards:-175.15636, queue:160.68889, delay:0.73972094, throughput:1198, raw_metrics:{'fairness': 986.0}
SIM_TRAIN step:32, travel time:243.98169014084507, q_loss:30.568783, rewards:-40.411945, queue:36.386112, delay:0.8665489, throughput:1338, raw_metrics:{'fairness': 1039.0}
