exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	0	120.8	0.0	-5.52	2.94	0.60	1399	-0.39	0.0000			0.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	1	121.5	0.0	-5.83	3.21	0.62	1397	-0.40	0.0000			1010.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	2	120.7	2.4	-5.52	2.91	0.61	1399	-0.40	0.0000			0.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	3	134.9	1.0	-13.46	9.34	0.69	1316	-0.70	0.0000			998.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	4	214.3	0.1	-41.86	36.88	0.85	1367	-2.33	0.0000			1009.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	5	144.5	0.1	-14.50	11.36	0.74	1393	-0.95	0.0000			221.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	6	129.2	0.1	-8.89	5.88	0.59	1393	-0.53	0.0000			229.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	7	126.7	0.1	-7.91	4.93	0.55	1392	-0.48	0.0000			235.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	8	124.7	0.1	-7.08	4.15	0.53	1392	-0.45	0.0000			229.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	REAL_TRAIN	1	143.4	100.0	-34.16	10.42	0.60	1365		-0.1653	queue=0.0559;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.1094;collisions=0.0	grid;w=queue=0.2;delay=0.2;waiting=0.2;pressure=0.2;switches=0.2	677.0000	408.6472	132.4788	4.0000	197.0000	0.0000	queue=1.1181;delay=0.5973;waiting=158.8778;pressure=34.2611;switches=0.3222;ssm_conflicts=0.5472;collisions=0.0
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	9	121.6	0.0	-5.85	3.26	0.60	1397	-0.04	0.0000			210.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	10	121.4	0.0	-5.75	3.17	0.60	1398	-0.04	0.0000			234.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	11	120.7	2.9	-5.56	2.93	0.58	1399	-0.04	0.0000			0.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	12	237.9	1.6	-46.60	40.93	0.80	1369	-0.46	0.0000			1096.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	13	491.0	0.6	-156.36	143.67	0.82	1038	-1.33	0.0000			851.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	14	1065.3	0.2	-253.72	234.77	0.91	1336	-2.14	0.0000			904.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	15	377.9	0.2	-95.29	88.46	0.93	988	-0.93	0.0000			900.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	16	344.2	0.1	-78.29	71.05	0.89	1264	-0.78	0.0000			970.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	17	399.5	0.0	-124.38	117.08	0.77	919	-1.06	0.0000			768.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	REAL_TRAIN	2	1138.3	100.0	-328.03	315.75	0.84	468		-1.9347	queue=1.3769;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.5578;collisions=0.0	grid;w=queue=1.0	274.0000	1883.4966	610.6174	0.0000	1004.0000	0.0000	queue=27.5387;delay=0.8368;waiting=23883.5743;pressure=328.6306;switches=0.2333;ssm_conflicts=2.7889;collisions=0.0
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	18	121.4	0.0	-5.79	3.15	0.63	1398	-0.63	0.0000			810.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	19	120.9	0.0	-5.56	2.98	0.58	1398	-0.58	0.0000			0.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	20	121.3	2.6	-5.78	3.10	0.59	1399	-0.59	0.0000			0.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	21	395.0	1.1	-115.00	105.21	0.75	1162	-0.75	0.0000			849.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	22	386.3	0.3	-110.84	101.83	0.85	1194	-0.85	0.0000			1017.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	23	579.4	0.1	-179.27	160.34	0.82	1318	-0.82	0.0000			942.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	24	330.0	0.0	-89.63	79.17	0.68	1335	-0.68	0.0000			307.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	25	239.7	0.0	-54.32	46.80	0.63	1345	-0.63	0.0000			323.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	26	286.9	0.0	-73.09	63.75	0.59	1363	-0.59	0.0000			1029.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	REAL_TRAIN	3	362.2	100.0	-115.39	93.61	0.92	1205		-1.1602	queue=0.4679;delay=0.0;waiting=0.0;pressure=0.0;switches=0.0;ssm_conflicts=0.6922;collisions=0.0	grid;w=delay=1.0	649.0000	849.4811	275.3940	2.0000	1246.0000	0.0000	queue=9.3588;delay=0.9219;waiting=4697.5521;pressure=115.3472;switches=0.4083;ssm_conflicts=3.4611;collisions=0.0
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	27	121.2	0.0	-5.71	3.16	0.61	1399	-0.17	0.0000			0.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	28	121.2	0.0	-5.76	3.16	0.63	1398	-0.18	0.0000			796.0000						
bullhead_1_physical_safety_heavy_presslight_morl_grid	SIM_TRAIN	29	121.9	2.6	-5.99	3.29	0.60	1399	-0.15	0.0000			0.0000						
