exp_name	mode	step	travel_time	loss	rewards	queue	delay	throughput	train_reward	R_real	components	detail	fairness	emission	fuel	emergency_stops	ssm_conflicts	collisions	phi_raw
bullhead_1_fairness_heavy_presslight_reward_inference	SIM_TRAIN	0	422.2	0.0	-110.85	101.93	0.87	1306	-1.02	0.0000			963.0000						
bullhead_1_fairness_heavy_presslight_reward_inference	SIM_TRAIN	1	162.0	0.0	-17.86	14.39	0.85	1384	-0.27	0.0000			1058.0000						
bullhead_1_fairness_heavy_presslight_reward_inference	SIM_TRAIN	2	133.7	0.0	-10.64	7.45	0.75	1394	-0.14	0.0000			808.0000						
bullhead_1_fairness_heavy_presslight_reward_inference	REAL_TRAIN	1	1341.1	100.0	-316.30	303.88	0.98	478		-340.9670	queue=1.3531;delay=0.0;waiting=331.2366;pressure=0.0;switches=0.0;fairness=8.3773	probe[queue]	486.0000	1821.9040	590.6496	0.0000	849.0000	0.0000	queue=27.0625;delay=0.9845;waiting=33123.6639;pressure=316.675;switches=0.2389;fairness=209.4314
bullhead_1_fairness_heavy_presslight_reward_inference	SIM_TRAIN	3	1413.8	0.0	-341.90	323.73	0.79	601	-0.79	0.0000			355.0000						
bullhead_1_fairness_heavy_presslight_reward_inference	SIM_TRAIN	4	1551.3	0.0	-367.37	360.08	0.60	225	-0.60	0.0000			66.0000						
bullhead_1_fairness_heavy_presslight_reward_inference	SIM_TRAIN	5	1217.4	0.0	-327.59	317.44	0.59	390	-0.59	0.0000			43.0000						
bullhead_1_fairness_heavy_presslight_reward_inference	REAL_TRAIN	2	1436.2	100.0	-358.63	347.71	0.80	473		-344.8140	queue=1.5011;delay=0.0;waiting=336.7869;pressure=0.0;switches=0.0;fairness=6.526	probe[delay]	429.0000	2044.6179	662.8519	0.0000	859.0000	0.0000	queue=30.0225;delay=0.8025;waiting=33678.6903;pressure=359.025;switches=0.2306;fairness=163.1494
bullhead_1_fairness_heavy_presslight_reward_inference	SIM_TRAIN	6	734.4	293.5	-176.49	164.03	0.89	1373	-41.80	0.0000			798.0000						
bullhead_1_fairness_heavy_presslight_reward_inference	SIM_TRAIN	7	207.9	76.3	-23.44	19.63	0.83	1356	-14.82	0.0000			1050.0000						
